Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a012170	-	C2833028	-	3	502	74.678482	36.679394	65.316719
Vcabro1a012639	-	C2835282	-	294	443	4.553333	2.236434	3.982523
Vcabro1a001314	-	C2835622	-	74	289	2.574074	1.264293	2.251386
Vcabro1a011822	-	C2835868	+	7	509	553.302185	271.762177	483.939758
Vcabro1a004321	-	C2838462	+	239	437	0.050251	0.024681	0.043951
Vcabro1a006715	-	C2838846	-	128	414	67.651566	33.228020	59.170708
Vcabro1a002980	-	C2840340	+	237	452	94.611115	46.469585	82.750580
Vcabro1a000096	-	C2840686	+	36	523	282.663971	138.834412	247.228958
Vcabro1a004799	-	C2841086	-	71	498	6.997663	3.437001	6.120430
Vcabro1a004588	-	C2842214	-	40	526	27.812500	13.660502	24.325901
Vcabro1a012173	-	C2846366	-	1	432	15.629630	7.676714	13.670286
Vcabro1a004802	-	C2848368	-	202	496	2.881356	1.415219	2.520147
Vcabro1a016233	-	C2849450	+	131	377	2.246964	1.103628	1.965283
Vcabro1a003787	-	C2849826	-	189	538	12.917143	6.344437	11.297838
Vcabro1a004688	-	C2854874	+	51	558	0.433071	0.212709	0.378781
Vcabro1a005319	-	C2855154	+	14	414	1.366667	0.671258	1.195340
Vcabro1a013437	-	C2855160	-	6	567	320.338074	157.338562	280.180206
Vcabro1a006696	-	C2855830	-	2	528	127.368889	62.559029	111.401810
Vcabro1a012648	-	C2856508	+	285	474	0.821053	0.403272	0.718125
Vcabro1a012451	-	C2856828	+	263	456	3.649485	1.792496	3.191982
Vcabro1a013865	-	C2859426	+	189	508	25.875000	12.708872	22.631287
Vcabro1a015469	-	C2859654	-	143	393	40.713146	19.996838	35.609310
Vcabro1a002340	-	C2861192	+	364	578	88.995346	43.711323	77.838806
Vcabro1a013199	-	C2861418	-	5	538	17.479401	8.585255	15.288167
Vcabro1a002116	-	C2861840	+	154	472	110.062759	54.058876	96.265198
Vcabro1a004815	-	C2863398	+	1	595	184.255127	90.499504	161.156738
Vcabro1a013864	-	C2864508	+	281	532	8.611111	4.229469	7.531615
Vcabro1a001441	-	C2865780	+	20	581	23.921616	11.749439	20.922781
Vcabro1a007435	-	C2866830	-	17	494	21.472803	10.546671	18.780954
Vcabro1a000051	-	C2869740	+	16	621	103.121284	50.649475	90.193916
Vcabro1a000463	-	C2871358	-	21	474	1348.746704	662.455994	1179.666626
Vcabro1a000458	-	C2872078	+	9	603	0.470588	0.231136	0.411595
Vcabro1a002765	-	C2873212	+	224	572	6.157593	3.024389	5.385672
Vcabro1a013819	-	C2873314	+	1	153	2.614379	1.284089	2.286638
Vcabro1a003350	-	C2873972	+	101	581	315.899719	155.158600	276.298248
Vcabro1a003042	-	C2876850	+	14	620	13.214953	6.490711	11.558315
Vcabro1a010937	-	C2877118	-	34	373	0.085294	0.041893	0.074601
Vcabro1a002037	-	C2877372	-	127	496	0.000000	0.000000	0.000000
