Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a003582	-	C2832210	+	145	377	0.051502	0.022882	0.042105
Vcabro1a012170	-	C2833028	-	3	502	96.721519	42.971943	79.073631
Vcabro1a012639	-	C2835282	-	294	443	1.473333	0.654580	1.204507
Vcabro1a001314	-	C2835622	-	74	289	5.083333	2.258450	4.155824
Vcabro1a011822	-	C2835868	+	7	509	477.218079	212.020950	390.144470
Vcabro1a002859	-	C2837040	-	304	470	2.700599	1.199836	2.207845
Vcabro1a004321	-	C2838462	+	239	437	0.236181	0.104932	0.193087
Vcabro1a006715	-	C2838846	-	128	414	61.947735	27.522465	50.644703
Vcabro1a002980	-	C2840340	+	237	452	53.194443	23.633505	43.488541
Vcabro1a000096	-	C2840686	+	36	523	433.840118	192.748764	354.681305
Vcabro1a004799	-	C2841086	-	71	498	10.268692	4.562229	8.395058
Vcabro1a011141	-	C2841738	-	142	337	1.000000	0.444285	0.817539
Vcabro1a004588	-	C2842214	-	40	526	29.315624	13.024500	23.966671
Vcabro1a012173	-	C2846366	-	1	432	0.560185	0.248882	0.457973
Vcabro1a004802	-	C2848368	-	202	496	4.349153	1.932265	3.555603
Vcabro1a016233	-	C2849450	+	131	377	5.271255	2.341941	4.309457
Vcabro1a003787	-	C2849826	-	189	538	27.325714	12.140411	22.339842
Vcabro1a004688	-	C2854874	+	51	558	0.490157	0.217770	0.400723
Vcabro1a005319	-	C2855154	+	14	414	2.476667	1.100347	2.024772
Vcabro1a013437	-	C2855160	-	6	567	239.183273	106.265594	195.541702
Vcabro1a006696	-	C2855830	-	2	528	131.688889	58.507431	107.660828
Vcabro1a012451	-	C2856828	+	263	456	0.871134	0.387032	0.712186
Vcabro1a013865	-	C2859426	+	189	508	22.568750	10.026963	18.450838
Vcabro1a015469	-	C2859654	-	143	393	76.270920	33.886044	62.354465
Vcabro1a002340	-	C2861192	+	364	578	97.846512	43.471760	79.993355
Vcabro1a013199	-	C2861418	-	5	538	12.518726	5.561885	10.234549
Vcabro1a002116	-	C2861840	+	154	472	89.585777	39.801640	73.239883
Vcabro1a001596	-	C2862504	+	104	517	0.000000	0.000000	0.000000
Vcabro1a004815	-	C2863398	+	1	595	237.323776	105.439453	194.021484
Vcabro1a013864	-	C2864508	+	281	532	7.611111	3.381504	6.222382
Vcabro1a001441	-	C2865780	+	20	581	22.225653	9.874529	18.170341
Vcabro1a007435	-	C2866830	-	17	494	22.640167	10.058692	18.509224
Vcabro1a000051	-	C2869740	+	16	621	171.509064	76.198952	140.215378
Vcabro1a000463	-	C2871358	-	21	474	1486.588867	660.469482	1215.344727
Vcabro1a000458	-	C2872078	+	9	603	3.396639	1.509077	2.776886
Vcabro1a002765	-	C2873212	+	224	572	6.865330	3.050165	5.612676
Vcabro1a013819	-	C2873314	+	1	153	3.640523	1.617431	2.976270
Vcabro1a003350	-	C2873972	+	101	581	433.477386	192.587601	354.384735
Vcabro1a009321	-	C2874460	+	76	548	0.164905	0.073265	0.134816
Vcabro1a003042	-	C2876850	+	14	620	9.995327	4.440776	8.171572
Vcabro1a010937	-	C2877118	-	34	373	0.361765	0.160727	0.295757
Vcabro1a002037	-	C2877372	-	127	496	2.799242	1.243662	2.288490
Vcabro1a002708	-	C2880440	+	236	507	0.731618	0.325047	0.598126
Vcabro1a001607	-	C2881240	+	249	579	92.250755	40.985649	75.418602
Vcabro1a004419	-	C2885026	-	37	681	55.367958	24.599167	45.265476
Vcabro1a003991	-	C2886328	+	232	471	0.916667	0.407262	0.749411
Vcabro1a008197	-	C2886494	-	62	678	50.055855	22.239079	40.922623
