Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a011143	-	C2532896	-	14	406	4.099236	0.978432	2.309278
Lflavo2a012446	-	C2532978	+	16	505	129.876099	30.999672	73.164841
Lflavo2a013879	-	C2533306	-	12	494	36.482971	8.912162	21.034317
Lflavo2a013569	-	C2533474	-	2	500	34.395790	8.209811	19.376642
Lflavo2a000748	-	C2533820	+	4	535	131.187973	31.312798	73.903877
Lflavo2a001212	-	C2533924	+	145	391	1.854251	0.442585	1.044580
Lflavo2a000186	-	C2534132	-	5	562	152.516953	36.403736	85.919426
Lflavo2a007945	-	C2534852	-	3	582	185.517242	44.280460	104.509918
Lflavo2a007773	-	C2534930	-	30	254	35.244446	8.412374	19.854725
Lflavo2a004339	-	C2534980	+	13	561	19.941711	4.759817	11.234032
Lflavo2a007481	-	C2535116	-	134	427	2.420068	0.577638	1.363329
Lflavo2a012238	-	C2535124	-	184	565	8.960733	2.138806	5.047970
Lflavo2a003508	-	C2535130	+	267	527	69.136902	16.502045	38.947819
Lflavo2a004988	-	C2535370	+	28	225	2.686869	0.641319	1.513630
Lflavo2a002492	-	C2535872	+	45	404	0.322222	0.076910	0.181522
Lflavo2a001247	-	C2536414	-	51	627	621.149475	148.259995	349.920471
Lflavo2a008415	-	C2536812	-	3	635	48.739872	11.633550	27.457285
Lflavo2a002493	-	C2537078	+	1	647	96.926010	23.134930	54.602627
Lflavo2a009812	-	C2539016	-	18	378	3.637584	0.868242	2.049209
Lflavo2a012382	-	C2539054	+	4	708	55.313477	13.202580	31.160480
Lflavo2a011593	-	C2539554	+	4	731	47.707546	12.937704	30.535326
Lflavo2a006731	-	C2539584	+	12	732	89.397957	21.338085	50.361752
Lflavo2a006548	-	C2541210	+	14	784	69.497849	18.111444	42.746296
Lflavo2a012920	-	C2541380	+	11	788	137.843811	32.901459	77.653397
Lflavo2a003511	-	C2541782	+	11	813	235.964279	59.154583	139.615540
Lflavo2a009905	-	C2541966	-	169	795	6.129213	1.462960	3.452852
Lflavo2a008184	-	C2542720	-	306	695	0.661074	0.157789	0.372412
Lflavo2a011054	-	C2543650	-	376	873	230.299759	54.969444	129.737854
Lflavo2a003899	-	C2544558	+	22	910	57.245781	13.663795	32.249031
Lflavo2a000727	-	C2545164	+	19	176	7.949367	1.897407	4.478223
Lflavo2a004695	-	C2545322	+	4	957	98.802528	25.795286	60.881554
Lflavo2a006702	-	C2545864	+	4	978	153.201416	36.567108	86.305008
Lflavo2a007338	-	C2547574	-	17	643	0.561404	0.134000	0.316263
Lflavo2a001749	-	C2547650	-	208	897	0.611594	0.145979	0.344537
Lflavo2a010369	-	C2549374	+	63	982	251.913376	60.128319	141.913742
Lflavo2a008747	-	C2550876	+	667	1212	52.854591	12.615677	29.775286
Lflavo2a001735	-	C2552312	-	42	1278	2.654002	0.633474	1.495114
Lflavo2a010807	-	C2552502	+	356	1289	30.736616	7.336415	17.315269
Lflavo2a008903	-	C2553074	+	2	1288	46.500626	13.355627	31.521700
Lflavo2a002221	-	C2553306	+	7	1331	177.960663	42.760227	100.921890
Lflavo2a008170	-	C2554786	-	13	1369	17.293856	4.127810	9.742379
Lflavo2a001751	-	C2554852	+	1036	1348	0.674121	0.160904	0.379762
Lflavo2a005366	-	C2554900	+	29	1428	128.949860	30.778591	72.643051
Lflavo2a003900	-	C2555424	+	196	567	31.147850	7.434571	17.546936
Lflavo2a002769	-	C2556478	-	496	1496	401.125336	95.743202	225.971313
Lflavo2a009451	-	C2556702	-	2	1525	108.616318	25.925249	61.188286
Lflavo2a009000	-	C2556706	+	178	1413	1.206311	0.287930	0.679567
Lflavo2a001322	-	C2557918	+	6	890	1114.049805	265.908630	627.592590
Lflavo2a007944	-	C2560130	-	196	1726	198.677231	47.421574	111.923508
Lflavo2a008513	-	C2560174	+	262	615	1.327684	0.316900	0.747942
Lflavo2a008512	-	C2560174	+	686	1558	2.573883	0.614351	1.449980
Lflavo2a001750	-	C2561518	-	762	1397	16.790941	4.007771	9.459066
Lflavo2a009426	-	C2562808	+	1	1889	199.008011	47.500526	112.109848
Lflavo2a005771	-	C2564172	-	13	1978	83.287064	19.879498	46.919216
Lflavo2a009904	-	C2565782	-	21	2037	28.499195	6.927888	16.351072
Lflavo2a004250	-	C2565792	-	10	2074	48.543098	11.586582	27.346436
