Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	9.474401	13.560073	30.574350
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	1.649236	9.933887	22.398270
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	24.495777	40.244095	90.739716
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	68.849991	170.441910	384.301086
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	2.846473	17.877687	40.309422
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	9.875360	13.860007	31.250626
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	27.539196	40.563808	91.460579
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	51.443787	72.224228	162.846390
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	34.850452	48.912395	110.284424
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	7.666748	10.760234	24.261461
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	12.247100	17.188730	38.756008
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	160.670807	225.500504	508.443512
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	3.319846	4.659384	10.505669
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	19.070824	27.009026	60.898155
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	68.474144	107.746735	242.940170
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	338.233459	484.434357	1092.270386
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	56.728313	79.617844	179.517014
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	219.942657	308.688171	696.009583
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	16.496088	23.152159	52.201950
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	19.824476	27.823532	62.734650
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	354.374664	507.440887	1144.144043
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	54.815582	76.933342	173.464188
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	8.917311	12.552111	28.301666
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	15.051440	60.716122	136.898666
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	4.232190	5.939853	13.392786
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	49.429474	69.373970	156.419800
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	12.276482	17.373857	39.173420
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	0.577314	0.810257	1.826913
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	1.421864	1.995578	4.499496
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	0.972084	1.364314	3.076164
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	0.974873	1.368228	3.084990
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.488762	0.711712	1.604720
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	68.162148	95.665161	215.699432
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	210.480057	295.407471	666.065186
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	22.464533	31.528835	71.089119
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	2.900494	4.089429	9.220572
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	10.813118	17.784986	40.100407
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	17.879999	25.094469	56.581348
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	4.262411	7.066790	15.933728
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	2.489531	3.788095	8.541144
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	39.625618	55.614315	125.395454
