Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a003582	-	C2832210	+	145	377	1.343348	0.735890	1.342124
Vcabro1a012170	-	C2833028	-	3	502	75.921516	41.590019	75.852364
Vcabro1a012639	-	C2835282	-	294	443	2.906667	1.592280	2.904019
Vcabro1a001314	-	C2835622	-	74	289	6.245370	3.421231	6.239681
Vcabro1a011822	-	C2835868	+	7	509	454.439240	248.943085	454.025269
Vcabro1a002859	-	C2837040	-	304	470	0.730539	0.400191	0.729874
Vcabro1a006715	-	C2838846	-	128	414	57.665504	31.589325	57.612976
Vcabro1a002980	-	C2840340	+	237	452	35.773148	19.596632	35.740562
Vcabro1a000096	-	C2840686	+	36	523	349.383484	191.393250	349.065216
Vcabro1a004799	-	C2841086	-	71	498	19.936916	10.921498	19.918755
Vcabro1a011141	-	C2841738	-	142	337	4.540816	2.487472	4.536680
Vcabro1a004588	-	C2842214	-	40	526	17.190624	9.417071	17.174965
Vcabro1a012173	-	C2846366	-	1	432	1.710648	0.937098	1.709090
Vcabro1a004802	-	C2848368	-	202	496	7.644068	4.187442	7.637105
Vcabro1a016233	-	C2849450	+	131	377	0.542510	0.297188	0.542016
Vcabro1a003787	-	C2849826	-	189	538	14.545714	7.968183	14.532464
Vcabro1a004688	-	C2854874	+	51	558	3.188976	1.746930	3.186071
Vcabro1a005319	-	C2855154	+	14	414	5.190000	2.843097	5.185272
Vcabro1a013437	-	C2855160	-	6	567	222.754456	122.025513	222.551544
Vcabro1a006696	-	C2855830	-	2	528	101.571114	55.640942	101.478592
Vcabro1a012451	-	C2856828	+	263	456	2.649485	1.451395	2.647072
Vcabro1a014506	-	C2859228	+	9	382	0.000000	0.000000	0.000000
Vcabro1a013865	-	C2859426	+	189	508	23.096874	12.652533	23.075834
Vcabro1a015469	-	C2859654	-	143	393	65.505974	35.884354	65.446304
Vcabro1a002340	-	C2861192	+	364	578	98.067444	53.721622	97.978111
Vcabro1a013199	-	C2861418	-	5	538	7.754682	4.248036	7.747618
Vcabro1a002116	-	C2861840	+	154	472	86.033470	47.129379	85.955101
Vcabro1a001596	-	C2862504	+	104	517	0.680556	0.372810	0.679936
Vcabro1a004815	-	C2863398	+	1	595	168.430328	92.266602	168.276917
Vcabro1a013864	-	C2864508	+	281	532	4.119048	2.256426	4.115296
Vcabro1a001441	-	C2865780	+	20	581	26.938242	14.756844	26.913704
Vcabro1a007435	-	C2866830	-	17	494	17.274059	9.462778	17.258326
Vcabro1a000051	-	C2869740	+	16	621	139.468643	76.401306	139.341599
Vcabro1a000463	-	C2871358	-	21	474	1240.354126	679.469482	1239.224365
Vcabro1a000458	-	C2872078	+	9	603	3.690756	2.021806	3.687394
Vcabro1a002765	-	C2873212	+	224	572	10.851002	5.944209	10.841118
Vcabro1a013819	-	C2873314	+	1	153	6.607843	3.619795	6.601824
Vcabro1a003350	-	C2873972	+	101	581	284.519775	155.860718	284.260590
Vcabro1a009321	-	C2874460	+	76	548	0.989429	0.542012	0.988528
Vcabro1a003042	-	C2876850	+	14	620	9.995327	5.475469	9.986222
Vcabro1a010937	-	C2877118	-	34	373	0.667647	0.365739	0.667039
Vcabro1a002037	-	C2877372	-	127	496	0.000000	0.000000	0.000000
Vcabro1a000457	-	C2878158	+	128	584	0.376368	0.206175	0.376025
Vcabro1a002708	-	C2880440	+	236	507	3.727941	2.042176	3.724545
Vcabro1a001607	-	C2881240	+	249	579	88.836861	48.665081	88.755943
Vcabro1a004419	-	C2885026	-	37	681	43.022141	23.567648	42.982952
Vcabro1a008197	-	C2886494	-	62	678	27.218018	14.910107	27.193224
Vcabro1a005713	-	C2889154	-	113	345	4.334764	2.374596	4.330815
Vcabro1a012450	-	C2889772	+	1	704	3415.664795	1871.110718	3412.553467
Vcabro1a013622	-	C2889824	-	138	674	41.303539	22.626194	41.265915
Vcabro1a015599	-	C2890274	-	34	569	176.582642	96.732468	176.421783
Vcabro1a006033	-	C2891614	-	59	492	11.423964	6.258079	11.413558
Vcabro1a007569	-	C2892632	+	358	589	11.887931	6.512241	11.877102
Vcabro1a014339	-	C2893042	-	120	702	1.739280	0.952782	1.737696
Vcabro1a015601	-	C2893366	-	7	718	70.462082	38.599323	70.397896
Vcabro1a002215	-	C2893424	+	23	701	14.425532	7.902347	14.412392
Vcabro1a016136	-	C2894780	-	46	722	2.478582	1.357774	2.476324
Vcabro1a002460	-	C2895268	+	268	488	55.927601	30.637295	55.876656
Vcabro1a015257	-	C2897004	-	169	711	170.074326	93.167191	169.919403
Vcabro1a006333	-	C2897536	-	483	697	6.376744	3.493198	6.370935
Vcabro1a011132	-	C2897760	+	217	375	0.786164	0.430663	0.785448
Vcabro1a001889	-	C2898688	+	6	744	15.300405	8.381604	15.286468
Vcabro1a003753	-	C2898748	-	119	632	0.854086	0.467871	0.853308
Vcabro1a001149	-	C2903060	+	3	746	4.627688	2.535060	4.623473
Vcabro1a015519	-	C2903540	+	5	771	20.089964	11.005339	20.071663
Vcabro1a007825	-	C2904276	-	318	528	2.582938	1.414941	2.580585
Vcabro1a016224	-	C2904910	-	6	773	59.531387	32.611462	59.477161
