Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a011143	-	C2532896	-	14	406	12.374045	2.755807	6.291372
Lflavo2a012446	-	C2532978	+	16	505	151.551620	33.751854	77.053833
Lflavo2a013879	-	C2533306	-	12	494	9.362229	2.107521	4.811368
Lflavo2a013569	-	C2533474	-	2	500	17.752504	3.953636	9.025958
Lflavo2a000748	-	C2533820	+	4	535	92.761276	20.658737	47.162891
Lflavo2a001212	-	C2533924	+	145	391	0.485830	0.108199	0.247012
Lflavo2a000186	-	C2534132	-	5	562	200.533905	44.660633	101.958038
Lflavo2a007945	-	C2534852	-	3	582	179.884476	40.061825	91.459190
Lflavo2a007773	-	C2534930	-	30	254	29.391111	6.545654	14.943409
Lflavo2a004339	-	C2534980	+	13	561	9.500911	2.115935	4.830576
Lflavo2a007481	-	C2535116	-	134	427	1.146258	0.255282	0.582795
Lflavo2a012238	-	C2535124	-	184	565	1.955497	0.435506	0.994239
Lflavo2a003508	-	C2535130	+	267	527	57.535713	12.813700	29.253050
Lflavo2a004988	-	C2535370	+	28	225	8.606061	1.916644	4.375605
Lflavo2a002492	-	C2535872	+	45	404	1.472222	0.327877	0.748526
Lflavo2a001247	-	C2536414	-	51	627	753.501770	167.811356	383.105103
Lflavo2a008415	-	C2536812	-	3	635	55.381664	12.333975	28.157862
Lflavo2a002493	-	C2537078	+	1	647	116.979820	26.052416	59.476395
Lflavo2a009812	-	C2539016	-	18	378	2.184564	0.486521	1.110704
Lflavo2a012382	-	C2539054	+	4	708	78.413475	17.463358	39.867992
Lflavo2a011593	-	C2539554	+	4	731	36.554714	9.199800	21.002693
Lflavo2a006731	-	C2539584	+	12	732	68.989799	15.364623	35.076687
Lflavo2a006548	-	C2541210	+	14	784	59.192524	14.022004	32.011551
Lflavo2a012920	-	C2541380	+	11	788	191.377014	42.621315	97.302376
Lflavo2a003511	-	C2541782	+	11	813	193.104401	44.581795	101.778053
Lflavo2a009905	-	C2541966	-	169	795	6.649813	1.480971	3.380984
Lflavo2a011054	-	C2543650	-	376	873	270.326813	60.204113	137.443054
Lflavo2a003899	-	C2544558	+	22	910	38.182228	8.503511	19.413103
Lflavo2a000727	-	C2545164	+	19	176	5.810127	1.293965	2.954060
Lflavo2a004695	-	C2545322	+	4	957	81.121643	19.752867	45.094830
Lflavo2a006702	-	C2545864	+	4	978	130.140839	28.983488	66.167892
Lflavo2a007338	-	C2547574	-	17	643	1.357257	0.302273	0.690074
Lflavo2a010369	-	C2549374	+	63	982	959.916199	213.781631	488.053009
Lflavo2a008747	-	C2550876	+	667	1212	34.454082	7.815899	17.843317
Lflavo2a001735	-	C2552312	-	42	1278	1.207761	0.268979	0.614065
Lflavo2a010807	-	C2552502	+	356	1289	32.723770	7.287866	16.637842
Lflavo2a008903	-	C2553074	+	2	1288	29.036207	7.758498	17.712273
Lflavo2a002221	-	C2553306	+	7	1331	146.016388	32.585110	74.390221
Lflavo2a008170	-	C2554786	-	13	1369	11.030276	2.456538	5.608156
Lflavo2a005366	-	C2554900	+	29	1428	139.345795	31.033510	70.847992
Lflavo2a003900	-	C2555424	+	196	567	33.704300	7.506239	17.136375
Lflavo2a002769	-	C2556478	-	496	1496	778.711975	173.425888	395.922821
Lflavo2a009451	-	C2556702	-	2	1525	118.658852	26.426352	60.330067
Lflavo2a009000	-	C2556706	+	178	1413	1.991909	0.443615	1.012752
Lflavo2a001322	-	C2557918	+	6	890	1073.123169	238.993790	545.611206
Lflavo2a007944	-	C2560130	-	196	1726	221.670029	49.367828	112.704346
Lflavo2a008513	-	C2560174	+	262	615	1.268362	0.282475	0.644877
Lflavo2a008512	-	C2560174	+	686	1558	1.352806	0.301282	0.687811
Lflavo2a001750	-	C2561518	-	762	1397	6.222997	1.385915	3.163977
Lflavo2a009426	-	C2562808	+	1	1889	217.897537	48.527660	110.786285
Lflavo2a005771	-	C2564172	-	13	1978	78.467216	17.475327	39.895317
Lflavo2a009904	-	C2565782	-	21	2037	8.076550	1.832341	4.183145
Lflavo2a004250	-	C2565792	-	10	2074	47.457958	10.569298	24.129190
Lflavo2a013375	-	C2565906	+	1463	1615	0.967320	0.215431	0.491817
Lflavo2a009903	-	C2566930	+	196	2160	363.143738	80.875244	184.634232
Lflavo2a006664	-	C2572254	+	11	2556	46.349667	10.471846	23.906712
Lflavo2a001321	-	C2574554	-	7	1142	0.000000	0.000000	0.000000
Lflavo2a001296	-	C2574806	+	2	2734	80.993935	18.541372	42.329048
Lflavo2a003510	-	C2586130	-	1819	3176	1.676030	0.373266	0.852149
Lflavo2a013181	-	C2586826	-	81	2843	28.246887	6.290825	14.361649
Lflavo2a008185	-	C2589692	+	492	4211	60.039532	13.371323	30.526075
Lflavo2a010481	-	C2596020	+	33	5007	355.468475	79.542351	181.591309
Lflavo2a002187	-	C2596024	-	5	5027	84.611084	18.843618	43.019058
Lflavo2a007390	-	C2603782	-	4	1719	35.112263	9.643914	22.016584
Lflavo2a007389	-	C2603782	+	2172	6274	31.172224	7.164423	16.356026
Lflavo2a000750	-	C2607958	+	10	6302	31.189060	6.946073	15.857545
Lflavo2a000749	-	C2607958	-	1590	7113	17.528273	3.903698	8.911951
Lflavo2a002224	-	C2626548	+	1	2701	60.941013	14.569354	33.261124
Lflavo2a002222	-	C2626548	+	3135	7454	36.100594	9.566730	21.840380
Lflavo2a002223	-	C2626548	+	7723	15578	2.327688	0.518396	1.183473
Lflavo2a002245	-	C2630722	-	561	1824	571.139343	127.197670	290.386047
Lflavo2a002242	-	C2630722	+	2742	4524	62.883904	14.004788	31.972248
Lflavo2a002244	-	C2630722	-	4821	5324	189.744049	42.257641	96.472122
Lflavo2a002243	-	C2630722	+	5803	7542	32.642010	7.269657	16.596273
Lflavo2a002246	-	C2630722	-	10664	20674	49.919430	11.117488	25.380682
Lflavo2a007941	-	scaffold1001	-	28634	102910	6.495274	1.446554	3.302411
Lflavo2a007872	-	scaffold1001	+	64162	64482	0.000000	0.000000	0.000000
Lflavo2a007900	-	scaffold1001	+	152526	159770	0.000000	0.000000	0.000000
Lflavo2a007875	-	scaffold1001	-	233914	234207	0.000000	0.000000	0.000000
Lflavo2a007920	-	scaffold1001	-	326861	328117	596.102417	168.642868	385.003448
Lflavo2a007942	-	scaffold1001	+	328920	332108	21.446884	5.280324	12.054722
Lflavo2a007905	-	scaffold1001	+	333923	336869	68.751076	15.311458	34.955311
Lflavo2a007884	-	scaffold1001	-	338264	343727	152.366562	38.229465	87.276001
Lflavo2a007926	-	scaffold1001	+	344143	349376	36.830288	8.202424	18.725731
Lflavo2a007892	-	scaffold1001	+	350515	355780	55.892433	12.526030	28.596313
Lflavo2a007878	-	scaffold1001	-	351779	364765	73.333260	22.638327	51.682190
Lflavo2a007943	-	scaffold1001	+	363167	365348	71.839302	15.999233	36.525467
Lflavo2a007911	-	scaffold1001	+	365892	372059	155.137726	34.550510	78.877129
Lflavo2a007940	-	scaffold1001	-	392591	396523	0.000000	0.000000	0.000000
Lflavo2a007871	-	scaffold1001	+	425706	435636	0.992271	0.220987	0.504503
Lflavo2a007898	-	scaffold1001	+	438845	440460	0.000000	0.000000	0.000000
Lflavo2a007903	-	scaffold1001	+	461021	469046	0.000000	0.000000	0.000000
Lflavo2a007901	-	scaffold1001	-	508542	557682	2.143702	0.477421	1.089929
Lflavo2a007873	-	scaffold1001	-	566906	569399	116.275017	25.895451	59.118046
Lflavo2a007931	-	scaffold1001	-	570619	573481	94.690048	21.088291	48.143539
Lflavo2a007927	-	scaffold1001	+	574302	577149	2311.784180	514.854309	1175.387207
Lflavo2a007918	-	scaffold1001	-	577579	580599	95.957260	21.370510	48.787834
Lflavo2a007882	-	scaffold1001	-	582734	584873	242.623734	54.034397	123.357895
Lflavo2a007881	-	scaffold1001	+	585253	588070	41.116081	9.948362	22.711624
Lflavo2a007922	-	scaffold1001	-	588194	590608	126.569420	28.188103	64.352058
Lflavo2a007880	-	scaffold1001	+	589912	599294	15.522517	3.456999	7.892159
Lflavo2a007935	-	scaffold1001	+	601451	611244	219.577377	48.901779	111.640366
Lflavo2a007934	-	scaffold1001	+	616300	617403	0.912138	0.203141	0.463761
Lflavo2a007938	-	scaffold1001	+	624026	631196	1.395850	0.310868	0.709696
Lflavo2a007888	-	scaffold1001	+	632056	632754	281.261780	62.639423	143.002762
Lflavo2a007876	-	scaffold1001	-	633160	634088	12.160241	2.708191	6.182667
Lflavo2a007870	-	scaffold1001	+	633723	637006	38.110516	8.487541	19.376642
Lflavo2a007879	-	scaffold1001	+	639406	646040	34.166248	7.615635	17.386124
Lflavo2a007921	-	scaffold1001	-	644209	664363	13.596231	3.027998	6.912772
Lflavo2a007932	-	scaffold1001	-	665899	670044	29.606739	6.593677	15.053041
Lflavo2a007930	-	scaffold1001	+	672571	673891	211.981354	47.210079	107.778305
Lflavo2a007937	-	scaffold1001	-	677521	678398	71.666664	15.960785	36.437691
Lflavo2a007869	-	scaffold1001	-	679080	686338	93.505615	20.824509	47.541336
Lflavo2a007877	-	scaffold1001	-	688195	691291	125.544579	27.959862	63.830997
Lflavo2a007897	-	scaffold1001	-	693030	696674	68.306549	15.212459	34.729301
Lflavo2a007902	-	scaffold1001	+	697137	700678	36.245483	8.072182	18.428398
Lflavo2a007923	-	scaffold1001	+	731552	740783	6.959218	1.549878	3.538296
Lflavo2a007910	-	scaffold1001	+	740890	741060	5.333333	1.187779	2.711642
Lflavo2a007895	-	scaffold1001	-	745662	746858	5.247285	1.168616	2.667892
Lflavo2a007924	-	scaffold1001	-	747733	748160	3.542773	0.789006	1.801262
Lflavo2a007914	-	scaffold1001	-	750527	763363	15.873822	3.535237	8.070774
Lflavo2a007928	-	scaffold1001	+	764040	785957	14.346742	3.195143	7.294356
Lflavo2a007906	-	scaffold1001	-	790302	847294	4.726246	1.052576	2.402979
Lflavo2a007915	-	scaffold1001	-	867460	871935	4.111111	0.915580	2.090224
Lflavo2a007890	-	scaffold1001	-	872964	874558	108.546417	24.174225	55.188572
Lflavo2a007936	-	scaffold1001	+	875072	882329	6.015857	1.376647	3.142819
Lflavo2a007886	-	scaffold1001	+	882634	885339	44.154354	10.244796	23.388367
Lflavo2a007885	-	scaffold1001	+	887987	894603	49.870487	11.106588	25.355799
Lflavo2a007889	-	scaffold1001	+	895185	946610	131.985550	29.394321	67.105804
Lflavo2a007893	-	scaffold1001	-	946323	948881	140.635757	32.339420	73.829308
Lflavo2a007939	-	scaffold1001	-	952568	955513	17.053905	3.798052	8.670768
Lflavo2a007912	-	scaffold1001	-	1007080	1007613	0.000000	0.000000	0.000000
Lflavo2a007925	-	scaffold1001	+	1020689	1037240	0.000000	0.000000	0.000000
Lflavo2a007896	-	scaffold1001	-	1055844	1056197	4.889831	1.089008	2.486151
Lflavo2a007913	-	scaffold1001	+	1057394	1075047	0.000000	0.000000	0.000000
Lflavo2a007917	-	scaffold1001	+	1158452	1160181	41.658970	9.277812	21.180792
Lflavo2a007933	-	scaffold1001	+	1165295	1167222	9.663148	2.152066	4.913063
Lflavo2a007899	-	scaffold1001	+	1167695	1169458	14.391725	3.205161	7.317227
Lflavo2a007887	-	scaffold1001	+	1169963	1171840	26.212992	5.837860	13.327548
Lflavo2a007907	-	scaffold1001	+	1210795	1219147	22.069241	4.915010	11.220729
Lflavo2a007894	-	scaffold1001	+	1220306	1222443	20.620575	4.592380	10.484179
Lflavo2a007919	-	scaffold1001	+	1222756	1225319	37.365524	8.321625	18.997864
Lflavo2a007908	-	scaffold1001	-	1225574	1266606	72.122337	16.062267	36.669373
Lflavo2a007909	-	scaffold1001	+	1266703	1301460	2.666409	0.593832	1.355690
Lflavo2a007874	-	scaffold1001	-	1313973	1331654	7.464530	1.662415	3.795213
Lflavo2a007929	-	scaffold1001	-	1333932	1338261	454.496033	101.220192	231.080750
Lflavo2a007916	-	scaffold1001	+	1340082	1341663	1.298457	0.289178	0.660178
Lflavo2a007904	-	scaffold1001	+	1352389	1353254	0.000000	0.000000	0.000000
Lflavo2a007883	-	scaffold1001	-	1370866	1371920	6.485148	1.444299	3.297263
Lflavo2a002468	-	scaffold1004	-	11824	17033	0.000000	0.000000	0.000000
Lflavo2a007803	-	scaffold1011	+	7694	9035	0.000000	0.000000	0.000000
Lflavo2a007804	-	scaffold1011	+	16064	17605	0.000000	0.000000	0.000000
Lflavo2a007806	-	scaffold1011	-	18662	21172	0.000000	0.000000	0.000000
Lflavo2a003862	-	scaffold104	-	1432	11261	20.584959	4.584448	10.466071
Lflavo2a003869	-	scaffold104	+	13153	16280	78.892189	18.377739	41.955479
Lflavo2a003874	-	scaffold104	-	15565	17294	63.322750	14.102524	32.195374
Lflavo2a003878	-	scaffold104	-	18401	22836	8.200300	1.826278	4.169302
Lflavo2a003882	-	scaffold104	+	24490	30041	105.279694	23.446697	53.527664
Lflavo2a003877	-	scaffold104	+	49632	77641	1917.060059	426.945831	974.696472
Lflavo2a003860	-	scaffold104	-	78063	79333	74.166122	16.517437	37.708496
Lflavo2a003865	-	scaffold104	+	79928	82776	419.717590	104.116646	237.693222
Lflavo2a003876	-	scaffold104	-	81392	84658	42.463150	9.456910	21.589664
Lflavo2a003866	-	scaffold104	-	90286	94289	46.939999	10.453943	23.865843
Lflavo2a003881	-	scaffold104	-	95502	95702	4.323383	0.962855	2.198150
Lflavo2a003867	-	scaffold104	+	97707	97871	0.000000	0.000000	0.000000
Lflavo2a003885	-	scaffold104	+	111471	127441	38.446301	8.562324	19.547365
Lflavo2a003861	-	scaffold104	+	132746	142617	145.607986	32.428154	74.031891
Lflavo2a003859	-	scaffold104	-	195990	198544	0.000000	0.000000	0.000000
Lflavo2a003868	-	scaffold104	+	214716	215303	0.950680	0.211725	0.483357
Lflavo2a003883	-	scaffold104	+	215708	219094	154.170090	34.558304	78.894920
Lflavo2a003864	-	scaffold104	-	219574	220216	506.596832	112.823486	257.570526
Lflavo2a003875	-	scaffold104	-	224632	226637	145.705948	32.449970	74.081703
Lflavo2a003880	-	scaffold104	-	231711	233434	245.342377	56.835831	129.753433
Lflavo2a003871	-	scaffold104	-	235423	236751	39.074341	8.702193	19.866682
Lflavo2a003873	-	scaffold104	+	248196	255059	0.000000	0.000000	0.000000
Lflavo2a003872	-	scaffold104	+	258011	258247	0.000000	0.000000	0.000000
Lflavo2a003870	-	scaffold104	-	258554	259113	0.000000	0.000000	0.000000
Lflavo2a003879	-	scaffold104	+	267154	268530	0.000000	0.000000	0.000000
Lflavo2a001291	-	scaffold1046	-	3372	4944	50.889294	11.333486	25.873793
Lflavo2a001285	-	scaffold1046	+	4903	8634	83.893761	19.974754	45.601391
Lflavo2a001287	-	scaffold1046	-	8112	10424	74.003731	16.481270	37.625931
Lflavo2a001295	-	scaffold1046	-	10878	12802	45.509563	10.135372	23.138561
Lflavo2a001293	-	scaffold1046	+	17333	57875	1.168194	0.260167	0.593948
Lflavo2a001289	-	scaffold1046	+	71675	135130	2.068894	0.460761	1.051894
Lflavo2a001284	-	scaffold1046	+	135717	143332	16.192720	3.606259	8.232912
Lflavo2a001283	-	scaffold1046	+	143400	143972	25.291449	5.632624	12.859005
Lflavo2a001290	-	scaffold1046	+	145274	155907	71.301102	15.879372	36.251831
Lflavo2a001288	-	scaffold1046	-	153296	162417	42.213516	12.003325	27.403004
Lflavo2a001292	-	scaffold1046	+	162552	170672	101.337891	23.221886	53.014427
Lflavo2a001294	-	scaffold1046	+	175238	175711	0.000000	0.000000	0.000000
Lflavo2a001286	-	scaffold1046	-	181250	181798	2.391621	0.532635	1.215979
Lflavo2a009710	-	scaffold1056	-	4621	8033	3.241324	0.734997	1.677961
Lflavo2a009715	-	scaffold1056	-	8487	24089	44.451981	10.805395	24.668188
Lflavo2a009727	-	scaffold1056	+	25680	26135	71.771927	15.984229	36.491211
Lflavo2a009719	-	scaffold1056	+	26623	31659	93.738365	20.876345	47.659672
Lflavo2a009695	-	scaffold1056	-	31033	35080	39.334663	8.760169	19.999039
Lflavo2a009704	-	scaffold1056	+	35642	36849	113.036713	25.174252	57.471588
