Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a002763	-	C2532838	-	277	468	1.020833	0.215507	0.502052
Lflavo2a011143	-	C2532896	-	14	406	4.086514	0.862701	2.009774
Lflavo2a012446	-	C2532978	+	16	505	136.533920	28.823587	67.148262
Lflavo2a013879	-	C2533306	-	12	494	47.990715	10.301546	23.998777
Lflavo2a013569	-	C2533474	-	2	500	42.530060	8.978494	20.916557
Lflavo2a000748	-	C2533820	+	4	535	125.442673	26.482122	61.693516
Lflavo2a001212	-	C2533924	+	145	391	4.068826	0.858967	2.001075
Lflavo2a000186	-	C2534132	-	5	562	193.811447	40.915409	95.317719
Lflavo2a007945	-	C2534852	-	3	582	234.175858	49.436714	115.169197
Lflavo2a007773	-	C2534930	-	30	254	46.751110	9.869596	22.992498
Lflavo2a004339	-	C2534980	+	13	561	15.482696	3.268542	7.614490
Lflavo2a007481	-	C2535116	-	134	427	1.585034	0.334615	0.779530
Lflavo2a012238	-	C2535124	-	184	565	0.513089	0.108318	0.252340
Lflavo2a003508	-	C2535130	+	267	527	62.732143	13.243343	30.852074
Lflavo2a004988	-	C2535370	+	28	225	2.520202	0.532038	1.239452
Lflavo2a002492	-	C2535872	+	45	404	0.980556	0.207005	0.482244
Lflavo2a001247	-	C2536414	-	51	627	750.948425	158.532242	369.321289
Lflavo2a008415	-	C2536812	-	3	635	118.816628	25.083303	58.434784
Lflavo2a002493	-	C2537078	+	1	647	102.744392	21.690304	50.530354
Lflavo2a009812	-	C2539016	-	18	378	6.325503	1.335373	3.110923
Lflavo2a012382	-	C2539054	+	4	708	83.404259	17.607420	41.018753
Lflavo2a011593	-	C2539554	+	4	731	60.216984	14.278728	33.264137
Lflavo2a006731	-	C2539584	+	12	732	318.831635	67.308342	156.803467
Lflavo2a006548	-	C2541210	+	14	784	76.179596	17.268202	40.228500
Lflavo2a012920	-	C2541380	+	11	788	162.357269	34.275139	79.848351
Lflavo2a003511	-	C2541782	+	11	813	263.208801	57.702126	134.424530
Lflavo2a009905	-	C2541966	-	169	795	2.810861	0.593399	1.382400
Lflavo2a008184	-	C2542720	-	306	695	0.000000	0.000000	0.000000
Lflavo2a011054	-	C2543650	-	376	873	146.041763	30.830784	71.824280
Lflavo2a003899	-	C2544558	+	22	910	51.559055	10.884600	25.357077
Lflavo2a000727	-	C2545164	+	19	176	5.797468	1.223900	2.851232
Lflavo2a004695	-	C2545322	+	4	957	74.813583	17.281038	40.258404
Lflavo2a006702	-	C2545864	+	4	978	214.797180	45.345695	105.638641
Lflavo2a010369	-	C2549374	+	63	982	338.150665	71.386772	166.304672
Lflavo2a008747	-	C2550876	+	667	1212	60.122448	12.692411	29.568607
Lflavo2a001735	-	C2552312	-	42	1278	2.658852	0.561309	1.307641
