Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	14.791042	12.362515	26.172306
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	9.683826	34.645687	73.347328
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	151.536346	149.227036	315.924011
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	9.295387	13.483047	28.544552
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	8.466948	31.615934	66.933128
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	14.716989	12.300621	26.041271
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	58.949265	51.733196	109.522774
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	137.788956	115.200043	243.886490
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	95.857254	80.118546	169.616547
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	13.242787	11.068468	23.432716
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	38.086571	31.833174	67.393051
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	509.110260	425.519958	900.855408
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	15.364161	12.841535	27.186422
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	42.782150	36.229385	76.700127
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	146.056641	136.480194	288.938080
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	316.317352	268.395874	568.212769
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	114.747955	95.907608	203.043076
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	572.780945	478.736633	1013.518738
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	19.564537	16.352257	34.618866
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	15.656993	13.086287	27.704580
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	377.257935	321.548096	680.739746
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	35.771759	29.898432	63.297058
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	5.059204	4.228539	8.952110
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	11.522071	27.779312	58.810734
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	20.710218	17.309828	36.646111
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	242.529327	202.708679	429.148376
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	50.318974	42.579861	90.144531
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.102378	1.757191	3.720095
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	5.096463	4.259680	9.018039
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	2.409098	2.013551	4.262827
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.645126	1.375014	2.911001
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.177611	0.148449	0.314277
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	31.653152	26.456053	56.009304
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	108.787331	90.925644	192.495926
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	3.512206	2.935540	6.214744
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	10.741939	8.993225	19.039282
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	17.354601	17.005079	36.000938
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	32.433739	27.108475	57.390530
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	14.008379	13.522034	28.627087
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.271472	1.152146	2.439174
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	340.608215	284.684113	602.696045
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.395554	0.330608	0.699921
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.133363	0.947277	2.005452
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	44.696602	37.357910	79.089294
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	22.004591	18.511850	39.190876
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	20.851227	17.427685	36.895622
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	11.698272	9.777545	20.699743
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	18.185923	15.199994	32.179443
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	9.318076	7.788151	16.488056
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	19.525724	16.319815	34.550186
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	26.046682	21.770105	46.088825
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	32.549164	27.570053	58.367718
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	167.612198	140.092117	296.584747
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	29.696308	24.820501	52.546730
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	6.487504	5.422327	11.479445
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	49.912365	41.717304	88.318436
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	273.166656	228.315704	483.360229
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	440.667419	368.314667	779.747803
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	8.963405	7.663630	16.224440
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	12.886960	10.771063	22.803091
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	81.706680	68.344170	144.689362
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	20.586367	17.206312	36.426960
