Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	14.037334	11.392114	24.878025
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	14.228972	52.978615	115.694351
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	232.794937	220.357971	481.216278
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	6.776329	9.285459	20.277523
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	12.335985	43.639889	95.300507
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	16.259563	13.122248	28.656279
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	53.983685	45.751205	99.911194
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	149.924667	121.022743	264.288696
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	93.530212	75.483368	164.840103
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	10.618093	8.569310	18.713604
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	48.917633	39.478878	86.213715
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	521.303284	420.716766	918.758545
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	10.948068	8.835615	19.295160
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	41.402943	33.889702	74.008110
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	153.153946	137.443573	300.148376
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	356.037445	290.679779	634.784607
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	110.364159	89.069168	194.508682
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	536.483948	432.968292	945.513306
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	17.039114	13.751383	30.030180
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	20.041128	16.174152	35.321007
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	396.155792	327.664673	715.551941
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	21.134123	17.056252	37.247330
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	5.827457	4.703037	10.270463
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	6.144165	14.125098	30.846300
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	21.951637	17.716024	38.688141
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	220.791351	178.189224	389.128448
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.505983	0.408353	0.891758
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	59.988029	49.059113	107.134964
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	1.734287	1.399653	3.056553
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	7.351538	5.933044	12.956543
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	0.000000	0.000000	0.000000
