Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	44.538521	26.074705	56.246296
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.862075	26.742674	57.687183
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	332.299774	229.365967	494.770203
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	8.222988	8.588250	18.525896
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	11.186958	27.295576	58.879864
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	26.359524	15.431963	33.288616
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	66.697975	40.998413	88.438545
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	230.226440	134.832733	290.850525
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	144.293427	84.475388	182.223633
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	13.894139	8.134208	17.546471
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	76.411835	44.734673	96.498100
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	785.631958	459.941681	992.149902
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	18.514450	10.839130	23.381317
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	57.521317	34.120636	73.602341
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	197.250122	128.419769	277.016998
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	455.945190	269.848328	582.095520
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	190.890747	111.755402	241.069931
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	881.867859	516.282227	1113.683228
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	22.802477	13.349521	28.796530
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	15.108392	8.845082	19.079914
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	468.121704	281.240326	606.669434
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	32.993095	19.315533	41.665943
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	4.529696	2.657926	5.733469
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	9.508277	15.437028	33.299538
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	33.553238	19.643463	42.373329
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	271.806854	159.127060	343.256317
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	69.329948	41.151581	88.768944
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.754921	2.198287	4.741972
