Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	22.202414	20.372604	46.293304
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	6.906900	27.217852	61.847973
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	173.773315	184.808762	419.946686
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	23.700869	37.030266	84.145020
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	7.338896	27.851852	63.288628
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	18.106470	16.614229	37.753025
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	45.090733	43.464134	98.764908
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	119.145432	109.362427	248.507645
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	91.687309	84.130913	191.173294
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	12.105952	11.108242	25.241602
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	37.274940	34.202930	77.720383
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	343.726715	315.398529	716.689880
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	18.078999	16.589020	37.695744
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	39.041229	36.373554	82.652763
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	134.358002	135.953949	308.932343
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	295.114532	274.347992	623.409424
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	89.457039	82.084450	186.523041
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	432.800598	397.131409	902.414062
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	12.486962	11.457851	26.036030
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	7.166433	6.575812	14.942423
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	320.301971	301.924927	686.073364
