Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Polyb2a001694	-	C2970450	+	1	510	41.886280	14.553741	29.663303
Polyb2a008875	-	C2971162	+	41	299	55.169884	19.169239	39.070576
Polyb2a008874	-	C2973278	-	6	437	0.969907	0.337002	0.686875
Polyb2a003339	-	C2973406	-	93	351	0.949807	0.330018	0.672641
Polyb2a010027	-	C2974132	-	58	330	6.113553	2.124205	4.329536
Polyb2a001150	-	C2975858	+	1	587	231.063995	80.285126	163.636444
Polyb2a010877	-	C2976768	+	9	601	1.160622	0.403268	0.821937
Polyb2a000568	-	C2977576	-	12	224	1.845070	0.641085	1.306654
Polyb2a002703	-	C2978500	+	1	622	70.583603	24.524864	49.986362
Polyb2a010407	-	C2979004	+	102	639	16.578068	5.760189	11.740366
Polyb2a012176	-	C2979018	-	29	546	1.758621	0.611048	1.245432
Polyb2a001693	-	C2979430	+	79	638	3.604336	1.252357	2.552543
Polyb2a010823	-	C2980230	-	82	654	32.203930	11.189526	22.806393
Polyb2a010299	-	C2981076	-	1	677	18805.710938	6534.202148	13317.953125
Polyb2a002157	-	C2981500	+	141	674	1739.224243	604.308044	1231.695312
Polyb2a005639	-	C2982044	-	49	614	29.695742	10.318035	21.030128
Polyb2a005047	-	C2982162	+	1	698	174.493546	60.629250	123.574005
Polyb2a010695	-	C2982870	-	194	547	21.805084	7.576360	15.442069
Polyb2a005359	-	C2983700	+	308	490	0.792350	0.275309	0.561132
Polyb2a000140	-	C2984316	-	23	740	1.700557	0.590873	1.204312
Polyb2a003742	-	C2985452	+	37	711	3.051852	1.060392	2.161281
Polyb2a009756	-	C2986562	+	21	695	9.269629	3.220810	6.564628
Polyb2a006793	-	C2987678	-	82	757	0.800000	0.277967	0.566549
Polyb2a008157	-	C2988006	+	100	350	47.521740	16.511827	33.654263
Polyb2a000326	-	C2989600	-	1	851	46.103176	16.018934	32.649654
Polyb2a009115	-	C2989842	+	1	857	242.370712	84.213737	171.643707
Polyb2a011638	-	C2990510	+	103	531	0.340326	0.118249	0.241014
Polyb2a007845	-	C2993896	-	289	956	3.320574	1.153761	2.351586
Polyb2a011890	-	C2996664	-	5	934	15.308744	5.319152	10.841448
Polyb2a010516	-	C2997044	-	599	1040	22.133484	7.690464	15.674638
Polyb2a012160	-	C2999742	+	1	1116	20.147959	7.000577	14.268515
Polyb2a001966	-	C3002576	-	1	1169	898.954895	312.349426	636.627869
Polyb2a008194	-	C3003922	-	45	1236	24.882549	8.645650	17.621490
Polyb2a008873	-	C3006760	+	174	581	1.299020	0.451355	0.919949
Polyb2a008444	-	C3007846	-	852	1229	39.455025	13.708979	27.941521
Polyb2a010010	-	C3009468	+	1	1420	64.179581	22.299734	45.451122
Polyb2a000002	-	C3010104	-	1	1440	96.223862	33.433788	68.144455
Polyb2a006361	-	C3011168	+	1	1481	15.413640	5.355598	10.915734
Polyb2a007948	-	C3014528	+	1	1604	70.457047	24.480892	49.896740
Polyb2a000670	-	C3015478	+	1	1643	115.426048	41.020443	83.607498
Polyb2a006539	-	C3018894	-	1	1768	72.722145	27.226685	55.493187
Polyb2a008572	-	C3019342	-	979	1778	76.493668	26.578367	54.171791
Polyb2a001389	-	C3019584	-	62	1816	156.130478	54.248844	110.569519
Polyb2a006287	-	C3020988	-	12	1313	24.283186	8.437396	17.197027
Polyb2a011278	-	C3022120	+	1174	1567	0.477157	0.165792	0.337916
Polyb2a003340	-	C3023530	-	1	509	5.000000	1.737292	3.540933
Polyb2a004917	-	C3023626	+	32	1998	93.378502	32.445145	66.129410
Polyb2a003768	-	C3024918	-	24	2003	0.771382	0.268023	0.546282
Polyb2a011194	-	C3027396	+	1182	1862	1.210683	0.420662	0.857390
Polyb2a000004	-	C3031940	-	54	857	977.666687	339.698486	692.370483
Polyb2a000005	-	C3031940	-	966	2424	170.133087	59.114170	120.485977
Polyb2a008607	-	C3038046	-	1	1489	6.788490	2.543082	5.183288
Polyb2a002704	-	C3045280	-	935	3334	0.000000	0.000000	0.000000
Polyb2a001628	-	C3045934	+	1	3477	96.394722	33.590504	68.463867
Polyb2a001472	-	C3055174	+	470	2860	30.761719	13.302874	27.113798
Polyb2a001471	-	C3055174	+	3392	4449	17.145039	5.957188	12.141887
Polyb2a012175	-	C3055924	+	2599	2994	30.822115	10.709403	21.827810
Polyb2a010329	-	C3058218	+	2021	3643	39.171501	13.610467	27.740732
