Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	65.299149	25.601929	46.058517
Vvulg1g00011	-	Chr1	+	9331	16578	0.000000	0.000000	0.000000
Vvulg1g00021	-	Chr1	+	28529	35573	66.087219	25.910908	46.614380
Vvulg1g00020	-	Chr1	-	86243	95825	1158.925781	454.381653	817.444092
Vvulg1g00030	-	Chr1	-	124096	132467	1.339031	0.524996	0.944481
Vvulg1g00031	-	Chr1	+	135872	140157	1.074830	0.421410	0.758127
Vvulg1g00040	-	Chr1	-	180101	181581	32.978680	12.929997	23.261393
Vvulg1g00050	-	Chr1	-	183395	187559	40.146271	15.740205	28.317026
Vvulg1g00060	-	Chr1	+	188096	189550	9.456870	3.707768	6.670369
Vvulg1g00070	-	Chr1	+	191372	192836	4.280528	1.678273	3.019255
Vvulg1g00071	-	Chr1	-	194637	201889	0.000000	0.000000	0.000000
Vvulg1g00080	-	Chr1	-	209279	210694	16.428305	6.441068	11.587646
Vvulg1g00090	-	Chr1	+	211372	217972	7.825000	3.067959	5.519335
Vvulg1g00110	-	Chr1	-	226611	235178	129.432877	50.746929	91.295013
Vvulg1g00150	-	Chr1	-	258441	260480	166.822586	65.406364	117.667709
Vvulg1g00160	-	Chr1	+	262304	264844	69.953972	27.426950	49.341778
Arg_16	-	Chr1	-	265279	265351	11.219178	4.398719	7.913406
Vvulg1g00180	-	Chr1	-	271120	277393	88.280678	34.612328	62.268456
Vvulg1g00181	-	Chr1	+	277940	278539	0.975610	0.382509	0.688143
Vvulg1g00190	-	Chr1	+	279021	280813	137.093521	53.750450	96.698418
Vvulg1g00200	-	Chr1	-	281414	284018	33.656425	13.195723	23.739437
Vvulg1g00210	-	Chr1	-	286423	287028	2.036415	0.798420	1.436378
Vvulg1g00211	-	Chr1	-	287771	289242	99.417580	38.978790	70.123825
Vvulg1g00220	-	Chr1	+	289474	293930	49.063915	19.236557	34.607056
Vvulg1g00230	-	Chr1	-	296989	298425	195.625824	76.699295	137.983963
Vvulg1g00240	-	Chr1	-	299815	301192	323.581512	126.867058	228.237045
Vvulg1g00250	-	Chr1	+	301619	302264	153.065414	60.012569	107.964127
Vvulg1g00260	-	Chr1	-	303674	306288	88.409386	34.662792	62.359238
Vvulg1g00261	-	Chr1	-	306874	309332	3.382633	1.326234	2.385928
Vvulg1g00270	-	Chr1	-	309617	311977	49.197765	19.289036	34.701466
Vvulg1g00280	-	Chr1	-	315761	316213	27.270325	10.691915	19.235023
Vvulg1g00281	-	Chr1	-	316345	319151	5.570896	2.184189	3.929411
Vvulg1g00291	-	Chr1	-	320158	322471	6.311631	2.474610	4.451886
Vvulg1g00290	-	Chr1	-	326917	328813	0.618421	0.242465	0.436201
Vvulg1g00292	-	Chr1	-	339708	339983	0.800725	0.313941	0.564788
Vvulg1g00300	-	Chr1	-	346843	347073	0.212121	0.083167	0.149619
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
Vvulg1g00330	-	Chr1	+	393420	408893	0.937729	0.367657	0.661424
Vvulg1g00340	-	Chr1	+	412205	413598	0.000000	0.000000	0.000000
