Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Megalopta_genalis-longest-isoforms
OG0000000	XP_026298667.1, XP_026298668.1, XP_026298671.1, XP_026298672.1, XP_026298674.1, XP_026298675.1, XP_026298676.1, XP_026298677.1, XP_026298681.1, XP_026298682.1, XP_026298685.1, XP_026298687.1, XP_026298689.1, XP_026298690.1, XP_026298693.1, XP_026298694.1, XP_026298695.1, XP_026298703.1	Caust.v2_002929, Caust.v2_002933	XP_017881901.2, XP_026670716.1, XP_026670721.1, XP_026670725.1, XP_026670729.1, XP_026670733.1	FBgn0003429	XP_033324968.1, XP_033325029.1, XP_033325037.1, XP_033325046.1, XP_033325057.1, XP_033325084.1, XP_033325092.1, XP_033325119.1, XP_033325128.1, XP_033325133.1, XP_033325141.1, XP_033325148.1, XP_033325158.1, XP_033325166.1, XP_033325175.1, XP_033325182.1, XP_033325200.1, XP_033325208.1, XP_033325217.1, XP_033325224.1, XP_033325243.1, XP_033325253.1, XP_033325262.1, XP_033325271.1, XP_033325280.1, XP_033325288.1, XP_033325296.1, XP_033325304.1, XP_033325311.1, XP_033325318.1, XP_033325324.1, XP_033325331.1, XP_033325337.1, XP_033325348.1
OG0000001	NP_001229895.1, NP_001229900.1, NP_001229904.1, NP_001229907.1, NP_001229909.1, NP_001229911.1, XP_001121864.2, XP_003250726.1, XP_003250751.1, XP_003250754.2, XP_003250757.1, XP_003250765.1, XP_003250769.3, XP_006565947.2, XP_006565948.1, XP_006565953.2, XP_006572517.1, XP_016773529.1, XP_016773531.1, XP_016773539.1, XP_026294765.1, XP_026294766.1, XP_026302132.1, XP_026302133.1	Caust.v2_003725, Caust.v2_003728, Caust.v2_003729, Caust.v2_003730, Caust.v2_003731, Caust.v2_003732, Caust.v2_019721, Caust.v2_019722, Caust.v2_019730, Caust.v2_019731, Caust.v2_019732, Caust.v2_020786, Caust.v2_021945	XP_017878913.1, XP_017885095.1, XP_017885818.2, XP_026668773.1, XP_026668778.1, XP_026668785.1, XP_026668788.1, XP_026669562.1, XP_026669566.1		XP_033330629.1
OG0000002	XP_003250229.1, XP_003250567.1, XP_016768129.1, XP_016769477.1, XP_026297787.1, XP_026301320.1, XP_394219.3, XP_623443.2	Caust.v2_003441, Caust.v2_010248, Caust.v2_010578, Caust.v2_013023, Caust.v2_015069, Caust.v2_018266, Caust.v2_018268, Caust.v2_019251, Caust.v2_019430, Caust.v2_019510	XP_017877132.1, XP_017883553.1, XP_017887927.2, XP_026666941.1, XP_026673146.1, XP_026675083.1	FBgn0001112, FBgn0030586, FBgn0030587, FBgn0030588, FBgn0030589, FBgn0030590, FBgn0030592, FBgn0030593, FBgn0030594, FBgn0030596, FBgn0030597, FBgn0030598, FBgn0039415, FBgn0266435	XP_033322646.1, XP_033324107.1, XP_033324109.1, XP_033329032.1, XP_033329034.1, XP_033329050.1, XP_033329051.1
OG0000003				FBgn0033640, FBgn0034906, FBgn0035011, FBgn0035012, FBgn0035068, FBgn0039621, FBgn0053453, FBgn0053454, FBgn0053463, FBgn0053483, FBgn0053632, FBgn0053648, FBgn0053654, FBgn0053658, FBgn0053679, FBgn0053687, FBgn0053688, FBgn0053689, FBgn0053690, FBgn0053700, FBgn0053702, FBgn0053703, FBgn0053721, FBgn0053723, FBgn0053725, FBgn0053752, FBgn0053757, FBgn0053758, FBgn0053764, FBgn0053773, FBgn0053775, FBgn0053777, FBgn0053783, FBgn0053784, FBgn0053795, FBgn0053796, FBgn0053798, FBgn0053912, FBgn0053914, FBgn0053920, FBgn0053922, FBgn0053923, FBgn0053927, FBgn0053928, FBgn0085332	
OG0000004	NP_001257748.1, XP_026299664.1	Caust.v2_002623, Caust.v2_002624, Caust.v2_003346, Caust.v2_012096	XP_017879055.1, XP_017882360.1, XP_026670490.1	FBgn0000552, FBgn0004777, FBgn0004778, FBgn0004779, FBgn0004780, FBgn0004781, FBgn0004782, FBgn0004783, FBgn0005664, FBgn0028871, FBgn0029811, FBgn0031467, FBgn0032125, FBgn0033942, FBgn0035280, FBgn0035281, FBgn0035510, FBgn0035511, FBgn0035512, FBgn0035513, FBgn0035873, FBgn0035875, FBgn0036878, FBgn0036879, FBgn0036880, FBgn0036881, FBgn0038714, FBgn0051876, FBgn0052029, FBgn0053302, FBgn0085491, FBgn0250833	XP_033327378.1, XP_033329954.1, XP_033338642.1
OG0000005	XP_006567541.1, XP_006567544.1, XP_006567563.1, XP_006567564.1, XP_006567576.1, XP_006567579.1, XP_006567583.1, XP_006567590.1, XP_006567592.2, XP_006567595.1, XP_006567604.1, XP_006567613.1, XP_006567617.1, XP_006567624.1, XP_006567626.1, XP_016769354.1, XP_016769355.1, XP_016769356.1, XP_016769359.1, XP_016769360.1		XP_017887193.1, XP_017887195.1, XP_017887196.1, XP_017887197.1, XP_017887198.1, XP_017887199.1, XP_017887201.1, XP_017887202.1, XP_017887203.1, XP_017887207.1, XP_017887208.1, XP_017887209.1, XP_017887210.1, XP_017887211.1, XP_017887212.1, XP_017887214.1, XP_017887215.1, XP_017887216.1, XP_026672944.1, XP_026672945.1, XP_026672947.1, XP_026672950.1, XP_026672952.1, XP_026672953.1		
OG0000006	XP_006570899.1	Caust.v2_005916, Caust.v2_008070, Caust.v2_008076, Caust.v2_015877	XP_017884545.1, XP_017884546.1, XP_017887567.1, XP_017888231.1, XP_026671796.1, XP_026671798.1, XP_026671799.1	FBgn0004828, FBgn0014857, FBgn0051613, FBgn0053803, FBgn0053806, FBgn0053809, FBgn0053812, FBgn0053815, FBgn0053818, FBgn0053821, FBgn0053824, FBgn0053827, FBgn0053830, FBgn0053833, FBgn0053836, FBgn0053839, FBgn0053842, FBgn0053845, FBgn0053848, FBgn0053851, FBgn0053854, FBgn0053857, FBgn0053860, FBgn0053863, FBgn0053866	XP_033328623.1, XP_033328624.1, XP_033328768.1, XP_033328965.1, XP_033330795.1
OG0000007	XP_006560572.1, XP_006560575.1, XP_006560577.1, XP_006560582.1, XP_006560587.1, XP_006560588.1, XP_006560589.1, XP_006560590.1, XP_006560591.1, XP_006560593.1, XP_006560595.1, XP_006560596.1, XP_006560597.1, XP_006560598.1, XP_006560599.1, XP_006560600.1, XP_016767051.1, XP_016767053.1, XP_016767054.1, XP_016767055.1, XP_026295740.1, XP_026295745.1, XP_026295746.1, XP_026295747.1, XP_026295748.1	Caust.v2_014280	XP_017877717.1, XP_017877728.1, XP_017877733.1, XP_017877737.1, XP_017877742.1, XP_026668236.1, XP_026668237.1, XP_026668238.1, XP_026668239.1, XP_026668241.1, XP_026668245.1	FBgn0264607	XP_033336841.1, XP_033336842.1, XP_033336844.1
OG0000008	XP_394494.5	Caust.v2_011419, Caust.v2_022228	XP_017886557.1	FBgn0015663, FBgn0026314, FBgn0026315, FBgn0026754, FBgn0026755, FBgn0026756, FBgn0027070, FBgn0027073, FBgn0027074, FBgn0031887, FBgn0032684, FBgn0032713, FBgn0034605, FBgn0036842, FBgn0038082, FBgn0038083, FBgn0038886, FBgn0039085, FBgn0039086, FBgn0039087, FBgn0040091, FBgn0040250, FBgn0040251, FBgn0040252, FBgn0040253, FBgn0040255, FBgn0040256, FBgn0040257, FBgn0040259, FBgn0040260, FBgn0040261, FBgn0040262, FBgn0042179, FBgn0051002	XP_033326628.1, XP_033326629.1, XP_033326685.1
OG0000009				FBgn0028866, FBgn0031058, FBgn0032549, FBgn0032551, FBgn0033439, FBgn0034221, FBgn0036858, FBgn0039494, FBgn0039495, FBgn0050082, FBgn0050083, FBgn0050087, FBgn0050088, FBgn0050090, FBgn0050091, FBgn0050098, FBgn0050187, FBgn0050286, FBgn0050287, FBgn0050288, FBgn0050289, FBgn0050414, FBgn0053225, FBgn0053458, FBgn0053459, FBgn0053460, FBgn0053461, FBgn0053462, FBgn0053465, FBgn0069056, FBgn0085465, FBgn0085466, FBgn0260474, FBgn0260477, FBgn0261584, FBgn0262570, FBgn0262587, FBgn0262588, FBgn0263040, FBgn0263041, FBgn0263999	
