M_genalis	C_calcarata	Orthogroup	C_australensis	D_melanogaster	A_mellifera	C_calcarata_locusID	M_genalis_locusID
XP_033320847.1	XP_017888997.1	OG0003751	Caust.v2_005322	FBgn0052533	XP_006572303.1	LOC108630308	LOC117217383
XP_033320874.1	XP_026301731.1	OG0004014	Caust.v2_017036	FBgn0286506	XP_017885691.1	NA	LOC117217407
XP_033321091.1	XP_017891032.1	OG0003726	Caust.v2_014085	FBgn0051133	XP_006570730.1	LOC108631552	LOC117217530
XP_033321106.1	XP_017884053.1	OG0003481	Caust.v2_012131	FBgn0001291	XP_003251036.1	LOC108627361	LOC117217542
XP_033321111.1	XP_026297873.1	OG0003914	Caust.v2_005961	FBgn0035010	XP_017884086.1	NA	LOC117217545
XP_033321132.1	XP_026675157.1	OG0003622	Caust.v2_003426	FBgn0037105	XP_006562156.1	LOC108631999	LOC117217555
XP_033321179.1	XP_026675135.1	OG0003774	Caust.v2_003421	FBgn0030477	XP_016767801.2	LOC108631991	LOC117217589
XP_033321301.1	XP_026295008.1	OG0003848	Caust.v2_019918	FBgn0035704	XP_017885655.1	NA	LOC117217647
XP_033321346.1	XP_017879490.1	OG0003382	Caust.v2_004942	FBgn0010278	XP_001120264.1	LOC108624603	LOC117217674
XP_033321351.1	XP_026672444.1	OG0003617	Caust.v2_014523	FBgn0030403	XP_006561654.2	LOC108628648	LOC117217679
XP_033321504.1	XP_026675118.1	OG0003605	Caust.v2_008367	FBgn0010741	XP_006561235.1	LOC108631370	LOC117217777
XP_033321518.1	XP_026671392.1	OG0003473	Caust.v2_012700	FBgn0036781	XP_003250738.3	LOC108627428	LOC117217787
XP_033321590.1	XP_026670561.1	OG0003856	Caust.v2_001745	FBgn0260446	XP_026295462.1	LOC108626364	LOC117217876
XP_033321840.1	XP_017886315.1	OG0003757	Caust.v2_002682	FBgn0011207	XP_016766755.1	LOC108628728	LOC117217991
XP_033321902.1	XP_026669355.1	OG0003611	Caust.v2_016263	FBgn0032517	XP_006561386.2	LOC108625023	LOC117218012
XP_033321917.1	XP_017882349.1	OG0003592	Caust.v2_001788	FBgn0015521	XP_006560961.1	LOC108626269	LOC117218022
XP_033321918.1	XP_026669602.1	OG0003760	Caust.v2_000200	FBgn0028675	XP_016766885.2	LOC108625250	LOC117218023
XP_033322056.1	XP_017880940.1	OG0003478	Caust.v2_002072	FBgn0085397	XP_003250934.2	LOC108625420	LOC117218089
XP_033322058.1	XP_017880869.1	OG0003394	Caust.v2_002079	FBgn0267336	XP_001120785.2	LOC108625392	LOC117218090
XP_033322177.1	XP_017887339.1	OG0003484	Caust.v2_002110	FBgn0039359	XP_003251155.1	LOC108629276	LOC117218137
XP_033322287.1	XP_026301300.1	OG0004002	Caust.v2_010802	FBgn0033973	XP_017878116.1	NA	LOC117218192
XP_033322323.1	XP_026666578.1	OG0003349	Caust.v2_012091	FBgn0038201	NP_001157480.1	LOC108632925	LOC117218209
XP_033322372.1	XP_026301179.1	OG0003996	Caust.v2_002323	FBgn0250830	XP_017886351.1	NA	LOC117218229
XP_033322468.1	XP_017875868.1	OG0003416	Caust.v2_010999	FBgn0011232	XP_001121762.2	LOC108622472	LOC117218289
XP_033322475.1	XP_017879883.1	OG0003400	Caust.v2_018259	FBgn0259982	XP_001121086.2	LOC108624834	LOC117218297
XP_033322915.1	XP_026297808.1	OG0003912	Caust.v2_008101	FBgn0286809	XP_017889056.1	NA	LOC117218540
XP_033323031.1	XP_017877694.1	OG0003501	Caust.v2_015853	FBgn0052816	XP_003251792.1	LOC108623610	LOC117218612
XP_033323338.1	XP_026298474.1	OG0003927	Caust.v2_006583	FBgn0052685	XP_017881438.1	NA	LOC117218802
XP_033323570.1	XP_017892774.1	OG0003705	Caust.v2_011525	FBgn0003965	XP_006569049.1	LOC108632607	LOC117218932
