Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	11.695958	7.870049	16.423370
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.097896	29.388422	61.328339
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	208.476257	164.749649	343.802765
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	29.914755	33.501095	69.910744
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	13.046921	38.433258	80.203270
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	18.083916	12.168417	25.393290
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	77.859932	55.038994	114.856445
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	203.985214	137.294220	286.508240
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	134.739807	90.664551	189.200562
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	11.536430	7.762704	16.199362
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	40.259876	27.090313	56.532597
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	564.789856	380.039276	793.073364
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	18.947977	12.749832	26.606598
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	40.754845	27.806145	58.026402
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	188.984299	140.861099	293.951691
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	679.502441	463.385498	967.001892
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	147.420624	99.197304	207.006851
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	577.833435	388.816101	811.389038
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	22.025423	14.820602	30.927923
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	22.475531	15.123474	31.559959
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	680.285706	470.646667	982.154602
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	57.772186	38.874107	81.123245
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	8.795547	5.926576	12.367693
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	23.266607	46.381474	96.789764
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	31.561247	21.237127	44.318050
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	287.917725	193.735870	404.291779
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	51.467339	35.180077	73.414474
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.037980	1.371329	2.861715
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	7.390999	4.973301	10.378382
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	2.718026	1.828922	3.816630
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.391371	0.936234	1.953752
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	22.419014	15.085444	31.480600
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	98.507164	66.284111	138.322983
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	6.542607	4.402430	9.187077
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	19.007328	12.806392	26.724630
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	29.698530	24.054897	50.198231
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	43.485870	29.261042	61.062511
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	21.147312	16.574400	34.587780
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.051966	0.767425	1.601478
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	309.712585	208.401321	434.895905
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.381819	0.256921	0.536147
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.108304	0.072876	0.152080
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.316645	0.885952	1.848822
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	37.656460	25.338512	52.876900
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	22.183353	15.030838	31.366646
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	26.416967	17.775612	37.094494
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	9.942682	6.690294	13.961434
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	17.393759	11.704020	24.424175
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	20.775581	13.979602	29.172905
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	19.292797	12.981856	27.090792
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	26.673956	17.948538	37.455357
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	33.025112	22.504475	46.962776
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	299.102478	201.261917	419.997284
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	35.216328	23.696579	49.450485
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	7.276063	4.895962	10.216990
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	48.231693	32.454441	67.726555
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	414.703766	279.048431	582.323730
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	697.320068	469.217041	979.171265
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	10.761416	7.241209	15.111094
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	20.915207	14.073553	29.368965
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	72.047112	48.529202	101.271683
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	22.577778	15.192275	31.703535
