Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	34.215721	17.154802	38.916832
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	16.916193	33.631294	76.294876
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	380.342773	223.517609	507.064941
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	11.513338	10.822774	24.552200
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	12.626037	28.223213	64.026276
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	24.567257	12.263443	27.820454
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	76.157181	39.933773	90.592476
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	246.133728	122.902100	278.811768
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	166.738388	83.232193	188.817886
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	14.143032	7.059896	16.015852
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	80.922272	40.394646	91.638000
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	885.544922	442.044830	1002.808777
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	26.198458	13.077703	29.667658
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	60.581875	30.852240	69.990402
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	227.308472	129.514282	293.811951
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	506.515991	255.691986	580.054626
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	164.957443	82.343178	186.801102
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	955.031555	476.731079	1081.496826
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	20.827902	10.396837	23.585934
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	8.924476	4.454905	10.106256
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	337.135345	173.419296	393.413452
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	18.582840	9.276151	21.043581
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	4.945903	2.470891	5.605383
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	15.801996	22.440208	50.907139
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	32.497856	16.222227	36.801224
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	332.474487	165.964066	376.500793
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.253846	0.126714	0.287460
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	81.682579	41.229095	93.531006
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.543494	1.768835	4.012723
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	7.688245	3.837805	8.706323
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	7.687904	3.837635	8.705936
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.938882	0.967848	2.195629
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.220802	0.110220	0.250041
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	13.716216	6.846838	15.532517
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	32.300278	16.123600	36.577480
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	1.974666	0.985711	2.236151
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	17.200117	8.604129	19.519051
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	33.978920	20.250916	45.940578
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	35.437035	17.689402	40.129608
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	23.301535	13.526563	30.685928
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.578930	0.313310	0.710766
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	415.320587	207.319031	470.317352
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.611607	0.305301	0.692596
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.062969	0.031433	0.071307
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.554001	0.775724	1.759782
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	76.123230	37.999065	86.203476
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	35.659428	17.922777	40.659039
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	29.420757	14.719042	33.391148
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	16.532192	8.252512	18.721386
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	33.104912	16.525255	37.488667
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	17.244764	8.608212	19.528316
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	37.795605	18.866749	42.800499
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	32.373711	16.160255	36.660637
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	60.358948	30.553373	69.312408
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	305.251099	152.374741	345.672455
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	57.259491	28.582699	64.841797
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	13.109631	6.544044	14.845609
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	69.679474	34.782482	78.906433
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	369.562317	184.477509	418.499756
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	437.987793	218.634033	495.986176
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	19.082714	9.525677	21.609648
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	18.461998	9.215829	20.906736
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	113.849495	56.886822	129.051636
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	35.196465	17.569313	39.857182
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	111.935936	55.875996	126.758499
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	79.361534	39.615559	89.870590
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	72.611656	36.246166	82.226891
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	41.132076	20.532242	46.578785
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	17.829504	8.900103	20.190487
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	509.012054	254.087799	576.415466
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	16.095613	8.034582	18.226995
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	41.723164	20.827299	47.248146
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	34.175728	21.433878	48.624214
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.492334	0.245762	0.557529
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	5.606721	2.814275	6.384375
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	24.319946	12.139991	27.540394
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	213.258362	117.473152	266.495819
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	20.437366	10.201891	23.143682
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	1.208374	0.633463	1.437055
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	1.381213	6.061254	13.750367
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	1.082086	0.540154	1.225376
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	53.688698	27.142344	61.574253
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	71.742126	42.870758	97.255241
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	337.095520	172.284058	390.838135
