Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	59.307735	22.407095	47.658283
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	20.713877	34.469231	73.313591
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	451.804535	199.316498	423.931915
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	3.390674	2.624726	5.582605
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	17.534567	27.436260	58.354961
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	36.612095	13.761084	29.268839
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	118.563881	46.800800	99.541954
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	315.663666	118.668526	252.399460
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	234.647308	88.194923	187.584305
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	26.749634	10.054162	21.384483
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	123.416618	46.387573	98.663048
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1217.825562	457.733948	973.567322
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	53.273602	20.023504	42.588558
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	102.669014	39.140888	83.249863
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	327.157410	135.901672	289.053101
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	673.485718	255.740234	543.941162
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	246.909988	92.804001	197.387451
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1503.638794	565.160217	1202.055176
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	22.439375	8.434101	17.938728
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	40.641266	15.275494	32.489880
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	707.039124	274.158112	583.114685
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	51.729782	19.443241	41.354385
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	9.268399	3.483636	7.409444
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	12.872527	13.941275	29.652092
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	61.311050	23.044474	49.013947
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	535.751770	201.368546	428.296509
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	139.244415	53.187641	113.126305
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	5.913523	2.222667	4.727453
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	11.379905	4.277270	9.097447
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	11.379626	4.277165	9.097224
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	5.112535	1.921606	4.087118
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.347963	0.130786	0.278172
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	58.777107	22.092062	46.988232
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	207.757050	78.087914	166.087402
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	10.195763	3.832196	8.150807
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	21.249016	7.999228	17.013786
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	55.859257	24.593645	52.308918
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	59.875561	22.504929	47.866371
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	34.093781	15.139157	32.199905
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	3.598169	1.466231	3.118568
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	290.994446	109.373657	232.629929
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	1.683676	0.632829	1.345983
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	4.795855	1.802578	3.833954
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	130.182968	48.930790	104.072281
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	64.722160	24.486158	52.080303
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	61.068932	23.026674	48.976089
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	27.564468	10.360427	22.035887
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	55.763611	20.959404	44.579151
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	32.813053	12.333169	26.231768
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	62.737144	23.580488	50.154007
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	49.961178	18.778492	39.940506
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	91.766739	34.918224	74.268562
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	374.960510	140.933289	299.755005
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	76.249107	28.659115	60.955887
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	22.901033	8.607620	18.307793
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	90.246101	33.920052	72.145515
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	628.780579	236.334503	502.666626
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	1010.156677	379.679169	807.550415
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	32.098484	12.096418	25.728216
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	30.155865	11.334434	24.107529
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	151.545700	56.999084	121.232971
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	49.706322	18.682699	39.736767
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	160.919403	60.483437	128.643936
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	81.740173	30.723000	65.345619
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	155.017761	58.265232	123.925980
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	88.960258	33.436752	71.117569
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	34.603592	13.006165	27.663179
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	619.034546	232.671371	494.875336
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	30.997749	11.650866	24.780558
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	77.928459	29.290319	62.298412
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	49.512989	23.703939	50.416584
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	1.899489	0.713945	1.518510
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	6.799658	2.566443	5.458641
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	70.215477	26.391306	56.132420
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	302.558685	125.196312	266.283569
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	39.540512	14.861762	31.609905
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	4.008325	1.591012	3.383968
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	1.913365	6.220927	13.231465
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	1.599352	0.601135	1.278571
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	79.913872	30.519514	64.912819
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	69.592468	30.666258	65.224937
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	499.633179	192.640137	409.731781
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	6.000000	2.255170	4.796585
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	68.554756	25.767105	54.804790
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	53.130478	20.393862	43.376282
