Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	10.112518	9.668961	21.575163
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	6.841283	29.005896	64.723289
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	162.036392	182.436462	407.085754
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	14.199699	22.629324	50.494709
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	8.440285	35.337128	78.850700
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	12.912793	12.346409	27.549578
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	41.918427	42.091572	93.922455
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	107.226219	102.536758	228.798859
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	69.668427	66.612617	148.638306
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	8.511736	8.138391	18.159878
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	38.732018	37.033142	82.635155
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	412.652161	394.552307	880.397644
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	12.138728	11.606297	25.898102
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	45.338757	43.970486	98.115036
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	110.665474	128.760498	287.314117
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	264.240875	256.465332	572.272583
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	87.985268	84.126030	187.717468
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	437.187500	418.011475	932.744019
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	8.424380	8.054868	17.973501
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	7.451748	7.124897	15.898381
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	168.902374	167.424210	373.587708
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	15.456608	14.778646	32.976833
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	3.616731	3.458093	7.716333
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	7.884469	21.274418	47.471394
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	22.528015	21.539885	48.063755
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	151.982224	145.315948	324.255646
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	44.797565	43.509197	97.085716
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	0.000000	0.000000	0.000000
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	4.360980	4.169697	9.304196
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	2.399184	2.293950	5.118684
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	0.868314	0.830228	1.852557
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.319524	0.305509	0.681708
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	3.360360	3.212967	7.169363
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	25.964188	24.825340	55.394863
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	2.300323	2.199426	4.907763
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	9.455274	9.184749	20.494699
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	19.640360	22.374331	49.925724
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	25.218586	24.112442	53.804115
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	20.025434	22.244902	49.636917
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.922994	0.956780	2.134944
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	100.438835	96.033363	214.287292
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.626339	0.598866	1.336301
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.425885	1.363342	3.042140
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	50.705750	48.481678	108.181236
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	20.513329	19.761269	44.094975
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	18.851227	18.024370	40.219288
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	10.312583	9.860250	22.002003
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	18.655378	17.837111	39.801441
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	13.363299	12.777155	28.510736
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	24.905800	23.813375	53.136784
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	19.414005	18.562464	41.419983
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	25.514671	24.763317	55.256462
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	151.907364	145.244370	324.095917
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	27.007801	25.823177	57.621426
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	8.428552	8.058856	17.982403
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	39.827732	38.080795	84.972878
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	268.037048	256.280334	571.859863
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	205.221725	196.220230	437.842682
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	9.084275	8.685819	19.381395
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	11.468364	10.965335	24.467873
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	64.144691	61.379723	136.961716
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	18.419191	17.611284	39.297539
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	48.587891	46.456715	103.662773
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	33.329914	31.867989	71.109718
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	48.723671	46.586540	103.952461
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	30.972322	29.613806	66.079773
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	17.063875	16.315414	36.405956
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	219.901718	210.256332	469.162567
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	10.978627	10.497080	23.423014
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	40.271187	38.504803	85.918999
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	15.969799	19.039507	42.484451
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.000000	0.000000	0.000000
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	4.631961	4.451155	9.932236
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	14.951949	14.296123	31.900139
