Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	18.977221	18.832281	42.563755
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	8.334100	36.232838	81.891594
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	191.674820	222.693481	503.320374
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	7.019669	12.240108	27.664463
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	6.656070	28.364344	64.107635
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	12.200329	12.052651	27.240782
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	38.178673	39.609756	89.523933
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	122.175156	120.725868	272.858429
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	80.332848	79.360466	179.366440
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	7.558680	7.467186	16.876951
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	41.155453	40.657288	91.891518
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	445.974884	440.576599	995.768616
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	14.248555	14.076085	31.814043
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	31.083523	31.346338	70.847389
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	113.262871	127.261513	287.629944
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	244.127289	243.837967	551.110046
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	84.373978	83.352676	188.389435
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	463.517853	457.907227	1034.938477
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	11.059974	10.926100	24.694609
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	3.991193	3.942882	8.911499
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	161.198929	163.671585	369.922119
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	7.437870	7.347839	16.607208
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	2.286013	2.258342	5.104189
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	8.201151	23.218231	52.476658
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	16.077614	15.883003	35.897949
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	173.667831	171.565674	387.763916
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	39.785408	39.714413	89.760475
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	0.000000	0.000000	0.000000
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	4.001470	3.953035	8.934445
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	4.435847	4.382153	9.904319
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.162079	1.148013	2.594679
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	7.585586	7.493767	16.937027
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	15.667768	15.478118	34.982849
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	1.066790	1.053877	2.381919
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	10.357571	10.395411	23.495173
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	20.451895	24.540207	55.464516
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	16.804445	16.601036	37.520813
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	10.541779	12.190744	27.552896
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.278539	0.298325	0.674258
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	215.636124	213.025970	481.470367
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.178292	0.176134	0.398089
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	0.609095	0.601722	1.359982
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	36.854370	36.408268	82.288101
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	18.130768	18.028355	40.746758
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	14.246079	14.095745	31.858479
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	8.699788	8.594482	19.424807
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	19.420982	19.185904	43.362991
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	8.706362	8.600976	19.439486
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	20.324135	20.078123	45.379539
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	17.780344	17.565125	39.699787
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	31.958344	32.036510	72.407280
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	152.123047	150.281677	339.658936
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	27.722830	27.387260	61.899281
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	7.310563	7.222073	16.322958
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	30.578632	30.208496	68.275688
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	183.033401	180.817886	408.675323
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	215.789734	213.177719	481.813324
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	10.885748	10.753982	24.305599
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	9.865355	9.745939	22.027275
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	55.644966	55.035599	124.388641
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	19.809595	19.569811	44.230682
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	64.875000	64.089722	144.852310
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	34.185471	33.771675	76.329010
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	36.025429	35.589363	80.437248
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	20.768091	20.516706	46.370804
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	6.127486	6.053317	13.681395
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	242.756897	239.818466	542.025391
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	7.834646	7.739812	17.493126
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	18.359699	18.137466	40.993370
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	17.911072	22.397476	50.621628
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.000000	0.000000	0.000000
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	3.153101	3.134125	7.083589
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	12.874496	12.718657	28.746058
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	109.671944	119.774368	270.707886
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	10.472441	10.345677	23.382771
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	0.698545	0.724718	1.637971
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	0.722795	6.257588	14.143080
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	0.000000	0.000000	0.000000
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	24.929941	24.889164	56.253212
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	37.859917	44.449642	100.462807
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	163.504089	166.399994	376.088745
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	0.000000	0.000000	0.000000
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	19.532549	19.296118	43.612095
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	16.936007	16.927273	38.258152
gene-LOC107073176	LOC107073176	NW_015148970.1	-	1603907	1604848	0.000000	0.000000	0.000000
gene-LOC107073803	LOC107073803	NW_015148970.1	-	1605163	1632743	1.911341	2.694872	6.090812
gene-LOC107073655	LOC107073655	NW_015148970.1	+	1608459	1625420	47.446392	46.872082	105.937866
gene-LOC107073220	LOC107073220	NW_015148970.1	+	1629626	1744374	1.722736	19.281645	43.579384
gene-LOC107073721	LOC107073721	NW_015148970.1	-	1719648	1723451	11.206772	12.124686	27.403593
gene-LOC107064825	LOC107064825	NW_015148970.1	+	1747536	1749850	15.568881	15.380428	34.762054
gene-LOC107064841	LOC107064841	NW_015148970.1	+	1749974	1805148	25.704117	25.392982	57.391914
gene-LOC107065410	LOC107065410	NW_015148970.1	+	1830908	1937104	0.139784	3.035159	6.859910
