Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	15.233210	14.987900	35.164730
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	12.764524	53.671906	125.925453
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	167.496170	190.727554	447.486481
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	22.709698	36.404140	85.411682
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	6.965073	30.011530	70.413284
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	13.351295	13.000180	30.501127
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	44.211502	45.209606	106.071129
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	95.312920	92.827682	217.793030
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	76.543808	74.530853	174.864868
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	6.815648	6.636409	15.570395
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	40.593967	39.526424	92.737206
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	417.502930	406.523376	953.788391
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	10.202312	9.934011	23.307253
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	34.701580	34.222206	80.292404
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	120.051239	130.634018	306.494568
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	181.581055	179.109589	420.228333
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	85.885841	83.627197	196.206802
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	436.459534	424.981476	997.094788
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	8.456324	8.233938	19.318531
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	3.107692	3.025965	7.099544
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	159.075378	159.799942	374.923889
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	10.045365	9.781191	22.948706
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	1.024626	0.997680	2.340765
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	7.883834	24.487642	57.453098
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	15.413417	15.008073	35.212059
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	213.105179	207.500916	486.840271
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	48.991901	48.331905	113.396690
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.248431	2.189301	5.136556
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	2.210668	2.152532	5.050286
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	4.134110	4.025391	9.444403
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.601353	1.559240	3.658302
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.595421	0.586442	1.375915
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	2.986504	2.907965	6.822689
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	12.764370	12.428691	29.160292
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	1.761401	1.715080	4.023933
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	7.672068	7.479600	17.548698
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	19.324142	22.321257	52.370308
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	26.101414	25.414995	59.628860
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	13.807016	15.774961	37.011337
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.085482	0.090238	0.211717
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	87.548332	85.245972	200.004791
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.667152	0.649607	1.524113
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.876271	1.826928	4.286354
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	53.690067	52.278118	122.655334
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	20.303032	19.863850	46.604725
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	20.028749	19.502031	45.755817
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	10.433984	10.159589	23.836510
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	18.879814	18.383310	43.131065
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	10.486616	10.210837	23.956747
