Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	52.589745	18.569643	36.788002
Vvulg1g00011	-	Chr1	+	9331	16578	0.000000	0.000000	0.000000
Vvulg1g00021	-	Chr1	+	28529	35573	55.045769	19.436872	38.506062
Vvulg1g00020	-	Chr1	-	86243	95825	844.893555	298.335205	591.026794
Vvulg1g00030	-	Chr1	-	124096	132467	0.000000	0.000000	0.000000
Vvulg1g00031	-	Chr1	+	135872	140157	0.000000	0.000000	0.000000
Vvulg1g00040	-	Chr1	-	180101	181581	34.410805	12.150588	24.071323
Vvulg1g00050	-	Chr1	-	183395	187559	36.228016	12.792252	25.342514
Vvulg1g00060	-	Chr1	+	188096	189550	6.377341	2.251864	4.461129
Vvulg1g00070	-	Chr1	+	191372	192836	4.323432	1.526621	3.024362
Vvulg1g00071	-	Chr1	-	194637	201889	0.471154	0.166366	0.329585
Vvulg1g00080	-	Chr1	-	209279	210694	5.943306	2.098604	4.157509
Vvulg1g00090	-	Chr1	+	211372	217972	12.077778	4.264710	8.448745
Vvulg1g00110	-	Chr1	-	226611	235178	146.089127	51.584637	102.193443
Vvulg1g00150	-	Chr1	-	258441	260480	139.525543	49.267006	97.602028
Vvulg1g00160	-	Chr1	+	262304	264844	70.434837	24.870815	49.271149
Arg_16	-	Chr1	-	265279	265351	5.260274	1.857423	3.679709
Vvulg1g00180	-	Chr1	-	271120	277393	56.844391	20.071974	39.764248
Vvulg1g00181	-	Chr1	+	277940	278539	0.000000	0.000000	0.000000
Vvulg1g00190	-	Chr1	+	279021	280813	121.894249	43.041332	85.268448
Vvulg1g00200	-	Chr1	-	281414	284018	26.022701	9.188717	18.203611
Vvulg1g00210	-	Chr1	-	286423	287028	2.753501	0.972272	1.926151
Vvulg1g00211	-	Chr1	-	287771	289242	86.685913	30.609129	60.639229
Vvulg1g00220	-	Chr1	+	289474	293930	58.152863	20.534000	40.679562
Vvulg1g00230	-	Chr1	-	296989	298425	174.303925	61.547390	121.930481
Vvulg1g00240	-	Chr1	-	299815	301192	288.505432	101.872383	201.817657
Vvulg1g00250	-	Chr1	+	301619	302264	109.395638	38.628025	76.525322
Vvulg1g00260	-	Chr1	-	303674	306288	95.164513	33.602959	66.570244
Vvulg1g00261	-	Chr1	-	306874	309332	2.170448	0.766394	1.518289
Vvulg1g00270	-	Chr1	-	309617	311977	48.542976	17.140713	33.957172
Vvulg1g00280	-	Chr1	-	315761	316213	18.459349	6.518067	12.912832
Vvulg1g00281	-	Chr1	-	316345	319151	4.423120	1.561821	3.094097
Vvulg1g00291	-	Chr1	-	320158	322471	4.902059	1.730936	3.429128
Vvulg1g00290	-	Chr1	-	326917	328813	0.690789	0.243920	0.483226
Vvulg1g00292	-	Chr1	-	339708	339983	0.434783	0.153524	0.304143
Vvulg1g00300	-	Chr1	-	346843	347073	0.047619	0.016814	0.033311
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
Vvulg1g00330	-	Chr1	+	393420	408893	0.000000	0.000000	0.000000
Vvulg1g00340	-	Chr1	+	412205	413598	0.000000	0.000000	0.000000
Vvulg1g00360	-	Chr1	-	449572	450258	2.226121	0.786052	1.557234
Vvulg1g00370	-	Chr1	+	467086	469080	137.864365	48.680439	96.439995
Vvulg1g00380	-	Chr1	-	473692	474445	56.776455	20.047985	39.716724
Vvulg1g00390	-	Chr1	-	474516	493213	44.529182	15.723426	31.149414
Vvulg1g00400	-	Chr1	+	494756	495067	0.000000	0.000000	0.000000
Vvulg1g00401	-	Chr1	+	508527	508879	0.000000	0.000000	0.000000
Vvulg1g00410	-	Chr1	+	511192	511515	0.000000	0.000000	0.000000
Vvulg1g00420	-	Chr1	-	520783	522506	15.840109	5.593204	11.080601
Vvulg1g00421	-	Chr1	-	529683	534256	0.000000	0.000000	0.000000
Vvulg1g00430	-	Chr1	-	539556	539774	0.136986	0.048370	0.095826
Vvulg1g00440	-	Chr1	+	543285	543695	0.377129	0.133166	0.263812
Vvulg1g00450	-	Chr1	-	544709	573728	0.000000	0.000000	0.000000
Vvulg1g00460	-	Chr1	-	611377	614369	1.680272	0.593311	1.175397
Vvulg1g00480	-	Chr1	+	623617	624339	605.417542	213.775284	423.506561
Vvulg1g00490	-	Chr1	+	641206	652540	399.430542	141.040466	279.412872
Vvulg1g00500	-	Chr1	+	656716	661431	154.201096	54.449005	107.867989
Vvulg1g00510	-	Chr1	-	661604	665757	128.868561	45.503986	90.147171
Vvulg1g00520	-	Chr1	-	666139	666688	182.405350	64.408035	127.597656
