Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Metap3a004552	-	C12214787	-	50	379	0.239394	3.689014	6.277204
Metap3a000367	-	C12230207	+	150	427	0.935252	14.412050	24.523453
Metap3a012487	-	C12236417	-	1	492	0.552846	8.519249	14.496299
Metap3a008872	-	C12241131	-	86	460	0.298667	4.602400	7.831415
Metap3a012344	-	C12241379	+	1	452	5.654867	87.140388	148.277542
Metap3a011037	-	C12242411	+	1	558	1.598566	24.633589	41.916359
Metap3a010421	-	C12244493	-	1	502	0.513944	7.919775	13.476240
Metap3a011529	-	C12248447	-	283	523	0.041494	0.639414	1.088024
Metap3a007568	-	C12248823	+	112	572	0.429501	6.618526	11.262042
Metap3a008580	-	C12251337	-	1	577	0.353659	5.449816	9.273372
Metap3a004334	-	C12253679	+	1	582	0.740550	11.411730	19.418127
Metap3a009886	-	C12254347	+	37	520	0.723140	11.143446	18.961617
Metap3a006450	-	C12256293	-	182	544	0.000000	0.000000	0.000000
Metap3a005419	-	C12259961	-	1	596	0.000000	0.000000	0.000000
Metap3a007880	-	C12262651	+	20	528	0.000000	0.000000	0.000000
Metap3a004551	-	C12263879	+	1	605	9.618181	148.214279	252.200485
Metap3a005521	-	C12266247	-	160	611	0.000000	0.000000	0.000000
Metap3a005511	-	C12270095	+	1	621	10.531401	162.286819	276.146240
Metap3a009860	-	C12274079	-	120	446	0.241590	3.722854	6.334785
Metap3a002078	-	C12274135	+	1	631	0.218700	3.370124	5.734582
Metap3a012096	-	C12277459	-	193	502	27.400000	422.228607	718.461548
Metap3a009589	-	C12281611	+	47	643	0.309883	4.775236	8.125512
Metap3a006203	-	C12288815	+	98	627	0.000000	0.000000	0.000000
Metap3a012461	-	C12305403	-	86	619	0.367041	5.656030	9.624265
Metap3a009223	-	C12308891	+	1	736	3.220109	49.621250	84.435204
Metap3a002732	-	C12336109	+	1	843	1.469880	22.650560	38.542053
Metap3a002028	-	C12342713	-	27	550	0.838440	12.920196	21.984924
Metap3a006474	-	C12345639	-	1	891	12.535353	193.167313	328.692322
Metap3a008910	-	C12352943	-	1	933	0.107181	1.651638	2.810417
Metap3a012738	-	C12363777	-	61	676	22.312500	343.831238	585.061096
Metap3a001212	-	C12364357	-	34	885	0.000000	0.000000	0.000000
Metap3a002103	-	C12364737	-	509	668	1.106250	17.047094	29.007229
Metap3a006416	-	C12365841	+	21	943	0.000000	0.000000	0.000000
Metap3a002698	-	C12374057	-	438	731	6.891157	106.191376	180.694580
Metap3a003646	-	C12377225	+	1	1049	0.000000	0.000000	0.000000
Metap3a007553	-	C12393413	-	1	1110	0.000000	0.000000	0.000000
Metap3a007097	-	C12394125	-	17	1164	0.000000	0.000000	0.000000
Metap3a003122	-	C12403847	-	29	955	0.060410	0.930906	1.584024
Metap3a009653	-	C12406589	-	42	1046	4.744278	73.108391	124.400780
Metap3a009623	-	C12410101	-	109	1140	2.019280	31.116709	52.947994
Metap3a007879	-	C12411345	+	1	1585	0.000000	0.000000	0.000000
Metap3a004620	-	C12416121	+	1	1698	0.000000	0.000000	0.000000
Metap3a008581	-	C12426519	-	557	1010	2.442731	37.642006	64.051399
Metap3a000285	-	C12428437	-	19	1760	0.000000	0.000000	0.000000
Metap3a010297	-	C12430863	+	1103	2268	0.259005	3.991216	6.791429
Metap3a011313	-	scaffold1	-	1627	3506	0.000000	0.000000	0.000000
Metap3a011314	-	scaffold1	+	23627	24862	0.000000	0.000000	0.000000
Metap3a011303	-	scaffold1	-	31626	36333	0.000000	0.000000	0.000000
Metap3a011310	-	scaffold1	-	36630	71615	0.504808	7.778992	13.236684
Metap3a011297	-	scaffold1	+	63773	66368	10.869495	167.496796	285.011475
Metap3a011285	-	scaffold1	-	89792	129206	0.866542	13.353241	22.721792
Metap3a011306	-	scaffold1	-	171183	187615	0.000000	0.000000	0.000000
