Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	23.455008	27.175720	58.452255
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	5.319327	25.532864	54.918636
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	168.517593	226.266342	486.676270
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	4.970579	9.483707	20.398506
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	5.756629	26.954897	57.977287
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	14.748663	17.088272	36.755161
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	33.478310	40.722973	87.591042
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	113.980438	132.096237	284.125793
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	78.281723	90.699699	195.085983
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	6.451249	7.474623	16.077166
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	43.228539	50.085964	107.729904
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	392.632507	454.916534	978.479980
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	7.321773	8.483240	18.246599
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	29.288332	34.752853	74.749908
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	94.711876	122.073441	262.567749
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	223.347031	261.653656	562.790894
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	92.317924	106.962494	230.065628
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	430.435699	498.716553	1072.689453
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	12.256193	14.200418	30.543674
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	7.306293	8.465304	18.208023
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	225.187134	266.700897	573.646912
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	16.632151	19.270540	41.449005
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	2.416385	2.799701	6.021876
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	4.753199	14.785386	31.801888
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	18.004681	20.860798	44.869488
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	138.307724	160.247757	344.676880
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	34.539398	40.455746	87.016266
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	1.694225	1.962983	4.222180
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	3.322089	3.849078	8.278982
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	1.897560	2.198574	4.728912
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.151425	1.334078	2.869468
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.232702	0.269616	0.579917
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	9.734234	11.278395	24.258698
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	30.948595	35.858032	77.127037
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	2.168586	2.512593	5.404336
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	10.990088	12.750084	27.424156
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	16.525415	22.625607	48.665417
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	21.355959	24.743694	53.221210
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	13.241471	17.905910	38.513821
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.367910	1.718287	3.695863
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	107.532509	124.590599	267.981903
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.448382	0.519510	1.117413
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.076082	1.246783	2.681705
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	42.848579	49.645733	106.783005
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	16.356318	19.074911	41.028225
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	19.009251	22.058346	47.445297
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	8.061032	9.339769	20.088909
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	12.237659	14.178943	30.497486
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	8.921257	10.336453	22.232676
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	16.789522	19.452877	41.841190
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	19.349098	22.418484	48.219913
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	19.706066	23.163816	49.823051
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	135.129730	156.565613	336.756958
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	23.523815	27.255444	58.623734
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	5.510830	6.385024	13.733546
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	31.906363	36.967731	79.513885
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	184.685181	213.982147	460.254181
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	219.270874	254.054230	546.445251
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	7.303779	8.462392	18.201757
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	15.709877	18.201965	39.150604
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	55.217915	64.016190	137.692398
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	19.400507	22.478046	48.348026
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	56.568748	65.542358	140.975052
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	33.610260	38.941921	83.760170
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	33.526718	38.845127	83.551979
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	22.559294	26.137917	56.220047
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	9.009405	10.438584	22.452351
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	233.982758	271.099884	583.108704
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	13.431946	15.562682	33.473770
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	20.892654	24.206896	52.066608
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	13.368467	19.091421	41.063732
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	1.390119	1.610636	3.464317
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	2.245873	2.606779	5.606921
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	27.249176	31.571766	67.907707
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	114.419312	145.018738	311.920776
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	10.332140	11.971147	25.748739
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	0.000000	0.000000	0.000000
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	0.446783	4.886383	10.510120
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	0.472382	0.547317	1.177224
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	19.350462	22.781433	49.000587
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	27.931177	39.028843	83.947128
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	169.678513	201.517059	433.442993
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	0.430556	0.498856	1.072989
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	25.032549	29.003510	62.383644
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	15.530216	18.342398	39.452660
gene-LOC107073176	LOC107073176	NW_015148970.1	-	1603907	1604848	0.000000	0.000000	0.000000
gene-LOC107073803	LOC107073803	NW_015148970.1	-	1605163	1632743	0.000000	0.000000	0.000000
gene-LOC107073655	LOC107073655	NW_015148970.1	+	1608459	1625420	35.488914	41.118591	88.441971
gene-LOC107073220	LOC107073220	NW_015148970.1	+	1629626	1744374	1.308334	17.216379	37.030708
gene-LOC107073721	LOC107073721	NW_015148970.1	-	1719648	1723451	6.897979	8.752006	18.824688
gene-LOC107064825	LOC107064825	NW_015148970.1	+	1747536	1749850	13.353147	15.471381	33.277393
gene-LOC107064841	LOC107064841	NW_015148970.1	+	1749974	1805148	23.320284	27.019625	58.116508
gene-LOC107065410	LOC107065410	NW_015148970.1	+	1830908	1937104	0.102592	2.612601	5.619444
gene-LOC107065463	LOC107065463	NW_015148970.1	+	1989882	2040260	0.000000	0.000000	0.000000
gene-LOC107064907	LOC107064907	NW_015148970.1	-	2041476	2044832	1.857660	2.152344	4.629477
gene-LOC107065373	LOC107065373	NW_015148970.1	+	2100512	2178609	2.244521	2.766900	5.951325
gene-LOC107065381	LOC107065381	NW_015148970.1	-	2180511	2182296	0.000000	0.000000	0.000000
gene-LOC107065385	LOC107065385	NW_015148970.1	+	2183001	2185272	28.737911	33.296661	71.617790
gene-LOC107074525	LOC107074525	NW_015148970.1	-	2187239	2218629	8.096945	18.668114	40.153244
gene-LOC107074556	LOC107074556	NW_015148970.1	-	2220282	2221950	69.020699	79.969582	172.006561
gene-LOC107065005	LOC107065005	NW_015148970.1	+	2222574	2224770	17.220940	24.684160	53.093155
gene-LOC107065023	LOC107065023	NW_015148970.1	+	2225366	2228750	8.359269	9.685316	20.832146
gene-LOC107074269	LOC107074269	NW_015148970.1	-	2230895	2274521	9.746755	11.292901	24.289902
gene-LOC107074276	LOC107074276	NW_015148970.1	-	2274656	2276618	116.556564	135.046158	290.470764
gene-LOC107074283	LOC107074283	NW_015148970.1	-	2280683	2335994	151.055511	175.017746	376.445618
gene-LOC107063760	LOC107063760	NW_015148970.1	+	2338338	2343131	19.637194	22.752277	48.937878
gene-LOC107063787	LOC107063787	NW_015148970.1	-	2343203	2344665	14.915422	17.281485	37.170742
gene-LOC107063777	LOC107063777	NW_015148970.1	+	2344130	2346115	36.768444	42.601093	91.630684
gene-LOC107063771	LOC107063771	NW_015148970.1	-	2346194	2349617	7.874144	9.123235	19.623165
gene-LOC107063797	LOC107063797	NW_015148970.1	+	2351572	2353634	0.000000	0.000000	0.000000
gene-LOC107063802	LOC107063802	NW_015148970.1	+	2355751	2357327	0.000000	0.000000	0.000000
gene-LOC107064270	LOC107064270	NW_015148970.1	+	2372250	2390680	0.197530	0.228865	0.492265
gene-LOC107065554	LOC107065554	NW_015148970.1	-	2391336	2394159	0.000000	0.000000	0.000000
gene-LOC107064275	LOC107064275	NW_015148970.1	+	2403787	2472353	6.016015	6.970347	14.992518
gene-LOC107065146	LOC107065146	NW_015148970.1	-	2473076	2508533	3.674902	4.257859	9.158228
gene-LOC107063811	LOC107063811	NW_015148970.1	+	2509986	2512509	37.493130	43.440735	93.436676
gene-LOC107063818	LOC107063818	NW_015148970.1	-	2516212	2518347	15.014871	18.401304	39.579365
gene-LOC107063836	LOC107063836	NW_015148970.1	-	2547603	2793112	4.152516	4.811237	10.348491
gene-LOC107064665	LOC107064665	NW_015148970.1	+	2855895	2857435	10.761238	12.468314	26.818094
gene-LOC107064659	LOC107064659	NW_015148970.1	+	2861199	2862457	142.222000	164.782944	354.431641
gene-LOC107064654	LOC107064654	NW_015148970.1	-	2863640	2864623	15.129203	17.529177	37.703506
gene-LOC107073823	LOC107073823	NW_015148970.1	+	2867828	2869272	18.507730	21.443647	46.123138
gene-LOC107073831	LOC107073831	NW_015148970.1	+	2870349	2934520	1.899135	15.307025	32.923878
gene-LOC107073856	LOC107073856	NW_015148970.1	-	2874631	2889346	0.000000	0.000000	0.000000
gene-LOC107073851	LOC107073851	NW_015148970.1	-	2892000	2895856	0.000000	0.000000	0.000000
gene-LOC107066223	LOC107066223	NW_015148970.1	+	2914279	2914970	4.034623	4.674643	10.054689
gene-LOC107066885	LOC107066885	NW_015148970.1	-	2949915	2957253	2.777182	3.217732	6.921019
gene-LOC107063629	LOC107063629	NW_015148970.1	-	2988688	3034293	2.457915	2.847819	6.125373
gene-LOC107063640	LOC107063640	NW_015148970.1	+	3155125	3296355	10.553711	17.679871	38.027630
gene-LOC107064670	LOC107064670	NW_015148970.1	+	3298286	3305327	2.199755	2.548706	5.482012
gene-LOC107064676	LOC107064676	NW_015148970.1	+	3305348	3314382	1.048057	1.214312	2.611864
gene-LOC107065538	LOC107065538	NW_015148970.1	+	3369254	3375852	0.000000	0.000000	0.000000
gene-LOC107063699	LOC107063699	NW_015148970.1	+	3431892	3441421	2.582973	2.992715	6.437030
gene-LOC107063708	LOC107063708	NW_015148970.1	+	3443575	3446014	0.000000	0.000000	0.000000
gene-LOC107063714	LOC107063714	NW_015148970.1	+	3447040	3454492	3.209724	3.718889	7.998957
gene-LOC107065307	LOC107065307	NW_015148970.1	-	3493766	3495378	22.029448	25.524021	54.899616
gene-LOC107065035	LOC107065035	NW_015148970.1	+	3496563	3501876	9.773368	13.896205	29.889343
gene-LOC107064488	LOC107064488	NW_015148970.1	+	3503872	3507384	17.886976	20.868458	44.885963
gene-LOC107064494	LOC107064494	NW_015148970.1	-	3508214	3510214	40.103321	46.464989	99.941536
gene-LOC107064503	LOC107064503	NW_015148970.1	+	3510541	3511568	20.851051	25.340328	54.504509
gene-LOC107064498	LOC107064498	NW_015148970.1	-	3511524	3512875	14.725048	17.060911	36.696312
gene-LOC107064691	LOC107064691	NW_015148970.1	+	3513223	3514462	57.167278	66.235832	142.466660
gene-LOC107064911	LOC107064911	NW_015148970.1	-	3515040	3528251	75.365547	87.320930	187.818573
gene-LOC107064622	LOC107064622	NW_015148970.1	+	3530041	3534317	4.038209	10.443794	22.463556
gene-LOC107064642	LOC107064642	NW_015148970.1	-	3536765	3540038	14.835934	17.189386	36.972649
gene-LOC107064649	LOC107064649	NW_015148970.1	+	3540110	3541802	33.798737	43.546497	93.664154
gene-LOC107074287	LOC107074287	NW_015148970.1	-	3542918	3552429	55.513920	86.531822	186.121292
gene-LOC107074301	LOC107074301	NW_015148970.1	+	3550391	3554137	28.521616	33.046055	71.078758
gene-LOC107074316	LOC107074316	NW_015148970.1	-	3555688	3557735	13.624049	15.785259	33.952511
gene-LOC107074305	LOC107074305	NW_015148970.1	+	3557422	3564694	3.934717	4.569855	9.829301
gene-LOC107074323	LOC107074323	NW_015148970.1	-	3564754	3569627	14.295778	16.586203	35.675259
gene-LOC107074337	LOC107074337	NW_015148970.1	+	3569756	3572497	9.050847	15.068855	32.411598
gene-LOC107064541	LOC107064541	NW_015148970.1	-	3735983	3754113	2.987252	3.691206	7.939414
gene-LOC107074513	LOC107074513	NW_015148970.1	-	3759226	3766491	1.010427	1.412017	3.037107
gene-LOC107074505	LOC107074505	NW_015148970.1	+	3772256	3785087	21.627052	25.057793	53.896805
gene-LOC107074444	LOC107074444	NW_015148970.1	-	3785117	3804400	7.046056	11.414130	24.550652
gene-LOC107074465	LOC107074465	NW_015148970.1	+	3789965	3837405	0.806488	17.277420	37.161999
gene-LOC107065357	LOC107065357	NW_015148970.1	-	3844107	3846200	123.620316	143.230453	308.074341
gene-LOC107067559	LOC107067559	NW_015148970.1	+	3847534	3849838	36.400860	42.175201	90.714630
gene-LOC107063891	LOC107063891	NW_015148970.1	-	3852001	3999898	8.767391	10.232143	22.008318
gene-LOC107063919	LOC107063919	NW_015148970.1	+	3883137	3885227	27.386539	31.730919	68.250031
gene-LOC107064025	LOC107064025	NW_015148970.1	-	4089275	4094219	0.000000	0.000000	0.000000
gene-LOC107064032	LOC107064032	NW_015148970.1	-	4097169	4098743	2.046908	2.371613	5.101102
gene-LOC107064012	LOC107064012	NW_015148970.1	+	4099093	4100308	253.562195	320.715637	689.827209
gene-LOC107063990	LOC107063990	NW_015148970.1	-	4099104	4109280	13.496112	23.189146	49.877533
gene-LOC107064005	LOC107064005	NW_015148970.1	+	4100613	4103827	33.411953	38.712154	83.265968
gene-LOC107063664	LOC107063664	NW_015148970.1	+	4111240	4123343	29.557623	40.933975	88.044891
gene-LOC107068229	LOC107068229	NW_015148970.1	-	4112941	4157719	2.015421	2.335131	5.022633
gene-LOC107065367	LOC107065367	NW_015148970.1	-	4161504	4166431	1.362239	1.578334	3.394838
gene-LOC107065150	LOC107065150	NW_015148970.1	-	4167179	4172170	1.051903	1.218768	2.621449
gene-LOC107064766	LOC107064766	NW_015148970.1	-	4178854	4181757	0.641808	0.743619	1.599451
gene-LOC107068875	LOC107068875	NW_015148970.1	+	4183097	4186989	0.548631	0.635661	1.367244
gene-LOC107065276	LOC107065276	NW_015148970.1	+	4189316	4191801	0.000000	0.000000	0.000000
gene-LOC107065267	LOC107065267	NW_015148970.1	-	4191952	4196513	0.000000	0.000000	0.000000
gene-LOC107069540	LOC107069540	NW_015148970.1	+	4199347	4201241	0.000000	0.000000	0.000000
gene-LOC107065115	LOC107065115	NW_015148970.1	-	4202179	4208818	14.657133	16.982224	36.527061
gene-LOC107065366	LOC107065366	NW_015148970.1	-	4215844	4218759	0.000000	0.000000	0.000000
gene-LOC107064519	LOC107064519	NW_015148970.1	-	4221558	4224159	0.000000	0.000000	0.000000
gene-LOC107063925	LOC107063925	NW_015148970.1	+	4227117	4230175	26.449482	30.645214	65.914787
gene-LOC107063977	LOC107063977	NW_015148970.1	-	4230783	4233240	7.534799	8.730059	18.777483
gene-LOC107063969	LOC107063969	NW_015148970.1	+	4236945	4238467	24.974609	28.936378	62.239258
gene-LOC107063988	LOC107063988	NW_015148970.1	-	4238564	4239983	2.780391	3.221450	6.929016
gene-LOC107063933	LOC107063933	NW_015148970.1	+	4239560	4251271	4.048133	11.690909	25.145977
gene-LOC107064113	LOC107064113	NW_015148970.1	+	4257003	4259054	32.905704	42.451542	91.309013
gene-LOC107064102	LOC107064102	NW_015148970.1	-	4259307	4268185	62.922131	78.231384	168.267883
gene-LOC107064089	LOC107064089	NW_015148970.1	+	4292278	4394920	6.413116	9.176972	19.738749
gene-LOC107064975	LOC107064975	NW_015148970.1	-	4401302	4403950	6.609139	7.657560	16.470644
gene-LOC107064969	LOC107064969	NW_015148970.1	-	4404184	4406323	10.382695	12.029722	25.874727
gene-LOC107065030	LOC107065030	NW_015148970.1	+	4525678	4557918	3.712572	4.301505	9.252106
gene-LOC107064278	LOC107064278	NW_015148970.1	+	4619921	4621181	25.490648	29.534279	63.525276
gene-LOC107065436	LOC107065436	NW_015148970.1	-	4621606	4623227	2.534272	2.936288	6.315662
gene-LOC107065445	LOC107065445	NW_015148970.1	-	4623710	4624927	0.000000	0.000000	0.000000
gene-LOC107065185	LOC107065185	NW_015148970.1	+	4626943	4631708	27.127808	36.295563	78.068115
gene-LOC107064123	LOC107064123	NW_015148970.1	+	4642567	4659109	23.918562	27.712809	59.607479
gene-LOC107064130	LOC107064130	NW_015148970.1	-	4663439	4665085	0.278081	0.322194	0.693006
gene-LOC107065489	LOC107065489	NW_015148970.1	-	4676072	4747627	0.000000	0.000000	0.000000
gene-LOC107064580	LOC107064580	NW_015148970.1	-	4828612	4830279	7.761173	8.992343	19.341629
