Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	15.155778	9.145884	20.622467
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	15.309943	39.927742	90.030510
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	257.384369	180.418152	406.813324
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	37.210037	40.139954	90.509003
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	12.054225	33.032806	74.483551
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	23.134512	13.960719	31.479130
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	64.125351	40.629128	91.612007
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	159.796753	96.448341	217.475174
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	121.684860	73.431770	165.576584
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	12.181292	7.350905	16.575083
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	51.082966	30.826452	69.508591
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	773.438416	466.738068	1052.417603
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	22.183044	13.386549	30.184467
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	60.832226	37.163242	83.797005
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	173.443314	120.540466	271.798981
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	405.807068	248.521881	560.376038
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	126.772507	76.501961	172.499344
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	843.206238	508.840027	1147.350708
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	18.982073	11.454894	25.828905
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	21.751049	13.125856	29.596653
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	385.113068	238.612396	538.031799
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	32.700199	19.733215	44.495159
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	3.811191	2.303475	5.193958
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	13.118795	23.638277	53.300430
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	36.202419	21.846659	49.260632
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	252.265701	152.231888	343.257935
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	72.693329	44.316586	99.926628
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.317203	1.398336	3.153018
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	5.580764	3.367760	7.593745
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	6.596626	3.980790	8.976028
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	2.898668	1.749226	3.944217
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.245042	0.147873	0.333429
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	12.076576	7.287713	16.432596
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	56.324795	33.989681	76.641151
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	2.194381	1.324218	2.985894
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	12.759686	7.725148	17.418941
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	27.129839	19.224514	43.348122
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	37.530506	22.648106	51.067760
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	20.376917	14.577897	32.870766
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.114216	0.728970	1.643707
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	234.682205	141.620987	319.332062
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	1.215960	0.733782	1.654557
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	2.397573	1.446836	3.262378
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	59.779686	36.074566	81.342216
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	33.577652	20.439516	46.087753
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	30.190868	18.218939	41.080711
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	15.798183	9.533549	21.496588
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	28.171978	17.000622	38.333611
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	16.653025	10.049410	22.659771
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	29.838167	18.006098	40.600796
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	26.488453	15.984684	36.042835
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	40.061340	24.548132	55.352005
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	223.436523	134.834686	304.030090
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	35.145134	21.208632	47.821980
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	12.284739	7.413331	16.715843
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	44.945980	27.123037	61.157993
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	360.991760	217.843567	491.201508
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	375.529938	226.616760	510.983582
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	13.281464	8.014812	18.072088
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	18.066359	10.902299	24.582893
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	102.405365	61.865810	139.497238
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	29.034344	17.521025	39.507030
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	63.195312	38.135754	85.989861
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	51.641026	31.163219	70.267937
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	73.512993	44.362045	100.029129
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	46.041157	27.783932	62.648201
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	20.355610	12.283768	27.697878
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	309.018951	186.480133	420.482056
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	18.241844	11.008197	24.821676
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	39.642185	23.922417	53.941120
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	27.412752	20.908344	47.144878
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	2.948893	1.779535	4.012558
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	7.112481	4.369689	9.852929
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	39.486805	23.828650	53.729694
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	185.548004	123.021797	277.393921
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	16.122047	9.728988	21.937269
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	1.009688	0.639880	1.442825
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	1.727260	9.226124	20.803394
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	1.854414	1.119062	2.523301
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	57.224880	35.040436	79.010429
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	69.072189	49.895138	112.505341
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	231.609848	143.234650	322.970612
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	1.347222	0.812993	1.833165
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	38.871819	23.457533	52.892883
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	29.462183	18.137529	40.897152
gene-LOC107073176	LOC107073176	NW_015148970.1	-	1603907	1604848	0.000000	0.000000	0.000000
gene-LOC107073803	LOC107073803	NW_015148970.1	-	1605163	1632743	0.574757	0.484951	1.093486
gene-LOC107073655	LOC107073655	NW_015148970.1	+	1608459	1625420	96.181511	58.041557	130.874176
gene-LOC107073220	LOC107073220	NW_015148970.1	+	1629626	1744374	2.969959	20.323095	45.825241
gene-LOC107073721	LOC107073721	NW_015148970.1	-	1719648	1723451	15.970485	10.552103	23.793259
gene-LOC107064825	LOC107064825	NW_015148970.1	+	1747536	1749850	20.141609	12.154627	27.406689
gene-LOC107064841	LOC107064841	NW_015148970.1	+	1749974	1805148	42.090939	25.400137	57.273140
gene-LOC107065410	LOC107065410	NW_015148970.1	+	1830908	1937104	0.184690	2.510791	5.661422
gene-LOC107065463	LOC107065463	NW_015148970.1	+	1989882	2040260	0.562448	0.339414	0.765323
gene-LOC107064907	LOC107064907	NW_015148970.1	-	2041476	2044832	2.890229	1.744133	3.932734
gene-LOC107065373	LOC107065373	NW_015148970.1	+	2100512	2178609	3.952567	2.553915	5.758659
gene-LOC107065381	LOC107065381	NW_015148970.1	-	2180511	2182296	1.412022	0.852097	1.921338
gene-LOC107065385	LOC107065385	NW_015148970.1	+	2183001	2185272	45.802197	27.639729	62.323048
gene-LOC107074525	LOC107074525	NW_015148970.1	-	2187239	2218629	16.907261	20.757177	46.804024
gene-LOC107074556	LOC107074556	NW_015148970.1	-	2220282	2221950	117.299858	70.785606	159.609909
gene-LOC107065005	LOC107065005	NW_015148970.1	+	2222574	2224770	30.785267	23.065586	52.009109
gene-LOC107065023	LOC107065023	NW_015148970.1	+	2225366	2228750	15.354109	9.265569	20.892336
gene-LOC107074269	LOC107074269	NW_015148970.1	-	2230895	2274521	21.963268	13.253922	29.885418
gene-LOC107074276	LOC107074276	NW_015148970.1	-	2274656	2276618	183.951889	111.007339	250.303329
gene-LOC107074283	LOC107074283	NW_015148970.1	-	2280683	2335994	272.733215	164.583191	371.108063
gene-LOC107063760	LOC107063760	NW_015148970.1	+	2338338	2343131	38.286079	23.104061	52.095867
gene-LOC107063787	LOC107063787	NW_015148970.1	-	2343203	2344665	23.364428	14.099464	31.791977
gene-LOC107063777	LOC107063777	NW_015148970.1	+	2344130	2346115	72.519501	43.762512	98.677284
gene-LOC107063771	LOC107063771	NW_015148970.1	-	2346194	2349617	22.587872	13.630844	30.735317
gene-LOC107063797	LOC107063797	NW_015148970.1	+	2351572	2353634	0.000000	0.000000	0.000000
gene-LOC107063802	LOC107063802	NW_015148970.1	+	2355751	2357327	0.000000	0.000000	0.000000
gene-LOC107064270	LOC107064270	NW_015148970.1	+	2372250	2390680	0.000000	0.000000	0.000000
gene-LOC107065554	LOC107065554	NW_015148970.1	-	2391336	2394159	0.000000	0.000000	0.000000
gene-LOC107064275	LOC107064275	NW_015148970.1	+	2403787	2472353	14.081387	8.497534	19.160543
gene-LOC107065146	LOC107065146	NW_015148970.1	-	2473076	2508533	4.015686	2.423300	5.464144
gene-LOC107063811	LOC107063811	NW_015148970.1	+	2509986	2512509	66.975410	40.416885	91.133438
gene-LOC107063818	LOC107063818	NW_015148970.1	-	2516212	2518347	22.533842	14.432085	32.541981
gene-LOC107063836	LOC107063836	NW_015148970.1	-	2547603	2793112	6.355533	3.835301	8.647973
gene-LOC107064665	LOC107064665	NW_015148970.1	+	2855895	2857435	18.924097	11.419909	25.750019
gene-LOC107064659	LOC107064659	NW_015148970.1	+	2861199	2862457	265.855530	160.432800	361.749634
gene-LOC107064654	LOC107064654	NW_015148970.1	-	2863640	2864623	92.257698	55.673698	125.535042
gene-LOC107073823	LOC107073823	NW_015148970.1	+	2867828	2869272	36.940140	22.291845	50.264446
gene-LOC107073831	LOC107073831	NW_015148970.1	+	2870349	2934520	6.557969	27.424149	61.836948
gene-LOC107073856	LOC107073856	NW_015148970.1	-	2874631	2889346	2.096215	1.264979	2.852320
gene-LOC107073851	LOC107073851	NW_015148970.1	-	2892000	2895856	3.651485	2.203520	4.968575
gene-LOC107066223	LOC107066223	NW_015148970.1	+	2914279	2914970	60.098339	36.266857	81.775810
gene-LOC107066885	LOC107066885	NW_015148970.1	-	2949915	2957253	3.485818	2.103547	4.743153
gene-LOC107063629	LOC107063629	NW_015148970.1	-	2988688	3034293	11.053401	6.670269	15.040362
gene-LOC107063640	LOC107063640	NW_015148970.1	+	3155125	3296355	25.353374	22.184505	50.022415
gene-LOC107064670	LOC107064670	NW_015148970.1	+	3298286	3305327	5.970420	3.602901	8.123950
gene-LOC107064676	LOC107064676	NW_015148970.1	+	3305348	3314382	7.613763	4.594591	10.360047
gene-LOC107065538	LOC107065538	NW_015148970.1	+	3369254	3375852	1.820646	1.098684	2.477353
gene-LOC107063699	LOC107063699	NW_015148970.1	+	3431892	3441421	4.963401	2.995207	6.753700
gene-LOC107063708	LOC107063708	NW_015148970.1	+	3443575	3446014	1.244402	0.750945	1.693258
gene-LOC107063714	LOC107063714	NW_015148970.1	+	3447040	3454492	8.782556	5.299908	11.950423
gene-LOC107065307	LOC107065307	NW_015148970.1	-	3493766	3495378	52.641663	31.767061	71.629509
gene-LOC107065035	LOC107065035	NW_015148970.1	+	3496563	3501876	20.912128	15.620450	35.221546
gene-LOC107064488	LOC107064488	NW_015148970.1	+	3503872	3507384	29.337885	17.770699	40.070007
gene-LOC107064494	LOC107064494	NW_015148970.1	-	3508214	3510214	59.771217	36.069454	81.330688
gene-LOC107064503	LOC107064503	NW_015148970.1	+	3510541	3511568	37.013210	23.422928	52.814857
