Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Caust.v2_000001	-	scaffold_802	-	566	4710	0.426869	0.520717	2.432597
Caust.v2_000002	-	scaffold_802	+	2091	7701	70.438492	85.924484	401.407654
Caust.v2_000003	-	scaffold_802	-	6437	7171	0.000000	0.000000	0.000000
Caust.v2_000004	-	scaffold_802	-	10279	34986	0.000000	0.000000	0.000000
Caust.v2_000005	-	scaffold_802	-	35289	37359	0.731727	0.892598	4.169891
Caust.v2_000007	-	scaffold_802	-	37615	44757	14.994393	18.290930	85.448509
Caust.v2_000006	-	scaffold_802	+	37615	46066	18.609896	22.701303	106.052170
Caust.v2_000008	-	scaffold_802	-	45658	46839	0.000000	0.000000	0.000000
Caust.v2_000009	-	scaffold_802	-	54367	61434	0.000000	0.000000	0.000000
Caust.v2_000010	-	scaffold_802	+	61937	64315	0.000000	0.000000	0.000000
Caust.v2_000011	-	scaffold_802	-	64364	69084	5.891945	7.187296	33.576412
Caust.v2_000012	-	scaffold_802	+	64780	66881	61.033772	74.452118	347.813019
Caust.v2_000013	-	scaffold_802	-	70404	71557	0.000000	0.000000	0.000000
Caust.v2_000014	-	scaffold_802	-	72475	75847	0.000000	0.000000	0.000000
Caust.v2_000015	-	scaffold_802	-	76438	85325	0.000000	0.000000	0.000000
Caust.v2_000016	-	scaffold_802	+	77562	81204	3.700000	4.513450	21.085180
Caust.v2_000018	-	scaffold_802	-	85452	94249	10.644920	12.985219	60.662178
Caust.v2_000017	-	scaffold_802	+	85452	101652	18.859612	27.999413	130.802979
Caust.v2_000019	-	scaffold_802	+	101730	103625	0.000000	0.000000	0.000000
Caust.v2_000020	-	scaffold_802	-	106921	112895	0.000000	0.000000	0.000000
Caust.v2_000021	-	scaffold_802	-	113302	129313	5.290116	6.453154	30.146770
Caust.v2_000022	-	scaffold_802	+	113378	118327	1.063303	1.297071	6.059442
Caust.v2_000023	-	scaffold_802	+	124256	134281	1.975017	2.409227	11.255025
Caust.v2_000024	-	scaffold_802	-	129569	134848	2.151506	2.624517	12.260782
Caust.v2_000025	-	scaffold_802	-	135788	160306	0.000000	0.000000	0.000000
Caust.v2_000026	-	scaffold_802	+	171231	222104	0.000000	0.000000	0.000000
Caust.v2_000027	-	scaffold_802	-	171940	181526	0.000000	0.000000	0.000000
Caust.v2_000028	-	scaffold_802	-	201782	209788	0.000000	0.000000	0.000000
Caust.v2_000029	-	scaffold_802	+	222769	230834	0.000000	0.000000	0.000000
Caust.v2_000030	-	scaffold_802	+	234605	246392	6.892048	8.407273	39.275696
Caust.v2_000031	-	scaffold_802	-	236319	250669	34.118099	43.088123	201.291901
Caust.v2_000032	-	scaffold_802	+	247875	250435	0.133798	0.163214	0.762474
Caust.v2_000033	-	scaffold_802	-	251893	253604	0.000000	0.000000	0.000000
Caust.v2_000034	-	scaffold_802	+	253771	255167	16.855249	20.560896	96.052971
Caust.v2_000035	-	scaffold_802	-	255955	258387	0.572842	0.698782	3.264453
Caust.v2_000036	-	scaffold_802	+	258157	261514	0.000000	0.000000	0.000000
Caust.v2_000037	-	scaffold_802	-	261737	263182	3.137064	3.826751	17.877178
Caust.v2_000038	-	scaffold_802	+	263361	265651	596.870972	728.093750	3401.387207
Caust.v2_000039	-	scaffold_802	-	264197	265134	8.927696	10.890461	50.876240
Caust.v2_000040	-	scaffold_802	+	265839	267913	2.530425	3.086742	14.420127
Caust.v2_000041	-	scaffold_802	-	268187	271091	0.681816	0.831714	3.885463
Caust.v2_000042	-	scaffold_802	+	271280	274436	56.423660	68.828476	321.541382
Caust.v2_000043	-	scaffold_802	-	272844	274436	0.000000	0.000000	0.000000
Caust.v2_000044	-	scaffold_802	-	274546	277029	0.000000	0.000000	0.000000
Caust.v2_000045	-	scaffold_802	-	277740	280249	1.376287	1.678865	7.843043
Caust.v2_000046	-	scaffold_802	-	281547	286944	4.959322	6.049635	28.261677
Caust.v2_000047	-	scaffold_802	+	286398	290815	7.466430	9.107934	42.548927
Caust.v2_000048	-	scaffold_802	+	291595	307744	11.850995	17.109661	79.930061
Caust.v2_000049	-	scaffold_802	-	291881	302511	34.130348	41.633949	194.498535
Caust.v2_000050	-	scaffold_802	+	309703	314870	0.000000	0.000000	0.000000
Caust.v2_000051	-	scaffold_802	-	310543	321412	11.489263	14.015191	65.473831
Caust.v2_000052	-	scaffold_802	+	320010	320442	0.000000	0.000000	0.000000
Caust.v2_000053	-	scaffold_802	+	320629	322739	0.304790	0.371798	1.736906
Caust.v2_000054	-	scaffold_802	-	332444	334830	0.000000	0.000000	0.000000
Caust.v2_000055	-	scaffold_802	-	339007	344723	0.000000	0.000000	0.000000
Caust.v2_000056	-	scaffold_802	-	344800	347940	0.000000	0.000000	0.000000
Caust.v2_000057	-	scaffold_802	+	350959	354604	0.000000	0.000000	0.000000
Caust.v2_000058	-	scaffold_802	-	351590	357172	0.000000	0.000000	0.000000
Caust.v2_000059	-	scaffold_802	+	357286	358258	0.000000	0.000000	0.000000
Caust.v2_000061	-	scaffold_802	+	359003	369712	0.318674	0.494652	2.310833
Caust.v2_000060	-	scaffold_802	-	359509	366552	4.464514	5.446043	25.441916
Caust.v2_000062	-	scaffold_802	-	369971	371421	3.024218	3.689096	17.234104
Caust.v2_000063	-	scaffold_802	-	372112	374461	0.748195	0.912687	4.263737
Caust.v2_000064	-	scaffold_802	+	375315	377707	0.000000	0.000000	0.000000
Caust.v2_000065	-	scaffold_802	-	376075	382869	28.452862	34.708260	162.144257
Caust.v2_000066	-	scaffold_802	+	383775	385541	0.217906	0.265813	1.241780
Caust.v2_000067	-	scaffold_802	-	386389	392176	61.030788	74.448486	347.795990
Caust.v2_000068	-	scaffold_802	+	390102	391975	0.878709	1.071894	5.007497
Caust.v2_000069	-	scaffold_802	+	392859	404565	0.737840	0.900055	4.204727
Caust.v2_000070	-	scaffold_802	-	405690	406070	1.740157	2.122733	9.916629
Caust.v2_000071	-	scaffold_802	-	406992	414020	2.998293	4.096863	19.139042
Caust.v2_000072	-	scaffold_802	+	413095	418568	38.213680	46.615005	217.768204
Caust.v2_000073	-	scaffold_802	-	415009	418423	19.930828	24.312647	113.579758
Caust.v2_000074	-	scaffold_802	+	418690	436053	12.196973	17.712147	82.744652
Caust.v2_000075	-	scaffold_802	-	427087	439218	49.336937	73.066086	341.337952
Caust.v2_000076	-	scaffold_802	-	439700	448060	6.303699	7.689575	35.922874
Caust.v2_000077	-	scaffold_802	+	445888	451675	15.626876	19.062464	89.052841
