Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC117218713	LOC117218713	NW_022886868.1	+	157212	170821	0.000000	0.000000	0.000000
gene-LOC117220716	LOC117220716	NW_022886913.1	-	51797	54370	3.791629	2.872863	8.096524
gene-LOC117221797	LOC117221797	NW_022886913.1	+	72046	73212	8.748915	6.628927	18.682156
gene-LOC117222501	LOC117222501	NW_022886913.1	+	73770	74502	2.353680	1.783349	5.025974
gene-LOC117224661	LOC117224661	NW_022886927.1	-	99960	101353	0.802242	0.607847	1.713082
gene-LOC117225180	LOC117225180	NW_022886933.1	-	10262	25069	0.000000	0.000000	0.000000
gene-LOC117227604	LOC117227604	NW_022886933.1	-	95081	96516	0.000000	0.000000	0.000000
gene-LOC117229484	LOC117229484	NW_022886975.1	+	7439	9994	0.000000	0.000000	0.000000
gene-LOC117229422	LOC117229422	NW_022886975.1	-	7876	11329	6.270427	4.751012	13.389671
gene-LOC117229831	LOC117229831	NW_022886975.1	+	11892	13179	0.000000	0.000000	0.000000
gene-LOC117229331	LOC117229331	NW_022886975.1	-	16329	27800	14.304725	10.838484	30.545856
gene-LOC117229605	LOC117229605	NW_022886975.1	+	37033	73701	0.936392	0.709491	1.999542
gene-LOC117229529	LOC117229529	NW_022886975.1	-	73779	95070	16.145868	12.233492	34.477375
gene-LOC117229782	LOC117229782	NW_022886975.1	+	91158	92434	0.000000	0.000000	0.000000
gene-LOC117230013	LOC117230013	NW_022887012.1	+	243689	244697	184.099472	139.489517	393.120178
gene-LOC117230074	LOC117230074	NW_022887012.1	+	246480	257427	49.806656	37.737785	106.355553
gene-LOC117217749	LOC117217749	NW_022887057.1	-	197252	320242	0.000000	0.000000	0.000000
gene-LOC117217425	LOC117217425	NW_022887057.1	+	366423	768851	18.675318	14.517354	40.913937
gene-LOC117217631	LOC117217631	NW_022887057.1	+	857230	875584	3.226096	2.444366	6.888903
gene-LOC117217700	LOC117217700	NW_022887057.1	-	870314	876267	8.418240	6.378379	17.976044
gene-LOC117217835	LOC117217835	NW_022887057.1	-	890125	921893	24.217501	27.415995	77.265884
gene-LOC117217951	LOC117217951	NW_022887057.1	-	906670	911363	0.000000	0.000000	0.000000
gene-LOC117218657	LOC117218657	NW_022887092.1	+	69324	376949	21.953110	16.633554	46.877975
gene-LOC117218754	LOC117218754	NW_022887092.1	+	389872	391332	12.499644	9.470800	26.691343
gene-LOC117218791	LOC117218791	NW_022887092.1	-	393268	397841	0.000000	0.000000	0.000000
gene-LOC117218604	LOC117218604	NW_022887092.1	-	643996	646390	0.154013	0.116693	0.328874
gene-LOC117218407	LOC117218407	NW_022887092.1	+	645575	662429	2.493252	5.483132	15.452988
gene-LOC117218114	LOC117218114	NW_022887092.1	-	736566	740731	20.487623	16.280849	45.883953
gene-LOC117218248	LOC117218248	NW_022887092.1	+	741065	743345	16.905340	12.808932	36.099129
gene-LOC117218331	LOC117218331	NW_022887092.1	+	743793	745349	12.157421	9.211503	25.960571
gene-LOC117218836	LOC117218836	NW_022887092.1	+	745586	759016	20.130428	15.252536	42.985878
gene-LOC117221139	LOC117221139	NW_022887118.1	+	21050	81751	79.694122	60.383083	170.176300
gene-LOC117220439	LOC117220439	NW_022887118.1	+	90832	96400	12.875755	9.755774	27.494480
gene-LOC117220508	LOC117220508	NW_022887118.1	-	97895	102867	346.387878	299.268433	843.421570
gene-LOC117221398	LOC117221398	NW_022887118.1	+	107861	138822	4.650364	5.319781	14.992620
gene-LOC117221607	LOC117221607	NW_022887118.1	-	115433	118395	0.000000	0.000000	0.000000
gene-LOC117220691	LOC117220691	NW_022887118.1	+	143046	144378	0.000000	0.000000	0.000000
gene-LOC117222103	LOC117222103	NW_022887118.1	+	174500	176366	5.514294	4.178101	11.775049
gene-LOC117222034	LOC117222034	NW_022887118.1	+	182464	184330	5.523529	4.185099	11.794769
gene-LOC117221204	LOC117221204	NW_022887118.1	+	190819	208627	0.171616	0.130031	0.366463
gene-LOC117221673	LOC117221673	NW_022887118.1	-	211180	213323	16.939346	15.388860	43.370079
gene-LOC117220738	LOC117220738	NW_022887118.1	+	216821	226410	19.068895	14.460448	40.753559
gene-LOC117223098	LOC117223098	NW_022887118.1	-	235504	344258	4.711652	31.111879	87.681915
gene-LOC117223731	LOC117223731	NW_022887118.1	-	354517	361310	12.343483	10.461518	29.483461
gene-LOC117223947	LOC117223947	NW_022887118.1	+	362680	364852	16.539738	12.645780	35.639320
gene-LOC117221266	LOC117221266	NW_022887118.1	+	365159	373529	1.955303	1.481505	4.175292
gene-LOC117222296	LOC117222296	NW_022887118.1	+	373635	374759	0.000000	0.000000	0.000000
gene-LOC117222174	LOC117222174	NW_022887118.1	+	377749	385864	0.125085	0.191635	0.540079
gene-LOC117220381	LOC117220381	NW_022887118.1	+	389403	390522	7.284782	5.519574	15.555693
gene-LOC117221000	LOC117221000	NW_022887118.1	+	392744	398079	8.489860	13.669879	38.525513
gene-LOC117222476	LOC117222476	NW_022887118.1	-	410407	973276	51.245987	69.248276	195.160873
gene-LOC117222608	LOC117222608	NW_022887118.1	-	439707	973138	21.992783	22.869663	64.453064
gene-LOC117222347	LOC117222347	NW_022887118.1	-	674119	680812	1.896707	1.437108	4.050168
gene-LOC117222943	LOC117222943	NW_022887118.1	+	675084	676836	0.000000	0.000000	0.000000
gene-LOC117222997	LOC117222997	NW_022887118.1	+	681237	681579	0.739130	0.560028	1.578315
gene-LOC117223049	LOC117223049	NW_022887118.1	+	935466	936094	0.046847	0.035495	0.100036
gene-LOC117220307	LOC117220307	NW_022887118.1	+	974111	976371	2.045375	1.549751	4.367629
gene-LOC117221889	LOC117221889	NW_022887118.1	-	980524	1101314	2.571829	2.031379	5.724991
gene-Trnav-uac	Trnav-uac	NW_022887118.1	-	1049953	1050025	0.000000	0.000000	0.000000
gene-LOC117221329	LOC117221329	NW_022887118.1	-	1091851	1093017	1.618680	1.226451	3.456478
gene-Trnar-ucu	Trnar-ucu	NW_022887118.1	-	1124667	1124739	0.000000	0.000000	0.000000
gene-LOC117219502	LOC117219502	NW_022887118.1	+	1154760	1491519	1.359820	9.839144	27.729439
gene-LOC117219419	LOC117219419	NW_022887118.1	-	1519349	1521099	30.680096	23.245865	65.513306
gene-LOC117224388	LOC117224388	NW_022887118.1	+	1522687	1703735	1.154981	9.983057	28.135025
