Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	67.025642	35.152111	54.540405
Vvulg1g00011	-	Chr1	+	9331	16578	0.000000	0.000000	0.000000
Vvulg1g00021	-	Chr1	+	28529	35573	44.383068	23.277040	36.115589
Vvulg1g00020	-	Chr1	-	86243	95825	1554.606445	815.325256	1265.021362
Vvulg1g00030	-	Chr1	-	124096	132467	0.000000	0.000000	0.000000
Vvulg1g00031	-	Chr1	+	135872	140157	1.731415	0.908054	1.408895
Vvulg1g00040	-	Chr1	-	180101	181581	34.007820	17.835663	27.672995
Vvulg1g00050	-	Chr1	-	183395	187559	21.572386	11.313803	17.553978
Vvulg1g00060	-	Chr1	+	188096	189550	5.001873	2.623271	4.070147
Vvulg1g00070	-	Chr1	+	191372	192836	0.000000	0.000000	0.000000
Vvulg1g00071	-	Chr1	-	194637	201889	2.144353	1.124622	1.744913
Vvulg1g00080	-	Chr1	-	209279	210694	11.183475	5.865259	9.100267
Vvulg1g00090	-	Chr1	+	211372	217972	9.146297	4.796846	7.442565
Vvulg1g00110	-	Chr1	-	226611	235178	120.699081	63.301559	98.215797
Vvulg1g00150	-	Chr1	-	258441	260480	152.310486	79.880402	123.938766
Vvulg1g00160	-	Chr1	+	262304	264844	40.062160	21.010908	32.599560
Arg_16	-	Chr1	-	265279	265351	1.849315	0.969887	1.504833
Vvulg1g00180	-	Chr1	-	271120	277393	51.621025	27.073042	42.005291
Vvulg1g00181	-	Chr1	+	277940	278539	1.939024	1.016936	1.577831
Vvulg1g00190	-	Chr1	+	279021	280813	118.224503	62.003746	96.202171
Vvulg1g00200	-	Chr1	-	281414	284018	17.152956	8.995999	13.957780
Vvulg1g00210	-	Chr1	-	286423	287028	0.000000	0.000000	0.000000
Vvulg1g00211	-	Chr1	-	287771	289242	78.933159	41.397099	64.229843
Vvulg1g00220	-	Chr1	+	289474	293930	34.131317	17.900431	27.773487
Vvulg1g00230	-	Chr1	-	296989	298425	190.186295	99.744659	154.759232
Vvulg1g00240	-	Chr1	-	299815	301192	229.717407	120.477058	186.926666
Vvulg1g00250	-	Chr1	+	301619	302264	109.566978	57.463242	89.157326
Vvulg1g00260	-	Chr1	-	303674	306288	34.398598	18.040607	27.990978
Vvulg1g00261	-	Chr1	-	306874	309332	1.026050	0.538120	0.834922
Vvulg1g00270	-	Chr1	-	309617	311977	38.189732	20.028898	31.075918
Vvulg1g00280	-	Chr1	-	315761	316213	27.117886	14.222183	22.066486
Vvulg1g00281	-	Chr1	-	316345	319151	3.864759	2.026902	3.144849
Vvulg1g00291	-	Chr1	-	320158	322471	4.525910	2.373648	3.682844
Vvulg1g00290	-	Chr1	-	326917	328813	0.000000	0.000000	0.000000
Vvulg1g00292	-	Chr1	-	339708	339983	2.018238	1.058480	1.642290
Vvulg1g00300	-	Chr1	-	346843	347073	1.454668	0.762912	1.183699
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
