Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	80.769234	31.328371	64.433525
Vvulg1g00011	-	Chr1	+	9331	16578	0.000000	0.000000	0.000000
Vvulg1g00021	-	Chr1	+	28529	35573	47.658894	18.485695	38.019806
Vvulg1g00020	-	Chr1	-	86243	95825	984.158386	381.730469	785.110779
Vvulg1g00030	-	Chr1	-	124096	132467	0.000000	0.000000	0.000000
Vvulg1g00031	-	Chr1	+	135872	140157	0.000000	0.000000	0.000000
Vvulg1g00040	-	Chr1	-	180101	181581	34.708599	13.462599	27.688730
Vvulg1g00050	-	Chr1	-	183395	187559	33.355064	12.937597	26.608950
Vvulg1g00060	-	Chr1	+	188096	189550	4.777153	1.852938	3.810966
Vvulg1g00070	-	Chr1	+	191372	192836	3.009901	1.167465	2.401144
Vvulg1g00071	-	Chr1	-	194637	201889	0.000000	0.000000	0.000000
Vvulg1g00080	-	Chr1	-	209279	210694	17.509312	6.791425	13.968026
Vvulg1g00090	-	Chr1	+	211372	217972	11.414351	4.427342	9.105781
Vvulg1g00110	-	Chr1	-	226611	235178	126.047455	48.890659	100.554161
Vvulg1g00150	-	Chr1	-	258441	260480	121.241936	47.026722	96.720566
Vvulg1g00160	-	Chr1	+	262304	264844	71.841446	27.865503	57.311401
Arg_16	-	Chr1	-	265279	265351	2.876712	1.115805	2.294893
Vvulg1g00180	-	Chr1	-	271120	277393	65.465393	25.392391	52.224915
Vvulg1g00181	-	Chr1	+	277940	278539	0.000000	0.000000	0.000000
Vvulg1g00190	-	Chr1	+	279021	280813	111.721710	43.334061	89.125816
Vvulg1g00200	-	Chr1	-	281414	284018	25.082705	9.728954	20.009687
Vvulg1g00210	-	Chr1	-	286423	287028	0.000000	0.000000	0.000000
Vvulg1g00211	-	Chr1	-	287771	289242	81.055862	31.439545	64.662186
Vvulg1g00220	-	Chr1	+	289474	293930	54.123905	20.993311	43.177258
Vvulg1g00230	-	Chr1	-	296989	298425	172.362747	66.855202	137.502106
Vvulg1g00240	-	Chr1	-	299815	301192	233.177536	90.443741	186.017014
Vvulg1g00250	-	Chr1	+	301619	302264	100.224297	38.874500	79.953773
Vvulg1g00260	-	Chr1	-	303674	306288	87.927017	34.104694	70.143639
Vvulg1g00261	-	Chr1	-	306874	309332	3.695238	1.433291	2.947870
Vvulg1g00270	-	Chr1	-	309617	311977	34.338226	13.318941	27.393267
Vvulg1g00280	-	Chr1	-	315761	316213	22.365854	8.675157	17.842325
Vvulg1g00281	-	Chr1	-	316345	319151	2.907969	1.127929	2.319828
Vvulg1g00291	-	Chr1	-	320158	322471	2.135504	0.828309	1.703595
Vvulg1g00290	-	Chr1	-	326917	328813	1.461623	0.566927	1.166007
Vvulg1g00292	-	Chr1	-	339708	339983	0.000000	0.000000	0.000000
Vvulg1g00300	-	Chr1	-	346843	347073	0.000000	0.000000	0.000000
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
Vvulg1g00330	-	Chr1	+	393420	408893	0.000000	0.000000	0.000000
Vvulg1g00340	-	Chr1	+	412205	413598	0.000000	0.000000	0.000000
Vvulg1g00360	-	Chr1	-	449572	450258	2.475634	0.960237	1.974933
Vvulg1g00370	-	Chr1	+	467086	469080	151.404846	58.726158	120.782974
Vvulg1g00380	-	Chr1	-	473692	474445	58.386139	22.646524	46.577450
Vvulg1g00390	-	Chr1	-	474516	493213	48.427773	18.783924	38.633179
Vvulg1g00400	-	Chr1	+	494756	495067	0.000000	0.000000	0.000000
Vvulg1g00401	-	Chr1	+	508527	508879	0.000000	0.000000	0.000000
Vvulg1g00410	-	Chr1	+	511192	511515	0.000000	0.000000	0.000000
Vvulg1g00420	-	Chr1	-	520783	522506	25.411924	9.856651	20.272322
Vvulg1g00421	-	Chr1	-	529683	534256	0.000000	0.000000	0.000000
Vvulg1g00430	-	Chr1	-	539556	539774	0.000000	0.000000	0.000000
Vvulg1g00440	-	Chr1	+	543285	543695	0.000000	0.000000	0.000000
Vvulg1g00450	-	Chr1	-	544709	573728	0.000000	0.000000	0.000000
Vvulg1g00460	-	Chr1	-	611377	614369	0.000000	0.000000	0.000000
Vvulg1g00480	-	Chr1	+	623617	624339	375.554382	145.668167	299.597900
Vvulg1g00490	-	Chr1	+	641206	652540	307.718933	119.356499	245.482300
Vvulg1g00500	-	Chr1	+	656716	661431	136.758926	53.045372	109.099220
Vvulg1g00510	-	Chr1	-	661604	665757	74.892822	29.049055	59.745632
Vvulg1g00520	-	Chr1	-	666139	666688	148.982452	57.786572	118.850510
Vvulg1g00530	-	Chr1	+	668631	672111	20.656345	8.012080	16.478567
Vvulg1g00540	-	Chr1	+	673930	675189	68.897781	26.723730	54.963097
Gln_1	-	Chr1	+	675741	675812	0.000000	0.000000	0.000000
Vvulg1g00550	-	Chr1	+	676385	679481	65.808182	25.525351	52.498371
Vvulg1g00560	-	Chr1	-	681171	683376	14.572101	5.652154	11.624870
Vvulg1g00561	-	Chr1	-	684653	685338	193.945648	75.226677	154.719833
Vvulg1g00570	-	Chr1	-	685765	688440	88.881302	34.474838	70.904922
Vvulg1g00580	-	Chr1	+	689136	690370	132.981857	51.580341	106.086067
Vvulg1g00581	-	Chr1	+	692611	692964	131.474579	50.995708	104.883636
Vvulg1g00590	-	Chr1	-	693278	696758	4.568498	1.772006	3.644512
Vvulg1g00600	-	Chr1	+	697216	699895	43.043488	16.695494	34.337875
Vvulg1g00610	-	Chr1	-	699918	701160	20.017397	7.764249	15.968846
Vvulg1g00620	-	Chr1	+	701647	704829	37.568985	14.572071	29.970598
Vvulg1g00621	-	Chr1	-	707376	707624	41.401608	16.058649	33.028069
Vvulg1g00630	-	Chr1	-	708959	710478	149.301910	57.910480	119.105354
Vvulg1g00640	-	Chr1	+	711828	714323	653.642090	253.531448	521.441956
Vvulg1g00650	-	Chr1	+	715261	716388	138.465836	53.707443	110.460907
Vvulg1g00660	-	Chr1	-	716880	717724	705.597900	273.683838	562.889587
Vvulg1g00670	-	Chr1	+	718451	718970	132.196976	51.275906	105.459930
Vvulg1g00680	-	Chr1	-	720235	732330	11.799685	4.576803	9.413180
Vvulg1g00690	-	Chr1	+	736233	740357	33.555557	13.015363	26.768892
Vvulg1g00700	-	Chr1	-	741360	752574	4.389724	1.702664	3.501895
Vvulg1g00711	-	Chr1	+	770555	777075	127.110352	49.302933	101.402084
Vvulg1g00720	-	Chr1	-	780533	781066	29.363333	11.389304	23.424551
Vvulg1g00740	-	Chr1	-	789740	790409	1.373016	0.532559	1.095321
Vvulg1g00750	-	Chr1	-	795741	797290	0.000000	0.000000	0.000000
Vvulg1g00760	-	Chr1	-	802015	805213	0.000000	0.000000	0.000000
Vvulg1g00770	-	Chr1	+	813332	817101	0.000000	0.000000	0.000000
Vvulg1g00780	-	Chr1	-	818539	822608	0.000000	0.000000	0.000000
Vvulg1g00790	-	Chr1	-	825423	826662	2.387681	0.926122	1.904769
Vvulg1g00800	-	Chr1	+	827034	839117	33.505856	12.996085	26.729244
Vvulg1g00811	-	Chr1	+	846491	846811	0.000000	0.000000	0.000000
Vvulg1g00821	-	Chr1	+	850586	858367	21.112360	8.188958	16.842352
Vvulg1g00831	-	Chr1	+	862236	864255	126.181816	48.942776	100.661346
Vvulg1g00820	-	Chr1	-	865700	867709	53.227413	20.645584	42.462082
Vvulg1g00830	-	Chr1	+	870116	875554	29.362331	11.388915	23.423754
Vvulg1g00840	-	Chr1	-	877401	882068	1.421509	0.551368	1.134007
Vvulg1g00850	-	Chr1	-	882684	885209	253.719818	98.411583	202.404587
Vvulg1g00860	-	Chr1	+	886189	888198	17.273148	6.699823	13.779627
Vvulg1g00870	-	Chr1	-	889552	890379	56.977100	22.099995	45.453392
Vvulg1g00880	-	Chr1	+	892702	903607	185.693466	72.025864	148.136673
Vvulg1g00890	-	Chr1	-	905730	908094	32.178886	12.481387	25.670656
Vvulg1g00900	-	Chr1	+	908669	909980	101.310349	39.295757	80.820175
Vvulg1g00910	-	Chr1	-	911000	915417	132.497284	51.392387	105.699493
Vvulg1g00920	-	Chr1	+	916285	920670	120.701767	46.817200	96.289642
Vvulg1g00930	-	Chr1	-	921136	922896	123.014076	47.714088	98.134285
Vvulg1g00940	-	Chr1	-	928013	942562	24.236301	9.400657	19.334471
Vvulg1g00941	-	Chr1	+	943216	943564	0.000000	0.000000	0.000000
Vvulg1g00950	-	Chr1	+	972140	972729	0.000000	0.000000	0.000000
Ser_2	-	Chr1	+	972189	972270	0.000000	0.000000	0.000000
Vvulg1g00960	-	Chr1	-	974971	980593	238.503799	92.509674	190.266022
Vvulg1g00970	-	Chr1	+	981768	987084	31.924673	12.382784	25.467857
Vvulg1g00980	-	Chr1	-	990795	993280	699.978760	271.504272	558.406921
Vvulg1g00990	-	Chr1	-	1020279	1026097	0.000000	0.000000	0.000000
Vvulg1g01001	-	Chr1	+	1083639	1085196	0.000000	0.000000	0.000000
Vvulg1g01010	-	Chr1	+	1089074	1110772	0.000000	0.000000	0.000000
Vvulg1g01040	-	Chr1	+	1186123	1202770	44.533604	17.273474	35.526611
Vvulg1g01051	-	Chr1	-	1202803	1208409	99.875000	38.739017	79.675125
Vvulg1g01050	-	Chr1	-	1211271	1228421	182.032166	70.605736	145.215866
Vvulg1g01060	-	Chr1	+	1247372	1251964	0.000000	0.000000	0.000000
Vvulg1g01070	-	Chr1	-	1266353	1275516	104.387840	40.489437	83.275230
Vvulg1g01080	-	Chr1	+	1280007	1282834	0.000000	0.000000	0.000000
Vvulg1g01090	-	Chr1	+	1289881	1297114	0.000000	0.000000	0.000000
Vvulg1g01100	-	Chr1	+	1298002	1299141	0.000000	0.000000	0.000000
Vvulg1g01110	-	Chr1	+	1302171	1322088	0.000000	0.000000	0.000000
Vvulg1g01121	-	Chr1	-	1346259	1348177	2.299145	0.891781	1.834139
Vvulg1g01131	-	Chr1	+	1349555	1352377	0.000000	0.000000	0.000000
Vvulg1g01120	-	Chr1	+	1355959	1357118	0.000000	0.000000	0.000000
Vvulg1g01122	-	Chr1	+	1363470	1363724	0.000000	0.000000	0.000000
Vvulg1g01130	-	Chr1	-	1363865	1378222	0.000000	0.000000	0.000000
Vvulg1g01132	-	Chr1	-	1383255	1383479	0.000000	0.000000	0.000000
Vvulg1g01142	-	Chr1	+	1386141	1386790	0.000000	0.000000	0.000000
Vvulg1g01140	-	Chr1	+	1393271	1396497	13.336364	5.172843	10.639063
Vvulg1g01150	-	Chr1	+	1415094	1416141	0.000000	0.000000	0.000000
Vvulg1g01160	-	Chr1	-	1446803	1448456	30.645834	11.886754	24.447666
Vvulg1g01170	-	Chr1	-	1467680	1471815	2.122449	0.823245	1.693180
Vvulg1g01180	-	Chr1	-	1485801	1486605	0.000000	0.000000	0.000000
Vvulg1g01190	-	Chr1	-	1534369	1537444	0.000000	0.000000	0.000000
Vvulg1g01200	-	Chr1	+	1537479	1539906	0.000000	0.000000	0.000000
Vvulg1g01210	-	Chr1	-	1559159	1560341	0.000000	0.000000	0.000000
Vvulg1g01230	-	Chr1	-	1564863	1565991	0.000000	0.000000	0.000000
Vvulg1g01250	-	Chr1	-	1577142	1580205	1.452808	0.563508	1.158975
Vvulg1g01251	-	Chr1	+	1584347	1586996	0.000000	0.000000	0.000000
Vvulg1g01260	-	Chr1	-	1597320	1598242	0.000000	0.000000	0.000000
Vvulg1g01270	-	Chr1	+	1598760	1601242	0.000000	0.000000	0.000000
Vvulg1g01280	-	Chr1	+	1604166	1609273	0.000000	0.000000	0.000000
Vvulg1g01290	-	Chr1	-	1620932	1624393	0.000000	0.000000	0.000000
Vvulg1g01310	-	Chr1	+	1640894	1641395	0.000000	0.000000	0.000000
Vvulg1g01320	-	Chr1	+	1652047	1660082	0.000000	0.000000	0.000000
Vvulg1g01330	-	Chr1	-	1667852	1669190	0.000000	0.000000	0.000000
Vvulg1g01340	-	Chr1	-	1672283	1675363	0.000000	0.000000	0.000000
Vvulg1g01350	-	Chr1	-	1694373	1694988	0.000000	0.000000	0.000000
Vvulg1g01351	-	Chr1	+	1696865	1698921	0.000000	0.000000	0.000000
Vvulg1g01360	-	Chr1	+	1701076	1702619	0.000000	0.000000	0.000000
Vvulg1g01370	-	Chr1	-	1717821	1721968	40.689014	15.782252	32.459599
Vvulg1g01380	-	Chr1	+	1731135	1732299	70.780861	27.454130	56.465321
Vvulg1g01390	-	Chr1	-	1735975	1738098	78.808907	30.568008	62.869678
Vvulg1g01400	-	Chr1	+	1740536	1746320	0.000000	0.000000	0.000000
Vvulg1g01410	-	Chr1	+	1770954	1787359	6.613345	2.565151	5.275785
Vvulg1g01420	-	Chr1	+	1795340	1801451	0.000000	0.000000	0.000000
Vvulg1g01440	-	Chr1	+	1830913	1847966	54.220921	21.030941	43.254654
Vvulg1g01450	-	Chr1	-	1849637	1852484	68.840050	26.701336	54.917038
Vvulg1g01460	-	Chr1	+	1853628	1859442	33.252254	12.897719	26.526934
Vvulg1g01470	-	Chr1	-	1859793	1860167	4.653333	1.804912	3.712189
Vvulg1g01480	-	Chr1	-	1863059	1863370	69.945511	27.130116	55.798920
Vvulg1g01490	-	Chr1	-	1864530	1865363	0.000000	0.000000	0.000000
Vvulg1g01500	-	Chr1	+	1869306	1870716	55.924152	21.691584	44.613403
Vvulg1g01510	-	Chr1	-	1872651	1873730	0.000000	0.000000	0.000000
Vvulg1g01520	-	Chr1	-	1877988	1878803	3.904412	1.514424	3.114738
Vvulg1g01530	-	Chr1	+	1880504	1880914	0.000000	0.000000	0.000000
Vvulg1g01531	-	Chr1	+	1886426	1888462	0.062838	0.024373	0.050129
Vvulg1g01541	-	Chr1	+	1895256	1895492	16.295359	6.320563	12.999597
Vvulg1g01540	-	Chr1	+	1900387	1905838	24.653402	9.562439	19.667212
Vvulg1g01550	-	Chr1	+	1908478	1910189	78.396584	30.408075	62.540752
Vvulg1g01560	-	Chr1	+	1914404	1915825	0.000000	0.000000	0.000000
Vvulg1g01570	-	Chr1	-	1918661	1928781	0.000000	0.000000	0.000000
Vvulg1g01580	-	Chr1	-	1936943	1937300	49.043652	19.022808	39.124496
Vvulg1g01590	-	Chr1	-	1937429	1946856	17.487345	6.782905	13.950501
Vvulg1g01610	-	Chr1	+	1964987	1972461	0.946360	0.367069	0.754957
Vvulg1g01620	-	Chr1	+	1990480	1999431	1.710962	0.663639	1.364917
Vvulg1g01630	-	Chr1	-	2004888	2018819	22.200150	8.610884	17.710135
Vvulg1g01640	-	Chr1	-	2037433	2038529	20.453272	7.933313	16.316565
Vvulg1g01670	-	Chr1	+	2059047	2077456	0.544872	0.211342	0.434671
