Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a011143	-	C2532896	-	14	406	1.676845	0.395246	0.832293
Lflavo2a012446	-	C2532978	+	16	505	164.218292	38.707569	81.508873
Lflavo2a013879	-	C2533306	-	12	494	15.557276	3.743625	7.883178
Lflavo2a013569	-	C2533474	-	2	500	12.660320	2.984139	6.283883
Lflavo2a000748	-	C2533820	+	4	535	46.870300	11.047706	23.263824
Lflavo2a001212	-	C2533924	+	145	391	0.882591	0.208034	0.438069
Lflavo2a000186	-	C2534132	-	5	562	160.353821	37.796684	79.590767
Lflavo2a007945	-	C2534852	-	3	582	166.187927	39.171825	82.486488
Lflavo2a007773	-	C2534930	-	30	254	15.844445	3.734663	7.864306
Lflavo2a004339	-	C2534980	+	13	561	13.761383	3.243669	6.830389
Lflavo2a007481	-	C2535116	-	134	427	0.209184	0.049306	0.103827
Lflavo2a012238	-	C2535124	-	184	565	1.484293	0.349860	0.736721
Lflavo2a003508	-	C2535130	+	267	527	59.607143	14.049882	29.585690
Lflavo2a004988	-	C2535370	+	28	225	0.828283	0.195233	0.411114
Lflavo2a002492	-	C2535872	+	45	404	5.427777	1.279371	2.694048
Lflavo2a001247	-	C2536414	-	51	627	529.964417	124.916862	263.045013
Lflavo2a008415	-	C2536812	-	3	635	59.277180	13.972107	29.421913
Lflavo2a002493	-	C2537078	+	1	647	135.107620	31.845949	67.059944
Lflavo2a009812	-	C2539016	-	18	378	0.000000	0.000000	0.000000
Lflavo2a012382	-	C2539054	+	4	708	34.066055	8.029642	16.908506
Lflavo2a011593	-	C2539554	+	4	731	35.605659	9.510729	20.027317
Lflavo2a006731	-	C2539584	+	12	732	52.992348	12.490722	26.302471
Lflavo2a006548	-	C2541210	+	14	784	44.268673	11.389845	23.984289
Lflavo2a012920	-	C2541380	+	11	788	209.201080	49.310375	103.835846
Lflavo2a003511	-	C2541782	+	11	813	218.928589	54.796429	115.388161
Lflavo2a009905	-	C2541966	-	169	795	1.290262	0.304125	0.640415
Lflavo2a011054	-	C2543650	-	376	873	141.707611	33.401619	70.335823
Lflavo2a003899	-	C2544558	+	22	910	32.265469	7.605229	16.014793
Lflavo2a000727	-	C2545164	+	19	176	2.981013	0.702649	1.479610
Lflavo2a004695	-	C2545322	+	4	957	64.552925	16.643400	35.047016
Lflavo2a006702	-	C2545864	+	4	978	91.642250	21.600813	45.486141
Lflavo2a007338	-	C2547574	-	17	643	0.470494	0.110899	0.233527
Lflavo2a010369	-	C2549374	+	63	982	567.043335	133.656662	281.448944
Lflavo2a008747	-	C2550876	+	667	1212	36.778065	8.710673	18.342592
Lflavo2a001735	-	C2552312	-	42	1278	2.075182	0.489137	1.030006
Lflavo2a010807	-	C2552502	+	356	1289	24.273020	5.721345	12.047785
Lflavo2a008903	-	C2553074	+	2	1288	24.091761	6.654947	14.013725
Lflavo2a002221	-	C2553306	+	7	1331	96.559837	23.116520	48.677860
Lflavo2a008170	-	C2554786	-	13	1369	10.967943	2.585232	5.443880
Lflavo2a005366	-	C2554900	+	29	1428	138.476822	32.640095	68.732231
Lflavo2a003900	-	C2555424	+	196	567	35.956989	8.475351	17.847059
Lflavo2a002769	-	C2556478	-	496	1496	463.552002	109.262924	230.081573
Lflavo2a009451	-	C2556702	-	2	1525	118.315971	27.888023	58.725502
Lflavo2a009000	-	C2556706	+	178	1413	2.334142	0.550176	1.158539
Lflavo2a001322	-	C2557918	+	6	890	1210.489990	285.322205	600.820251
Lflavo2a007944	-	C2560130	-	196	1726	225.983429	53.266106	112.165672
Lflavo2a008513	-	C2560174	+	262	615	0.149718	0.035290	0.074312
Lflavo2a008512	-	C2560174	+	686	1558	0.770905	0.181708	0.382635
Lflavo2a001750	-	C2561518	-	762	1397	0.000000	0.000000	0.000000
Lflavo2a009426	-	C2562808	+	1	1889	221.050369	52.103348	109.717178
Lflavo2a005771	-	C2564172	-	13	1978	35.871235	8.455138	17.804497
Lflavo2a009904	-	C2565782	-	21	2037	1.109434	0.268118	0.564592
Lflavo2a004250	-	C2565792	-	10	2074	30.853518	7.272421	15.313980
Lflavo2a013375	-	C2565906	+	1463	1615	1.000000	0.235708	0.496345
Lflavo2a000473	-	C2566898	+	1267	2105	0.377193	0.088907	0.187218
Lflavo2a009903	-	C2566930	+	196	2160	439.603668	103.618111	218.194946
Lflavo2a006664	-	C2572254	+	11	2556	17.926395	4.225395	8.897672
Lflavo2a001296	-	C2574806	+	2	2734	69.099480	16.860806	35.504822
Lflavo2a003510	-	C2586130	-	1819	3176	0.801498	0.188919	0.397819
Lflavo2a013181	-	C2586826	-	81	2843	23.469917	5.532048	11.649169
Lflavo2a008185	-	C2589692	+	492	4211	54.753296	12.905791	27.176508
Lflavo2a010481	-	C2596020	+	33	5007	254.424591	61.494389	129.492462
Lflavo2a002187	-	C2596024	-	5	5027	73.025612	17.212723	36.245872
Lflavo2a007390	-	C2603782	-	4	1719	31.287371	9.203179	19.379694
Lflavo2a007389	-	C2603782	+	2172	6274	27.345743	6.621763	13.943847
Lflavo2a000750	-	C2607958	+	10	6302	22.602074	5.327490	11.218419
Lflavo2a000749	-	C2607958	-	1590	7113	8.758683	2.064492	4.347326
Lflavo2a002224	-	C2626548	+	1	2701	55.006065	13.892377	29.254023
Lflavo2a002222	-	C2626548	+	3135	7454	26.900557	7.364375	15.507613
Lflavo2a002223	-	C2626548	+	7723	15578	1.550995	0.365582	0.769828
Lflavo2a002245	-	C2630722	-	561	1824	839.286865	197.826645	416.575562
Lflavo2a002242	-	C2630722	+	2742	4524	55.909412	13.178297	27.750340
Lflavo2a002244	-	C2630722	-	4821	5324	190.222473	44.836960	94.415916
