Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Ccalc.v2_003687	-	scaffold1	+	287	4044	4.461778	6.241627	18.983736
Ccalc.v2_003688	-	scaffold1	-	4809	6214	7.428343	10.391585	31.605719
Ccalc.v2_003689	-	scaffold1	-	7554	11376	0.000000	0.000000	0.000000
Ccalc.v2_003690	-	scaffold1	+	12417	13806	0.000000	0.000000	0.000000
Ccalc.v2_003691	-	scaffold1	-	15132	17847	0.000000	0.000000	0.000000
Ccalc.v2_003692	-	scaffold1	+	16068	19106	2.582751	3.613037	10.988952
Ccalc.v2_003693	-	scaffold1	-	19861	24816	0.898452	1.256854	3.822686
Ccalc.v2_003694	-	scaffold1	+	24488	26826	33.149113	46.372635	141.041077
Ccalc.v2_003695	-	scaffold1	+	26835	29671	0.000000	0.000000	0.000000
Ccalc.v2_003696	-	scaffold1	-	26853	30638	33.640732	47.060368	143.132797
Ccalc.v2_003697	-	scaffold1	+	29742	38703	8.681890	13.322441	40.519829
Ccalc.v2_003698	-	scaffold1	+	38764	44405	2.420841	3.386539	10.300066
Ccalc.v2_003699	-	scaffold1	+	45041	49883	0.000000	0.000000	0.000000
Ccalc.v2_003700	-	scaffold1	+	51854	57698	12.479762	17.458069	53.098228
Ccalc.v2_003701	-	scaffold1	-	53749	61419	16.938614	23.695602	72.069511
Ccalc.v2_003702	-	scaffold1	-	61946	64557	3034.373291	4244.815918	12910.490234
Ccalc.v2_003703	-	scaffold1	+	62432	65612	220.054840	307.837006	936.277649
Ccalc.v2_003704	-	scaffold1	-	66198	69656	3.263811	4.565779	13.886689
Ccalc.v2_003705	-	scaffold1	+	70282	83327	0.000000	0.000000	0.000000
Ccalc.v2_003706	-	scaffold1	-	72693	81522	31.261261	43.731701	133.008743
Ccalc.v2_003707	-	scaffold1	+	83827	85367	0.563774	0.788669	2.398716
Ccalc.v2_003708	-	scaffold1	+	86247	90972	6.262381	8.760509	26.644846
Ccalc.v2_003709	-	scaffold1	-	86348	91743	12.143489	16.987652	51.667473
Ccalc.v2_003710	-	scaffold1	-	91758	169457	1.103351	1.577623	4.798295
Ccalc.v2_003711	-	scaffold1	+	100751	159168	8.324696	11.645503	35.419472
Ccalc.v2_003712	-	scaffold1	+	159591	174854	2.294937	3.210411	9.764376
Ccalc.v2_003713	-	scaffold1	-	169753	176033	20.251413	28.329910	86.164642
Ccalc.v2_003714	-	scaffold1	+	174915	182635	4.937552	6.907192	21.008034
Ccalc.v2_003715	-	scaffold1	-	176949	184312	54.944931	76.863029	233.776779
Ccalc.v2_003716	-	scaffold1	-	187497	188683	0.000000	0.000000	0.000000
Ccalc.v2_003717	-	scaffold1	+	188602	196125	1.018737	1.425122	4.334468
Ccalc.v2_003718	-	scaffold1	-	196211	198999	0.000000	0.000000	0.000000
Ccalc.v2_003719	-	scaffold1	+	198365	215328	0.000000	0.000000	0.000000
Ccalc.v2_003720	-	scaffold1	+	216092	253879	15.495044	21.676178	65.927490
Ccalc.v2_003721	-	scaffold1	-	252061	256605	9.032209	12.635251	38.429764
Ccalc.v2_003722	-	scaffold1	+	256636	306414	2.101109	3.314608	10.081286
Ccalc.v2_003723	-	scaffold1	-	269892	305347	0.000000	0.000000	0.000000
Ccalc.v2_003724	-	scaffold1	+	307748	314603	57.080921	79.851089	242.864868
Ccalc.v2_003725	-	scaffold1	-	315975	317928	0.625978	0.875687	2.663378
Ccalc.v2_003726	-	scaffold1	+	320235	326830	0.000000	0.000000	0.000000
Ccalc.v2_003727	-	scaffold1	+	327123	337108	0.000000	0.000000	0.000000
Ccalc.v2_003728	-	scaffold1	-	336490	336705	0.000000	0.000000	0.000000
Ccalc.v2_003729	-	scaffold1	-	337407	343832	8.602883	12.034662	36.603088
Ccalc.v2_003730	-	scaffold1	+	337461	338982	2.180591	3.050452	9.277863
Ccalc.v2_003731	-	scaffold1	+	344487	345449	0.371755	0.520052	1.581723
Ccalc.v2_003732	-	scaffold1	-	345762	347384	0.000000	0.000000	0.000000
Ccalc.v2_003733	-	scaffold1	-	347607	350608	0.000000	0.000000	0.000000
Ccalc.v2_003734	-	scaffold1	-	352706	354606	0.000000	0.000000	0.000000
