Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
OG0000394	Caust.v2_017804	gene-LOC108624851	gene-LOC117228020	gene-LOC106790434	gene-LOC107063939	Lflavo2a007137
OG0000399	Caust.v2_008481	gene-LOC108628441	gene-LOC117228601	gene-LOC106786566	gene-LOC107074631	Lflavo2a012182
OG0000432	Caust.v2_002544	gene-LOC108632973	gene-LOC117226120	gene-LOC106788543	gene-LOC107071762	Lflavo2a001946
OG0000451	Caust.v2_013763	gene-LOC108628881	gene-LOC117220633	gene-LOC106785915	gene-LOC107073811	Lflavo2a007574
OG0000468	Caust.v2_000678	gene-LOC108625537	gene-LOC117225255	gene-LOC106787008	gene-LOC107072132	Lflavo2a011344
OG0000540	Caust.v2_017598	gene-LOC108624860	gene-LOC117223267	gene-LOC106790595	gene-LOC107065213	Lflavo2a009030
OG0000546	Caust.v2_006870	gene-LOC108622610	gene-LOC117229077	gene-LOC106784173	gene-LOC107072804	Lflavo2a006023
OG0000564	Caust.v2_001089	gene-LOC108626085	gene-LOC117225382	gene-LOC106784611	gene-LOC107065147	Lflavo2a012424
OG0000565	Caust.v2_011435	gene-LOC108632683	gene-LOC117229689	gene-LOC106789127	gene-LOC107071010	Lflavo2a003406
OG0000582	Caust.v2_002216	gene-LOC108629981	gene-LOC117218436	gene-LOC106792284	gene-LOC107074086	Lflavo2a003013
OG0000602	Caust.v2_011000	gene-LOC108622465	gene-LOC117219641	gene-LOC106785220	gene-LOC107065189	Lflavo2a005499
OG0000625	Caust.v2_007685	gene-LOC108627029	gene-LOC117224888	gene-LOC106786038	gene-LOC107072439	Lflavo2a008339
OG0000635	Caust.v2_007898	gene-LOC108623621	gene-LOC117226586	gene-LOC106787795	gene-LOC107074324	Lflavo2a007580
OG0000650	Caust.v2_002305	gene-LOC108630850	gene-LOC117217388	gene-LOC106784163	gene-LOC107068928	Lflavo2a004513
OG0000651	Caust.v2_001853	gene-LOC108628568	gene-LOC117218726	gene-LOC106787643	gene-LOC107068727	Lflavo2a012363
OG0000658	Caust.v2_001300	gene-LOC108624349	gene-LOC117225439	gene-LOC106784585	gene-LOC107068533	Lflavo2a003828
OG0000676	Caust.v2_010309	gene-LOC108633110	gene-LOC117223715	gene-LOC106789302	gene-LOC107064094	Lflavo2a010884
OG0000688	Caust.v2_005970	gene-LOC108632500	gene-LOC117221131	gene-LOC106793760	gene-LOC107070440	Lflavo2a006728
OG0000691	Caust.v2_011952	gene-LOC108623194	gene-LOC117229455	gene-LOC106784469	gene-LOC107069281	Lflavo2a008259
OG0000703	Caust.v2_010171	gene-LOC108631805	gene-LOC117229351	gene-LOC106784619	gene-LOC107064736	Lflavo2a000866
OG0000706	Caust.v2_001071	gene-LOC108632227	gene-LOC117225418	gene-LOC106784572	gene-LOC107065111	Lflavo2a005637
OG0000712	Caust.v2_001403	gene-LOC108623254	gene-LOC117220931	gene-LOC106790056	gene-LOC107073824	Lflavo2a002702
OG0000718	Caust.v2_008842	gene-LOC108623385	gene-LOC117227411	gene-LOC106785385	gene-LOC107071475	Lflavo2a003747
OG0000730	Caust.v2_006381	gene-LOC108628117	gene-LOC117217897	gene-LOC106786252	gene-LOC107065633	Lflavo2a010574
OG0000731	Caust.v2_012091	gene-LOC108632925	gene-LOC117218209	gene-LOC106793707	gene-LOC107070732	Lflavo2a007068
OG0000734	Caust.v2_004675	gene-LOC108630611	gene-LOC117219569	gene-LOC106786064	gene-LOC107065139	Lflavo2a005753
OG0000740	Caust.v2_020215	gene-LOC108625563	gene-LOC117225150	gene-LOC106790079	gene-LOC107072491	Lflavo2a007599
OG0000741	Caust.v2_015580	gene-LOC108622542	gene-LOC117221655	gene-LOC106787347	gene-LOC107069641	Lflavo2a008804
OG0000747	Caust.v2_000173	gene-LOC108633059	gene-LOC117223706	gene-LOC106790388	gene-LOC107071078	Lflavo2a000442
OG0000750	Caust.v2_011973	gene-LOC108623085	gene-LOC117222791	gene-LOC106793295	gene-LOC107067744	Lflavo2a011498
OG0000754	Caust.v2_012089	gene-LOC108632901	gene-LOC117222170	gene-LOC106789433	gene-LOC107072725	Lflavo2a003609
OG0000755	Caust.v2_012876	gene-LOC108632138	gene-LOC117217433	gene-LOC106785199	gene-LOC107065694	Lflavo2a008814
OG0000759	Caust.v2_013626	gene-LOC108632528	gene-LOC117222361	gene-LOC106785773	gene-LOC107063836	Lflavo2a014027
OG0000766	Caust.v2_001121	gene-LOC108622685	gene-LOC117217616	gene-LOC106790659	gene-LOC107067461	Lflavo2a003464
OG0000767	Caust.v2_007787	gene-LOC108627647	gene-LOC117223776	gene-LOC106785483	gene-LOC107072539	Lflavo2a007161
OG0000771	Caust.v2_002416	gene-LOC108630851	gene-LOC117221118	gene-LOC106785888	gene-LOC107074639	Lflavo2a014149
OG0000777	Caust.v2_006857	gene-LOC108631585	gene-LOC117217521	gene-LOC106791470	gene-LOC107071406	Lflavo2a011034
OG0000781	Caust.v2_013363	gene-LOC108627872	gene-LOC117222975	gene-LOC106783908	gene-LOC107064855	Lflavo2a009463
OG0000785	Caust.v2_003834	gene-LOC108624884	gene-LOC117229867	gene-LOC106788756	gene-LOC107070239	Lflavo2a012584
OG0000787	Caust.v2_011933	gene-LOC108624183	gene-LOC117224796	gene-LOC106787845	gene-LOC107064588	Lflavo2a001656
OG0000788	Caust.v2_000401	gene-LOC108632572	gene-LOC117218148	gene-LOC106792261	gene-LOC107067903	Lflavo2a000846
OG0000790	Caust.v2_002095	gene-LOC108625400	gene-LOC117217892	gene-LOC106783663	gene-LOC107065887	Lflavo2a006879
OG0000792	Caust.v2_008620	gene-LOC108625384	gene-LOC117224736	gene-LOC106784789	gene-LOC107066855	Lflavo2a008498
OG0000794	Caust.v2_008483	gene-LOC108628455	gene-LOC117228789	gene-LOC106786588	gene-LOC107068979	Lflavo2a001099
OG0000795	Caust.v2_009176	gene-LOC108632572	gene-LOC117227848	gene-LOC106790097	gene-LOC107064152	Lflavo2a002193
OG0000796	Caust.v2_006462	gene-LOC108629136	gene-LOC117220427	gene-LOC106788552	gene-LOC107064175	Lflavo2a013365
OG0000798	Caust.v2_016325	gene-LOC108624760	gene-LOC117228416	gene-LOC106788899	gene-LOC107066408	Lflavo2a010736
OG0000799	Caust.v2_020888	gene-LOC108623789	gene-LOC117220380	gene-LOC106786953	gene-LOC107063815	Lflavo2a002865
OG0000801	Caust.v2_001909	gene-LOC108628606	gene-LOC117220468	gene-LOC106794058	gene-LOC107067029	Lflavo2a013400
OG0000803	Caust.v2_000189	gene-LOC108632334	gene-LOC117220453	gene-LOC106784209	gene-LOC107064074	Lflavo2a004689
OG0000807	Caust.v2_009603	gene-LOC108623744	gene-LOC117225885	gene-LOC106789518	gene-LOC107064626	Lflavo2a011388
OG0000810	Caust.v2_000550	gene-LOC108628319	gene-LOC117223404	gene-LOC106792135	gene-LOC107073317	Lflavo2a008567
OG0000817	Caust.v2_015725	gene-LOC108624276	gene-LOC117224818	gene-LOC106785414	gene-LOC107070132	Lflavo2a002484
OG0000819	Caust.v2_011067	gene-LOC108630251	gene-LOC117222919	gene-LOC106793121	gene-LOC107071614	Lflavo2a004799
OG0000825	Caust.v2_011365	gene-LOC108628027	gene-LOC117223524	gene-LOC106787361	gene-LOC107069624	Lflavo2a014342
OG0000826	Caust.v2_022296	gene-LOC108627946	gene-LOC117223876	gene-LOC106789534	gene-LOC107070032	Lflavo2a008759
OG0000827	Caust.v2_015768	gene-LOC108629489	gene-LOC117228451	gene-LOC106789370	gene-LOC107074308	Lflavo2a003258
OG0000836	Caust.v2_001359	gene-LOC108628666	gene-LOC117230044	gene-LOC106786288	gene-LOC107065660	Lflavo2a011470
OG0000844	Caust.v2_001526	gene-LOC108622289	gene-LOC117218850	gene-LOC106790568	gene-LOC107066294	Lflavo2a013721
OG0000846	Caust.v2_002435	gene-LOC108628261	gene-LOC117223028	gene-LOC106784802	gene-LOC107066808	Lflavo2a006911
OG0000847	Caust.v2_013919	gene-LOC108629958	gene-LOC117219497	gene-LOC106793626	gene-LOC107070148	Lflavo2a002918
OG0000849	Caust.v2_021709	gene-LOC108626140	gene-LOC117220321	gene-LOC106788528	gene-LOC107071761	Lflavo2a001877
OG0000851	Caust.v2_021934	gene-LOC108624636	gene-LOC117223578	gene-LOC106791735	gene-LOC107064328	Lflavo2a004193
OG0000852	Caust.v2_003858	gene-LOC108631248	gene-LOC117229692	gene-LOC106787188	gene-LOC107068524	Lflavo2a005815
OG0000854	Caust.v2_009532	gene-LOC108631661	gene-LOC117222020	gene-LOC106786789	gene-LOC107066136	Lflavo2a001171
OG0000863	Caust.v2_004659	gene-LOC108630582	gene-LOC117218238	gene-LOC106790295	gene-LOC107067945	Lflavo2a000628
OG0000872	Caust.v2_013317	gene-LOC108629656	gene-LOC117223646	gene-LOC106790545	gene-LOC107069321	Lflavo2a002303
OG0000873	Caust.v2_020733	gene-LOC108627351	gene-LOC117223192	gene-LOC106791773	gene-LOC107064869	Lflavo2a007428
OG0000874	Caust.v2_009532	gene-LOC108629282	gene-LOC117221209	gene-LOC106788739	gene-LOC107067520	Lflavo2a002621
OG0000879	Caust.v2_011047	gene-LOC108623620	gene-LOC117226510	gene-LOC106784522	gene-LOC107068481	Lflavo2a013644
OG0000882	Caust.v2_014630	gene-LOC108631745	gene-LOC117229196	gene-LOC106791365	gene-LOC107073183	Lflavo2a002582
OG0000887	Caust.v2_005144	gene-LOC108627250	gene-LOC117220060	gene-LOC106783802	gene-LOC107074307	Lflavo2a010660
OG0000888	Caust.v2_015231	gene-LOC108631339	gene-LOC117219832	gene-LOC106791056	gene-LOC107069275	Lflavo2a000487
OG0000889	Caust.v2_007136	gene-LOC108632094	gene-LOC117223339	gene-LOC106793125	gene-LOC107067214	Lflavo2a003754
OG0000891	Caust.v2_020274	gene-LOC113463846	gene-LOC117224123	gene-LOC106787661	gene-LOC107064000	Lflavo2a000196
OG0000900	Caust.v2_015902	gene-LOC108626677	gene-LOC117221516	gene-LOC106788525	gene-LOC107071779	Lflavo2a002737
OG0000906	Caust.v2_017268	gene-LOC108627154	gene-LOC117225679	gene-LOC106786675	gene-LOC107069765	Lflavo2a002097
OG0000907	Caust.v2_016608	gene-LOC108624565	gene-LOC117229309	gene-LOC106789334	gene-LOC107072673	Lflavo2a011001
OG0000908	Caust.v2_019481	gene-LOC108632472	gene-LOC117229749	gene-LOC106786967	gene-LOC107068030	Lflavo2a013671
OG0000909	Caust.v2_002016	gene-LOC108628506	gene-LOC117219843	gene-LOC106786201	gene-LOC107069713	Lflavo2a002016
OG0000910	Caust.v2_001971	gene-LOC108628594	gene-LOC117229381	gene-LOC106786963	gene-LOC107072146	Lflavo2a001705
OG0000911	Caust.v2_006687	gene-LOC108626622	gene-LOC117219703	gene-LOC106793756	gene-LOC107070452	Lflavo2a014303
OG0000912	Caust.v2_003219	gene-LOC108628815	gene-LOC117218189	gene-LOC106784297	gene-LOC107066648	Lflavo2a014304
OG0000914	Caust.v2_014518	gene-LOC108627078	gene-LOC117223398	gene-LOC106788647	gene-LOC107068633	Lflavo2a009546
