Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	16.372599	14.752375	28.997280
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	6.042608	22.579439	44.382164
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	171.212799	173.518402	341.067902
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	11.810955	17.342230	34.087898
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	6.810311	25.162617	49.459660
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	16.981077	14.974916	29.434710
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	45.741344	42.363483	83.269699
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	152.631348	134.635895	264.640381
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	100.870850	88.953873	174.847809
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	13.700245	12.081685	23.747770
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	49.403713	43.567112	85.635551
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	625.384338	551.500854	1084.030518
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	26.524025	23.390451	45.976288
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	39.340591	35.307331	69.400116
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	139.537994	135.772873	266.875275
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	410.904724	366.378693	720.154236
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	106.540916	93.954071	184.676208
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	718.636902	633.736450	1245.672974
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	12.912646	11.387134	22.382559
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	24.660139	21.746767	42.745464
