Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Megalopta_genalis-longest-isoforms
OG0000000	XP_026298667.1, XP_026298668.1, XP_026298671.1, XP_026298672.1, XP_026298674.1, XP_026298675.1, XP_026298676.1, XP_026298677.1, XP_026298681.1, XP_026298682.1, XP_026298685.1, XP_026298687.1, XP_026298689.1, XP_026298690.1, XP_026298693.1, XP_026298694.1, XP_026298695.1, XP_026298703.1	Caust.v2_002929	XP_026670716.1, XP_026670721.1, XP_026670725.1, XP_026670729.1, XP_026670733.1	XP_033324968.1, XP_033325029.1, XP_033325037.1, XP_033325046.1, XP_033325057.1, XP_033325084.1, XP_033325092.1, XP_033325119.1, XP_033325128.1, XP_033325133.1, XP_033325141.1, XP_033325148.1, XP_033325158.1, XP_033325166.1, XP_033325175.1, XP_033325182.1, XP_033325200.1, XP_033325208.1, XP_033325217.1, XP_033325224.1, XP_033325243.1, XP_033325253.1, XP_033325262.1, XP_033325271.1, XP_033325280.1, XP_033325288.1, XP_033325296.1, XP_033325304.1, XP_033325311.1, XP_033325318.1, XP_033325331.1, XP_033325337.1, XP_033325348.1
OG0000001	XP_006567541.1, XP_006567544.1, XP_006567563.1, XP_006567564.1, XP_006567576.1, XP_006567579.1, XP_006567583.1, XP_006567590.1, XP_006567592.2, XP_006567595.1, XP_006567604.1, XP_006567613.1, XP_006567617.1, XP_006567624.1, XP_006567626.1, XP_016769354.1, XP_016769355.1, XP_016769356.1, XP_016769359.1, XP_016769360.1		XP_017887193.1, XP_017887195.1, XP_017887196.1, XP_017887197.1, XP_017887198.1, XP_017887199.1, XP_017887201.1, XP_017887202.1, XP_017887203.1, XP_017887207.1, XP_017887208.1, XP_017887209.1, XP_017887210.1, XP_017887211.1, XP_017887212.1, XP_017887214.1, XP_017887215.1, XP_017887216.1, XP_026672944.1, XP_026672945.1, XP_026672947.1, XP_026672950.1, XP_026672952.1, XP_026672953.1	XP_033333345.1, XP_033333355.1
OG0000002	XP_006560572.1, XP_006560575.1, XP_006560577.1, XP_006560582.1, XP_006560587.1, XP_006560588.1, XP_006560589.1, XP_006560590.1, XP_006560591.1, XP_006560593.1, XP_006560595.1, XP_006560596.1, XP_006560597.1, XP_006560598.1, XP_006560599.1, XP_006560600.1, XP_016767051.1, XP_016767053.1, XP_016767054.1, XP_016767055.1, XP_026295740.1, XP_026295745.1, XP_026295746.1, XP_026295747.1, XP_026295748.1	Caust.v2_014280	XP_017877717.1, XP_017877728.1, XP_017877733.1, XP_017877737.1, XP_017877742.1, XP_026668236.1, XP_026668237.1, XP_026668238.1, XP_026668239.1, XP_026668241.1, XP_026668245.1	XP_033336841.1, XP_033336842.1, XP_033336844.1
OG0000003		Caust.v2_007822, Caust.v2_016370, Caust.v2_016795, Caust.v2_017547, Caust.v2_017548, Caust.v2_017549, Caust.v2_017550, Caust.v2_018427, Caust.v2_018428, Caust.v2_018783, Caust.v2_019049, Caust.v2_019050, Caust.v2_019051, Caust.v2_019895, Caust.v2_020074, Caust.v2_020075, Caust.v2_020220, Caust.v2_020221, Caust.v2_020222, Caust.v2_020321, Caust.v2_020894, Caust.v2_021073, Caust.v2_021074, Caust.v2_021103, Caust.v2_021271, Caust.v2_021272, Caust.v2_021275, Caust.v2_021281, Caust.v2_021646, Caust.v2_021719, Caust.v2_021847, Caust.v2_021858, Caust.v2_021901, Caust.v2_022328, Caust.v2_022388, Caust.v2_022473, Caust.v2_022500, Caust.v2_022619	XP_017876941.1	
OG0000004	NP_001159376.1, XP_006558004.1, XP_016766527.1, XP_016766532.1, XP_026295094.1, XP_026295095.1, XP_026295097.1, XP_026295098.1, XP_026295102.1, XP_026295103.1, XP_026295104.1, XP_026295105.1, XP_026295106.1, XP_026295108.1, XP_026295109.1, XP_026295110.1, XP_026295112.1, XP_026295121.1	Caust.v2_001775	XP_017877476.1, XP_026668094.1, XP_026668097.1, XP_026668100.1, XP_026668101.1, XP_026668102.1, XP_026668103.1, XP_026668104.1, XP_026668105.1, XP_026668106.1, XP_026668109.1, XP_026668111.1, XP_026668112.1, XP_026668114.1, XP_026668116.1, XP_026668118.1	XP_033322102.1, XP_033322103.1, XP_033322130.1
OG0000005	XP_006571199.2, XP_016773499.2, XP_026301968.1, XP_026301972.1, XP_026301973.1, XP_026301978.1, XP_026301980.1, XP_026301983.1, XP_026301989.1, XP_026301991.1, XP_026301994.1, XP_026302003.1	Caust.v2_005623, Caust.v2_009262, Caust.v2_020780	XP_026669416.1, XP_026669422.1, XP_026669431.1, XP_026669436.1, XP_026669441.1, XP_026669446.1, XP_026669447.1, XP_026669449.1, XP_026669454.1, XP_026669457.1, XP_026669460.1, XP_026669464.1, XP_026669470.1, XP_026669475.1, XP_026669481.1, XP_026669484.1, XP_026669490.1, XP_026669498.1, XP_026669508.1	XP_033341469.1, XP_033341487.1
OG0000006	XP_026294641.1, XP_026294642.1, XP_026294643.1, XP_026294644.1, XP_026294648.1, XP_026294649.1, XP_026294652.1, XP_026294653.1, XP_026294654.1, XP_026294655.1, XP_026294657.1, XP_026294658.1, XP_026294659.1, XP_026294660.1, XP_026294661.1, XP_026294662.1, XP_026294664.1, XP_026294665.1, XP_026294666.1, XP_026294667.1, XP_026294675.1, XP_026294677.1, XP_026294678.1, XP_026294679.1, XP_026294680.1, XP_026294682.1, XP_026294684.1, XP_026294690.1	Caust.v2_005685, Caust.v2_016833	XP_026668905.1	XP_033334102.1, XP_033334152.1, XP_033334155.1
OG0000007	XP_026297691.1, XP_026297692.1, XP_026297694.1, XP_026297696.1, XP_026297697.1, XP_026297699.1, XP_026297705.1, XP_026297706.1, XP_026297707.1, XP_026297708.1, XP_026297709.1, XP_026297710.1	Caust.v2_019445	XP_017879524.1, XP_017879526.1, XP_017879527.1, XP_017879528.1, XP_017879529.1, XP_017879530.1, XP_026669027.1, XP_026669028.1, XP_026669030.1, XP_026669031.1	XP_033332698.1, XP_033332707.1, XP_033332715.1, XP_033332723.1, XP_033332743.1, XP_033332750.1, XP_033332767.1, XP_033332803.1, XP_033332815.1, XP_033332825.1
OG0000008	XP_006564685.2, XP_006564690.2, XP_006564692.2, XP_006564693.2, XP_006564696.2, XP_006564697.2, XP_006564699.2, XP_006564704.2, XP_006564711.2, XP_006564715.2, XP_026297874.1, XP_026297877.1	Caust.v2_013461, Caust.v2_022334	XP_017888764.1, XP_017888769.1, XP_017888778.1, XP_026673636.1, XP_026673637.1, XP_026673638.1, XP_026673639.1, XP_026673640.1, XP_026673641.1, XP_026673642.1, XP_026673645.1, XP_026673647.1, XP_026673649.1, XP_026673651.1, XP_026673652.1	XP_033327303.1, XP_033327323.1, XP_033327324.1
OG0000009	NP_001229895.1, NP_001229900.1, NP_001229907.1, NP_001229909.1, NP_001229911.1, XP_003250726.1, XP_003250765.1, XP_003250769.3, XP_006565947.2, XP_006565948.1, XP_006572517.1, XP_016773529.1, XP_026294765.1, XP_026302133.1	Caust.v2_003725, Caust.v2_003728, Caust.v2_019721, Caust.v2_019730, Caust.v2_019731, Caust.v2_019732, Caust.v2_020786, Caust.v2_021945	XP_017878913.1, XP_017885095.1, XP_017885818.2, XP_026668773.1, XP_026668785.1, XP_026669562.1, XP_026669566.1	XP_033330629.1
