OG0003335 Caust.v2_010930 Lflavo2a009797P1 XP_014615259.1 XP_015176212.1 XP_017879800.1 XP_033340136.1
OG0003338 Caust.v2_010080 Lflavo2a011027P1 XP_014613623.1 XP_015187378.1 XP_026668156.1 XP_033322840.1
OG0003340 Caust.v2_011726 Lflavo2a006530P1 XP_014600661.1 XP_015190250.1 XP_017877028.1 XP_033342015.1
OG0003341 Caust.v2_011738 Lflavo2a009409P1 XP_014601604.1 XP_015181434.1 XP_017877038.1 XP_033341304.1
OG0003343 Caust.v2_016271 Lflavo2a011730P1 XP_014614530.1 XP_015190981.1 XP_017875565.1 XP_033321095.1
OG0003347 Caust.v2_008465 Lflavo2a011888P1 XP_014605728.1 XP_015187030.1 XP_017878203.1 XP_033334180.1
OG0003349 Caust.v2_013159 Lflavo2a008866P1 XP_014606359.1 XP_015185677.1 XP_017881046.1 XP_033328857.1
OG0003350 Caust.v2_013161 Lflavo2a007076P1 XP_014604021.1 XP_015175945.1 XP_017881055.1 XP_033328856.1
OG0003352 Caust.v2_004544 Lflavo2a006552P1 XP_014615803.1 XP_015172810.1 XP_026673623.1 XP_033338888.1
OG0003353 Caust.v2_004554 Lflavo2a006582P1 XP_014615869.1 XP_015172845.1 XP_017880406.1 XP_033338686.1
OG0003356 Caust.v2_017746 Lflavo2a006627P1 XP_014603545.1 XP_015182907.1 XP_017885830.2 XP_033328420.1
OG0003360 Caust.v2_009095 Lflavo2a004922P1 XP_014600778.1 XP_015189958.1 XP_017876874.1 XP_033342058.1
OG0003362 Caust.v2_015105 Lflavo2a010752P1 XP_014604913.1 XP_015180496.1 XP_026667149.1 XP_033336447.1
OG0003363 Caust.v2_017223 Lflavo2a009419P1 XP_014601647.1 XP_015181492.1 XP_017875290.1 XP_033328769.1
OG0003364 Caust.v2_012171 Lflavo2a005504P1 XP_014616035.1 XP_015171523.1 XP_017876906.1 XP_033339897.1
OG0003369 Caust.v2_015356 Lflavo2a003030P1 XP_014607244.1 XP_015174907.1 XP_017892202.1 XP_033337697.1
OG0003370 Caust.v2_012808 Lflavo2a010652P2 XP_014610996.1 XP_015191153.1 XP_017883897.1 XP_033331412.1
OG0003373 Caust.v2_014277 Lflavo2a007185P1 XP_014616863.1 XP_015183256.1 XP_017877795.1 XP_033337077.1
OG0003377 Caust.v2_006963 Lflavo2a003966P1 XP_014616659.1 XP_015191780.1 XP_017889150.1 XP_033333511.1
OG0003379 Caust.v2_011088 Lflavo2a004443P1 XP_014608927.1 XP_015184903.1 XP_017891609.2 XP_033339441.1
OG0003389 Caust.v2_018233 Lflavo2a013453P1 XP_014605684.1 XP_015186091.1 XP_017892664.2 XP_033332284.1
OG0003395 Caust.v2_012898 Lflavo2a014000P1 XP_014601982.1 XP_015171409.1 XP_017892672.1 XP_033337294.1
OG0003396 Caust.v2_012875 Lflavo2a004058P1 XP_014601224.1 XP_015173250.1 XP_017878622.1 XP_033323732.1
OG0003398 Caust.v2_011928 Lflavo2a012838P1 XP_014611372.1 XP_015176390.1 XP_017878809.1 XP_033326961.1
OG0003402 Caust.v2_007132 Lflavo2a004154P2 XP_014598889.1 XP_015189575.1 XP_017891896.2 XP_033331445.1
OG0003403 Caust.v2_007135 Lflavo2a004089P1 XP_014616367.1 XP_015189076.1 XP_026675190.1 XP_033331483.1
OG0003408 Caust.v2_019176 Lflavo2a007152P1 XP_014610019.1 XP_015175806.1 XP_026669283.1 XP_033321461.1
OG0003412 Caust.v2_005160 Lflavo2a010880P1 XP_014598043.1 XP_015191195.1 XP_017883832.1 XP_033325435.1
OG0003421 Caust.v2_009935 Lflavo2a000026P1 XP_014609270.1 XP_015182757.1 XP_017876635.1 XP_033325762.1
OG0003422 Caust.v2_009944 Lflavo2a006324P1 XP_014604741.1 XP_015173201.1 XP_017876470.1 XP_033325785.1
OG0003423 Caust.v2_018115 Lflavo2a004936P1 XP_014614483.1 XP_015189506.1 XP_026672199.1 XP_033321307.1
OG0003424 Caust.v2_007735 Lflavo2a010085P1 XP_014613432.1 XP_015180834.1 XP_026675568.1 XP_033326844.1
OG0003425 Caust.v2_007742 Lflavo2a001089P1 XP_014607077.1 XP_015179599.1 XP_017876169.1 XP_033326139.1
OG0003431 Caust.v2_014888 Lflavo2a005538P1 XP_014603031.1 XP_015174702.1 XP_017885357.1 XP_033334689.1
OG0003440 Caust.v2_006067 Lflavo2a010362P1 XP_014603793.1 XP_015184228.1 XP_017879760.1 XP_033339339.1
OG0003441 Caust.v2_006071 Lflavo2a014150P1 XP_014603823.1 XP_015184180.1 XP_017883984.1 XP_033339342.1
OG0003451 Caust.v2_015067 Lflavo2a014338P1 XP_014611821.1 XP_015188343.1 XP_017890926.1 XP_033322885.1
OG0003457 Caust.v2_005306 Lflavo2a012289P4 XP_014605194.1 XP_015185005.1 XP_026674819.1 XP_033326841.1
OG0003458 Caust.v2_005316 Lflavo2a012259P1 XP_014611612.1 XP_015187705.1 XP_026673778.1 XP_033333805.1
OG0003460 Caust.v2_018432 Lflavo2a004373P1 XP_014602008.1 XP_015174730.1 XP_017893176.1 XP_033333056.1
OG0003467 Caust.v2_019404 Lflavo2a010967P1 XP_014615008.1 XP_015191124.1 XP_017887617.1 XP_033331778.1
OG0003471 Caust.v2_014312 Lflavo2a004625P1 XP_014610065.1 XP_015179511.1 XP_017880189.1 XP_033338451.1
OG0003477 Caust.v2_008501 Lflavo2a000283P1 XP_014615543.1 XP_015178993.1 XP_017891040.1 XP_033333138.1
OG0003487 Caust.v2_020201 Lflavo2a007901P1 XP_014598608.1 XP_015187449.1 XP_017878111.1 XP_033322262.1
OG0003493 Caust.v2_006342 Lflavo2a010537P1 XP_014602951.1 XP_015175178.1 XP_017880960.1 XP_033322186.1
OG0003495 Caust.v2_006359 Lflavo2a010534P1 XP_014609200.1 XP_015174374.1 XP_017886683.1 XP_033321809.1
OG0003496 Caust.v2_006377 Lflavo2a010575P1 XP_014602902.1 XP_015174928.1 XP_017885408.1 XP_033321652.1
OG0003497 Caust.v2_006366 Lflavo2a010527P1 XP_014609178.1 XP_015174133.1 XP_026672745.1 XP_033321830.1
OG0003498 Caust.v2_012133 Lflavo2a012666P1 XP_014611306.1 XP_015177763.1 XP_017884045.1 XP_033330198.1
OG0003499 Caust.v2_012131 Lflavo2a008338P1 XP_014611228.1 XP_015175130.1 XP_017884053.1 XP_033321106.1
OG0003501 Caust.v2_008733 Lflavo2a009250P1 XP_014605198.1 XP_015182637.1 XP_017886479.1 XP_033325449.1
OG0003502 Caust.v2_001195 Lflavo2a008700P1 XP_014613831.1 XP_015176453.1 XP_026667929.1 XP_033328474.1
OG0003507 Caust.v2_001243 Lflavo2a012883P1 XP_014599560.1 XP_015189074.1 XP_017879127.1 XP_033327647.1
OG0003508 Caust.v2_001264 Lflavo2a009785P1 XP_014597833.1 XP_015182205.1 XP_026668187.1 XP_033335009.1
OG0003509 Caust.v2_001268 Lflavo2a004894P1 XP_014597724.1 XP_015182259.1 XP_017877619.1 XP_033335027.1
OG0003513 Caust.v2_001312 Lflavo2a011277P1 XP_014607819.1 XP_015183763.1 XP_026668814.1 XP_033342613.1
OG0003514 Caust.v2_001329 Lflavo2a007319P1 XP_014598672.1 XP_015182194.1 XP_017879988.1 XP_033342823.1
OG0003519 Caust.v2_001414 Lflavo2a005649P1 XP_014609077.1 XP_015181948.1 XP_017878462.1 XP_033342386.1
OG0003520 Caust.v2_021595 Lflavo2a009693P1 XP_014601470.1 XP_015188025.1 XP_017875016.1 XP_033333769.1
OG0003521 Caust.v2_017618 Lflavo2a006368P1 XP_014606010.1 XP_015172648.1 XP_017892561.1 XP_033335470.1
OG0003523 Caust.v2_015980 Lflavo2a010061P2 XP_014610239.1 XP_015188782.1 XP_017883108.1 XP_033339195.1
OG0003527 Caust.v2_005782 Lflavo2a002434P1 XP_014599927.1 XP_015173681.1 XP_026668535.1 XP_033338125.1
OG0003531 Caust.v2_014963 Lflavo2a011733P1 XP_014612908.1 XP_015186196.1 XP_017891253.1 XP_033326878.1
OG0003533 Caust.v2_011275 Lflavo2a008924P1 XP_014610908.1 XP_015174427.1 XP_026669456.1 XP_033321394.1
OG0003534 Caust.v2_011278 Lflavo2a000978P1 XP_014608593.1 XP_015185166.1 XP_026669452.1 XP_033321300.1
OG0003535 Caust.v2_011289 Lflavo2a012128P1 XP_014604944.1 XP_015175082.1 XP_026673878.1 XP_033332381.1
