Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Caust.v2_000001	-	scaffold_802	-	566	4710	17.159967	13.432901	44.229916
Caust.v2_000002	-	scaffold_802	+	2091	7701	19.741791	15.453964	50.884579
Caust.v2_000003	-	scaffold_802	-	6437	7171	157.139099	123.009201	405.026947
Caust.v2_000004	-	scaffold_802	-	10279	34986	58.007076	45.408207	149.513565
Caust.v2_000005	-	scaffold_802	-	35289	37359	71.869514	56.259785	185.244080
Caust.v2_000007	-	scaffold_802	-	37615	44757	13.648438	10.684060	35.178928
Caust.v2_000006	-	scaffold_802	+	37615	46066	11.420447	8.939979	29.436268
Caust.v2_000008	-	scaffold_802	-	45658	46839	0.650955	0.509571	1.677840
Caust.v2_000009	-	scaffold_802	-	54367	61434	6.201385	4.854473	15.984105
Caust.v2_000010	-	scaffold_802	+	61937	64315	4.017748	3.145112	10.355768
Caust.v2_000011	-	scaffold_802	-	64364	69084	46.868904	36.689194	120.804871
Caust.v2_000012	-	scaffold_802	+	64780	66881	0.000000	0.000000	0.000000
Caust.v2_000013	-	scaffold_802	-	70404	71557	12.719635	9.956989	32.784931
Caust.v2_000014	-	scaffold_802	-	72475	75847	13.185517	10.321684	33.985744
Caust.v2_000015	-	scaffold_802	-	76438	85325	6.838751	5.353405	17.626921
Caust.v2_000016	-	scaffold_802	+	77562	81204	0.195566	0.153090	0.504072
Caust.v2_000018	-	scaffold_802	-	85452	94249	9.926015	7.770130	25.584360
Caust.v2_000017	-	scaffold_802	+	85452	101652	21.426428	57.451073	189.166595
Caust.v2_000019	-	scaffold_802	+	101730	103625	0.243590	0.190683	0.627855
Caust.v2_000020	-	scaffold_802	-	106921	112895	16.086046	13.800022	45.438713
Caust.v2_000021	-	scaffold_802	-	113302	129313	0.165922	0.129885	0.427665
Caust.v2_000022	-	scaffold_802	+	113378	118327	16.486740	12.905896	42.494667
Caust.v2_000023	-	scaffold_802	+	124256	134281	1.128381	0.883302	2.908408
Caust.v2_000024	-	scaffold_802	-	129569	134848	2.832476	2.217275	7.300723
Caust.v2_000025	-	scaffold_802	-	135788	160306	0.000000	0.000000	0.000000
Caust.v2_000026	-	scaffold_802	+	171231	222104	5.958019	4.663964	15.356828
Caust.v2_000027	-	scaffold_802	-	171940	181526	5.632373	4.409047	14.517474
Caust.v2_000028	-	scaffold_802	-	201782	209788	0.000000	0.000000	0.000000
Caust.v2_000029	-	scaffold_802	+	222769	230834	8.168283	6.394170	21.053797
Caust.v2_000030	-	scaffold_802	+	234605	246392	20.423321	15.987470	52.641224
Caust.v2_000031	-	scaffold_802	-	236319	250669	8.094947	6.619125	21.794497
Caust.v2_000032	-	scaffold_802	+	247875	250435	0.000000	0.000000	0.000000
Caust.v2_000033	-	scaffold_802	-	251893	253604	4.213018	3.297970	10.859078
Caust.v2_000034	-	scaffold_802	+	253771	255167	0.000000	0.000000	0.000000
Caust.v2_000035	-	scaffold_802	-	255955	258387	62.428806	48.869556	160.910614
Caust.v2_000036	-	scaffold_802	+	258157	261514	1.876608	1.469017	4.836968
Caust.v2_000037	-	scaffold_802	-	261737	263182	96.206001	75.310501	247.971512
Caust.v2_000038	-	scaffold_802	+	263361	265651	45.808472	35.859081	118.071602
Caust.v2_000039	-	scaffold_802	-	264197	265134	858.697815	672.192627	2213.298584
Caust.v2_000040	-	scaffold_802	+	265839	267913	16.185818	12.670333	41.719040
Caust.v2_000041	-	scaffold_802	-	268187	271091	10.446712	8.177734	26.926460
