Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Caust.v2_000001	-	scaffold_802	-	566	4710	0.000000	0.000000	0.000000
Caust.v2_000002	-	scaffold_802	+	2091	7701	36.951565	84.451172	360.223480
Caust.v2_000003	-	scaffold_802	-	6437	7171	0.000000	0.000000	0.000000
Caust.v2_000004	-	scaffold_802	-	10279	34986	0.141005	0.322261	1.374592
Caust.v2_000005	-	scaffold_802	-	35289	37359	0.000000	0.000000	0.000000
Caust.v2_000007	-	scaffold_802	-	37615	44757	9.121648	20.847124	88.922668
Caust.v2_000006	-	scaffold_802	+	37615	46066	7.740753	17.691151	75.460976
Caust.v2_000008	-	scaffold_802	-	45658	46839	0.000000	0.000000	0.000000
Caust.v2_000009	-	scaffold_802	-	54367	61434	0.000000	0.000000	0.000000
Caust.v2_000010	-	scaffold_802	+	61937	64315	0.019270	0.044041	0.187854
Caust.v2_000011	-	scaffold_802	-	64364	69084	3.932013	8.986443	38.331352
Caust.v2_000012	-	scaffold_802	+	64780	66881	40.998665	93.700645	399.676758
Caust.v2_000013	-	scaffold_802	-	70404	71557	0.000000	0.000000	0.000000
Caust.v2_000014	-	scaffold_802	-	72475	75847	0.000000	0.000000	0.000000
Caust.v2_000015	-	scaffold_802	-	76438	85325	0.261139	0.596822	2.545722
Caust.v2_000016	-	scaffold_802	+	77562	81204	1.487909	3.400550	14.504928
Caust.v2_000018	-	scaffold_802	-	85452	94249	6.087246	13.912132	59.341709
Caust.v2_000017	-	scaffold_802	+	85452	101652	8.703433	23.937645	102.105171
Caust.v2_000019	-	scaffold_802	+	101730	103625	0.000000	0.000000	0.000000
Caust.v2_000020	-	scaffold_802	-	106921	112895	0.000000	0.000000	0.000000
Caust.v2_000021	-	scaffold_802	-	113302	129313	1.810921	4.138780	17.653820
Caust.v2_000022	-	scaffold_802	+	113378	118327	0.483482	1.104977	4.713239
Caust.v2_000023	-	scaffold_802	+	124256	134281	0.000000	0.000000	0.000000
Caust.v2_000024	-	scaffold_802	-	129569	134848	1.663889	3.802745	16.220474
Caust.v2_000025	-	scaffold_802	-	135788	160306	0.000000	0.000000	0.000000
Caust.v2_000026	-	scaffold_802	+	171231	222104	0.000000	0.000000	0.000000
Caust.v2_000027	-	scaffold_802	-	171940	181526	0.000000	0.000000	0.000000
Caust.v2_000028	-	scaffold_802	-	201782	209788	0.000000	0.000000	0.000000
Caust.v2_000029	-	scaffold_802	+	222769	230834	0.000000	0.000000	0.000000
Caust.v2_000030	-	scaffold_802	+	234605	246392	3.712579	8.484936	36.192192
Caust.v2_000031	-	scaffold_802	-	236319	250669	13.735151	32.499165	138.624023
Caust.v2_000032	-	scaffold_802	+	247875	250435	0.000000	0.000000	0.000000
Caust.v2_000033	-	scaffold_802	-	251893	253604	0.000000	0.000000	0.000000
Caust.v2_000034	-	scaffold_802	+	253771	255167	11.973496	27.364899	116.723999
Caust.v2_000035	-	scaffold_802	-	255955	258387	0.264431	0.604345	2.577814
Caust.v2_000036	-	scaffold_802	+	258157	261514	0.000000	0.000000	0.000000
Caust.v2_000037	-	scaffold_802	-	261737	263182	1.406326	3.214096	13.709613
Caust.v2_000038	-	scaffold_802	+	263361	265651	358.328979	818.945129	3493.181396
Caust.v2_000039	-	scaffold_802	-	264197	265134	3.853396	8.806767	37.564953
Caust.v2_000040	-	scaffold_802	+	265839	267913	1.709089	3.906048	16.661108
Caust.v2_000041	-	scaffold_802	-	268187	271091	0.066893	0.152881	0.652108
Caust.v2_000042	-	scaffold_802	+	271280	274436	27.561502	62.990601	268.684174
Caust.v2_000043	-	scaffold_802	-	272844	274436	0.000000	0.000000	0.000000
Caust.v2_000044	-	scaffold_802	-	274546	277029	0.000000	0.000000	0.000000
Caust.v2_000045	-	scaffold_802	-	277740	280249	0.000000	0.000000	0.000000
Caust.v2_000046	-	scaffold_802	-	281547	286944	1.253621	2.865096	12.220963
Caust.v2_000047	-	scaffold_802	+	286398	290815	3.989317	9.117408	38.889980
Caust.v2_000048	-	scaffold_802	+	291595	307744	4.974716	13.456153	57.396740
Caust.v2_000049	-	scaffold_802	-	291881	302511	19.867405	45.406078	193.678009
Caust.v2_000050	-	scaffold_802	+	309703	314870	0.261138	0.596819	2.545712
Caust.v2_000051	-	scaffold_802	-	310543	321412	4.679035	10.693729	45.613720
Caust.v2_000052	-	scaffold_802	+	320010	320442	0.000000	0.000000	0.000000
Caust.v2_000053	-	scaffold_802	+	320629	322739	0.075517	0.172591	0.736180
Caust.v2_000054	-	scaffold_802	-	332444	334830	0.000000	0.000000	0.000000
Caust.v2_000055	-	scaffold_802	-	339007	344723	0.000000	0.000000	0.000000
Caust.v2_000056	-	scaffold_802	-	344800	347940	0.000000	0.000000	0.000000
Caust.v2_000057	-	scaffold_802	+	350959	354604	0.000000	0.000000	0.000000
Caust.v2_000058	-	scaffold_802	-	351590	357172	0.000000	0.000000	0.000000
Caust.v2_000059	-	scaffold_802	+	357286	358258	0.000000	0.000000	0.000000
Caust.v2_000061	-	scaffold_802	+	359003	369712	0.216659	0.591446	2.522793
Caust.v2_000060	-	scaffold_802	-	359509	366552	1.690693	3.864004	16.481773
Caust.v2_000062	-	scaffold_802	-	369971	371421	1.585987	3.624703	15.461044
Caust.v2_000063	-	scaffold_802	-	372112	374461	0.893443	2.041925	8.709757
Caust.v2_000064	-	scaffold_802	+	375315	377707	0.000000	0.000000	0.000000
Caust.v2_000065	-	scaffold_802	-	376075	382869	14.724111	33.651306	143.538452
Caust.v2_000066	-	scaffold_802	+	383775	385541	0.000000	0.000000	0.000000
Caust.v2_000067	-	scaffold_802	-	386389	392176	36.184818	82.698807	352.748840
Caust.v2_000068	-	scaffold_802	+	390102	391975	0.000000	0.000000	0.000000
Caust.v2_000069	-	scaffold_802	+	392859	404565	0.360723	0.824416	3.516520
