Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Polyb2a002153	-	C2970098	+	87	501	0.000000	0.000000	0.000000
Polyb2a001694	-	C2970450	+	1	510	19.429411	7.455710	13.139495
Polyb2a008875	-	C2971162	+	41	299	37.918919	14.550749	25.643366
Polyb2a007949	-	C2972806	+	93	541	0.000000	0.000000	0.000000
Polyb2a003339	-	C2973406	-	93	351	0.540541	0.207424	0.365551
Polyb2a010027	-	C2974132	-	58	330	4.241758	1.627704	2.868567
Polyb2a001150	-	C2975858	+	1	587	152.150787	58.385315	102.894760
Polyb2a010877	-	C2976768	+	9	601	0.000000	0.000000	0.000000
Polyb2a002703	-	C2978500	+	1	622	40.297424	15.463460	27.251873
Polyb2a010407	-	C2979004	+	102	639	10.968402	4.208941	7.417583
Polyb2a012176	-	C2979018	-	29	546	1.503448	0.576923	1.016734
Polyb2a001693	-	C2979430	+	79	638	0.000000	0.000000	0.000000
Polyb2a010823	-	C2980230	-	82	654	38.471741	14.762886	26.017221
Polyb2a010299	-	C2981076	-	1	677	28675.699219	11003.818359	19392.468750
Polyb2a002157	-	C2981500	+	141	674	1405.365234	539.285339	950.404053
Polyb2a005639	-	C2982044	-	49	614	27.896809	10.704933	18.865728
Polyb2a005047	-	C2982162	+	1	698	199.540833	76.570450	134.943146
Polyb2a010695	-	C2982870	-	194	547	51.748589	19.857653	34.995934
Polyb2a000140	-	C2984316	-	23	740	1.110028	0.425955	0.750677
Polyb2a003742	-	C2985452	+	37	711	6.598518	2.532071	4.462369
Polyb2a009756	-	C2986562	+	21	695	7.100741	2.724790	4.802007
Polyb2a010876	-	C2987438	+	1	804	0.000000	0.000000	0.000000
Polyb2a008157	-	C2988006	+	100	350	25.692547	9.859084	17.375055
Polyb2a000326	-	C2989600	-	1	851	53.863758	20.669315	36.426357
Polyb2a009115	-	C2989842	+	1	857	218.245087	83.747894	147.592255
Polyb2a009766	-	C2992812	+	273	828	0.111511	0.042790	0.075411
Polyb2a011890	-	C2996664	-	5	934	10.664968	4.092502	7.212380
Polyb2a010516	-	C2997044	-	599	1040	16.416290	6.299476	11.101817
Polyb2a012160	-	C2999742	+	1	1116	31.788776	12.198410	21.497744
Polyb2a001966	-	C3002576	-	1	1169	823.539124	316.019348	556.933472
Polyb2a008194	-	C3003922	-	45	1236	22.344042	8.574152	15.110569
Polyb2a008873	-	C3006760	+	174	581	3.649510	1.400438	2.468048
Polyb2a008444	-	C3007846	-	852	1229	25.941799	9.954730	17.543619
Polyb2a010010	-	C3009468	+	1	1420	30.752817	11.800878	20.797157
Polyb2a000002	-	C3010104	-	1	1440	74.360535	28.534609	50.287678
Polyb2a006361	-	C3011168	+	1	1481	11.755374	4.510928	7.949788
Polyb2a007948	-	C3014528	+	1	1604	62.507542	23.986221	42.271873
Polyb2a000670	-	C3015478	+	1	1643	115.543045	44.337708	78.138107
Polyb2a006539	-	C3018894	-	1	1768	54.269482	22.272970	39.252544
Polyb2a008572	-	C3019342	-	979	1778	44.566002	17.101458	30.138577
Polyb2a001389	-	C3019584	-	62	1816	275.658325	105.779251	186.419006
Polyb2a006287	-	C3020988	-	12	1313	25.328539	9.719402	17.128889
Polyb2a003340	-	C3023530	-	1	509	7.041769	2.702161	4.762125
Polyb2a004917	-	C3023626	+	32	1998	93.045166	35.704521	62.923504
Polyb2a011194	-	C3027396	+	1182	1862	1.258160	0.482798	0.850854
Polyb2a000004	-	C3031940	-	54	857	714.534363	274.190582	483.216980
Polyb2a000005	-	C3031940	-	966	2424	138.246094	53.049622	93.491463
Polyb2a008607	-	C3038046	-	1	1489	4.332586	1.792507	3.159007
Polyb2a002704	-	C3045280	-	935	3334	0.000000	0.000000	0.000000
Polyb2a001628	-	C3045934	+	1	3477	79.595383	30.638542	53.995522
Polyb2a001472	-	C3055174	+	470	2860	30.647879	14.693354	25.894684
Polyb2a001471	-	C3055174	+	3392	4449	11.208652	4.301132	7.580057
Polyb2a012175	-	C3055924	+	2599	2994	18.134615	6.958854	12.263865
Polyb2a010329	-	C3058218	+	2021	3643	38.178955	14.650534	25.819220
Polyb2a000651	-	C3065118	+	5505	6194	0.368421	0.141375	0.249151
Polyb2a000003	-	C3071236	+	4193	6272	0.768269	0.294810	0.519556
Polyb2a010074	-	scaffold1	-	3225	4705	2.284153	0.876505	1.544700
Polyb2a010072	-	scaffold1	-	10462	13207	1.020706	0.391679	0.690271
Polyb2a010055	-	scaffold1	-	16471	38251	18.275349	7.012858	12.359039
Polyb2a010061	-	scaffold1	+	29158	31350	12.679054	4.865375	8.574443
Polyb2a010067	-	scaffold1	+	38896	43695	63.981205	24.551714	43.268463
Polyb2a010035	-	scaffold1	-	44998	53182	18.978333	7.282617	12.834446
Polyb2a010060	-	scaffold1	+	59845	61318	46.718254	17.927347	31.594078
Polyb2a010042	-	scaffold1	+	62320	64590	7.970205	3.058432	5.389997
Polyb2a010073	-	scaffold1	-	64917	67558	3.347810	1.284666	2.264018
Polyb2a010050	-	scaffold1	-	69308	75079	5.831118	2.291926	4.039153
Polyb2a010039	-	scaffold1	-	81282	93029	7.766379	2.980218	5.252156
Polyb2a010062	-	scaffold1	+	93341	94199	84.778458	32.532310	57.332989
Polyb2a010065	-	scaffold1	-	94813	95442	66.773209	25.623100	45.156609
Polyb2a010059	-	scaffold1	+	97076	98217	304.670807	116.912315	206.039230
Polyb2a010043	-	scaffold1	-	103719	106047	130.040756	50.251236	88.559753
Polyb2a010051	-	scaffold1	+	106493	109680	202.471756	77.695137	136.925247
Polyb2a010075	-	scaffold1	-	109019	111318	4.105456	1.575400	2.776390
Polyb2a010070	-	scaffold1	+	111817	113020	2.401048	0.921362	1.623753
Polyb2a010037	-	scaffold1	-	112747	115524	105.878777	40.629204	71.602470
Polyb2a010053	-	scaffold1	+	117453	118018	0.812721	0.311868	0.549618
Polyb2a010040	-	scaffold1	+	129698	130277	5.857184	2.247596	3.961028
Polyb2a010045	-	scaffold1	+	130395	141294	38.788601	14.884475	26.231503
Polyb2a010076	-	scaffold1	-	143915	146851	39.057411	14.987627	26.413292
Polyb2a010030	-	scaffold1	+	147212	156316	27.041752	10.513371	18.528133
Polyb2a010038	-	scaffold1	-	156376	189899	87.106529	41.040371	72.327080
Polyb2a010034	-	scaffold1	+	173064	187507	5.360106	2.056851	3.624870
Polyb2a010069	-	scaffold1	-	190184	191683	436.171478	170.465515	300.418152
Polyb2a010046	-	scaffold1	+	191691	193744	51.865910	19.902674	35.075272
Polyb2a010052	-	scaffold1	+	205861	211272	26.841644	10.300032	18.152155
Polyb2a010078	-	scaffold1	+	216537	248332	17.455193	6.698137	11.804394
Polyb2a010031	-	scaffold1	+	250865	273223	6.067642	18.983835	33.455971
Polyb2a010056	-	scaffold1	+	275647	276871	205.370758	78.807587	138.885742
Polyb2a010028	-	scaffold1	+	278032	278767	294.346497	112.950531	199.057220
Polyb2a010033	-	scaffold1	-	278856	282271	109.954254	42.193100	74.358582
Polyb2a010054	-	scaffold1	+	283135	289551	25.098927	9.646945	17.001196
Polyb2a010036	-	scaffold1	+	292792	293874	0.000000	0.000000	0.000000
Polyb2a010063	-	scaffold1	+	300091	302313	5.771365	2.214665	3.902992
Polyb2a010044	-	scaffold1	+	303739	309253	30.752653	11.988663	21.128098
Polyb2a010048	-	scaffold1	-	309914	310777	140.067230	53.748451	94.723038
Polyb2a010079	-	scaffold1	+	311354	315283	7.129192	2.735708	4.821247
Polyb2a010068	-	scaffold1	+	318707	335259	41.532467	16.253727	28.644590
Polyb2a010047	-	scaffold1	-	335720	336787	6.870787	2.636549	4.646496
Polyb2a010049	-	scaffold1	+	339229	342917	2.212741	1.117549	1.969502
Polyb2a010077	-	scaffold1	+	343455	352783	2.001685	0.768113	1.353676
Polyb2a010041	-	scaffold1	+	352969	353660	18.269547	7.010632	12.355116
Polyb2a010066	-	scaffold1	+	353860	357095	12.307122	4.722652	8.322917
Polyb2a010064	-	scaffold1	+	359872	372739	51.836189	19.891270	35.055176
Polyb2a010071	-	scaffold1	-	374987	376411	171.978790	65.993973	116.303810
Polyb2a010029	-	scaffold1	-	376480	377882	49.984425	19.180685	33.802883
Polyb2a010057	-	scaffold1	-	379869	380829	202.217316	77.597504	136.753174
Polyb2a010058	-	scaffold1	+	382501	383891	150.633926	57.803242	101.868958
Polyb2a010032	-	scaffold1	-	387854	402038	49.582382	19.052780	33.577477
Polyb2a009862	-	scaffold1020	-	601	2042	0.000000	0.000000	0.000000
Polyb2a009870	-	scaffold1020	-	36236	98278	6.019036	2.309704	4.070484
Polyb2a009867	-	scaffold1020	+	187275	191365	27.395456	10.808325	19.047941
Polyb2a009861	-	scaffold1020	-	191691	197860	12.935065	5.016150	8.840162
Polyb2a009872	-	scaffold1020	+	198265	200219	0.000000	0.000000	0.000000
Polyb2a009871	-	scaffold1020	-	200398	202723	0.000000	0.000000	0.000000
Polyb2a009864	-	scaffold1020	+	203492	208215	20.375078	7.818595	13.779020
Polyb2a009863	-	scaffold1020	-	208466	212934	35.634251	14.927505	26.307337
Polyb2a009866	-	scaffold1020	+	212949	214515	40.015575	17.001106	29.961727
Polyb2a009859	-	scaffold1020	-	214440	215634	48.805260	18.728201	33.005455
Polyb2a009860	-	scaffold1020	-	223192	224748	25.836866	9.914464	17.472654
Polyb2a009873	-	scaffold1020	-	225509	237532	4.187879	1.607028	2.832130
Polyb2a009868	-	scaffold1020	+	250144	251767	2.070623	0.794567	1.400297
Polyb2a009865	-	scaffold1020	-	258044	318162	14.046650	7.247774	12.773042
Polyb2a009869	-	scaffold1020	+	355075	355476	2.878109	1.104426	1.946374
Polyb2a002431	-	scaffold1021	+	36707	36931	0.000000	0.000000	0.000000
Polyb2a002415	-	scaffold1021	+	38724	39011	0.864583	0.331769	0.584690
Polyb2a002402	-	scaffold1021	-	56756	66588	962.954407	369.517609	651.215637
Polyb2a002404	-	scaffold1021	-	69431	86487	247.906326	95.129890	167.651199
Polyb2a002396	-	scaffold1021	-	87910	126206	68.215630	26.465120	46.640537
Polyb2a002409	-	scaffold1021	-	143722	147521	0.000000	0.000000	0.000000
Polyb2a002460	-	scaffold1021	-	153601	154371	9.872892	3.788557	6.676724
Polyb2a002398	-	scaffold1021	-	154630	183528	2.719991	1.043751	1.839444
Polyb2a002401	-	scaffold1021	-	195970	196299	0.000000	0.000000	0.000000
Polyb2a002416	-	scaffold1021	+	220309	225014	32.896072	12.623316	22.246572
Polyb2a002408	-	scaffold1021	+	228894	230631	169.586609	65.076019	114.686058
Polyb2a002439	-	scaffold1021	-	230684	234538	6.429318	2.467143	4.347944
Polyb2a002451	-	scaffold1021	+	235097	238185	5.200695	1.995679	3.517066
Polyb2a002453	-	scaffold1021	+	239725	240789	221.588730	85.030960	149.853455
Polyb2a002434	-	scaffold1021	-	241850	244712	26.651108	10.226915	18.023302
Polyb2a002450	-	scaffold1021	-	247311	254849	13.854734	5.316522	9.369518
Polyb2a002403	-	scaffold1021	+	256729	258760	90.749374	34.823551	61.370934
Polyb2a002444	-	scaffold1021	-	259326	268708	68.547836	26.304083	46.356735
Polyb2a002459	-	scaffold1021	-	269685	270483	139.154144	53.398071	94.105545
Polyb2a002429	-	scaffold1021	-	272249	273954	53.379776	20.483595	36.099052
Polyb2a002454	-	scaffold1021	-	274896	278430	6.716994	2.577534	4.542490
Polyb2a002445	-	scaffold1021	+	280769	282137	120.701096	46.317020	81.626335
Polyb2a002436	-	scaffold1021	-	284203	285320	142.781738	54.790100	96.558777
Polyb2a002410	-	scaffold1021	-	285716	286851	42.093689	16.152748	28.466629
Polyb2a002428	-	scaffold1021	+	288351	290077	75.375137	28.923946	50.973820
Polyb2a002399	-	scaffold1021	-	292874	306772	46.488495	17.839180	31.438700
Polyb2a002438	-	scaffold1021	-	303006	304019	0.000000	0.000000	0.000000
Polyb2a002448	-	scaffold1021	-	306969	320325	40.547035	21.956438	38.694706
Polyb2a002432	-	scaffold1021	-	320853	325475	115.506287	45.675968	80.496582
Polyb2a002457	-	scaffold1021	-	326104	330653	70.416122	27.021006	47.620193
Polyb2a002449	-	scaffold1021	+	332154	332785	2.444444	0.938014	1.653100
Polyb2a002447	-	scaffold1021	+	333759	340920	1289.127197	495.628784	873.466431
Polyb2a002456	-	scaffold1021	+	341378	345173	1.248922	0.479253	0.844606
Polyb2a002458	-	scaffold1021	+	348740	359552	52.317646	20.076019	35.380772
Polyb2a002400	-	scaffold1021	-	362836	367342	15.162485	5.818349	10.253909
Polyb2a002420	-	scaffold1021	-	368570	369237	43.824146	16.816780	29.636885
Polyb2a002426	-	scaffold1021	+	369715	371013	20.272558	8.304221	14.634860
Polyb2a002446	-	scaffold1021	+	371660	372468	5.348624	2.052445	3.617105
Polyb2a002437	-	scaffold1021	-	373427	375196	36.172840	18.241205	32.147202
Polyb2a002405	-	scaffold1021	+	379898	383670	8.870258	3.528661	6.218701
Polyb2a002441	-	scaffold1021	+	397337	428596	25.723045	10.015350	17.650452
Polyb2a002430	-	scaffold1021	-	428845	431168	25.116337	9.637973	16.985384
Polyb2a002411	-	scaffold1021	+	431348	435093	25.962528	9.962686	17.557636
Polyb2a002427	-	scaffold1021	-	444941	468932	64.375618	25.147840	44.319046
Polyb2a002413	-	scaffold1021	-	604163	604384	0.000000	0.000000	0.000000
Polyb2a002433	-	scaffold1021	+	681976	682239	0.000000	0.000000	0.000000
Polyb2a002395	-	scaffold1021	-	826893	827843	18.992908	7.288210	12.844303
Polyb2a002417	-	scaffold1021	+	844371	845138	2116.128418	812.028809	1431.070679
Polyb2a002419	-	scaffold1021	+	847404	856190	65.406250	25.098553	44.232178
Polyb2a002443	-	scaffold1021	-	859047	862809	13.635657	5.232455	9.221363
Polyb2a002422	-	scaffold1021	-	863332	864689	3.568776	1.369458	2.413450
Polyb2a002440	-	scaffold1021	-	867061	868017	1.411531	0.541651	0.954574
Polyb2a002442	-	scaffold1021	+	876424	876675	0.892857	0.342619	0.603811
Polyb2a002407	-	scaffold1021	+	884124	885371	5850.805176	2245.148438	3956.714600
Polyb2a002418	-	scaffold1021	-	887130	894103	3.512019	1.368311	2.411429
Polyb2a002412	-	scaffold1021	-	894788	897041	27.236454	10.451532	18.419151
Polyb2a002406	-	scaffold1021	+	897423	899338	1.005553	0.385864	0.680024
Polyb2a002397	-	scaffold1021	-	899286	900759	817.904907	349.663239	616.225403
Polyb2a002435	-	scaffold1021	-	901246	907275	1.961765	0.752794	1.326680
Polyb2a002421	-	scaffold1021	-	908926	909932	193.222473	74.145882	130.670258
Polyb2a002455	-	scaffold1021	+	910295	920022	55.374825	24.393345	42.989365
Polyb2a002423	-	scaffold1021	-	911670	914532	20.677225	7.934538	13.983354
Polyb2a002425	-	scaffold1021	+	919668	923178	8.028101	3.080649	5.429151
Polyb2a002452	-	scaffold1021	-	925529	926615	11.605166	4.453288	7.848207
Polyb2a002414	-	scaffold1021	+	928484	929286	36.888676	14.155410	24.946644
Polyb2a002424	-	scaffold1021	+	931577	933621	54.085884	20.781549	36.624153
Polyb2a000666	-	scaffold1026	-	10790	12597	32.457321	14.031985	24.729128
Polyb2a000657	-	scaffold1026	-	17435	93580	25.717505	13.006804	22.922409
Polyb2a000663	-	scaffold1026	-	48134	49835	0.000000	0.000000	0.000000
Polyb2a000662	-	scaffold1026	+	450939	451163	0.000000	0.000000	0.000000
Polyb2a000659	-	scaffold1026	-	529127	529297	0.000000	0.000000	0.000000
Polyb2a000660	-	scaffold1026	+	550497	554625	0.000000	0.000000	0.000000
Polyb2a000664	-	scaffold1026	-	558976	561511	1.305344	0.500904	0.882763
Polyb2a000669	-	scaffold1026	-	562000	562434	48.252335	18.516024	32.631527
Polyb2a000668	-	scaffold1026	-	567181	631975	16.458244	7.302153	12.868875
