Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC106784153	LOC106784153	NW_014569547.1	-	50143	52760	0.000000	0.000000	0.000000
gene-LOC106784085	LOC106784085	NW_014569547.1	-	52989	57536	0.645393	20.119993	39.786846
gene-LOC106783879	LOC106783879	NW_014569547.1	+	57733	165446	0.182786	4.562098	9.021449
gene-LOC106784012	LOC106784012	NW_014569547.1	-	165628	169649	0.000000	0.000000	0.000000
gene-LOC106783940	LOC106783940	NW_014569547.1	-	169879	171308	0.000000	0.000000	0.000000
gene-LOC106783811	LOC106783811	NW_014569547.1	+	171388	174397	0.000000	0.000000	0.000000
gene-LOC106792039	LOC106792039	NW_014569547.1	+	177200	179790	0.000000	0.000000	0.000000
gene-LOC106783577	LOC106783577	NW_014569547.1	+	181746	184277	0.000000	0.000000	0.000000
gene-LOC106792109	LOC106792109	NW_014569547.1	+	185758	188587	0.000000	0.000000	0.000000
gene-LOC106792180	LOC106792180	NW_014569547.1	+	188867	191996	0.000000	0.000000	0.000000
gene-LOC106790239	LOC106790239	NW_014569547.1	+	192424	198441	0.000000	0.000000	0.000000
gene-LOC106793447	LOC106793447	NW_014569547.1	+	214575	226272	0.000000	0.000000	0.000000
gene-LOC106793296	LOC106793296	NW_014569547.1	+	226579	292274	0.311488	7.774330	15.373568
gene-LOC106793534	LOC106793534	NW_014569547.1	-	301976	307177	0.000000	0.000000	0.000000
gene-LOC106785363	LOC106785363	NW_014569547.1	-	307772	417909	0.059387	1.482221	2.931060
gene-LOC106789119	LOC106789119	NW_014569547.1	-	517588	600078	0.000000	0.000000	0.000000
gene-LOC106790448	LOC106790448	NW_014569547.1	+	692122	841696	0.000000	0.000000	0.000000
gene-LOC106790650	LOC106790650	NW_014569547.1	+	873624	941482	0.000000	0.000000	0.000000
gene-LOC106790958	LOC106790958	NW_014569547.1	+	943832	946213	0.000000	0.000000	0.000000
gene-LOC106793585	LOC106793585	NW_014569547.1	+	956885	967498	0.000000	0.000000	0.000000
gene-LOC106793045	LOC106793045	NW_014569547.1	-	980318	986768	0.000000	0.000000	0.000000
gene-LOC106793239	LOC106793239	NW_014569547.1	+	989172	995016	3.865164	96.469406	190.766129
gene-LOC106792958	LOC106792958	NW_014569547.1	-	995264	1003957	2.055249	51.296307	101.437325
gene-LOC106792893	LOC106792893	NW_014569547.1	+	996097	999303	1.539757	38.430309	75.995094
gene-LOC106793354	LOC106793354	NW_014569547.1	-	1006480	1010932	0.000000	0.000000	0.000000
gene-LOC106793152	LOC106793152	NW_014569547.1	-	1012140	1018159	0.000000	0.000000	0.000000
gene-LOC106793188	LOC106793188	NW_014569547.1	-	1018351	1020180	0.000000	0.000000	0.000000
gene-LOC106793282	LOC106793282	NW_014569547.1	+	1020483	1023859	5.251163	131.062119	259.172455
gene-LOC106793092	LOC106793092	NW_014569547.1	-	1025898	1031127	0.000000	0.000000	0.000000
gene-LOC106785249	LOC106785249	NW_014569547.1	-	1042671	1102670	0.579237	14.456992	28.588387
gene-LOC106785316	LOC106785316	NW_014569547.1	-	1103804	1105333	0.613749	15.318368	30.291735
gene-LOC106793297	LOC106793297	NW_014569547.1	-	1113940	1120165	0.000000	0.000000	0.000000
gene-LOC106793424	LOC106793424	NW_014569547.1	+	1120698	1125601	0.000000	0.000000	0.000000
gene-LOC106788563	LOC106788563	NW_014569547.1	+	1129339	1165918	0.000000	0.000000	0.000000
gene-LOC106789066	LOC106789066	NW_014569547.1	-	1140299	1143423	0.000000	0.000000	0.000000
gene-LOC106793085	LOC106793085	NW_014569547.1	-	1168750	1175820	0.000000	0.000000	0.000000
gene-LOC106793508	LOC106793508	NW_014569547.1	-	1176005	1178279	0.000000	0.000000	0.000000
gene-LOC106793065	LOC106793065	NW_014569547.1	-	1182707	1186934	0.000000	0.000000	0.000000
gene-LOC106794044	LOC106794044	NW_014569547.1	-	1189428	1190434	0.000000	0.000000	0.000000
gene-LOC106793361	LOC106793361	NW_014569547.1	-	1190910	1195866	0.292580	7.302412	14.440359
gene-LOC106793683	LOC106793683	NW_014569547.1	-	1193350	1194315	0.000000	0.000000	0.000000
gene-LOC106783599	LOC106783599	NW_014569547.1	+	1195904	1196814	0.000000	0.000000	0.000000
gene-LOC106793758	LOC106793758	NW_014569547.1	-	1197009	1198667	0.000000	0.000000	0.000000
gene-LOC106793617	LOC106793617	NW_014569547.1	+	1198921	1202165	9.720358	242.607330	479.750702
gene-LOC106793905	LOC106793905	NW_014569547.1	-	1201340	1202534	0.000000	0.000000	0.000000
gene-LOC106793976	LOC106793976	NW_014569547.1	-	1202910	1204603	0.000000	0.000000	0.000000
gene-LOC106783662	LOC106783662	NW_014569547.1	+	1204673	1208241	0.000000	0.000000	0.000000
gene-LOC106793830	LOC106793830	NW_014569547.1	-	1205601	1221158	35.463703	885.127319	1750.319946
gene-LOC106783736	LOC106783736	NW_014569547.1	+	1208789	1209801	2.667861	66.586296	131.672943
gene-LOC106783776	LOC106783776	NW_014569547.1	+	1214622	1217468	0.000000	0.000000	0.000000
gene-LOC106793385	LOC106793385	NW_014569547.1	-	1221759	1224098	0.000000	0.000000	0.000000
gene-LOC106793548	LOC106793548	NW_014569547.1	+	1224819	1228740	1.703799	42.524578	84.091423
gene-LOC106793472	LOC106793472	NW_014569547.1	-	1228828	1231402	2.457776	61.342854	121.304146
gene-LOC106793491	LOC106793491	NW_014569547.1	+	1231475	1232880	0.402720	10.051361	19.876347
gene-LOC106793486	LOC106793486	NW_014569547.1	-	1232729	1235299	0.000000	0.000000	0.000000
gene-LOC106793272	LOC106793272	NW_014569547.1	+	1240198	1243951	0.000000	0.000000	0.000000
gene-LOC106793258	LOC106793258	NW_014569547.1	+	1244296	1248674	0.000000	0.000000	0.000000
gene-LOC106787496	LOC106787496	NW_014569547.1	+	1252624	1276096	0.000000	0.000000	0.000000
gene-LOC106787961	LOC106787961	NW_014569547.1	+	1276163	1277632	0.000000	0.000000	0.000000
gene-LOC106787891	LOC106787891	NW_014569547.1	-	1277574	1281010	0.000000	0.000000	0.000000
gene-LOC106787688	LOC106787688	NW_014569547.1	+	1281236	1285198	0.000000	0.000000	0.000000
gene-LOC106793396	LOC106793396	NW_014569547.1	+	1285470	1291057	0.000000	0.000000	0.000000
gene-LOC106788839	LOC106788839	NW_014569547.1	+	1291361	1292825	0.000000	0.000000	0.000000
gene-LOC106793500	LOC106793500	NW_014569547.1	+	1293208	1295215	0.000000	0.000000	0.000000
gene-LOC106792840	LOC106792840	NW_014569547.1	+	1295588	1296425	0.000000	0.000000	0.000000
gene-LOC106792406	LOC106792406	NW_014569547.1	-	1296407	1302173	0.843667	22.423803	44.342583
gene-LOC106792589	LOC106792589	NW_014569547.1	+	1302289	1303947	0.000000	0.000000	0.000000
gene-LOC106792721	LOC106792721	NW_014569547.1	-	1304130	1305912	0.000000	0.000000	0.000000
gene-LOC106792988	LOC106792988	NW_014569547.1	-	1307608	1312253	0.000000	0.000000	0.000000
gene-LOC106793028	LOC106793028	NW_014569547.1	+	1312259	1313572	0.000000	0.000000	0.000000
gene-LOC106793018	LOC106793018	NW_014569547.1	+	1313839	1317396	0.000000	0.000000	0.000000
gene-LOC106793253	LOC106793253	NW_014569547.1	-	1317722	1324310	0.000000	0.000000	0.000000
gene-LOC106793468	LOC106793468	NW_014569547.1	+	1324909	1327537	0.000000	0.000000	0.000000
gene-LOC106793323	LOC106793323	NW_014569547.1	+	1327873	1330056	0.000000	0.000000	0.000000
gene-LOC106793332	LOC106793332	NW_014569547.1	-	1330286	1331660	0.000000	0.000000	0.000000
gene-LOC106790725	LOC106790725	NW_014569547.1	-	1337719	1345020	1.183238	29.532063	58.399006
gene-LOC106790959	LOC106790959	NW_014569547.1	+	1344563	1346342	15.607390	494.650391	978.160461
gene-LOC106790839	LOC106790839	NW_014569547.1	-	1346266	1348055	4.693380	118.390869	234.115341
gene-LOC106791151	LOC106791151	NW_014569547.1	+	1348079	1348805	0.634731	15.842050	31.327307
gene-LOC106791081	LOC106791081	NW_014569547.1	-	1348870	1350171	0.000000	0.000000	0.000000
gene-LOC106791219	LOC106791219	NW_014569547.1	-	1393881	1601909	0.000000	0.000000	0.000000
gene-LOC106791448	LOC106791448	NW_014569547.1	+	1455647	1461141	0.000000	0.000000	0.000000
gene-LOC106783578	LOC106783578	NW_014569547.1	+	1628770	1637250	0.000000	0.000000	0.000000
gene-LOC106792973	LOC106792973	NW_014569547.1	-	1647075	1648128	0.000000	0.000000	0.000000
gene-LOC106793476	LOC106793476	NW_014569547.1	+	1651875	1655489	0.000000	0.000000	0.000000
gene-LOC106784213	LOC106784213	NW_014569547.1	-	1655996	1660353	0.561271	14.008586	27.701670
gene-LOC106793566	LOC106793566	NW_014569547.1	-	1661724	1715001	0.000000	0.000000	0.000000
gene-LOC106793125	LOC106793125	NW_014569547.1	-	1736237	1760106	0.000000	0.000000	0.000000
gene-LOC106793579	LOC106793579	NW_014569547.1	+	1766334	1774430	0.000000	0.000000	0.000000
gene-LOC106793338	LOC106793338	NW_014569547.1	+	1774859	1842457	0.000000	0.000000	0.000000
gene-LOC106793382	LOC106793382	NW_014569547.1	+	1852146	1861243	0.000000	0.000000	0.000000
gene-LOC106784860	LOC106784860	NW_014569547.1	+	1871058	1872488	0.142208	3.549324	7.018712
gene-LOC106793600	LOC106793600	NW_014569547.1	-	1882741	1883879	0.833572	20.804857	41.141155
gene-LOC106791695	LOC106791695	NW_014569547.1	+	1884202	1898313	0.000000	0.000000	0.000000
gene-LOC106792250	LOC106792250	NW_014569547.1	+	1901972	1905754	0.481779	13.594819	26.883459
gene-LOC106788382	LOC106788382	NW_014569547.1	-	1910656	1912612	0.000000	0.000000	0.000000
gene-LOC106788494	LOC106788494	NW_014569547.1	+	1912335	1914020	0.000000	0.000000	0.000000
gene-LOC106788172	LOC106788172	NW_014569547.1	-	1914233	1947833	1.011698	420.206329	830.948853
gene-LOC106793518	LOC106793518	NW_014569547.1	+	1948172	1950234	0.000000	0.000000	0.000000
gene-LOC106792968	LOC106792968	NW_014569547.1	-	1962260	1974014	0.156793	3.913347	7.738558
gene-LOC106792980	LOC106792980	NW_014569547.1	+	1974196	1975944	0.000000	0.000000	0.000000
gene-LOC106786104	LOC106786104	NW_014569547.1	+	1979159	1981212	0.000000	0.000000	0.000000
gene-LOC106786163	LOC106786163	NW_014569547.1	-	1980537	1982546	0.711566	17.759748	35.119518
gene-LOC106785506	LOC106785506	NW_014569547.1	+	1984279	1989825	0.000000	0.000000	0.000000
gene-LOC106786236	LOC106786236	NW_014569547.1	+	1990016	2004205	2.682051	66.940453	132.373291
gene-LOC106785575	LOC106785575	NW_014569547.1	-	2002134	2004155	3.976840	99.256683	196.277939
gene-LOC106785658	LOC106785658	NW_014569547.1	-	2004487	2007170	1.285191	50.292118	99.451561
gene-LOC106785829	LOC106785829	NW_014569547.1	+	2006813	2010540	1.068789	46.668594	92.286125
gene-LOC106793195	LOC106793195	NW_014569547.1	-	2012828	2019101	1.990237	61.882858	122.372002
gene-LOC106793224	LOC106793224	NW_014569547.1	+	2013657	2022529	4.816902	220.484512	436.003326
gene-LOC106789442	LOC106789442	NW_014569547.1	+	2025174	2035701	0.000000	0.000000	0.000000
gene-LOC106789590	LOC106789590	NW_014569547.1	-	2040164	2041455	0.000000	0.000000	0.000000
gene-LOC106789790	LOC106789790	NW_014569547.1	+	2041396	2045687	0.196790	4.911619	9.712620
gene-LOC106789660	LOC106789660	NW_014569547.1	-	2045501	2046868	0.000000	0.000000	0.000000
gene-LOC106793444	LOC106793444	NW_014569547.1	+	2047301	2050061	0.087287	2.178569	4.308072
gene-LOC106793556	LOC106793556	NW_014569547.1	-	2050606	2052789	0.000000	0.000000	0.000000
gene-LOC106793035	LOC106793035	NW_014569547.1	+	2054210	2063326	0.000000	0.000000	0.000000
gene-LOC106793109	LOC106793109	NW_014569547.1	-	2066814	2073432	0.000000	0.000000	0.000000
gene-LOC106793044	LOC106793044	NW_014569547.1	+	2076150	2078533	0.000000	0.000000	0.000000
gene-LOC106788171	LOC106788171	NW_014569547.1	-	2081262	2082934	0.000000	0.000000	0.000000
gene-LOC106793118	LOC106793118	NW_014569547.1	+	2083295	2090060	0.000000	0.000000	0.000000
gene-LOC106791671	LOC106791671	NW_014569547.1	-	2091350	2092616	0.000000	0.000000	0.000000
gene-LOC106793116	LOC106793116	NW_014569547.1	+	2093682	2433060	0.000000	0.000000	0.000000
gene-LOC106793182	LOC106793182	NW_014569547.1	+	2249454	2301138	0.000000	0.000000	0.000000
gene-LOC106793244	LOC106793244	NW_014569547.1	+	2362133	2365793	0.000000	0.000000	0.000000
