Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Liostenogaster_flavolineata-longest-isoforms	Megalopta_genalis-longest-isoforms	Polistes_canadensis-longest-isoforms	Polistes_dominula-longest-isoforms
OG0000000	NP_001229887.1, NP_001229888.1, NP_001229891.1, NP_001229892.1, NP_001229894.1, NP_001229895.1, NP_001229900.1, NP_001229904.1, NP_001229907.1, NP_001229909.1, NP_001229911.1, XP_001121864.2, XP_003250726.1, XP_003250751.1, XP_003250754.2, XP_003250757.1, XP_003250765.1, XP_006565941.2, XP_006565944.1, XP_006565947.2, XP_006565948.1, XP_006565953.2, XP_006572517.1, XP_016773529.1, XP_016773531.1, XP_016773539.1, XP_026294765.1, XP_026294766.1, XP_026302132.1, XP_026302133.1, XP_026302134.1	Caust.v2_003725, Caust.v2_003728, Caust.v2_003729, Caust.v2_003730, Caust.v2_003731, Caust.v2_003732, Caust.v2_019721, Caust.v2_019722, Caust.v2_019730, Caust.v2_019731, Caust.v2_019732, Caust.v2_020786, Caust.v2_021945	XP_017878913.1, XP_017883139.2, XP_017885095.1, XP_017885818.2, XP_026668773.1, XP_026668777.1, XP_026668778.1, XP_026668779.1, XP_026668785.1, XP_026668788.1, XP_026669562.1, XP_026669566.1, XP_026670946.1		Lflavo2a001747P1, Lflavo2a001748P1, Lflavo2a003510P1, Lflavo2a008983P1, Lflavo2a008984P1, Lflavo2a008985P1, Lflavo2a008986P1, Lflavo2a008987P1, Lflavo2a008988P1, Lflavo2a008989P1, Lflavo2a008990P1, Lflavo2a008991P1, Lflavo2a011006P1, Lflavo2a011017P1, Lflavo2a011937P1, Lflavo2a011938P1, Lflavo2a011944P1, Lflavo2a011945P1, Lflavo2a011949P1, Lflavo2a011952P1, Lflavo2a011959P1, Lflavo2a011966P1, Lflavo2a011971P1, Lflavo2a011976P1, Lflavo2a011978P1, Lflavo2a011982P1, Lflavo2a011983P1, Lflavo2a011989P1, Lflavo2a011990P1		XP_014604744.1, XP_014604745.1, XP_014604746.1, XP_014604747.1, XP_014604748.1, XP_014604749.1, XP_014604750.1, XP_014604752.1, XP_014604753.1, XP_014604758.1, XP_014604785.1, XP_014604786.1, XP_014612511.1, XP_014612512.1, XP_014612513.1, XP_014612514.1, XP_014612516.1	XP_015179317.1, XP_015179319.1, XP_015179320.1, XP_015179321.1, XP_015179322.1, XP_015179323.1, XP_015179324.1, XP_015179325.1, XP_015179328.1, XP_015179329.1, XP_015179330.1, XP_015179331.1, XP_015179392.1, XP_015179394.1, XP_015179396.1, XP_015179496.1
OG0000001		Caust.v2_001428, Caust.v2_016359, Caust.v2_016702, Caust.v2_017962, Caust.v2_020420, Caust.v2_022195, Caust.v2_022383, Caust.v2_022692	XP_017874999.1, XP_017875194.1, XP_017875322.1, XP_017875371.1, XP_017876324.1, XP_017877626.1, XP_017879465.1, XP_017879660.1, XP_017881790.1, XP_017882355.1, XP_017882359.1, XP_017884020.1, XP_017884602.1, XP_017887576.1, XP_017889188.1, XP_017889631.1, XP_017892659.1, XP_026672465.1		Lflavo2a000287P1, Lflavo2a000728P1, Lflavo2a001281P1, Lflavo2a004324P1, Lflavo2a004325P1, Lflavo2a009428P1	XP_033320861.1, XP_033320862.1, XP_033321268.1, XP_033322444.1, XP_033322446.1, XP_033323544.1, XP_033332143.1, XP_033332580.1, XP_033332599.1, XP_033334293.1, XP_033338067.1, XP_033339063.1, XP_033339065.1, XP_033339068.1, XP_033339380.1, XP_033339901.1	XP_014606073.1, XP_014610294.1, XP_014611208.1, XP_014613678.1, XP_014613892.1, XP_014614210.1, XP_014614368.1, XP_014614469.1, XP_014614473.1, XP_014614510.1, XP_014614511.1, XP_014614536.1, XP_014614688.1, XP_014614817.1, XP_014614818.1, XP_014614820.1, XP_014614842.1, XP_014614873.1, XP_014614874.1, XP_014614883.1, XP_014614929.1, XP_014614955.1	XP_015172151.1, XP_015180763.1, XP_015180764.1, XP_015186015.1, XP_015186017.1, XP_015188448.1, XP_015188713.1, XP_015189416.1, XP_015189501.1, XP_015189502.1, XP_015189653.1, XP_015189697.1, XP_015189734.1, XP_015189739.1, XP_015189746.1, XP_015189758.1, XP_015189767.1, XP_015189791.1, XP_015189812.1, XP_015189872.1, XP_015189881.1, XP_015189902.1, XP_015189924.1, XP_015189943.1, XP_015189955.1, XP_015189956.1, XP_015189981.1
OG0000002	XP_026298667.1, XP_026298668.1, XP_026298671.1, XP_026298672.1, XP_026298674.1, XP_026298675.1, XP_026298676.1, XP_026298677.1, XP_026298681.1, XP_026298682.1, XP_026298685.1, XP_026298687.1, XP_026298689.1, XP_026298690.1, XP_026298693.1, XP_026298694.1, XP_026298695.1, XP_026298703.1	Caust.v2_002929, Caust.v2_002933	XP_017881901.2, XP_026670716.1, XP_026670721.1, XP_026670725.1, XP_026670729.1, XP_026670733.1	FBgn0003429	Lflavo2a003232P1	XP_033324968.1, XP_033325029.1, XP_033325037.1, XP_033325046.1, XP_033325057.1, XP_033325084.1, XP_033325092.1, XP_033325119.1, XP_033325128.1, XP_033325133.1, XP_033325141.1, XP_033325148.1, XP_033325158.1, XP_033325166.1, XP_033325175.1, XP_033325182.1, XP_033325200.1, XP_033325208.1, XP_033325217.1, XP_033325224.1, XP_033325243.1, XP_033325253.1, XP_033325262.1, XP_033325271.1, XP_033325280.1, XP_033325288.1, XP_033325296.1, XP_033325304.1, XP_033325311.1, XP_033325318.1, XP_033325324.1, XP_033325331.1, XP_033325337.1, XP_033325348.1	XP_014605527.1, XP_014605529.1, XP_014605530.1, XP_014605580.1	XP_015189835.1, XP_015189871.1, XP_015189875.1, XP_015189879.1, XP_015189885.1, XP_015189891.1, XP_015189895.1, XP_015189897.1, XP_015189903.1, XP_015189906.1, XP_015189912.1, XP_015189916.1, XP_015189920.1, XP_015189926.1, XP_015189932.1, XP_015189939.1, XP_015189944.1, XP_015189946.1, XP_015189954.1, XP_015189957.1, XP_015189961.1, XP_015189967.1, XP_015189971.1, XP_015189977.1, XP_015189983.1, XP_015189988.1, XP_015189989.1
OG0000003		Caust.v2_018869, Caust.v2_019161, Caust.v2_021203	XP_017875115.1, XP_017875127.1, XP_017882546.1, XP_026667264.1, XP_026672920.1	FBgn0037633	Lflavo2a000291P1, Lflavo2a000328P1, Lflavo2a001212P1, Lflavo2a001528P1, Lflavo2a002130P1, Lflavo2a002158P1, Lflavo2a002183P1, Lflavo2a002200P1, Lflavo2a002213P1, Lflavo2a002238P1, Lflavo2a002704P1, Lflavo2a003893P1, Lflavo2a004950P1, Lflavo2a005259P1, Lflavo2a005861P1, Lflavo2a005886P1, Lflavo2a005995P1, Lflavo2a006753P1, Lflavo2a007398P1, Lflavo2a007434P1, Lflavo2a007750P1, Lflavo2a008519P1, Lflavo2a010937P1	XP_033323890.1, XP_033326115.1, XP_033326527.1, XP_033326528.1, XP_033329188.1, XP_033332812.1, XP_033334494.1, XP_033335286.1, XP_033335544.1, XP_033339838.1, XP_033339841.1	XP_014606009.1, XP_014606460.1, XP_014610914.1, XP_014612715.1, XP_014612987.1, XP_014614206.1, XP_014614208.1, XP_014614261.1, XP_014614364.1, XP_014614648.1, XP_014614652.1, XP_014614915.1, XP_014614953.1, XP_014616302.1, XP_014616305.1	XP_015175258.1, XP_015177516.1, XP_015178585.1, XP_015186432.1, XP_015186435.1, XP_015186437.1, XP_015189180.1, XP_015189652.1, XP_015189683.1, XP_015189689.1, XP_015189729.1, XP_015189732.1, XP_015189742.1, XP_015189887.1, XP_015189941.1, XP_015189948.1, XP_015189976.1, XP_015189979.1, XP_015190455.1
OG0000004	XP_003250229.1, XP_003250567.1, XP_003250569.2, XP_016768129.1, XP_016769477.1, XP_026297787.1, XP_026301320.1, XP_394210.5, XP_394219.3, XP_623443.2	Caust.v2_003441, Caust.v2_003603, Caust.v2_010248, Caust.v2_010578, Caust.v2_015069, Caust.v2_019251, Caust.v2_019430	XP_017883553.1, XP_017887927.2, XP_017891701.1, XP_026666941.1, XP_026675083.1, XP_026675090.1	FBgn0001112, FBgn0030586, FBgn0030587, FBgn0030588, FBgn0030589, FBgn0030590, FBgn0030592, FBgn0030598, FBgn0039415, FBgn0266435	Lflavo2a004536P1, Lflavo2a004537P2, Lflavo2a010081P1, Lflavo2a010092P1, Lflavo2a010097P1, Lflavo2a010112P1, Lflavo2a010121P1, Lflavo2a010123P1, Lflavo2a010131P1, Lflavo2a013570P1, Lflavo2a014174P1, Lflavo2a014349P1	XP_033322646.1, XP_033324107.1, XP_033324109.1, XP_033329032.1, XP_033329034.1, XP_033329045.1, XP_033329050.1, XP_033329051.1, XP_033329057.1, XP_033329058.1, XP_033329059.1, XP_033329521.1	XP_014601818.1, XP_014603805.1, XP_014604928.1, XP_014604941.1, XP_014605259.1, XP_014608988.1, XP_014609000.1, XP_014609013.1, XP_014609026.1	XP_015171540.1, XP_015180321.1, XP_015180322.1, XP_015180325.1, XP_015180327.1, XP_015180328.1, XP_015180329.1, XP_015182812.1, XP_015184470.1
OG0000005	NP_001257748.1	Caust.v2_002623, Caust.v2_002624, Caust.v2_003346, Caust.v2_012096	XP_017879055.1, XP_017882360.1, XP_026670490.1	FBgn0000552, FBgn0004777, FBgn0004778, FBgn0004779, FBgn0004780, FBgn0004781, FBgn0004782, FBgn0004783, FBgn0005664, FBgn0029811, FBgn0031467, FBgn0032125, FBgn0035280, FBgn0035281, FBgn0035510, FBgn0035511, FBgn0035512, FBgn0035513, FBgn0035873, FBgn0035875, FBgn0036878, FBgn0036879, FBgn0036880, FBgn0036881, FBgn0038714, FBgn0051876, FBgn0053302, FBgn0085491, FBgn0250833	Lflavo2a006095P1, Lflavo2a012160P1, Lflavo2a012590P1, Lflavo2a012620P1, Lflavo2a013589P1, Lflavo2a013674P1, Lflavo2a013804P1	XP_033327378.1, XP_033329954.1, XP_033338642.1	XP_014599732.1, XP_014607027.1, XP_014610362.1, XP_014616328.1	XP_015172137.1, XP_015172507.1, XP_015172519.1, XP_015181509.1, XP_015184679.1, XP_015185507.1
OG0000006	XP_026301256.1	Caust.v2_003263, Caust.v2_010016, Caust.v2_017654, Caust.v2_020367	XP_017875047.1, XP_017886295.1, XP_017889198.1, XP_017889230.1, XP_017890257.1, XP_026666907.1, XP_026674581.1	FBgn0003863, FBgn0010357, FBgn0010358, FBgn0010359, FBgn0010425, FBgn0011554, FBgn0011555, FBgn0011556, FBgn0011832, FBgn0015001, FBgn0015316, FBgn0019928, FBgn0031406, FBgn0034052, FBgn0034507, FBgn0034518, FBgn0034807, FBgn0038431, FBgn0039703, FBgn0042186, FBgn0042187, FBgn0043470, FBgn0043471, FBgn0050025, FBgn0050031, FBgn0051681, FBgn0051954, FBgn0052833, FBgn0052834, FBgn0085487, FBgn0250841, FBgn0259998, FBgn0264253	Lflavo2a005179P1, Lflavo2a011854P1, Lflavo2a011865P1	XP_033333560.1, XP_033333561.1, XP_033333685.1	XP_014597848.1, XP_014597894.1, XP_014605337.1	XP_015173397.1, XP_015181488.1, XP_015184244.1
OG0000007	NP_001229915.1, XP_016770780.1, XP_016770782.1, XP_016770788.1, XP_026299312.1	Caust.v2_009317, Caust.v2_013631, Caust.v2_014746, Caust.v2_017149, Caust.v2_017150	XP_017889271.2, XP_026667345.1, XP_026673541.1, XP_026673543.1, XP_026675078.1		Lflavo2a000841P1, Lflavo2a001847P1, Lflavo2a002631P1, Lflavo2a002863P1, Lflavo2a002872P1, Lflavo2a004055P1, Lflavo2a009091P1, Lflavo2a009095P1, Lflavo2a009517P1, Lflavo2a009988P1, Lflavo2a009997P1, Lflavo2a010000P1, Lflavo2a010004P1, Lflavo2a010005P1, Lflavo2a010009P1, Lflavo2a010017P1, Lflavo2a010023P1, Lflavo2a010047P1, Lflavo2a010055P1, Lflavo2a013404P1, Lflavo2a013430P1	XP_033322473.1	XP_014601884.1, XP_014605682.1, XP_014605683.1, XP_014609952.1, XP_014610349.1, XP_014611735.1, XP_014612691.1	XP_015171022.1, XP_015171079.1, XP_015171450.1, XP_015178584.1, XP_015181318.1, XP_015181319.1, XP_015181320.1, XP_015185287.1, XP_015185288.1, XP_015185289.1, XP_015185299.1, XP_015185301.1
OG0000008	XP_006567541.1, XP_006567544.1, XP_006567563.1, XP_006567564.1, XP_006567576.1, XP_006567579.1, XP_006567583.1, XP_006567590.1, XP_006567592.2, XP_006567595.1, XP_006567604.1, XP_006567613.1, XP_006567617.1, XP_006567624.1, XP_006567626.1, XP_016769354.1, XP_016769355.1, XP_016769356.1, XP_016769359.1, XP_016769360.1		XP_017887193.1, XP_017887195.1, XP_017887196.1, XP_017887197.1, XP_017887198.1, XP_017887199.1, XP_017887201.1, XP_017887202.1, XP_017887203.1, XP_017887207.1, XP_017887208.1, XP_017887209.1, XP_017887210.1, XP_017887211.1, XP_017887212.1, XP_017887214.1, XP_017887215.1, XP_017887216.1, XP_026672944.1, XP_026672945.1, XP_026672947.1, XP_026672950.1, XP_026672952.1, XP_026672953.1		Lflavo2a002602P3		XP_014607710.1, XP_014607713.1, XP_014607714.1, XP_014607716.1	XP_015178601.1, XP_015178603.1, XP_015178604.1, XP_015178605.1, XP_015178606.1, XP_015178610.1, XP_015178611.1
