Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC106784153	LOC106784153	NW_014569547.1	-	50143	52760	0.749846	0.341206	0.750404
gene-LOC106784085	LOC106784085	NW_014569547.1	-	52989	57536	0.393882	0.283344	0.623151
gene-LOC106783879	LOC106783879	NW_014569547.1	+	57733	165446	43.996220	20.019817	44.028973
gene-LOC106784012	LOC106784012	NW_014569547.1	-	165628	169649	0.000000	0.000000	0.000000
gene-LOC106783940	LOC106783940	NW_014569547.1	-	169879	171308	155.269272	70.652939	155.384857
gene-LOC106783811	LOC106783811	NW_014569547.1	+	171388	174397	33.365616	15.182521	33.390457
gene-LOC106792039	LOC106792039	NW_014569547.1	+	177200	179790	0.000000	0.000000	0.000000
gene-LOC106783577	LOC106783577	NW_014569547.1	+	181746	184277	0.000000	0.000000	0.000000
gene-LOC106792109	LOC106792109	NW_014569547.1	+	185758	188587	0.276419	0.125780	0.276625
gene-LOC106792180	LOC106792180	NW_014569547.1	+	188867	191996	64.387047	29.298355	64.434982
gene-LOC106790239	LOC106790239	NW_014569547.1	+	192424	198441	0.570895	0.259777	0.571320
gene-LOC106793447	LOC106793447	NW_014569547.1	+	214575	226272	33.067856	22.518351	49.523926
gene-LOC106793296	LOC106793296	NW_014569547.1	+	226579	292274	230.169098	104.734978	230.340454
gene-LOC106793534	LOC106793534	NW_014569547.1	-	301976	307177	2.018059	1.012303	2.226327
gene-LOC106785363	LOC106785363	NW_014569547.1	-	307772	417909	60.330219	27.460869	60.393852
gene-LOC106789119	LOC106789119	NW_014569547.1	-	517588	600078	54.377316	27.137318	59.682278
gene-LOC106790448	LOC106790448	NW_014569547.1	+	692122	841696	1.154677	3.270728	7.193213
gene-LOC106790650	LOC106790650	NW_014569547.1	+	873624	941482	46.450497	21.136599	46.485077
gene-LOC106790958	LOC106790958	NW_014569547.1	+	943832	946213	102.927452	46.835583	103.004082
gene-LOC106793585	LOC106793585	NW_014569547.1	+	956885	967498	5.711781	2.771001	6.094179
gene-LOC106793045	LOC106793045	NW_014569547.1	-	980318	986768	31.648029	14.518885	31.930941
gene-LOC106793239	LOC106793239	NW_014569547.1	+	989172	995016	28.694672	13.057077	28.716034
gene-LOC106792958	LOC106792958	NW_014569547.1	-	995264	1003957	61.546963	28.006018	61.592785
gene-LOC106792893	LOC106792893	NW_014569547.1	+	996097	999303	25.202370	11.467958	25.221132
gene-LOC106793354	LOC106793354	NW_014569547.1	-	1006480	1010932	34.597279	16.163160	35.547153
gene-LOC106793152	LOC106793152	NW_014569547.1	-	1012140	1018159	24.736975	14.333655	31.523573
gene-LOC106793188	LOC106793188	NW_014569547.1	-	1018351	1020180	15.823077	7.200053	15.834857
gene-LOC106793282	LOC106793282	NW_014569547.1	+	1020483	1023859	66.115753	30.270994	66.574081
gene-LOC106793092	LOC106793092	NW_014569547.1	-	1025898	1031127	63.907051	80.779869	177.656708
gene-LOC106785249	LOC106785249	NW_014569547.1	-	1042671	1102670	164.574814	74.887283	164.697342
gene-LOC106785316	LOC106785316	NW_014569547.1	-	1103804	1105333	156.507797	71.216515	156.624313
gene-LOC106793297	LOC106793297	NW_014569547.1	-	1113940	1120165	24.775360	11.273654	24.793804
gene-LOC106793424	LOC106793424	NW_014569547.1	+	1120698	1125601	21.701313	9.890967	21.752905
gene-LOC106788563	LOC106788563	NW_014569547.1	+	1129339	1165918	58.661232	119.566772	262.959564
gene-LOC106789066	LOC106789066	NW_014569547.1	-	1140299	1143423	14.526515	6.610072	14.537330
gene-LOC106793085	LOC106793085	NW_014569547.1	-	1168750	1175820	35.452957	16.132334	35.479351
gene-LOC106793508	LOC106793508	NW_014569547.1	-	1176005	1178279	33.788521	15.374957	33.813675
gene-LOC106793065	LOC106793065	NW_014569547.1	-	1182707	1186934	114.263023	54.070904	118.916496
gene-LOC106794044	LOC106794044	NW_014569547.1	-	1189428	1190434	0.468111	0.213007	0.468459
gene-LOC106793361	LOC106793361	NW_014569547.1	-	1190910	1195866	93.050591	42.578144	93.640816
gene-LOC106793683	LOC106793683	NW_014569547.1	-	1193350	1194315	0.070393	0.032031	0.070445
gene-LOC106783599	LOC106783599	NW_014569547.1	+	1195904	1196814	31.297125	14.241284	31.320423
gene-LOC106793758	LOC106793758	NW_014569547.1	-	1197009	1198667	226.561279	103.093292	226.729950
gene-LOC106793617	LOC106793617	NW_014569547.1	+	1198921	1202165	0.000000	0.000000	0.000000
gene-LOC106793905	LOC106793905	NW_014569547.1	-	1201340	1202534	17.957081	8.171099	17.970449
gene-LOC106793976	LOC106793976	NW_014569547.1	-	1202910	1204603	18.618734	8.472175	18.632595
gene-LOC106783662	LOC106783662	NW_014569547.1	+	1204673	1208241	22.727545	11.884031	26.136187
gene-LOC106793830	LOC106793830	NW_014569547.1	-	1205601	1221158	172.526245	78.505463	172.654678
gene-LOC106783736	LOC106783736	NW_014569547.1	+	1208789	1209801	0.291517	0.132650	0.291734
gene-LOC106783776	LOC106783776	NW_014569547.1	+	1214622	1217468	0.000000	0.000000	0.000000
gene-LOC106793385	LOC106793385	NW_014569547.1	-	1221759	1224098	1.394462	0.634529	1.395500
gene-LOC106793548	LOC106793548	NW_014569547.1	+	1224819	1228740	1036.603638	471.690857	1037.375366
gene-LOC106793472	LOC106793472	NW_014569547.1	-	1228828	1231402	38.120441	17.346132	38.148819
gene-LOC106793491	LOC106793491	NW_014569547.1	+	1231475	1232880	1.692382	0.770093	1.693642
gene-LOC106793486	LOC106793486	NW_014569547.1	-	1232729	1235299	19.426884	8.839911	19.441347
gene-LOC106793272	LOC106793272	NW_014569547.1	+	1240198	1243951	27.723684	12.615244	27.744324
gene-LOC106793258	LOC106793258	NW_014569547.1	+	1244296	1248674	14.444845	6.576818	14.464194
gene-LOC106787496	LOC106787496	NW_014569547.1	+	1252624	1276096	23.691141	13.305149	29.261610
gene-LOC106787961	LOC106787961	NW_014569547.1	+	1276163	1277632	0.333673	0.151833	0.333921
gene-LOC106787891	LOC106787891	NW_014569547.1	-	1277574	1281010	15.871993	7.222311	15.883809
gene-LOC106787688	LOC106787688	NW_014569547.1	+	1281236	1285198	18.864080	9.189686	20.210594
gene-LOC106793396	LOC106793396	NW_014569547.1	+	1285470	1291057	31.741356	15.262851	33.567123
gene-LOC106788839	LOC106788839	NW_014569547.1	+	1291361	1292825	67.943428	30.916632	67.994011
gene-LOC106793500	LOC106793500	NW_014569547.1	+	1293208	1295215	208.450516	94.852264	208.605698
gene-LOC106792840	LOC106792840	NW_014569547.1	+	1295588	1296425	4.822488	2.194401	4.826078
gene-LOC106792406	LOC106792406	NW_014569547.1	-	1296407	1302173	16.145899	9.575104	21.058235
gene-LOC106792589	LOC106792589	NW_014569547.1	+	1302289	1303947	28.478201	13.409000	29.490005
gene-LOC106792721	LOC106792721	NW_014569547.1	-	1304130	1305912	15.581958	7.891676	17.355925
gene-LOC106792988	LOC106792988	NW_014569547.1	-	1307608	1312253	54.298252	25.978979	57.134781
gene-LOC106793028	LOC106793028	NW_014569547.1	+	1312259	1313572	11.948215	5.436855	11.957110
gene-LOC106793018	LOC106793018	NW_014569547.1	+	1313839	1317396	3.366314	1.531790	3.368820
gene-LOC106793253	LOC106793253	NW_014569547.1	-	1317722	1324310	7.994679	3.637858	8.000630
gene-LOC106793468	LOC106793468	NW_014569547.1	+	1324909	1327537	65.413422	29.765392	65.462120
gene-LOC106793323	LOC106793323	NW_014569547.1	+	1327873	1330056	121.039642	55.149677	121.289017
gene-LOC106793332	LOC106793332	NW_014569547.1	-	1330286	1331660	0.330008	0.150165	0.330254
gene-LOC106790725	LOC106790725	NW_014569547.1	-	1337719	1345020	36.261314	16.752541	36.843353
gene-LOC106790959	LOC106790959	NW_014569547.1	+	1344563	1346342	116.387032	65.987831	145.125015
gene-LOC106790839	LOC106790839	NW_014569547.1	-	1346266	1348055	44.630924	20.727245	45.584805
gene-LOC106791151	LOC106791151	NW_014569547.1	+	1348079	1348805	354.982025	161.529221	355.246277
gene-LOC106791081	LOC106791081	NW_014569547.1	-	1348870	1350171	72.769760	33.112782	72.823936
