Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC117218713	LOC117218713	NW_022886868.1	+	157212	170821	0.000000	0.000000	0.000000
gene-LOC117221120	LOC117221120	NW_022886913.1	-	31741	32707	0.000000	0.000000	0.000000
gene-LOC117220716	LOC117220716	NW_022886913.1	-	51797	54370	2.828682	1.646120	4.170923
gene-LOC117221797	LOC117221797	NW_022886913.1	+	72046	73212	13.083213	7.613631	19.291340
gene-LOC117222501	LOC117222501	NW_022886913.1	+	73770	74502	1.330341	0.774177	1.961602
gene-LOC117224661	LOC117224661	NW_022886927.1	-	99960	101353	0.000000	0.000000	0.000000
gene-LOC117225180	LOC117225180	NW_022886933.1	-	10262	25069	0.000000	0.000000	0.000000
gene-LOC117227604	LOC117227604	NW_022886933.1	-	95081	96516	0.695988	0.405022	1.026242
gene-LOC117229484	LOC117229484	NW_022886975.1	+	7439	9994	0.210335	0.122402	0.310141
gene-LOC117229422	LOC117229422	NW_022886975.1	-	7876	11329	6.942741	4.040251	10.237147
gene-LOC117229831	LOC117229831	NW_022886975.1	+	11892	13179	0.000000	0.000000	0.000000
gene-LOC117229331	LOC117229331	NW_022886975.1	-	16329	27800	12.690326	7.384994	18.712025
gene-LOC117229605	LOC117229605	NW_022886975.1	+	37033	73701	1.442822	0.839634	2.127457
gene-LOC117229529	LOC117229529	NW_022886975.1	-	73779	95070	13.970798	8.130151	20.600094
gene-LOC117229782	LOC117229782	NW_022886975.1	+	91158	92434	0.183486	0.106778	0.270552
gene-LOC117230013	LOC117230013	NW_022887012.1	+	243689	244697	392.188263	228.229614	578.285889
gene-LOC117230074	LOC117230074	NW_022887012.1	+	246480	257427	52.664413	30.647472	77.654251
gene-LOC117217425	LOC117217425	NW_022887057.1	+	366423	768851	7.316116	4.365777	11.061962
gene-LOC117217631	LOC117217631	NW_022887057.1	+	857230	875584	3.296001	1.918071	4.859990
gene-LOC117217700	LOC117217700	NW_022887057.1	-	870314	876267	6.983899	4.064203	10.297835
gene-LOC117217835	LOC117217835	NW_022887057.1	-	890125	921893	33.425900	29.280531	74.190712
gene-LOC117217951	LOC117217951	NW_022887057.1	-	906670	911363	0.000000	0.000000	0.000000
gene-LOC117218657	LOC117218657	NW_022887092.1	+	69324	376949	17.007189	9.897145	25.077284
gene-LOC117218754	LOC117218754	NW_022887092.1	+	389872	391332	10.981495	6.390559	16.192335
gene-LOC117218791	LOC117218791	NW_022887092.1	-	393268	397841	0.000000	0.000000	0.000000
gene-LOC117218604	LOC117218604	NW_022887092.1	-	643996	646390	0.000000	0.000000	0.000000
gene-LOC117218407	LOC117218407	NW_022887092.1	+	645575	662429	0.914084	1.652740	4.187696
gene-LOC117218114	LOC117218114	NW_022887092.1	-	736566	740731	18.225084	11.087383	28.093100
gene-LOC117218248	LOC117218248	NW_022887092.1	+	741065	743345	16.481756	9.591375	24.302530
