Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Ccalc.v2_003687	-	scaffold1	+	287	4044	0.000000	0.000000	0.000000
Ccalc.v2_003688	-	scaffold1	-	4809	6214	2.325014	4.796931	13.075568
Ccalc.v2_003689	-	scaffold1	-	7554	11376	0.000000	0.000000	0.000000
Ccalc.v2_003690	-	scaffold1	+	12417	13806	0.000000	0.000000	0.000000
Ccalc.v2_003691	-	scaffold1	-	15132	17847	0.000000	0.000000	0.000000
Ccalc.v2_003692	-	scaffold1	+	16068	19106	1.656177	3.416998	9.314118
Ccalc.v2_003693	-	scaffold1	-	19861	24816	0.692059	1.427845	3.892047
Ccalc.v2_003694	-	scaffold1	+	24488	26826	21.976227	45.340996	123.591362
Ccalc.v2_003695	-	scaffold1	+	26835	29671	21.400536	44.153240	120.353760
Ccalc.v2_003696	-	scaffold1	-	26853	30638	0.000000	0.000000	0.000000
Ccalc.v2_003697	-	scaffold1	+	29742	38703	3.845593	8.698195	23.709709
Ccalc.v2_003698	-	scaffold1	+	38764	44405	0.380452	0.784942	2.139611
Ccalc.v2_003699	-	scaffold1	+	45041	49883	0.000000	0.000000	0.000000
Ccalc.v2_003700	-	scaffold1	+	51854	57698	2.072136	4.275198	11.653416
Ccalc.v2_003701	-	scaffold1	-	53749	61419	15.689777	32.370895	88.237213
Ccalc.v2_003702	-	scaffold1	-	61946	64557	3378.021484	6969.479004	18997.541016
Ccalc.v2_003703	-	scaffold1	+	62432	65612	233.229553	481.195435	1311.651855
Ccalc.v2_003704	-	scaffold1	-	66198	69656	1.344676	2.774314	7.562278
Ccalc.v2_003705	-	scaffold1	+	70282	83327	0.000000	0.000000	0.000000
Ccalc.v2_003706	-	scaffold1	-	72693	81522	21.659910	44.688377	121.812447
Ccalc.v2_003707	-	scaffold1	+	83827	85367	0.000000	0.000000	0.000000
Ccalc.v2_003708	-	scaffold1	+	86247	90972	0.000000	0.000000	0.000000
Ccalc.v2_003709	-	scaffold1	-	86348	91743	7.916960	16.334143	44.523926
Ccalc.v2_003710	-	scaffold1	-	91758	169457	0.000000	0.000000	0.000000
Ccalc.v2_003711	-	scaffold1	+	100751	159168	2.949686	6.085744	16.588640
