Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a011143	-	C2532896	-	14	406	1.709924	0.421003	0.922060
Lflavo2a012446	-	C2532978	+	16	505	124.171089	30.572365	66.958076
Lflavo2a013879	-	C2533306	-	12	494	14.513932	3.671528	8.041199
Lflavo2a013569	-	C2533474	-	2	500	12.100202	2.979210	6.524919
Lflavo2a000748	-	C2533820	+	4	535	132.462402	32.613781	71.429092
Lflavo2a001212	-	C2533924	+	145	391	1.425101	0.350876	0.768472
Lflavo2a000186	-	C2534132	-	5	562	161.861221	39.852112	87.282127
Lflavo2a007945	-	C2534852	-	3	582	162.542221	40.019783	87.649353
Lflavo2a007773	-	C2534930	-	30	254	32.680000	8.046195	17.622379
Lflavo2a004339	-	C2534980	+	13	561	12.785064	3.147831	6.894224
Lflavo2a007481	-	C2535116	-	134	427	6.869048	1.691239	3.704069
Lflavo2a012238	-	C2535124	-	184	565	4.484293	1.104085	2.418113
Lflavo2a003508	-	C2535130	+	267	527	66.386902	16.345226	35.798504
Lflavo2a002492	-	C2535872	+	45	404	0.730556	0.179871	0.393945
Lflavo2a001247	-	C2536414	-	51	627	561.843445	138.332382	302.968750
Lflavo2a008415	-	C2536812	-	3	635	35.968018	8.855743	19.395411
Lflavo2a002493	-	C2537078	+	1	647	121.623322	29.945074	65.584221
Lflavo2a009812	-	C2539016	-	18	378	0.000000	0.000000	0.000000
Lflavo2a012382	-	C2539054	+	4	708	33.985817	8.367702	18.326529
Lflavo2a011593	-	C2539554	+	4	731	64.526421	17.821777	39.032372
Lflavo2a006731	-	C2539584	+	12	732	212.918365	52.422977	114.814209
Lflavo2a006548	-	C2541210	+	14	784	70.063217	18.422863	40.348843
Lflavo2a012920	-	C2541380	+	11	788	123.362656	30.373320	66.522141
Lflavo2a003511	-	C2541782	+	11	813	265.322815	68.080338	149.106216
Lflavo2a009905	-	C2541966	-	169	795	6.456929	1.589771	3.481838
Lflavo2a008184	-	C2542720	-	306	695	0.647651	0.159459	0.349240
Lflavo2a011054	-	C2543650	-	376	873	104.972977	25.845566	56.605679
Lflavo2a003899	-	C2544558	+	22	910	61.571430	15.159601	33.201809
Lflavo2a000727	-	C2545164	+	19	176	5.582278	1.374422	3.010190
Lflavo2a004695	-	C2545322	+	4	957	223.260666	60.154015	131.746353
Lflavo2a006702	-	C2545864	+	4	978	116.223946	28.615685	62.672657
Lflavo2a007338	-	C2547574	-	17	643	0.628389	0.154717	0.338853
Lflavo2a010369	-	C2549374	+	63	982	386.451965	95.148964	208.390549
Lflavo2a008747	-	C2550876	+	667	1212	43.533165	10.877390	23.823124
Lflavo2a001735	-	C2552312	-	42	1278	2.041229	0.502574	1.100713
Lflavo2a010807	-	C2552502	+	356	1289	22.261242	5.480976	12.004164
Lflavo2a008903	-	C2553074	+	2	1288	34.644196	10.235875	22.418108
Lflavo2a002221	-	C2553306	+	7	1331	161.450821	40.188229	88.018272
Lflavo2a008170	-	C2554786	-	13	1369	15.829920	3.897510	8.536134
Lflavo2a005366	-	C2554900	+	29	1428	125.096497	30.800209	67.457100
Lflavo2a003900	-	C2555424	+	196	567	16.370968	4.030722	8.827889
Lflavo2a002769	-	C2556478	-	496	1496	281.802673	69.383087	151.959427
Lflavo2a009451	-	C2556702	-	2	1525	132.860245	32.711735	71.643623
Lflavo2a009000	-	C2556706	+	178	1413	1.468447	0.361549	0.791846
Lflavo2a001322	-	C2557918	+	6	890	1286.186523	316.674042	693.563843
Lflavo2a007944	-	C2560130	-	196	1726	291.203156	71.697601	157.028549
Lflavo2a008513	-	C2560174	+	262	615	0.138418	0.034080	0.074641
Lflavo2a008512	-	C2560174	+	686	1558	0.932417	0.229572	0.502797
Lflavo2a001750	-	C2561518	-	762	1397	11.473867	2.825000	6.187174
Lflavo2a009426	-	C2562808	+	1	1889	163.146820	40.168644	87.975372
Lflavo2a005771	-	C2564172	-	13	1978	97.671883	24.047951	52.668633
Lflavo2a009904	-	C2565782	-	21	2037	17.982210	4.515859	9.890411
Lflavo2a004250	-	C2565792	-	10	2074	40.266525	9.914086	21.713341
Lflavo2a013375	-	C2565906	+	1463	1615	4.000000	0.984846	2.156962
Lflavo2a000473	-	C2566898	+	1267	2105	0.000000	0.000000	0.000000
Lflavo2a009903	-	C2566930	+	196	2160	391.704712	96.442245	211.223038
Lflavo2a006664	-	C2572254	+	11	2556	74.780693	18.629547	40.801514
Lflavo2a001296	-	C2574806	+	2	2734	188.650955	48.481667	106.182159
Lflavo2a003510	-	C2586130	-	1819	3176	0.000000	0.000000	0.000000
Lflavo2a013181	-	C2586826	-	81	2843	19.993948	4.922742	10.781547
Lflavo2a008185	-	C2589692	+	492	4211	81.021233	19.948368	43.689930
Lflavo2a010481	-	C2596020	+	33	5007	117.624924	29.314314	64.202759
Lflavo2a002187	-	C2596024	-	5	5027	74.126534	18.250813	39.972031
Lflavo2a007390	-	C2603782	-	4	1719	29.674192	9.960053	21.814014
Lflavo2a007389	-	C2603782	+	2172	6274	29.954840	7.575115	16.590641
Lflavo2a000750	-	C2607958	+	10	6302	57.436699	14.141582	30.972195
Lflavo2a000749	-	C2607958	-	1590	7113	31.466385	7.747390	16.967949
Lflavo2a002224	-	C2626548	+	1	2701	85.376518	22.872013	50.093147
Lflavo2a002222	-	C2626548	+	3135	7454	43.875038	12.676823	27.764153
Lflavo2a002223	-	C2626548	+	7723	15578	1.951950	0.480593	1.052570
Lflavo2a002245	-	C2630722	-	561	1824	855.666687	210.675064	461.410126
Lflavo2a002242	-	C2630722	+	2742	4524	78.729111	19.384022	42.453926
Lflavo2a002244	-	C2630722	-	4821	5324	235.644836	58.018494	127.069237
Lflavo2a002243	-	C2630722	+	5803	7542	39.872147	9.816986	21.500677
Lflavo2a002246	-	C2630722	-	10664	20674	53.959560	13.285471	29.097179
Lflavo2a007941	-	scaffold1001	-	28634	102910	0.000000	0.000000	0.000000
Lflavo2a007872	-	scaffold1001	+	64162	64482	0.000000	0.000000	0.000000
Lflavo2a007900	-	scaffold1001	+	152526	159770	0.000000	0.000000	0.000000
Lflavo2a007875	-	scaffold1001	-	233914	234207	0.000000	0.000000	0.000000
Lflavo2a007920	-	scaffold1001	-	326861	328117	575.765320	179.416550	392.949280
Lflavo2a007942	-	scaffold1001	+	328920	332108	28.883400	7.734008	16.938641
Lflavo2a007905	-	scaffold1001	+	333923	336869	76.109055	18.738934	41.041084
Lflavo2a007884	-	scaffold1001	-	338264	343727	195.482162	54.112141	118.513733
Lflavo2a007926	-	scaffold1001	+	344143	349376	65.571915	16.144567	35.359032
Lflavo2a007892	-	scaffold1001	+	350515	355780	49.148621	12.122203	26.549448
Lflavo2a007878	-	scaffold1001	-	351779	364765	131.100311	54.791733	120.002144
Lflavo2a007943	-	scaffold1001	+	363167	365348	81.194519	19.991034	43.783375
Lflavo2a007911	-	scaffold1001	+	365892	372059	121.219299	29.845600	65.366356
Lflavo2a007940	-	scaffold1001	-	392591	396523	0.000000	0.000000	0.000000
Lflavo2a007871	-	scaffold1001	+	425706	435636	0.000000	0.000000	0.000000
Lflavo2a007898	-	scaffold1001	+	438845	440460	0.000000	0.000000	0.000000
Lflavo2a007903	-	scaffold1001	+	461021	469046	0.000000	0.000000	0.000000
Lflavo2a007901	-	scaffold1001	-	508542	557682	2.105559	0.518413	1.135403
Lflavo2a007873	-	scaffold1001	-	566906	569399	94.094315	23.167112	50.739464
Lflavo2a007931	-	scaffold1001	-	570619	573481	102.269234	25.179873	55.147713
Lflavo2a007927	-	scaffold1001	+	574302	577149	5765.667969	1419.574463	3109.081543
Lflavo2a007918	-	scaffold1001	-	577579	580599	113.785912	28.015413	61.357971
Lflavo2a007882	-	scaffold1001	-	582734	584873	170.636032	42.012573	92.013863
Lflavo2a007881	-	scaffold1001	+	585253	588070	45.090660	12.061406	26.416296
Lflavo2a007922	-	scaffold1001	-	588194	590608	101.078766	24.886766	54.505764
Lflavo2a007880	-	scaffold1001	+	589912	599294	14.056378	3.460844	7.579768
Lflavo2a007935	-	scaffold1001	+	601451	611244	276.175598	67.997635	148.925064
Lflavo2a007934	-	scaffold1001	+	616300	617403	9.518116	2.343471	5.132554
Lflavo2a007938	-	scaffold1001	+	624026	631196	0.642916	0.158293	0.346686
Lflavo2a007888	-	scaffold1001	+	632056	632754	300.479919	73.981644	162.030930
Lflavo2a007876	-	scaffold1001	-	633160	634088	22.919422	5.643028	12.359080
Lflavo2a007870	-	scaffold1001	+	633723	637006	53.181385	13.093875	28.677557
Lflavo2a007879	-	scaffold1001	+	639406	646040	93.532242	23.050619	50.484325
Lflavo2a007921	-	scaffold1001	-	644209	664363	15.288010	3.764086	8.243915
Lflavo2a007932	-	scaffold1001	-	665899	670044	45.391487	11.175911	24.476929
Lflavo2a007930	-	scaffold1001	+	672571	673891	279.804199	68.891045	150.881760
Lflavo2a007937	-	scaffold1001	-	677521	678398	59.629166	14.681394	32.154461
Lflavo2a007869	-	scaffold1001	-	679080	686338	54.421860	13.399294	29.346472
Lflavo2a007877	-	scaffold1001	-	688195	691291	109.488342	26.957302	59.040550
Lflavo2a007897	-	scaffold1001	-	693030	696674	60.623512	14.926212	32.690655
Lflavo2a007902	-	scaffold1001	+	697137	700678	29.518448	7.267785	15.917542
Lflavo2a007923	-	scaffold1001	+	731552	740783	6.816617	1.678330	3.675796
Lflavo2a007910	-	scaffold1001	+	740890	741060	2.444444	0.601851	1.318143
Lflavo2a007895	-	scaffold1001	-	745662	746858	1.689223	0.415906	0.910897
Lflavo2a007924	-	scaffold1001	-	747733	748160	0.000000	0.000000	0.000000
Lflavo2a007914	-	scaffold1001	-	750527	763363	16.566292	4.078814	8.933216
Lflavo2a007928	-	scaffold1001	+	764040	785957	16.718485	4.116285	9.015285
Lflavo2a007906	-	scaffold1001	-	790302	847294	1.796676	0.442363	0.968840
Lflavo2a007915	-	scaffold1001	-	867460	871935	10.227514	2.518133	5.515090
Lflavo2a007890	-	scaffold1001	-	872964	874558	113.390808	27.918133	61.144917
Lflavo2a007936	-	scaffold1001	+	875072	882329	9.997209	2.526889	5.534268
Lflavo2a007886	-	scaffold1001	+	882634	885339	46.990322	12.284604	26.905130
Lflavo2a007885	-	scaffold1001	+	887987	894603	31.216560	7.685880	16.833233
Lflavo2a007889	-	scaffold1001	+	895185	946610	114.549728	28.203474	61.769852
Lflavo2a007893	-	scaffold1001	-	946323	948881	141.868973	36.066700	78.991501
Lflavo2a007939	-	scaffold1001	-	952568	955513	18.209755	4.483453	9.819437
Lflavo2a007912	-	scaffold1001	-	1007080	1007613	0.767790	0.189039	0.414023
Lflavo2a007925	-	scaffold1001	+	1020689	1037240	0.000000	0.000000	0.000000
Lflavo2a007896	-	scaffold1001	-	1055844	1056197	1.759887	0.433305	0.949002
Lflavo2a007913	-	scaffold1001	+	1057394	1075047	0.000000	0.000000	0.000000
Lflavo2a007917	-	scaffold1001	+	1158452	1160181	32.067921	7.895494	17.292322
Lflavo2a007933	-	scaffold1001	+	1165295	1167222	14.218301	3.500711	7.667084
Lflavo2a007899	-	scaffold1001	+	1167695	1169458	15.683674	3.861503	8.457273
Lflavo2a007887	-	scaffold1001	+	1169963	1171840	24.595846	6.055783	13.263077
Lflavo2a007907	-	scaffold1001	+	1210795	1219147	18.985081	4.674347	10.237524
Lflavo2a007894	-	scaffold1001	+	1220306	1222443	25.879091	6.371733	13.955054
Lflavo2a007919	-	scaffold1001	+	1222756	1225319	48.439983	11.926487	26.120802
Lflavo2a007908	-	scaffold1001	-	1225574	1266606	65.861702	16.215916	35.515297
Lflavo2a007909	-	scaffold1001	+	1266703	1301460	2.404942	0.592125	1.296842
Lflavo2a007874	-	scaffold1001	-	1313973	1331654	7.401444	1.822321	3.991158
Lflavo2a007929	-	scaffold1001	-	1333932	1338261	411.750183	101.377678	222.032379
Lflavo2a007916	-	scaffold1001	+	1340082	1341663	0.649229	0.159848	0.350091
Lflavo2a007904	-	scaffold1001	+	1352389	1353254	0.000000	0.000000	0.000000
