Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	19.076405	15.592658	34.376961
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	16.406088	53.435478	117.808609
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	238.863373	228.256607	503.234833
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	32.753151	45.749668	100.863792
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	8.238050	28.283388	62.356068
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	10.870012	8.833632	19.475410
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	63.884998	54.463150	120.074310
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	138.375961	112.477196	247.977219
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	121.510574	98.746880	217.706146
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	10.268949	8.345172	18.398508
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	47.604427	38.686253	85.291145
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	589.636658	479.174561	1056.430908
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	17.780346	14.449390	31.856409
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	21.383909	17.687834	38.996174
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	155.359467	139.897720	308.430908
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	207.088470	170.507065	375.915009
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	134.763504	109.517014	241.450943
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	567.824402	461.448639	1017.350586
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	26.498695	21.534451	47.476765
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	19.342308	15.718735	34.654919
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	523.095398	434.938599	958.904297
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	35.571991	28.907961	63.733063
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	7.122552	5.792546	12.770761
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	10.400402	24.143364	53.228607
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	13.803042	11.217192	24.730415
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	228.849487	185.977005	410.021423
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	46.701878	38.601219	85.103683
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	0.000000	0.000000	0.000000
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	4.586536	3.727298	8.217532
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	2.288136	1.859478	4.099571
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	0.923411	0.750420	1.654442
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	15.395664	12.511453	27.583860
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	36.841873	29.939945	66.008263
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	4.332566	3.520906	7.762503
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	8.649076	7.038492	15.517684
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	20.169544	19.544773	43.090141
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	24.219999	19.682644	43.394108
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	15.268153	14.430511	31.814785
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.799433	0.704344	1.552859
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	323.255066	262.696716	579.164551
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.000000	0.000000	0.000000
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.097596	0.079312	0.174859
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	0.437710	0.355710	0.784229
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	45.348022	36.852562	81.248428
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	22.379965	18.316511	40.382206
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	13.169683	10.767655	23.739330
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	6.605672	5.368171	11.835146
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	20.358566	16.544607	36.475712
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	11.329522	9.207058	20.298698
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	24.244156	19.702274	43.437386
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	17.693369	14.378707	31.700573
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	25.980127	21.402222	47.185238
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	135.190430	109.863960	242.215851
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	37.360374	30.361311	66.937248
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	7.461513	6.063679	13.368526
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	35.190277	28.597757	63.049156
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	214.138885	174.022263	383.664948
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	493.242065	400.838470	883.724182
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	11.769593	9.564687	21.087158
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	10.760802	8.744882	19.279743
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	66.710991	54.254818	119.614990
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	19.508081	15.853452	34.951931
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	73.107811	59.411850	130.984634
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	44.789745	36.398869	80.248177
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	42.887302	34.852829	76.839645
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	19.402786	15.767884	34.763275
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	7.799644	6.338465	13.974342
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	254.930283	207.171844	456.749451
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	11.227732	9.124337	20.116325
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	23.342749	18.969736	41.822365
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	20.102505	20.788174	45.831455
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.000000	0.000000	0.000000
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	2.478560	2.017855	4.448741
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	38.078770	30.945124	68.224365
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	118.667603	107.513130	237.033005
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	10.886901	8.847357	19.505671
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	0.000000	0.000000	0.000000
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	0.914470	6.908665	15.231455
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	0.829128	0.673800	1.485519
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	29.673994	24.461449	53.929878
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	70.456169	67.619431	149.079788
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	203.446182	170.254410	375.358032
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	0.000000	0.000000	0.000000
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	23.366346	18.988914	41.864643
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	11.244026	9.313946	20.534353
gene-LOC107073176	LOC107073176	NW_015148970.1	-	1603907	1604848	1.136253	0.923388	2.035784
gene-LOC107073803	LOC107073803	NW_015148970.1	-	1605163	1632743	1.159234	1.267848	2.795209
gene-LOC107073655	LOC107073655	NW_015148970.1	+	1608459	1625420	38.806313	31.536367	69.527878
gene-LOC107073220	LOC107073220	NW_015148970.1	+	1629626	1744374	2.638573	25.831715	56.950893
gene-LOC107073721	LOC107073721	NW_015148970.1	-	1719648	1723451	12.052938	10.725352	23.646065
gene-LOC107064825	LOC107064825	NW_015148970.1	+	1747536	1749850	15.539860	12.628634	27.842211
gene-LOC107064841	LOC107064841	NW_015148970.1	+	1749974	1805148	25.817959	20.981243	46.257111
gene-LOC107065410	LOC107065410	NW_015148970.1	+	1830908	1937104	0.073178	1.606813	3.542523
gene-LOC107065463	LOC107065463	NW_015148970.1	+	1989882	2040260	0.175332	0.142485	0.314136
gene-LOC107064907	LOC107064907	NW_015148970.1	-	2041476	2044832	1.211149	0.984253	2.169972
gene-LOC107065373	LOC107065373	NW_015148970.1	+	2100512	2178609	2.909070	2.515288	5.545428
gene-LOC107065381	LOC107065381	NW_015148970.1	-	2180511	2182296	0.689676	0.560473	1.235668
gene-LOC107065385	LOC107065385	NW_015148970.1	+	2183001	2185272	32.335163	26.277519	57.933754
gene-LOC107074525	LOC107074525	NW_015148970.1	-	2187239	2218629	11.867656	19.205273	42.341652
gene-LOC107074556	LOC107074556	NW_015148970.1	-	2220282	2221950	98.027130	79.662804	175.631699
gene-LOC107065005	LOC107065005	NW_015148970.1	+	2222574	2224770	22.664154	22.950588	50.598907
gene-LOC107065023	LOC107065023	NW_015148970.1	+	2225366	2228750	9.271139	7.534291	16.610767
gene-LOC107074269	LOC107074269	NW_015148970.1	-	2230895	2274521	45.012955	36.580265	80.648102
gene-LOC107074276	LOC107074276	NW_015148970.1	-	2274656	2276618	87.658997	71.237030	157.055496
gene-LOC107074283	LOC107074283	NW_015148970.1	-	2280683	2335994	213.370056	173.397476	382.287506
gene-LOC107063760	LOC107063760	NW_015148970.1	+	2338338	2343131	33.925602	27.570005	60.783283
gene-LOC107063787	LOC107063787	NW_015148970.1	-	2343203	2344665	9.250316	7.517368	16.573460
gene-LOC107063777	LOC107063777	NW_015148970.1	+	2344130	2346115	44.178368	35.902027	79.152802
gene-LOC107063771	LOC107063771	NW_015148970.1	-	2346194	2349617	15.675742	12.739061	28.085665
gene-LOC107063797	LOC107063797	NW_015148970.1	+	2351572	2353634	0.000000	0.000000	0.000000
gene-LOC107063802	LOC107063802	NW_015148970.1	+	2355751	2357327	0.000000	0.000000	0.000000
gene-LOC107064270	LOC107064270	NW_015148970.1	+	2372250	2390680	2.730950	2.219336	4.892945
gene-LOC107065554	LOC107065554	NW_015148970.1	-	2391336	2394159	0.000000	0.000000	0.000000
gene-LOC107064275	LOC107064275	NW_015148970.1	+	2403787	2472353	8.239760	6.696130	14.762883
gene-LOC107065146	LOC107065146	NW_015148970.1	-	2473076	2508533	3.260800	2.649924	5.842258
gene-LOC107063811	LOC107063811	NW_015148970.1	+	2509986	2512509	58.105656	47.220188	104.105820
gene-LOC107063818	LOC107063818	NW_015148970.1	-	2516212	2518347	14.957037	12.866499	28.366627
gene-LOC107063836	LOC107063836	NW_015148970.1	-	2547603	2793112	3.146439	2.556988	5.637362
gene-LOC107064665	LOC107064665	NW_015148970.1	+	2855895	2857435	11.801463	9.590586	21.144258
gene-LOC107064659	LOC107064659	NW_015148970.1	+	2861199	2862457	185.391586	150.660461	332.159454
gene-LOC107064654	LOC107064654	NW_015148970.1	-	2863640	2864623	31.766588	25.815460	56.915058
gene-LOC107073823	LOC107073823	NW_015148970.1	+	2867828	2869272	18.163364	14.760653	32.542648
gene-LOC107073831	LOC107073831	NW_015148970.1	+	2870349	2934520	3.606211	20.786179	45.827053
gene-LOC107073856	LOC107073856	NW_015148970.1	-	2874631	2889346	1.174492	0.954464	2.104295
gene-LOC107073851	LOC107073851	NW_015148970.1	-	2892000	2895856	0.279801	0.227383	0.501309
gene-LOC107066223	LOC107066223	NW_015148970.1	+	2914279	2914970	6.255781	5.083828	11.208259
gene-LOC107066885	LOC107066885	NW_015148970.1	-	2949915	2957253	1.925082	1.564439	3.449100
gene-LOC107063629	LOC107063629	NW_015148970.1	-	2988688	3034293	1.768392	1.437103	3.168365
gene-LOC107063640	LOC107063640	NW_015148970.1	+	3155125	3296355	8.877655	10.556005	23.272707
gene-LOC107064670	LOC107064670	NW_015148970.1	+	3298286	3305327	2.258694	1.835552	4.046821
gene-LOC107064676	LOC107064676	NW_015148970.1	+	3305348	3314382	0.921246	0.748661	1.650563
gene-LOC107065538	LOC107065538	NW_015148970.1	+	3369254	3375852	1.402949	1.140122	2.513613
gene-LOC107063699	LOC107063699	NW_015148970.1	+	3431892	3441421	1.768505	1.437195	3.168567
gene-LOC107063708	LOC107063708	NW_015148970.1	+	3443575	3446014	0.000000	0.000000	0.000000
gene-LOC107063714	LOC107063714	NW_015148970.1	+	3447040	3454492	2.588159	2.103295	4.637112
gene-LOC107065307	LOC107065307	NW_015148970.1	-	3493766	3495378	29.334503	23.839001	52.557579
gene-LOC107065035	LOC107065035	NW_015148970.1	+	3496563	3501876	22.614994	22.645538	49.926365
gene-LOC107064488	LOC107064488	NW_015148970.1	+	3503872	3507384	21.219770	17.250666	38.032349
gene-LOC107064494	LOC107064494	NW_015148970.1	-	3508214	3510214	52.461288	42.633232	93.993011
gene-LOC107064503	LOC107064503	NW_015148970.1	+	3510541	3511568	24.842470	21.169319	46.671761
gene-LOC107064498	LOC107064498	NW_015148970.1	-	3511524	3512875	13.834845	11.243035	24.787395
gene-LOC107064691	LOC107064691	NW_015148970.1	+	3513223	3514462	40.796093	33.153385	73.092896
gene-LOC107064911	LOC107064911	NW_015148970.1	-	3515040	3528251	52.326813	42.523949	93.752075
gene-LOC107064622	LOC107064622	NW_015148970.1	+	3530041	3534317	5.399539	9.921231	21.873230
gene-LOC107064642	LOC107064642	NW_015148970.1	-	3536765	3540038	19.642931	15.963039	35.193535
gene-LOC107064649	LOC107064649	NW_015148970.1	+	3540110	3541802	37.967678	34.603569	76.290100
gene-LOC107074287	LOC107074287	NW_015148970.1	-	3542918	3552429	100.018501	107.399208	236.781830
gene-LOC107074301	LOC107074301	NW_015148970.1	+	3550391	3554137	41.332535	33.589329	74.054024
gene-LOC107074316	LOC107074316	NW_015148970.1	-	3555688	3557735	16.508827	13.416077	29.578274
gene-LOC107074305	LOC107074305	NW_015148970.1	+	3557422	3564694	0.919049	0.757145	1.669270
gene-LOC107074323	LOC107074323	NW_015148970.1	-	3564754	3569627	9.945718	8.128654	17.921152
gene-LOC107074337	LOC107074337	NW_015148970.1	+	3569756	3572497	15.276189	17.322958	38.191734
gene-LOC107064541	LOC107064541	NW_015148970.1	-	3735983	3754113	4.462415	3.818597	8.418818
gene-LOC107074513	LOC107074513	NW_015148970.1	-	3759226	3766491	1.831959	1.521204	3.353780
gene-LOC107074505	LOC107074505	NW_015148970.1	+	3772256	3785087	34.007084	27.636223	60.929276
gene-LOC107074444	LOC107074444	NW_015148970.1	-	3785117	3804400	9.418489	10.100282	22.267979
gene-LOC107074465	LOC107074465	NW_015148970.1	+	3789965	3837405	1.256254	20.568396	45.346912
gene-LOC107065357	LOC107065357	NW_015148970.1	-	3844107	3846200	193.686920	157.401764	347.021942
gene-LOC107067559	LOC107067559	NW_015148970.1	+	3847534	3849838	38.007801	30.887447	68.097214
gene-LOC107063891	LOC107063891	NW_015148970.1	-	3852001	3999898	8.502313	6.934922	15.289346
gene-LOC107063919	LOC107063919	NW_015148970.1	+	3883137	3885227	26.883265	21.846975	48.165779
gene-LOC107064025	LOC107064025	NW_015148970.1	-	4089275	4094219	0.000000	0.000000	0.000000
gene-LOC107064032	LOC107064032	NW_015148970.1	-	4097169	4098743	0.000000	0.000000	0.000000
gene-LOC107064012	LOC107064012	NW_015148970.1	+	4099093	4100308	377.731964	335.984589	740.741516
