Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	28.055124	11.572603	25.357594
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	29.346716	52.806618	115.708519
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	460.166260	220.411469	482.960022
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	11.376595	8.174037	17.910744
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	23.110250	41.185539	90.244705
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	28.938913	11.803201	25.862873
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	104.784523	44.974850	98.547745
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	288.831146	117.827034	258.179596
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	192.339127	78.448601	171.894577
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	21.720785	8.859171	19.411991
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	91.106728	37.159344	81.422607
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1037.268677	423.066681	927.013000
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	26.510416	10.812699	23.692511
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	81.869240	33.838085	74.145149
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	310.362335	142.778122	312.851807
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	715.294922	295.147308	646.719299
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	219.207855	89.407448	195.907318
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1108.705933	452.203522	990.856873
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	31.199478	12.725208	27.883152
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	40.232430	16.409441	35.955952
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	802.760254	335.061188	734.177612
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	47.586784	19.409033	42.528584
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	10.782998	4.398019	9.636827
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	11.579714	13.442753	29.455420
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	49.802261	20.312653	44.508568
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	445.048737	181.520279	397.742615
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.735043	0.299799	0.656912
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	121.594650	50.257336	110.122604
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.973062	1.620477	3.550748
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	15.367612	6.267927	13.734123
