Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Megalopta_genalis-longest-isoforms
OG0009536	NP_001011575.1			
OG0009537	NP_001011582.1			
OG0009538	NP_001011584.1			
OG0009539	NP_001011604.2			
OG0009540	NP_001011607.1			
OG0009541	NP_001011612.1			
OG0009542	NP_001011613.1			
OG0009543	NP_001011618.1			
OG0009544	NP_001129381.1			
OG0009545	NP_001129678.1			
OG0009546	NP_001129679.1			
OG0009547	NP_001129680.1			
OG0009548	NP_001129681.1			
OG0009549	NP_001137351.1			
OG0009550	NP_001155870.1			
OG0009551	NP_001239359.1			
OG0009552	NP_001257758.1			
OG0009553	NP_001265254.1			
OG0009554	XP_001119829.1			
OG0009555	XP_001119944.1			
OG0009556	XP_001120363.1			
OG0009557	XP_001120472.1			
OG0009558	XP_001120476.1			
OG0009559	XP_001120576.2			
OG0009560	XP_001120612.1			
OG0009561	XP_001120652.1			
OG0009562	XP_001120792.2			
OG0009563	XP_001120795.1			
OG0009564	XP_001120885.2			
OG0009565	XP_001120955.2			
OG0009566	XP_001121051.2			
OG0009567	XP_001121093.2			
OG0009568	XP_001121483.3			
OG0009569	XP_001122218.1			
OG0009570	XP_001122291.2			
OG0009571	XP_001122505.3			
OG0009572	XP_001122523.1			
OG0009573	XP_001122651.2			
OG0009574	XP_001122739.1			
OG0009575	XP_001122876.4			
OG0009576	XP_001122979.3			
OG0009577	XP_003249210.2			
OG0009578	XP_003249630.1			
OG0009579	XP_003249650.2			
OG0009580	XP_003250395.2			
OG0009581	XP_003250445.3			
OG0009582	XP_003250819.1			
OG0009583	XP_003250834.2			
OG0009584	XP_003250980.1			
OG0009585	XP_003251400.1			
OG0009586	XP_003251738.1			
OG0009587	XP_006557327.2			
OG0009588	XP_006557674.1			
OG0009589	XP_006557820.2			
OG0009590	XP_006557933.2			
OG0009591	XP_006557939.2			
OG0009592	XP_006557980.1			
OG0009593	XP_006558042.1			
OG0009594	XP_006558135.1			
OG0009595	XP_006558226.1			
OG0009596	XP_006558272.1			
OG0009597	XP_006558298.1			
OG0009598	XP_006558354.1			
OG0009599	XP_006558377.1			
OG0009600	XP_006558393.2			
OG0009601	XP_006558474.1			
OG0009602	XP_006558491.1			
OG0009603	XP_006558545.1			
OG0009604	XP_006558639.1			
OG0009605	XP_006558685.1			
OG0009606	XP_006558721.3			
OG0009607	XP_006558724.2			
OG0009608	XP_006558732.1			
OG0009609	XP_006558738.3			
OG0009610	XP_006558813.1			
OG0009611	XP_006559000.1			
OG0009612	XP_006559068.1			
OG0009613	XP_006559185.1			
OG0009614	XP_006559216.1			
OG0009615	XP_006559297.1			
OG0009616	XP_006559578.1			
OG0009617	XP_006559586.3			
OG0009618	XP_006559684.2			
OG0009619	XP_006559836.1			
OG0009620	XP_006559838.1			
OG0009621	XP_006559896.1			
OG0009622	XP_006560007.3			
OG0009623	XP_006560270.1			
OG0009624	XP_006560378.1			
OG0009625	XP_006560386.1			
OG0009626	XP_006560520.1			
OG0009627	XP_006560670.1			
OG0009628	XP_006560760.1			
OG0009629	XP_006560825.1			
OG0009630	XP_006560864.1			
OG0009631	XP_006560938.1			
OG0009632	XP_006561028.1			
OG0009633	XP_006561108.1			
OG0009634	XP_006561215.1			
OG0009635	XP_006561717.1			
OG0009636	XP_006561718.1			
OG0009637	XP_006561790.1			
OG0009638	XP_006561928.1			
OG0009639	XP_006562054.1			
OG0009640	XP_006562357.1			
OG0009641	XP_006562479.2			
OG0009642	XP_006562728.3			
OG0009643	XP_006562840.1			
OG0009644	XP_006562950.1			
OG0009645	XP_006562951.1			
OG0009646	XP_006563404.1			
OG0009647	XP_006563407.1			
OG0009648	XP_006563777.2			
OG0009649	XP_006563993.1			
OG0009650	XP_006564006.1			
OG0009651	XP_006564010.1			
OG0009652	XP_006564011.1			
OG0009653	XP_006564012.1			
OG0009654	XP_006564014.1			
OG0009655	XP_006564015.1			
OG0009656	XP_006564017.1			
OG0009657	XP_006564615.1			
OG0009658	XP_006565238.1			
OG0009659	XP_006565357.3			
OG0009660	XP_006565452.1			
OG0009661	XP_006565476.1			
OG0009662	XP_006565784.1			
OG0009663	XP_006565909.1			
OG0009664	XP_006566234.2			
OG0009665	XP_006566554.2			
OG0009666	XP_006566799.1			
OG0009667	XP_006566864.2			
OG0009668	XP_006566911.1			
OG0009669	XP_006567264.1			
OG0009670	XP_006567707.1			
OG0009671	XP_006567725.1			
OG0009672	XP_006567726.1			
OG0009673	XP_006567933.1			
OG0009674	XP_006568823.2			
OG0009675	XP_006568906.1			
OG0009676	XP_006569023.1			
OG0009677	XP_006569319.1			
OG0009678	XP_006569678.1			
OG0009679	XP_006569758.1			
OG0009680	XP_006570070.1			
OG0009681	XP_006570822.1			
OG0009682	XP_006570823.1			
OG0009683	XP_006571237.1			
OG0009684	XP_006571263.1			
OG0009685	XP_006571265.1			
OG0009686	XP_006571516.1			
OG0009687	XP_006571652.2			
OG0009688	XP_006571653.2			
OG0009689	XP_006571655.2			
OG0009690	XP_006571878.1			
OG0009691	XP_006571918.1			
OG0009692	XP_006572319.1			
OG0009693	XP_016766352.1			
OG0009694	XP_016766417.2			
OG0009695	XP_016766494.1			
OG0009696	XP_016766557.1			
OG0009697	XP_016766768.1			
OG0009698	XP_016766940.1			
OG0009699	XP_016766955.1			
OG0009700	XP_016767174.1			
OG0009701	XP_016767259.1			
OG0009702	XP_016767680.1			
OG0009703	XP_016768484.1			
OG0009704	XP_016768595.2			
OG0009705	XP_016769008.2			
OG0009706	XP_016769033.2			
OG0009707	XP_016769518.1			
OG0009708	XP_016769538.1			
OG0009709	XP_016769593.2			
OG0009710	XP_016769739.2			
OG0009711	XP_016770074.1			
OG0009712	XP_016770378.1			
OG0009713	XP_016770397.1			
OG0009714	XP_016770398.1			
OG0009715	XP_016770437.1			
OG0009716	XP_016770475.1			
OG0009717	XP_016770683.1			
OG0009718	XP_016770794.1			
OG0009719	XP_016770809.1			
OG0009720	XP_016770831.1			
OG0009721	XP_016770950.1			
OG0009722	XP_016771251.1			
OG0009723	XP_016771273.2			
OG0009724	XP_016771411.1			
OG0009725	XP_016771658.1			
OG0009726	XP_016771789.1			
OG0009727	XP_016771887.2			
OG0009728	XP_016771948.1			
OG0009729	XP_016772181.2			
OG0009730	XP_016772309.1			
OG0009731	XP_016772311.2			
OG0009732	XP_016772443.2			
OG0009733	XP_016772518.1			
OG0009734	XP_016772907.1			
OG0009735	XP_016772961.2			
OG0009736	XP_016773031.1			
OG0009737	XP_016773062.1			
OG0009738	XP_016773258.1			
OG0009739	XP_016773404.1			
OG0009740	XP_016773570.1			
OG0009741	XP_016773572.1			
OG0009742	XP_026294687.1			
OG0009743	XP_026294729.1			
OG0009744	XP_026294833.1			
OG0009745	XP_026295022.1			
OG0009746	XP_026295146.1			
OG0009747	XP_026295204.1			
OG0009748	XP_026295501.1			
OG0009749	XP_026295571.1			
OG0009750	XP_026295778.1			
OG0009751	XP_026295904.1			
OG0009752	XP_026295961.1			
OG0009753	XP_026296134.1			
OG0009754	XP_026296236.1			
OG0009755	XP_026296395.1			
OG0009756	XP_026296668.1			
OG0009757	XP_026296682.1			
OG0009758	XP_026296755.1			
OG0009759	XP_026296756.1			
OG0009760	XP_026296757.1			
OG0009761	XP_026296760.1			
OG0009762	XP_026296846.1			
OG0009763	XP_026296886.1			
OG0009764	XP_026296890.1			
OG0009765	XP_026296915.1			
OG0009766	XP_026296989.1			
OG0009767	XP_026297143.1			
OG0009768	XP_026297169.1			
OG0009769	XP_026297234.1			
OG0009770	XP_026297241.1			
OG0009771	XP_026297242.1			
OG0009772	XP_026297243.1			
OG0009773	XP_026297245.1			
OG0009774	XP_026297258.1			
OG0009775	XP_026297264.1			
OG0009776	XP_026297358.1			
OG0009777	XP_026297409.1			
OG0009778	XP_026297483.1			
OG0009779	XP_026297555.1			
OG0009780	XP_026297621.1			
OG0009781	XP_026297687.1			
OG0009782	XP_026298075.1			
OG0009783	XP_026298398.1			
OG0009784	XP_026298399.1			
OG0009785	XP_026298400.1			
