Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	83.371796	33.786606	64.011032
Vvulg1g00011	-	Chr1	+	9331	16578	0.449838	0.182298	0.345376
Vvulg1g00021	-	Chr1	+	28529	35573	58.788429	23.824141	45.136463
Vvulg1g00020	-	Chr1	-	86243	95825	1240.021484	502.521454	952.061279
Vvulg1g00030	-	Chr1	-	124096	132467	0.000000	0.000000	0.000000
Vvulg1g00031	-	Chr1	+	135872	140157	0.000000	0.000000	0.000000
Vvulg1g00040	-	Chr1	-	180101	181581	37.574982	15.227345	28.849245
Vvulg1g00050	-	Chr1	-	183395	187559	42.667336	17.291033	32.759045
Vvulg1g00060	-	Chr1	+	188096	189550	10.705056	4.338248	8.219107
Vvulg1g00070	-	Chr1	+	191372	192836	7.508251	3.042735	5.764670
Vvulg1g00071	-	Chr1	-	194637	201889	1.923077	0.779331	1.476496
Vvulg1g00080	-	Chr1	-	209279	210694	14.858473	6.021429	11.408010
Vvulg1g00090	-	Chr1	+	211372	217972	8.137963	3.297928	6.248149
Vvulg1g00110	-	Chr1	-	226611	235178	113.223381	45.884029	86.930428
Vvulg1g00150	-	Chr1	-	258441	260480	124.868279	50.603146	95.871124
Vvulg1g00160	-	Chr1	+	262304	264844	58.837238	23.843922	45.173939
Arg_16	-	Chr1	-	265279	265351	11.383562	4.613214	8.740048
Vvulg1g00180	-	Chr1	-	271120	277393	89.988037	36.467854	69.090843
Vvulg1g00181	-	Chr1	+	277940	278539	1.548780	0.627647	1.189119
Vvulg1g00190	-	Chr1	+	279021	280813	106.987633	43.356976	82.142754
Vvulg1g00200	-	Chr1	-	281414	284018	34.200516	13.859835	26.258406
Vvulg1g00210	-	Chr1	-	286423	287028	1.633053	0.661798	1.253822
Vvulg1g00211	-	Chr1	-	287771	289242	92.758240	37.590481	71.217743
Vvulg1g00220	-	Chr1	+	289474	293930	50.212795	20.348846	38.552280
Vvulg1g00230	-	Chr1	-	296989	298425	217.642151	88.199966	167.100861
Vvulg1g00240	-	Chr1	-	299815	301192	248.757248	100.809425	190.990356
Vvulg1g00250	-	Chr1	+	301619	302264	125.361374	50.802975	96.249710
Vvulg1g00260	-	Chr1	-	303674	306288	101.351135	41.072773	77.815178
Vvulg1g00261	-	Chr1	-	306874	309332	5.000000	2.026261	3.838890
Vvulg1g00270	-	Chr1	-	309617	311977	44.608315	18.077620	34.249287
Vvulg1g00280	-	Chr1	-	315761	316213	26.351625	10.679055	20.232199
Vvulg1g00281	-	Chr1	-	316345	319151	4.961841	2.010797	3.809592
Vvulg1g00291	-	Chr1	-	320158	322471	2.781302	1.127129	2.135422
Vvulg1g00290	-	Chr1	-	326917	328813	1.574561	0.638094	1.208913
Vvulg1g00292	-	Chr1	-	339708	339983	0.000000	0.000000	0.000000
Vvulg1g00300	-	Chr1	-	346843	347073	0.000000	0.000000	0.000000
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
Vvulg1g00330	-	Chr1	+	393420	408893	0.000000	0.000000	0.000000
Vvulg1g00340	-	Chr1	+	412205	413598	0.000000	0.000000	0.000000
Vvulg1g00360	-	Chr1	-	449572	450258	1.245614	0.504788	0.956355
Vvulg1g00370	-	Chr1	+	467086	469080	79.890068	32.375629	61.337841
Vvulg1g00380	-	Chr1	-	473692	474445	68.117165	27.604631	52.298866
Vvulg1g00390	-	Chr1	-	474516	493213	47.434628	19.222988	36.419266
Vvulg1g00400	-	Chr1	+	494756	495067	0.000000	0.000000	0.000000
Vvulg1g00401	-	Chr1	+	508527	508879	0.000000	0.000000	0.000000
Vvulg1g00410	-	Chr1	+	511192	511515	0.000000	0.000000	0.000000
Vvulg1g00420	-	Chr1	-	520783	522506	22.556911	9.141238	17.318701
Vvulg1g00421	-	Chr1	-	529683	534256	0.000000	0.000000	0.000000
Vvulg1g00430	-	Chr1	-	539556	539774	0.000000	0.000000	0.000000
Vvulg1g00440	-	Chr1	+	543285	543695	0.000000	0.000000	0.000000
Vvulg1g00450	-	Chr1	-	544709	573728	0.000000	0.000000	0.000000
Vvulg1g00460	-	Chr1	-	611377	614369	0.000000	0.000000	0.000000
Vvulg1g00480	-	Chr1	+	623617	624339	519.701782	210.610306	399.015625
Vvulg1g00490	-	Chr1	+	641206	652540	438.865479	177.851212	336.951263
Vvulg1g00500	-	Chr1	+	656716	661431	121.582031	49.271389	93.348015
Vvulg1g00510	-	Chr1	-	661604	665757	90.533875	36.689053	69.509918
Vvulg1g00520	-	Chr1	-	666139	666688	198.358032	80.385033	152.294937
