Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	41.526791	18.941355	37.998112
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	18.210308	34.514244	69.238762
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	332.553284	172.745270	346.542969
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	32.981167	24.867825	49.887157
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	13.733135	29.271795	58.721931
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	25.387201	11.419558	22.908689
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	80.038994	37.809486	75.849335
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	273.142944	122.903984	246.556763
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	182.937683	82.288216	165.077774
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	12.930807	5.816478	11.668393
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	77.693733	34.947849	70.108620
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1552.835693	698.489624	1401.234863
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	35.173409	15.821546	31.739485
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	39.026928	17.828087	35.764793
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	243.669098	122.096313	244.936508
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	763.426453	349.638550	701.407288
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	234.772095	105.604134	211.851669
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1404.226196	631.642761	1267.133789
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	22.814863	10.262480	20.587486
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	26.419580	11.883938	23.840279
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	736.982849	341.209076	684.497009
