Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	24.506458	25.028885	55.635124
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.102793	44.673466	99.301804
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	160.196259	191.496017	425.664398
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	9.161194	15.542155	34.547672
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	6.255362	26.007412	57.810234
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	11.959687	12.186680	27.088999
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	44.905231	48.030735	106.764481
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	117.592407	119.847916	266.402344
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	82.839996	84.412285	187.634735
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	7.243521	7.381001	16.406761
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	33.453598	34.088543	75.773262
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	404.257751	411.930511	915.654236
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	14.366089	14.638755	32.539562
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	30.376070	31.411785	69.823265
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	109.384384	124.204094	276.085419
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	218.513733	225.324249	500.859009
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	87.896072	89.564323	199.086868
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	410.537506	418.329407	929.877991
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	18.963493	19.323416	42.952801
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	6.860839	6.991056	15.539976
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	349.955963	365.359985	812.135559
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	23.004038	23.440649	52.104736
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	4.570015	4.659735	10.357831
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	12.122259	35.105663	78.034157
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	14.040562	14.307049	31.802233
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	163.564514	166.668945	370.477814
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	40.025986	41.257214	91.708054
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	0.000000	0.000000	0.000000
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	3.519955	3.586763	7.972788
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	3.574501	3.642344	8.096336
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.078387	1.098855	2.442574
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.108859	0.110925	0.246568
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	7.887387	8.037087	17.865133
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	27.215427	27.731972	61.643642
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	1.293413	1.317962	2.929614
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	14.196709	14.589399	32.429852
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	14.885859	18.052349	40.127422
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	22.802828	23.235620	51.648991
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	9.700511	11.472828	25.502220
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.356458	1.498527	3.330981
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	199.994873	203.790726	452.993530
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.371094	0.378137	0.840537
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	0.609969	0.621546	1.381595
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	36.563107	37.257069	82.816376
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	15.426121	15.803481	35.128559
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	12.909931	13.154960	29.241325
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	8.876495	9.044970	20.105490
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	16.017929	16.321947	36.281021
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	10.500000	10.699287	23.782770
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	14.982226	15.266585	33.935127
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	20.332188	20.718088	46.052929
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	19.167364	19.760284	43.923885
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	135.268936	137.836319	306.387634
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	26.206448	26.703840	59.358276
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	6.243919	6.438635	14.312036
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	29.618248	30.180397	67.086090
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	157.511337	160.500870	356.767242
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	277.445892	282.711761	628.422058
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	7.898542	8.048455	17.890400
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	8.848766	9.016714	20.042683
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	58.036930	59.173855	131.533813
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	17.071215	17.395224	38.666737
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	55.542187	56.596367	125.804482
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	36.078636	36.763401	81.719040
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	42.614967	43.423794	96.523994
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	21.593473	22.003313	48.909775
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	13.285621	13.537779	30.092274
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	226.593109	230.893799	513.239197
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	8.501687	8.663048	19.256540
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	35.532955	36.207363	80.483055
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	15.036153	19.253664	42.797752
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.512777	0.522509	1.161453
