Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a003582	-	C2832210	+	145	377	0.961373	0.341641	0.547779
Vcabro1a012170	-	C2833028	-	3	502	56.083546	19.930258	31.955742
Vcabro1a012639	-	C2835282	-	294	443	1.480000	0.525944	0.843287
Vcabro1a001314	-	C2835622	-	74	289	14.069445	4.999820	8.016603
Vcabro1a011822	-	C2835868	+	7	509	1933.981323	687.273682	1101.959717
Vcabro1a002859	-	C2837040	-	304	470	1.676647	0.595825	0.955334
Vcabro1a004321	-	C2838462	+	239	437	0.894472	0.317866	0.509660
Vcabro1a006715	-	C2838846	-	128	414	117.815331	41.867714	67.129784
Vcabro1a002980	-	C2840340	+	237	452	46.393520	16.486738	26.434481
Vcabro1a008269	-	C2840622	+	5	460	3.850534	1.368354	2.193989
Vcabro1a000096	-	C2840686	+	36	523	197.159897	70.064178	112.339386
Vcabro1a004799	-	C2841086	-	71	498	19.859814	7.057528	11.315887
Vcabro1a011141	-	C2841738	-	142	337	6.020408	2.139456	3.430357
Vcabro1a004588	-	C2842214	-	40	526	19.809376	7.039604	11.287148
Vcabro1a012173	-	C2846366	-	1	432	35.949078	12.775126	20.483358
Vcabro1a004802	-	C2848368	-	202	496	5.342373	1.898504	3.044021
Vcabro1a016233	-	C2849450	+	131	377	1.465587	0.520822	0.835074
Vcabro1a003787	-	C2849826	-	189	538	68.148575	24.217773	38.830254
Vcabro1a004688	-	C2854874	+	51	558	0.334646	0.118922	0.190677
Vcabro1a005319	-	C2855154	+	14	414	11.156667	3.964714	6.356937
Vcabro1a013437	-	C2855160	-	6	567	183.915482	65.357544	104.792870
Vcabro1a006696	-	C2855830	-	2	528	98.218887	34.903778	55.963963
Vcabro1a012648	-	C2856508	+	285	474	0.173684	0.061722	0.098963
Vcabro1a012451	-	C2856828	+	263	456	11.154639	3.963994	6.355782
Vcabro1a014506	-	C2859228	+	9	382	9.392045	3.337626	5.351476
Vcabro1a013865	-	C2859426	+	189	508	33.865623	12.034735	19.296232
Vcabro1a015469	-	C2859654	-	143	393	130.478088	46.367641	74.344872
Vcabro1a008193	-	C2860706	+	20	572	5.061440	1.798670	2.883949
Vcabro1a002340	-	C2861192	+	364	578	164.497681	58.457096	93.728836
Vcabro1a013199	-	C2861418	-	5	538	10.829588	3.848481	6.170571
Vcabro1a002116	-	C2861840	+	154	472	106.142258	37.719486	60.478603
Vcabro1a001596	-	C2862504	+	104	517	0.000000	0.000000	0.000000
Vcabro1a004815	-	C2863398	+	1	595	224.267426	79.697304	127.784927
Vcabro1a013864	-	C2864508	+	281	532	8.309524	2.952933	4.734668
Vcabro1a013491	-	C2864842	+	95	526	2.811047	0.998954	1.601701
Vcabro1a001441	-	C2865780	+	20	581	23.014252	8.178513	13.113249
Vcabro1a016447	-	C2865858	+	101	322	0.022523	0.008004	0.012833
Vcabro1a007435	-	C2866830	-	17	494	15.635983	5.556517	8.909199
Vcabro1a000051	-	C2869740	+	16	621	133.360565	47.391983	75.987274
Vcabro1a000463	-	C2871358	-	21	474	4043.435059	1436.904541	2303.901611
Vcabro1a000458	-	C2872078	+	9	603	1.095798	0.389411	0.624373
Vcabro1a002765	-	C2873212	+	224	572	4.438396	1.577261	2.528946
Vcabro1a003350	-	C2873972	+	101	581	318.740112	113.269806	181.614365
Vcabro1a009321	-	C2874460	+	76	548	5.054968	1.796370	2.880261
Vcabro1a003042	-	C2876850	+	14	620	7.182243	2.552334	4.092357
Vcabro1a010937	-	C2877118	-	34	373	2.855882	1.014887	1.627248
Vcabro1a002037	-	C2877372	-	127	496	0.000000	0.000000	0.000000
Vcabro1a000457	-	C2878158	+	128	584	0.111597	0.039658	0.063587
Vcabro1a004342	-	C2879696	-	123	455	0.732733	0.260389	0.417503
Vcabro1a002708	-	C2880440	+	236	507	0.551471	0.195975	0.314222
Vcabro1a001607	-	C2881240	+	249	579	58.858006	20.916208	33.536594
Vcabro1a009647	-	C2884254	-	75	501	2.189696	0.778146	1.247663
Vcabro1a004419	-	C2885026	-	37	681	81.289665	28.887688	46.317890
Vcabro1a008197	-	C2886494	-	62	678	52.639641	18.706406	29.993444
Vcabro1a005713	-	C2889154	-	113	345	3.412017	1.212519	1.944127
Vcabro1a012450	-	C2889772	+	1	704	3840.447510	1364.769409	2188.241699
Vcabro1a013622	-	C2889824	-	138	674	102.279327	36.346725	58.277554
Vcabro1a015599	-	C2890274	-	34	569	65.533058	23.288305	37.339962
Vcabro1a006033	-	C2891614	-	59	492	10.691244	3.799318	6.091744
Vcabro1a007569	-	C2892632	+	358	589	12.125000	4.308828	6.908682
Vcabro1a003237	-	C2892806	+	187	596	0.000000	0.000000	0.000000
Vcabro1a014339	-	C2893042	-	120	702	48.487133	17.230740	27.627396
Vcabro1a015601	-	C2893366	-	7	718	66.030899	23.465221	37.623627
Vcabro1a002215	-	C2893424	+	23	701	22.734043	8.078935	12.953589
Vcabro1a016136	-	C2894780	-	46	722	14.478582	5.145215	8.249725
Vcabro1a002460	-	C2895268	+	268	488	21.343891	7.584920	12.161497
Vcabro1a011378	-	C2896050	-	47	226	1.088889	0.386955	0.620436
Vcabro1a015257	-	C2897004	-	169	711	77.747749	27.629005	44.299751
Vcabro1a006333	-	C2897536	-	483	697	8.613954	3.061117	4.908129
Vcabro1a011132	-	C2897760	+	217	375	14.943397	5.310394	8.514571
Vcabro1a001889	-	C2898688	+	6	744	27.497971	9.771878	15.668018
Vcabro1a003753	-	C2898748	-	119	632	2.196498	0.780563	1.251539
Vcabro1a007735	-	C2902446	+	3	746	1.347150	0.478733	0.767590
Vcabro1a010899	-	C2902762	+	91	760	0.000000	0.000000	0.000000
Vcabro1a001149	-	C2903060	+	3	746	4.416667	1.569539	2.516565
Vcabro1a015519	-	C2903540	+	5	771	24.285528	8.630282	13.837607
Vcabro1a007825	-	C2904276	-	318	528	0.469194	0.166736	0.267341
Vcabro1a011137	-	C2904552	-	1	683	67.804695	24.095570	38.634315
Vcabro1a016224	-	C2904910	-	6	773	84.356934	29.977694	48.065586
Vcabro1a002150	-	C2905454	+	188	548	26524.201172	9425.833008	15113.176758
Vcabro1a004232	-	C2906178	-	56	390	6.065671	2.155541	3.456148
Vcabro1a005184	-	C2906658	-	173	344	2.534884	0.900815	1.444347
Vcabro1a000824	-	C2908208	-	1	796	119.737572	42.550816	68.225052
Vcabro1a006463	-	C2908522	-	30	748	0.000000	0.000000	0.000000
Vcabro1a004336	-	C2909392	-	93	350	43.085270	15.311095	24.549477
Vcabro1a007878	-	C2910492	-	15	741	5.469768	2.528581	4.054272
Vcabro1a008984	-	C2913508	+	34	732	3.775895	1.341830	2.151460
Vcabro1a007957	-	C2914710	+	14	826	17.105782	6.078835	9.746673
Vcabro1a012662	-	C2916696	+	28	717	5.059420	1.797952	2.882798
Vcabro1a000884	-	C2918516	-	17	590	27.970383	9.939758	15.937193
Vcabro1a013663	-	C2921552	-	60	635	1.194444	0.424466	0.680580
Vcabro1a001439	-	C2924996	-	137	735	56.062500	19.922779	31.943750
Vcabro1a012797	-	C2925458	-	342	764	8.751773	3.110094	4.986657
Vcabro1a000111	-	C2926738	-	76	901	32.052326	11.390347	18.263037
Vcabro1a007990	-	C2929658	+	544	745	0.089109	0.031666	0.050773
Vcabro1a008343	-	C2929802	+	1	884	5.638009	2.003564	3.212471
Vcabro1a015726	-	C2930694	-	191	542	212.620850	75.558495	121.148849
Vcabro1a001304	-	C2930714	+	48	849	70.716751	29.611748	47.478832
Vcabro1a006511	-	C2932482	+	371	827	3.681081	1.308136	2.097436
Vcabro1a004814	-	C2932886	+	441	685	0.722449	0.256735	0.411643
Vcabro1a001989	-	C2933186	-	2	947	32.656773	11.605148	18.607443
Vcabro1a002342	-	C2936798	-	115	648	10.321428	3.667898	5.881028
Vcabro1a009216	-	C2937028	+	20	974	16.510351	5.867239	9.407403
Vcabro1a007116	-	C2939944	+	299	797	45.203503	16.063845	25.756422
Vcabro1a006031	-	C2940156	-	364	736	0.000000	0.000000	0.000000
Vcabro1a005318	-	C2941106	+	2	1009	258.601379	91.898468	147.348007
Vcabro1a008325	-	C2941842	+	364	615	0.932540	0.331394	0.531350
Vcabro1a012690	-	C2942078	+	53	1023	109.939240	39.068806	62.642082
Vcabro1a009452	-	C2942320	+	2	907	25.910139	9.207616	14.763291
Vcabro1a005236	-	C2942374	-	267	476	4.873809	1.731992	2.777039
Vcabro1a015488	-	C2944172	-	342	541	1.625000	0.577472	0.925906
Vcabro1a006179	-	C2945522	-	8	1024	22.186792	7.884460	12.641772
Vcabro1a010950	-	C2945898	+	180	579	84.845001	30.151138	48.343678
Vcabro1a002758	-	C2946690	-	774	1061	0.163194	0.057994	0.092986
Vcabro1a013442	-	C2947022	+	22	961	64.092834	22.776497	36.519341
Vcabro1a014743	-	C2947318	+	9	990	2.946457	1.047074	1.678856
Vcabro1a002314	-	C2949800	+	117	777	0.379728	0.134943	0.216365
Vcabro1a014983	-	C2949958	+	4	1059	179.682281	63.853203	102.380844
Vcabro1a016297	-	C2951176	+	140	1014	47.514816	16.885210	27.073381
Vcabro1a014650	-	C2958472	-	249	1123	0.000000	0.000000	0.000000
Vcabro1a007303	-	C2958668	-	132	942	13.206785	4.693259	7.525070
Vcabro1a007827	-	C2962574	+	4	1222	308.653778	109.685455	175.867279
Vcabro1a008699	-	C2962622	-	77	1139	1676.152466	595.649719	955.051880
Vcabro1a011483	-	C2965568	-	33	1216	4.178626	1.484947	2.380932
Vcabro1a015972	-	C2967578	-	561	863	4.768868	1.694700	2.717245
Vcabro1a001316	-	C2968302	+	464	1272	18.037083	6.409789	10.277316
Vcabro1a006717	-	C2968654	+	1	1297	1032.932007	482.524506	773.669373
Vcabro1a014921	-	C2970252	+	239	1205	0.000000	0.000000	0.000000
Vcabro1a008208	-	C2970296	+	615	1234	37.656490	13.381885	21.456224
Vcabro1a009031	-	C2970322	-	76	1238	0.000000	0.000000	0.000000
Vcabro1a012675	-	C2970646	+	208	1092	15.141625	5.516714	8.845379
Vcabro1a009591	-	C2972642	-	228	1226	20.185629	7.173312	11.501533
Vcabro1a011326	-	C2973474	-	105	327	1.901345	0.675676	1.083364
Vcabro1a011380	-	C2974790	+	1	1379	316.703308	112.545990	180.453796
Vcabro1a011381	-	C2974790	-	952	1337	4.904547	1.742916	2.794553
Vcabro1a003557	-	C2975086	+	20	1283	6.762970	2.403338	3.853461
Vcabro1a013310	-	C2975364	+	671	1330	46.396824	16.487913	26.436363
Vcabro1a012263	-	C2980376	-	113	404	26.777397	9.515811	15.257445
Vcabro1a010662	-	C2981076	-	465	1470	561.492432	199.536041	319.931732
Vcabro1a004068	-	C2983694	+	11	922	1.880482	0.668262	1.071476
Vcabro1a007745	-	C2989668	-	12	1629	38.236404	13.587967	21.786652
Vcabro1a004244	-	C2990188	+	48	1639	48.692211	17.303619	27.744247
Vcabro1a006575	-	C2990794	+	521	779	21.664095	7.698710	12.343945
Vcabro1a011220	-	C2990956	+	2	1656	34.450756	12.242671	19.629633
Vcabro1a016641	-	C2991600	-	185	1662	1720.799316	611.515747	980.491150
Vcabro1a005047	-	C2991748	-	276	1583	93.668961	33.286884	53.371468
Vcabro1a015476	-	C2994238	+	712	1648	18.048025	6.413677	10.283552
Vcabro1a013021	-	C2995192	+	171	523	2.773371	0.985565	1.580234
Vcabro1a009013	-	C2995360	-	4	1706	16.806870	7.173664	11.502098
Vcabro1a006957	-	C2995616	-	967	1473	160.556061	57.056370	91.482948
Vcabro1a009571	-	C2997338	-	125	1754	42.459274	15.088637	24.192795
Vcabro1a009776	-	C2998748	+	38	1489	2.702345	0.960325	1.539764
Vcabro1a014677	-	C3000896	-	1	1848	232.368851	82.576286	132.401031
Vcabro1a006447	-	C3002226	+	497	1917	0.336383	0.119539	0.191667
Vcabro1a001827	-	C3003546	-	1005	1637	58.494171	20.786915	33.329288
Vcabro1a008893	-	C3003675	-	55	1890	34.195259	12.151876	19.484055
Vcabro1a012703	-	C3003899	+	2	1975	188.646896	67.038933	107.488777
Vcabro1a015177	-	C3004977	-	340	708	2.601626	0.924533	1.482376
Vcabro1a003014	-	C3005021	+	250	680	8.283951	2.943845	4.720098
Vcabro1a008033	-	C3006493	+	55	741	22.016949	7.824103	12.544997
Vcabro1a008034	-	C3006493	+	1136	1402	26.385416	9.376513	15.034099
Vcabro1a005275	-	C3007271	+	79	1741	13.583973	4.827300	7.739987
Vcabro1a008342	-	C3007341	-	58	2081	130.305801	50.923153	81.649078
Vcabro1a003478	-	C3007461	-	53	2037	29.783955	10.584243	16.970545
Vcabro1a012568	-	C3008135	-	7	2029	36.411663	12.939513	20.746937
Vcabro1a001722	-	C3008579	+	137	1333	1.407336	0.500121	0.801883
Vcabro1a003218	-	C3011915	-	486	2225	3.060345	1.087546	1.743748
Vcabro1a000991	-	C3013621	+	103	286	0.836957	0.297427	0.476888
Vcabro1a006412	-	C3014345	+	24	2309	14.987752	5.868389	9.409247
Vcabro1a006488	-	C3015561	-	6	2107	43.475819	15.545497	24.925312
Vcabro1a016324	-	C3015681	-	16	2200	11.319119	4.022445	6.449501
Vcabro1a004066	-	C3016661	+	17	2367	22.435829	7.972960	12.783671
Vcabro1a002390	-	C3017759	+	86	2518	47.660500	19.614788	31.449926
Vcabro1a001505	-	C3018369	+	2107	2292	0.736559	0.261749	0.419683
Vcabro1a009459	-	C3018793	+	45	2572	2.464242	0.875711	1.404096
Vcabro1a009992	-	C3019367	-	48	2534	130.447723	46.356850	74.327568
Vcabro1a006055	-	C3020399	-	241	1139	0.000000	0.000000	0.000000
Vcabro1a015475	-	C3020785	-	247	510	14.125000	5.019563	8.048258
Vcabro1a004048	-	C3021035	-	38	2549	89.455139	31.789431	50.970482
Vcabro1a009578	-	C3021929	-	65	1465	0.000000	0.000000	0.000000
Vcabro1a000322	-	C3024839	+	346	1727	478.735565	170.126953	272.777863
Vcabro1a012210	-	C3027161	-	31	2375	13.053911	4.673287	7.493046
