Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Polyb2a001694	-	C2970450	+	1	510	77.743134	23.104387	46.326736
Polyb2a008875	-	C2971162	+	41	299	42.011581	12.485371	25.034485
Polyb2a007685	-	C2972054	-	11	444	2.594470	0.771047	1.546031
Polyb2a003339	-	C2973406	-	93	351	5.416988	1.609868	3.227955
Polyb2a006303	-	C2973528	+	55	289	0.553191	0.164402	0.329644
Polyb2a010027	-	C2974132	-	58	330	11.073260	3.290849	6.598499
Polyb2a001150	-	C2975858	+	1	587	353.909241	105.177849	210.892715
Polyb2a011921	-	C2975956	+	170	547	0.044974	0.013366	0.026800
Polyb2a010877	-	C2976768	+	9	601	3.190847	0.948284	1.901409
Polyb2a000568	-	C2977576	-	12	224	2.889671	0.858778	1.721940
Polyb2a002703	-	C2978500	+	1	622	69.774918	20.736322	41.578518
Polyb2a010407	-	C2979004	+	102	639	22.297398	6.626536	13.286905
Polyb2a012176	-	C2979018	-	29	546	11.828735	3.515367	7.048683
Polyb2a001693	-	C2979430	+	79	638	7.624661	2.265964	4.543497
Polyb2a010823	-	C2980230	-	82	654	42.034397	12.492150	25.048082
Polyb2a010299	-	C2981076	-	1	677	11621.838867	3453.879883	6925.394531
Polyb2a002157	-	C2981500	+	141	674	2787.622803	828.450195	1661.130249
Polyb2a005639	-	C2982044	-	49	614	53.918087	16.023849	32.129513
Polyb2a005047	-	C2982162	+	1	698	226.333817	67.263870	134.871170
Polyb2a010695	-	C2982870	-	194	547	21.166666	6.290495	12.613108
Polyb2a000140	-	C2984316	-	23	740	8.141366	2.419523	4.851398
Polyb2a003742	-	C2985452	+	37	711	2.706667	0.804391	1.612889
Polyb2a009756	-	C2986562	+	21	695	7.789629	2.314990	4.641800
Polyb2a006793	-	C2987678	-	82	757	24.808001	7.372659	14.782960
Polyb2a008157	-	C2988006	+	100	350	130.096268	38.663151	77.523697
Polyb2a000326	-	C2989600	-	1	851	150.488098	44.723373	89.675087
Polyb2a009115	-	C2989842	+	1	857	1517.407959	450.956604	904.215637
Polyb2a011638	-	C2990510	+	103	531	0.425408	0.126426	0.253498
Polyb2a007845	-	C2993896	-	289	956	18.043062	5.362195	10.751768
Polyb2a011890	-	C2996664	-	5	934	26.317198	7.821176	15.682283
Polyb2a010516	-	C2997044	-	599	1040	17.900452	5.319813	10.666788
Polyb2a012160	-	C2999742	+	1	1116	32.186733	9.565536	19.179911
Polyb2a008935	-	C3001236	-	783	1068	3.534965	1.050552	2.106467
Polyb2a001966	-	C3002576	-	1	1169	1574.679077	467.976929	938.343201
Polyb2a008194	-	C3003922	-	45	1236	42.281883	12.565701	25.195559
Polyb2a005363	-	C3004206	-	569	1084	0.294574	0.087544	0.175535
Polyb2a008873	-	C3006760	+	174	581	3.046569	0.905406	1.815435
Polyb2a008444	-	C3007846	-	852	1229	6.629630	1.970252	3.950562
Polyb2a010010	-	C3009468	+	1	1420	109.671829	32.593235	65.352882
Polyb2a000002	-	C3010104	-	1	1440	107.339912	31.900217	63.963303
Polyb2a006361	-	C3011168	+	1	1481	31.633062	9.400990	18.849979
Polyb2a007948	-	C3014528	+	1	1604	67.038033	19.922951	39.947620
Polyb2a000670	-	C3015478	+	1	1643	171.941162	51.442589	103.147820
Polyb2a006539	-	C3018894	-	1	1768	84.994888	27.878143	55.898624
Polyb2a008572	-	C3019342	-	979	1778	122.265823	36.336029	72.857582
Polyb2a001389	-	C3019584	-	62	1816	362.165985	107.631668	215.812851
Polyb2a006287	-	C3020988	-	12	1313	24.315266	7.226223	14.489343
Polyb2a003340	-	C3023530	-	1	509	3.934889	1.169405	2.344780
Polyb2a004917	-	C3023626	+	32	1998	95.095421	28.261292	56.666878
Polyb2a003768	-	C3024918	-	24	2003	1.264141	0.375688	0.753295
Polyb2a011194	-	C3027396	+	1182	1862	2.338279	0.694910	1.393368
Polyb2a000004	-	C3031940	-	54	857	734.410034	218.258408	437.631195
Polyb2a000005	-	C3031940	-	966	2424	219.559479	65.250610	130.834366
Polyb2a010026	-	C3033536	-	60	1792	0.000000	0.000000	0.000000
Polyb2a008607	-	C3038046	-	1	1489	18.588940	5.938626	11.907573
Polyb2a002704	-	C3045280	-	935	3334	5.602600	1.665030	3.338561
Polyb2a001628	-	C3045934	+	1	3477	169.882507	50.637260	101.533058
Polyb2a001472	-	C3055174	+	470	2860	33.825336	12.502860	25.069557
Polyb2a001471	-	C3055174	+	3392	4449	31.146311	9.256334	18.559927
Polyb2a012175	-	C3055924	+	2599	2994	44.341347	13.177750	26.422783
Polyb2a010329	-	C3058218	+	2021	3643	46.589066	13.845747	27.762184
Polyb2a009113	-	C3068154	-	1683	5303	0.000000	0.000000	0.000000
Polyb2a000003	-	C3071236	+	4193	6272	3.765385	1.119030	2.243774
Polyb2a010074	-	scaffold1	-	3225	4705	3.693989	1.097812	2.201229
Polyb2a010072	-	scaffold1	-	10462	13207	2.646753	0.786585	1.577187
Polyb2a010055	-	scaffold1	-	16471	38251	73.051094	21.709965	43.530773
Polyb2a010061	-	scaffold1	+	29158	31350	19.527027	5.803213	11.636056
Polyb2a010067	-	scaffold1	+	38896	43695	67.760757	20.137735	40.378288
Polyb2a010035	-	scaffold1	-	44998	53182	49.368820	14.671859	29.418627
Polyb2a010060	-	scaffold1	+	59845	61318	64.901588	19.288023	38.674522
Polyb2a010042	-	scaffold1	+	62320	64590	17.208567	5.114192	10.254497
Polyb2a010073	-	scaffold1	-	64917	67558	1.256848	0.373521	0.748949
Polyb2a010050	-	scaffold1	-	69308	75079	6.750555	2.068504	4.147568
Polyb2a010039	-	scaffold1	-	81282	93029	6.575630	1.954203	3.918384
Polyb2a010062	-	scaffold1	+	93341	94199	83.974228	24.956196	50.039810
Polyb2a010065	-	scaffold1	-	94813	95442	95.930359	28.509426	57.164410
Polyb2a010059	-	scaffold1	+	97076	98217	420.493866	124.966049	250.570129
Polyb2a010043	-	scaffold1	-	103719	106047	184.658188	55.263554	110.809265
Polyb2a010051	-	scaffold1	+	106493	109680	252.950943	75.174179	150.732178
Polyb2a010075	-	scaffold1	-	109019	111318	1.219796	0.362510	0.726870
Polyb2a010070	-	scaffold1	+	111817	113020	2.956248	0.878564	1.761613
Polyb2a010037	-	scaffold1	-	112747	115524	148.140686	44.025749	88.276276
Polyb2a010053	-	scaffold1	+	117453	118018	6.335689	1.882896	3.775405
Polyb2a010040	-	scaffold1	+	129698	130277	13.723225	4.078388	8.177600
Polyb2a010045	-	scaffold1	+	130395	141294	66.558937	19.780567	39.662128
Polyb2a010076	-	scaffold1	-	143915	146851	55.718990	16.559057	33.202663
Polyb2a010030	-	scaffold1	+	147212	156316	36.040783	10.897563	21.850767
Polyb2a010038	-	scaffold1	-	156376	189899	126.088692	46.009731	92.254379
Polyb2a010034	-	scaffold1	+	173064	187507	3.752199	1.115111	2.235916
Polyb2a010069	-	scaffold1	-	190184	191683	208.032150	62.519188	125.357574
Polyb2a010046	-	scaffold1	+	191691	193744	63.304546	18.813400	37.722855
Polyb2a010052	-	scaffold1	+	205861	211272	29.663839	8.815760	17.676531
Polyb2a010078	-	scaffold1	+	216537	248332	26.980686	8.018356	16.077652
Polyb2a010031	-	scaffold1	+	250865	273223	16.665936	41.623459	83.459435
Polyb2a010056	-	scaffold1	+	275647	276871	333.516998	99.117508	198.741074
Polyb2a010028	-	scaffold1	+	278032	278767	459.219025	136.474731	273.646271
Polyb2a010033	-	scaffold1	-	278856	282271	137.306702	40.943066	82.095177
Polyb2a010054	-	scaffold1	+	283135	289551	10.816685	3.221490	6.459428
Polyb2a010036	-	scaffold1	+	292792	293874	0.000000	0.000000	0.000000
Polyb2a010063	-	scaffold1	+	300091	302313	21.750710	6.464067	12.961137
Polyb2a010044	-	scaffold1	+	303739	309253	33.328938	9.947384	19.945557
Polyb2a010048	-	scaffold1	-	309914	310777	287.358582	85.399742	171.235519
Polyb2a010079	-	scaffold1	+	311354	315283	14.059291	4.178263	8.377859
Polyb2a010068	-	scaffold1	+	318707	335259	47.298908	14.261699	28.596210
Polyb2a010047	-	scaffold1	-	335720	336787	4.602060	1.367680	2.742344
Polyb2a010049	-	scaffold1	+	339229	342917	1.402985	0.548772	1.100347
Polyb2a010077	-	scaffold1	+	343455	352783	3.824813	1.136691	2.279186
Polyb2a010041	-	scaffold1	+	352969	353660	17.840193	5.301905	10.630879
Polyb2a010066	-	scaffold1	+	353860	357095	21.293003	6.328041	12.688392
Polyb2a010064	-	scaffold1	+	359872	372739	177.386032	52.717136	105.703430
Polyb2a010071	-	scaffold1	-	374987	376411	259.851532	77.224960	154.844208
Polyb2a010029	-	scaffold1	-	376480	377882	88.462616	26.290094	52.714420
Polyb2a010057	-	scaffold1	-	379869	380829	180.192841	53.551289	107.375999
Polyb2a010058	-	scaffold1	+	382501	383891	448.809509	133.381134	267.443298
