Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Polyb2a002153	-	C2970098	+	87	501	2.470060	0.605133	1.294101
Polyb2a001694	-	C2970450	+	1	510	86.629410	21.223083	45.386440
Polyb2a008875	-	C2971162	+	41	299	53.484554	13.103024	28.021358
Polyb2a007685	-	C2972054	-	11	444	1.414747	0.346595	0.741207
Polyb2a007949	-	C2972806	+	93	541	0.000000	0.000000	0.000000
Polyb2a008874	-	C2973278	-	6	437	0.287037	0.070320	0.150383
Polyb2a003339	-	C2973406	-	93	351	19.795366	4.849608	10.371088
Polyb2a006303	-	C2973528	+	55	289	0.591489	0.144907	0.309890
Polyb2a010027	-	C2974132	-	58	330	10.465201	2.563839	5.482875
Polyb2a001150	-	C2975858	+	1	587	304.870026	74.689209	159.725952
Polyb2a011921	-	C2975956	+	170	547	2.203704	0.539879	1.154553
Polyb2a011920	-	C2976172	+	282	533	0.428571	0.104994	0.224535
Polyb2a010877	-	C2976768	+	9	601	6.580311	1.612091	3.447523
Polyb2a000568	-	C2977576	-	12	224	21.007042	5.146453	11.005903
Polyb2a002703	-	C2978500	+	1	622	82.490356	20.209070	43.217930
Polyb2a010407	-	C2979004	+	102	639	39.710037	9.728444	20.804682
Polyb2a012176	-	C2979018	-	29	546	20.162069	4.939445	10.563210
Polyb2a001693	-	C2979430	+	79	638	9.757453	2.390450	5.112075
Polyb2a010823	-	C2980230	-	82	654	50.093365	12.272225	26.244661
Polyb2a010299	-	C2981076	-	1	677	12388.946289	3035.131348	6490.753906
Polyb2a002157	-	C2981500	+	141	674	2847.942871	697.709106	1492.079834
Polyb2a005639	-	C2982044	-	49	614	46.262768	11.333779	24.237755
Polyb2a005047	-	C2982162	+	1	698	246.318771	60.344910	129.050079
Polyb2a010695	-	C2982870	-	194	547	45.567795	11.163520	23.873650
Polyb2a000140	-	C2984316	-	23	740	20.250696	4.961158	10.609642
Polyb2a003742	-	C2985452	+	37	711	44.964447	11.015707	23.557547
Polyb2a009756	-	C2986562	+	21	695	17.549629	4.299432	9.194513
Polyb2a006793	-	C2987678	-	82	757	36.309334	8.895316	19.023001
Polyb2a008157	-	C2988006	+	100	350	155.432556	38.078960	81.433441
Polyb2a000326	-	C2989600	-	1	851	112.263229	27.503036	58.816383
Polyb2a009115	-	C2989842	+	1	857	1638.742554	401.470673	858.561707
Polyb2a007938	-	C2991562	-	87	336	0.460000	0.112694	0.241001
Polyb2a007939	-	C2991562	-	402	860	0.849673	0.208159	0.445156
Polyb2a007845	-	C2993896	-	289	956	27.337320	6.697289	14.322431
Polyb2a003326	-	C2996370	-	297	750	2.231277	0.546634	1.168999
Polyb2a011890	-	C2996664	-	5	934	24.923960	6.106047	13.058035
Polyb2a010516	-	C2997044	-	599	1040	20.013575	4.903067	10.485411
Polyb2a012160	-	C2999742	+	1	1116	41.946938	10.276457	21.976625
Polyb2a011195	-	C2999952	+	632	843	0.424528	0.104004	0.222417
Polyb2a008935	-	C3001236	-	783	1068	5.094406	1.248064	2.669035
Polyb2a001966	-	C3002576	-	1	1169	1673.612793	410.013458	876.830750
Polyb2a008194	-	C3003922	-	45	1236	43.510487	10.659505	22.795794
Polyb2a008873	-	C3006760	+	174	581	2.441176	0.598056	1.278969
Polyb2a008444	-	C3007846	-	852	1229	10.269841	2.515978	5.380523
Polyb2a010010	-	C3009468	+	1	1420	135.256348	33.136055	70.862823
Polyb2a000002	-	C3010104	-	1	1440	139.846634	34.260612	73.267746
Polyb2a006361	-	C3011168	+	1	1481	36.234989	8.877103	18.984051
Polyb2a007948	-	C3014528	+	1	1604	91.735085	22.473907	48.061382
Polyb2a000670	-	C3015478	+	1	1643	185.902130	45.781551	97.905746
Polyb2a006539	-	C3018894	-	1	1768	72.045876	19.321329	41.319462
Polyb2a008572	-	C3019342	-	979	1778	135.426758	33.177803	70.952095
Polyb2a001389	-	C3019584	-	62	1816	328.025055	80.361885	171.857224
Polyb2a006287	-	C3020988	-	12	1313	35.345131	8.659099	18.517843
Polyb2a003340	-	C3023530	-	1	509	6.452088	1.580678	3.380345
Polyb2a004917	-	C3023626	+	32	1998	100.244278	24.558550	52.519474
Polyb2a003768	-	C3024918	-	24	2003	3.119283	0.764184	1.634239
Polyb2a011194	-	C3027396	+	1182	1862	3.014837	0.738596	1.579518
Polyb2a001391	-	C3028874	+	493	855	0.892562	0.218666	0.467627
Polyb2a000004	-	C3031940	-	54	857	916.576721	224.549423	480.208221
Polyb2a000005	-	C3031940	-	966	2424	240.703339	58.969200	126.108078
Polyb2a010026	-	C3033536	-	60	1792	0.000000	0.000000	0.000000
Polyb2a005621	-	C3035354	+	177	419	1.448560	0.354878	0.758922
Polyb2a008607	-	C3038046	-	1	1489	21.069508	5.534453	11.835656
Polyb2a002704	-	C3045280	-	935	3334	8.424327	2.063851	4.413630
Polyb2a001628	-	C3045934	+	1	3477	210.154297	51.631512	110.416130
Polyb2a001472	-	C3055174	+	470	2860	34.200333	10.438272	22.322678
Polyb2a001471	-	C3055174	+	3392	4449	35.328243	8.654962	18.508995
Polyb2a012175	-	C3055924	+	2599	2994	55.528847	13.603848	29.092392
Polyb2a010329	-	C3058218	+	2021	3643	54.114334	13.257311	28.351309
Polyb2a009113	-	C3068154	-	1683	5303	3.514599	0.861031	1.841351
Polyb2a003024	-	C3069586	-	6661	7309	0.000000	0.000000	0.000000
Polyb2a000003	-	C3071236	+	4193	6272	6.355289	1.556964	3.329631
Polyb2a010074	-	scaffold1	-	3225	4705	5.090164	1.247024	2.666813
Polyb2a010072	-	scaffold1	-	10462	13207	2.577054	0.631345	1.350157
Polyb2a010055	-	scaffold1	-	16471	38251	138.034637	33.816700	72.318413
Polyb2a010061	-	scaffold1	+	29158	31350	23.836712	5.839685	12.488409
Polyb2a010067	-	scaffold1	+	38896	43695	82.844772	20.295897	43.403614
Polyb2a010035	-	scaffold1	-	44998	53182	71.447762	17.503777	37.432549
Polyb2a010060	-	scaffold1	+	59845	61318	62.697422	15.360057	32.848118
Polyb2a010042	-	scaffold1	+	62320	64590	21.447859	5.254447	11.236853
Polyb2a010073	-	scaffold1	-	64917	67558	3.022997	0.740595	1.583793
Polyb2a010050	-	scaffold1	-	69308	75079	6.871767	1.737302	3.715292
