Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vvulg1g00010	-	Chr1	+	578	811	76.059830	40.212479	59.446419
Vvulg1g00011	-	Chr1	+	9331	16578	0.000000	0.000000	0.000000
Vvulg1g00021	-	Chr1	+	28529	35573	40.885147	21.615786	31.954784
Vvulg1g00020	-	Chr1	-	86243	95825	1537.932373	813.097717	1202.008667
Vvulg1g00030	-	Chr1	-	124096	132467	0.000000	0.000000	0.000000
Vvulg1g00031	-	Chr1	+	135872	140157	0.000000	0.000000	0.000000
Vvulg1g00040	-	Chr1	-	180101	181581	24.216064	12.802920	18.926655
Vvulg1g00050	-	Chr1	-	183395	187559	17.953194	9.491770	14.031756
Vvulg1g00060	-	Chr1	+	188096	189550	4.338015	2.293489	3.390481
Vvulg1g00070	-	Chr1	+	191372	192836	1.528175	0.807939	1.194382
Vvulg1g00071	-	Chr1	-	194637	201889	0.000000	0.000000	0.000000
Vvulg1g00080	-	Chr1	-	209279	210694	6.811054	3.600973	5.323346
Vvulg1g00090	-	Chr1	+	211372	217972	7.567594	4.000952	5.914638
Vvulg1g00110	-	Chr1	-	226611	235178	136.544601	72.190491	106.719772
Vvulg1g00150	-	Chr1	-	258441	260480	160.923401	85.079453	125.773613
Vvulg1g00160	-	Chr1	+	262304	264844	32.427029	17.144018	25.344135
Arg_16	-	Chr1	-	265279	265351	4.986301	2.636234	3.897165
Vvulg1g00180	-	Chr1	-	271120	277393	36.613388	19.357327	28.616087
Vvulg1g00181	-	Chr1	+	277940	278539	3.556911	1.880522	2.779991
Vvulg1g00190	-	Chr1	+	279021	280813	122.283241	64.650581	95.573448
Vvulg1g00200	-	Chr1	-	281414	284018	11.703382	6.187523	9.147064
Vvulg1g00210	-	Chr1	-	286423	287028	0.000000	0.000000	0.000000
Vvulg1g00211	-	Chr1	-	287771	289242	80.524727	42.573051	62.936066
Vvulg1g00220	-	Chr1	+	289474	293930	35.287544	18.656361	27.579842
Vvulg1g00230	-	Chr1	-	296989	298425	193.722229	102.420044	151.408325
Vvulg1g00240	-	Chr1	-	299815	301192	229.601471	121.389229	179.450638
Vvulg1g00250	-	Chr1	+	301619	302264	121.295952	64.128609	94.801811
Vvulg1g00260	-	Chr1	-	303674	306288	30.826321	16.297731	24.093063
Vvulg1g00261	-	Chr1	-	306874	309332	0.403361	0.213255	0.315257
Vvulg1g00270	-	Chr1	-	309617	311977	36.721180	19.414316	28.700335
Vvulg1g00280	-	Chr1	-	315761	316213	32.681782	17.278706	25.543243
Vvulg1g00281	-	Chr1	-	316345	319151	7.630752	4.034343	5.964000
Vvulg1g00291	-	Chr1	-	320158	322471	8.991682	4.753860	7.027668
Vvulg1g00290	-	Chr1	-	326917	328813	1.839912	0.972753	1.438028
Vvulg1g00292	-	Chr1	-	339708	339983	0.257368	0.136069	0.201152
Vvulg1g00300	-	Chr1	-	346843	347073	1.965490	1.039145	1.536177
Vvulg1g00310	-	Chr1	-	359078	362484	0.000000	0.000000	0.000000
Vvulg1g00330	-	Chr1	+	393420	408893	0.000000	0.000000	0.000000
Vvulg1g00340	-	Chr1	+	412205	413598	0.000000	0.000000	0.000000
Vvulg1g00360	-	Chr1	-	449572	450258	0.522539	0.276264	0.408403
Vvulg1g00370	-	Chr1	+	467086	469080	143.068787	75.639801	111.818901
Vvulg1g00380	-	Chr1	-	473692	474445	45.590755	24.103621	35.632568
Vvulg1g00390	-	Chr1	-	474516	493213	67.186050	35.520950	52.510895
Vvulg1g00400	-	Chr1	+	494756	495067	0.912403	0.482383	0.713111
Vvulg1g00401	-	Chr1	+	508527	508879	0.000000	0.000000	0.000000
Vvulg1g00410	-	Chr1	+	511192	511515	0.000000	0.000000	0.000000
Vvulg1g00420	-	Chr1	-	520783	522506	35.596226	18.819559	27.821098
Vvulg1g00421	-	Chr1	-	529683	534256	0.000000	0.000000	0.000000
Vvulg1g00430	-	Chr1	-	539556	539774	0.000000	0.000000	0.000000
Vvulg1g00440	-	Chr1	+	543285	543695	0.000000	0.000000	0.000000
Vvulg1g00450	-	Chr1	-	544709	573728	0.000000	0.000000	0.000000
Vvulg1g00460	-	Chr1	-	611377	614369	0.000000	0.000000	0.000000
Vvulg1g00480	-	Chr1	+	623617	624339	723.428101	382.473083	565.412903
Vvulg1g00490	-	Chr1	+	641206	652540	592.350769	313.173065	462.966217
Vvulg1g00500	-	Chr1	+	656716	661431	157.805405	83.430984	123.336670
Vvulg1g00510	-	Chr1	-	661604	665757	57.629597	30.468500	45.041817
Vvulg1g00520	-	Chr1	-	666139	666688	139.150208	73.568069	108.756241
Vvulg1g00530	-	Chr1	+	668631	672111	7.531015	3.981613	5.886048
Vvulg1g00540	-	Chr1	+	673930	675189	40.861111	21.603079	31.935999
Gln_1	-	Chr1	+	675741	675812	0.000000	0.000000	0.000000
Vvulg1g00550	-	Chr1	+	676385	679481	48.972385	25.891472	38.275562
Vvulg1g00560	-	Chr1	-	681171	683376	9.813522	5.188364	7.669998
Vvulg1g00561	-	Chr1	-	684653	685338	133.347824	70.500374	104.221245
Vvulg1g00570	-	Chr1	-	685765	688440	54.229809	28.671047	42.384628
Vvulg1g00580	-	Chr1	+	689136	690370	126.247925	66.746689	98.672150
Vvulg1g00581	-	Chr1	+	692611	692964	140.661011	74.366821	109.937042
Vvulg1g00590	-	Chr1	-	693278	696758	2.954579	1.562072	2.309223
Vvulg1g00600	-	Chr1	+	697216	699895	29.413607	15.550838	22.988922
Vvulg1g00610	-	Chr1	-	699918	701160	19.183010	10.141968	14.992949
Vvulg1g00620	-	Chr1	+	701647	704829	40.514900	21.420038	31.665409
Vvulg1g00621	-	Chr1	-	707376	707624	37.110943	19.620382	29.004963
Vvulg1g00630	-	Chr1	-	708959	710478	241.881454	127.881592	189.048355
Vvulg1g00640	-	Chr1	+	711828	714323	1869.847900	988.579834	1461.425293
Vvulg1g00650	-	Chr1	+	715261	716388	279.317810	147.674026	218.307663
Vvulg1g00660	-	Chr1	-	716880	717724	1116.949707	590.526123	872.979370
Vvulg1g00670	-	Chr1	+	718451	718970	84.903030	44.887836	66.358040
Vvulg1g00680	-	Chr1	-	720235	732330	7.748766	4.096736	6.056237
Vvulg1g00690	-	Chr1	+	736233	740357	23.540678	12.445848	18.398792
Vvulg1g00700	-	Chr1	-	741360	752574	5.679916	3.002945	4.439277
Vvulg1g00711	-	Chr1	+	770555	777075	227.437759	120.245285	177.759537
Vvulg1g00720	-	Chr1	-	780533	781066	19.321564	10.215220	15.101240
Vvulg1g00740	-	Chr1	-	789740	790409	1.952535	1.032296	1.526051
Vvulg1g00750	-	Chr1	-	795741	797290	0.000000	0.000000	0.000000
Vvulg1g00760	-	Chr1	-	802015	805213	0.000000	0.000000	0.000000
Vvulg1g00770	-	Chr1	+	813332	817101	0.000000	0.000000	0.000000
Vvulg1g00780	-	Chr1	-	818539	822608	0.000000	0.000000	0.000000
Vvulg1g00790	-	Chr1	-	825423	826662	0.377300	0.199477	0.294888
Vvulg1g00800	-	Chr1	+	827034	839117	8.413337	4.448092	6.575649
Vvulg1g00811	-	Chr1	+	846491	846811	0.000000	0.000000	0.000000
Vvulg1g00821	-	Chr1	+	850586	858367	11.367315	6.009847	8.884402
Vvulg1g00831	-	Chr1	+	862236	864255	73.463989	38.840069	57.417576
Vvulg1g00820	-	Chr1	-	865700	867709	37.220989	19.678564	29.090971
Vvulg1g00830	-	Chr1	+	870116	875554	23.434645	12.389788	18.315918
Vvulg1g00840	-	Chr1	-	877401	882068	2.482817	1.312654	1.940506
Vvulg1g00850	-	Chr1	-	882684	885209	214.031616	113.157516	167.281631
Vvulg1g00860	-	Chr1	+	886189	888198	27.271605	14.418370	21.314787
Vvulg1g00870	-	Chr1	-	889552	890379	76.569290	40.481827	59.844597
Vvulg1g00880	-	Chr1	+	892702	903607	135.367477	71.568153	105.799751
Vvulg1g00890	-	Chr1	-	905730	908094	16.128965	8.527309	12.605987
Vvulg1g00900	-	Chr1	+	908669	909980	82.985954	43.874287	64.859695
Vvulg1g00910	-	Chr1	-	911000	915417	138.805466	73.385803	108.486801
Vvulg1g00920	-	Chr1	+	916285	920670	147.570663	78.019928	115.337448
Vvulg1g00930	-	Chr1	-	921136	922896	115.895027	61.273159	90.580582
Vvulg1g00940	-	Chr1	-	928013	942562	6.382264	3.374273	4.988214
Vvulg1g00941	-	Chr1	+	943216	943564	0.000000	0.000000	0.000000
Vvulg1g00950	-	Chr1	+	972140	972729	0.000000	0.000000	0.000000
Ser_2	-	Chr1	+	972189	972270	0.000000	0.000000	0.000000
Vvulg1g00960	-	Chr1	-	974971	980593	275.587921	145.702057	215.392471
Vvulg1g00970	-	Chr1	+	981768	987084	26.406527	13.961008	20.638664
Vvulg1g00980	-	Chr1	-	990795	993280	19.991325	10.569320	15.624708
Vvulg1g00990	-	Chr1	-	1020279	1026097	0.000000	0.000000	0.000000
Vvulg1g01001	-	Chr1	+	1083639	1085196	0.000000	0.000000	0.000000
Vvulg1g01010	-	Chr1	+	1089074	1110772	0.000000	0.000000	0.000000
Vvulg1g01040	-	Chr1	+	1186123	1202770	49.951435	26.409092	39.040764
Vvulg1g01051	-	Chr1	-	1202803	1208409	55.291668	29.232447	43.214554
Vvulg1g01050	-	Chr1	-	1211271	1228421	285.184540	150.775726	222.892944
Vvulg1g01060	-	Chr1	+	1247372	1251964	0.000000	0.000000	0.000000
Vvulg1g01070	-	Chr1	-	1266353	1275516	161.027390	85.134430	125.854889
Vvulg1g01080	-	Chr1	+	1280007	1282834	0.000000	0.000000	0.000000
Vvulg1g01090	-	Chr1	+	1289881	1297114	0.000000	0.000000	0.000000
Vvulg1g01100	-	Chr1	+	1298002	1299141	0.000000	0.000000	0.000000
Vvulg1g01110	-	Chr1	+	1302171	1322088	0.000000	0.000000	0.000000
Vvulg1g01121	-	Chr1	-	1346259	1348177	10.974847	5.802351	8.577660
Vvulg1g01131	-	Chr1	+	1349555	1352377	0.000000	0.000000	0.000000
Vvulg1g01120	-	Chr1	+	1355959	1357118	0.000000	0.000000	0.000000
Vvulg1g01122	-	Chr1	+	1363470	1363724	1.000488	0.528953	0.781956
Vvulg1g01130	-	Chr1	-	1363865	1378222	3.980880	2.104673	3.111354
Vvulg1g01132	-	Chr1	-	1383255	1383479	0.000000	0.000000	0.000000
Vvulg1g01142	-	Chr1	+	1386141	1386790	0.000000	0.000000	0.000000
Vvulg1g01140	-	Chr1	+	1393271	1396497	5.997458	3.170828	4.687459
Vvulg1g01150	-	Chr1	+	1415094	1416141	0.000000	0.000000	0.000000
Vvulg1g01160	-	Chr1	-	1446803	1448456	0.000000	0.000000	0.000000
Vvulg1g01170	-	Chr1	-	1467680	1471815	5.446066	2.879310	4.256506
Vvulg1g01180	-	Chr1	-	1485801	1486605	0.000000	0.000000	0.000000
Vvulg1g01190	-	Chr1	-	1534369	1537444	0.000000	0.000000	0.000000
Vvulg1g01200	-	Chr1	+	1537479	1539906	0.367802	0.194455	0.287465
Vvulg1g01210	-	Chr1	-	1559159	1560341	0.000000	0.000000	0.000000
Vvulg1g01230	-	Chr1	-	1564863	1565991	13.637156	7.209901	10.658452
Vvulg1g01250	-	Chr1	-	1577142	1580205	8.524906	4.507078	6.662848
Vvulg1g01251	-	Chr1	+	1584347	1586996	0.000000	0.000000	0.000000
Vvulg1g01260	-	Chr1	-	1597320	1598242	0.000000	0.000000	0.000000
Vvulg1g01270	-	Chr1	+	1598760	1601242	0.000000	0.000000	0.000000
Vvulg1g01280	-	Chr1	+	1604166	1609273	0.000000	0.000000	0.000000
Vvulg1g01290	-	Chr1	-	1620932	1624393	0.000000	0.000000	0.000000
Vvulg1g01310	-	Chr1	+	1640894	1641395	0.000000	0.000000	0.000000
Vvulg1g01320	-	Chr1	+	1652047	1660082	0.000000	0.000000	0.000000
Vvulg1g01330	-	Chr1	-	1667852	1669190	0.000000	0.000000	0.000000
Vvulg1g01340	-	Chr1	-	1672283	1675363	0.000000	0.000000	0.000000
Vvulg1g01350	-	Chr1	-	1694373	1694988	0.000000	0.000000	0.000000
Vvulg1g01351	-	Chr1	+	1696865	1698921	0.000000	0.000000	0.000000
Vvulg1g01360	-	Chr1	+	1701076	1702619	1.725035	0.912018	1.348243
Vvulg1g01370	-	Chr1	-	1717821	1721968	17.267593	9.129296	13.495910
Vvulg1g01380	-	Chr1	+	1731135	1732299	110.311790	58.321331	86.216873
Vvulg1g01390	-	Chr1	-	1735975	1738098	106.238503	56.167801	83.033295
Vvulg1g01400	-	Chr1	+	1740536	1746320	0.000000	0.000000	0.000000
Vvulg1g01410	-	Chr1	+	1770954	1787359	37.240192	19.688717	29.105980
Vvulg1g01420	-	Chr1	+	1795340	1801451	0.422579	0.223416	0.330277
Vvulg1g01440	-	Chr1	+	1830913	1847966	162.682770	86.009621	127.148689
Vvulg1g01450	-	Chr1	-	1849637	1852484	60.743656	32.114887	47.475685
Vvulg1g01460	-	Chr1	+	1853628	1859442	37.952599	20.065361	29.662781
Vvulg1g01470	-	Chr1	-	1859793	1860167	4.240208	2.241778	3.314038
Vvulg1g01480	-	Chr1	-	1863059	1863370	116.971268	61.842163	91.421745
Vvulg1g01490	-	Chr1	-	1864530	1865363	0.000000	0.000000	0.000000
Vvulg1g01500	-	Chr1	+	1869306	1870716	29.345547	15.514853	22.935728
Vvulg1g01510	-	Chr1	-	1872651	1873730	0.000000	0.000000	0.000000
Vvulg1g01520	-	Chr1	-	1877988	1878803	11.325980	5.987993	8.852096
Vvulg1g01530	-	Chr1	+	1880504	1880914	2.387350	1.262181	1.865892
Vvulg1g01531	-	Chr1	+	1886426	1888462	0.000000	0.000000	0.000000
Vvulg1g01541	-	Chr1	+	1895256	1895492	33.932713	17.940067	26.520939
Vvulg1g01540	-	Chr1	+	1900387	1905838	32.280884	17.066753	25.229912
Vvulg1g01550	-	Chr1	+	1908478	1910189	96.984642	51.275330	75.800713
Vvulg1g01560	-	Chr1	+	1914404	1915825	0.000000	0.000000	0.000000
Vvulg1g01570	-	Chr1	-	1918661	1928781	0.000000	0.000000	0.000000
Vvulg1g01580	-	Chr1	-	1936943	1937300	42.545860	22.493797	33.252754
Vvulg1g01590	-	Chr1	-	1937429	1946856	17.487417	9.245516	13.667718
Vvulg1g01610	-	Chr1	+	1964987	1972461	0.000000	0.000000	0.000000
Vvulg1g01620	-	Chr1	+	1990480	1999431	0.903293	0.477567	0.705991
Vvulg1g01630	-	Chr1	-	2004888	2018819	21.180826	11.198204	16.554392
Vvulg1g01640	-	Chr1	-	2037433	2038529	46.250916	24.452642	36.148533
Vvulg1g01670	-	Chr1	+	2059047	2077456	0.000000	0.000000	0.000000
Vvulg1g01680	-	Chr1	+	2081521	2083985	0.000000	0.000000	0.000000
Vvulg1g01700	-	Chr1	-	2096473	2114239	0.843024	0.445703	0.658886
Vvulg1g01710	-	Chr1	+	2115923	2116278	21.662989	11.453121	16.931236
Vvulg1g01720	-	Chr1	-	2117895	2125031	18.968540	10.028580	14.825325
Vvulg1g01730	-	Chr1	+	2125992	2128343	115.048164	60.825428	89.918701
Vvulg1g01750	-	Chr1	-	2131813	2137202	78.859222	41.692505	61.634350
Vvulg1g01760	-	Chr1	-	2139954	2141285	48.261509	25.515635	37.719959
Vvulg1g01770	-	Chr1	-	2142098	2144679	25.513599	13.488921	19.940777
Vvulg1g01780	-	Chr1	+	2145244	2146725	42.816624	22.636950	33.464378
Vvulg1g01781	-	Chr1	+	2149502	2156869	14.782928	7.815666	11.553958
Vvulg1g01790	-	Chr1	-	2159811	2163068	940.657776	497.321411	735.194031
Vvulg1g01800	-	Chr1	+	2169546	2171841	34.730274	18.361734	27.144295
Vvulg1g01810	-	Chr1	-	2175558	2182434	7.147060	3.778617	5.585959
Vvulg1g01830	-	Chr1	+	2190780	2196958	3.159269	1.670291	2.469204
Vvulg1g01840	-	Chr1	+	2204117	2208997	0.000000	0.000000	0.000000
Vvulg1g01870	-	Chr1	-	2268146	2283316	0.000000	0.000000	0.000000
Vvulg1g01890	-	Chr1	-	2294608	2295891	250.959015	132.680862	196.143143
Vvulg1g01900	-	Chr1	+	2297728	2301568	77.617027	41.035763	60.663479
Vvulg1g01920	-	Chr1	+	2332316	2337906	23.136320	12.232064	18.082756
Vvulg1g01930	-	Chr1	-	2340833	2345302	846.281433	447.425049	661.431885
Vvulg1g01950	-	Chr1	-	2353723	2378043	39.551369	20.910625	30.912336
Vvulg1g01960	-	Chr1	-	2382239	2387695	30.250961	15.993542	23.643377
Vvulg1g01970	-	Chr1	+	2390005	2392364	13.160221	6.957747	10.285692
