Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	44.493179	22.862898	50.989624
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	18.322035	40.640594	90.638046
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	318.937653	192.669189	429.697449
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	15.292224	14.354706	32.014362
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	12.838063	29.188051	65.096199
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	22.695599	11.662172	26.009378
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	90.703476	48.968433	109.211090
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	223.340271	114.823029	256.082275
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	174.128494	89.476234	199.552979
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	15.170295	7.795282	17.385307
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	69.946053	35.941898	80.158867
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	791.530029	406.729095	907.101257
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	29.772640	15.298723	34.119740
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	58.330612	30.400602	67.800468
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	224.871078	129.294464	288.356934
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	432.899048	225.066299	501.950592
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	185.205811	95.168335	212.247681
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	831.214294	427.120911	952.579773
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	32.344849	16.620457	37.067513
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	14.290210	7.343049	16.376722
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	677.206116	357.217499	796.678772
