Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	31.738583	14.465524	28.504375
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.934958	20.986897	41.354771
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	340.598602	174.671844	344.191620
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	18.066418	13.636459	26.870703
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	12.046541	22.378016	44.095974
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	35.015221	15.639800	30.818291
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	97.673706	45.809643	90.268097
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	298.828552	133.509491	263.081024
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	202.737915	90.554344	178.437729
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	23.382151	10.443806	20.579563
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	98.640373	44.058430	86.817329
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1243.026123	555.206543	1094.036865
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	48.321110	21.582972	42.529335
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	82.465271	37.360394	73.618813
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	272.106720	135.009003	266.035797
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	810.697510	366.307098	721.809692
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	211.012985	94.250465	185.720947
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1429.242798	638.381531	1257.933472
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	29.800522	13.310616	26.228628
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	49.851048	22.266329	43.875896
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	767.162415	351.550781	692.732300
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	61.932446	27.662571	54.509212
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	11.701613	5.235962	10.317487
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	10.037836	12.812376	25.246841
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	41.950665	18.737564	36.922451
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	409.794342	183.037582	360.676331
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	87.839081	39.644207	78.119080
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.513323	1.569251	3.092216
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	10.784217	4.816848	9.491619
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	9.020305	4.028984	7.939130
