Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Megalopta_genalis-longest-isoforms
OG0010372	NP_001011575.1				
OG0010373	NP_001011582.1				
OG0010374	NP_001011607.1				
OG0010375	NP_001011612.1				
OG0010376	NP_001011613.1				
OG0010377	NP_001011618.1				
OG0010378	NP_001129381.1				
OG0010379	NP_001129678.1				
OG0010380	NP_001129679.1				
OG0010381	NP_001129680.1				
OG0010382	NP_001129681.1				
OG0010383	NP_001239359.1				
OG0010384	NP_001265254.1				
OG0010385	XP_001120576.2				
OG0010386	XP_001120652.1				
OG0010387	XP_001120792.2				
OG0010388	XP_001121093.2				
OG0010389	XP_001122218.1				
OG0010390	XP_001122291.2				
OG0010391	XP_001122505.3				
OG0010392	XP_001122876.4				
OG0010393	XP_001122979.3				
OG0010394	XP_003249210.2				
OG0010395	XP_003249650.2				
OG0010396	XP_003250395.2				
OG0010397	XP_003250445.3				
OG0010398	XP_003250834.2				
OG0010399	XP_003250980.1				
OG0010400	XP_006557327.2				
OG0010401	XP_006557674.1				
OG0010402	XP_006557933.2				
OG0010403	XP_006557939.2				
OG0010404	XP_006557980.1				
OG0010405	XP_006558226.1				
OG0010406	XP_006558298.1				
OG0010407	XP_006558377.1				
OG0010408	XP_006558393.2				
OG0010409	XP_006558491.1				
OG0010410	XP_006558639.1				
OG0010411	XP_006558685.1				
OG0010412	XP_006558721.3				
OG0010413	XP_006558724.2				
OG0010414	XP_006558732.1				
OG0010415	XP_006558738.3				
OG0010416	XP_006559000.1				
OG0010417	XP_006559216.1				
OG0010418	XP_006559586.3				
OG0010419	XP_006559684.2				
OG0010420	XP_006559836.1				
OG0010421	XP_006559838.1				
OG0010422	XP_006560378.1				
OG0010423	XP_006560670.1				
OG0010424	XP_006560760.1				
OG0010425	XP_006560864.1				
OG0010426	XP_006561028.1				
OG0010427	XP_006561108.1				
OG0010428	XP_006561215.1				
OG0010429	XP_006561718.1				
OG0010430	XP_006562357.1				
OG0010431	XP_006562840.1				
OG0010432	XP_006562950.1				
OG0010433	XP_006562951.1				
OG0010434	XP_006565238.1				
OG0010435	XP_006565357.3				
OG0010436	XP_006565452.1				
OG0010437	XP_006565476.1				
OG0010438	XP_006565784.1				
OG0010439	XP_006566234.2				
OG0010440	XP_006566554.2				
OG0010441	XP_006566649.2				
OG0010442	XP_006566864.2				
OG0010443	XP_006567726.1				
OG0010444	XP_006567727.1				
OG0010445	XP_006567728.1				
OG0010446	XP_006567933.1				
OG0010447	XP_006568760.1				
OG0010448	XP_006568906.1				
OG0010449	XP_006569319.1				
OG0010450	XP_006571237.1				
OG0010451	XP_006571516.1				
OG0010452	XP_006571878.1				
OG0010453	XP_006571918.1				
OG0010454	XP_016766256.1				
OG0010455	XP_016766352.1				
OG0010456	XP_016766417.2				
OG0010457	XP_016766494.1				
OG0010458	XP_016766955.1				
OG0010459	XP_016768198.2				
OG0010460	XP_016768199.2				
OG0010461	XP_016768200.2				
OG0010462	XP_016768202.2				
OG0010463	XP_016769008.2				
OG0010464	XP_016769033.2				
OG0010465	XP_016769518.1				
OG0010466	XP_016769538.1				
OG0010467	XP_016769593.2				
OG0010468	XP_016769739.2				
OG0010469	XP_016770074.1				
OG0010470	XP_016770378.1				
OG0010471	XP_016770809.1				
OG0010472	XP_016770831.1				
OG0010473	XP_016770950.1				
OG0010474	XP_016771251.1				
OG0010475	XP_016771273.2				
