Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	30.591904	22.862156	48.446327
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	9.771638	32.840446	69.590942
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	223.078049	190.058014	402.744720
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	2.161780	2.792298	5.917053
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	9.282152	29.178860	61.831818
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	19.294941	14.342945	30.393591
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	59.227623	46.255608	98.018517
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	154.929794	115.194008	244.103256
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	114.983383	85.473206	181.123016
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	14.693643	10.922558	23.145580
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	61.489559	45.708424	96.858994
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	587.672852	436.848145	925.708374
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	22.971098	17.075624	36.184311
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	53.103115	40.050087	84.868622
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	160.368057	131.865662	279.431519
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	329.634125	247.556381	524.587341
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	126.641571	94.139343	199.487122
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	747.579163	555.714966	1177.594482
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	10.905476	8.106614	17.178419
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	21.361538	15.879154	33.648918
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	355.240692	272.146545	576.695496
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	26.730770	19.870388	42.106586
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	4.519395	3.359504	7.118998
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	6.492898	13.905364	29.466330
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	30.674337	22.801849	48.318535
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	269.769196	200.533646	424.943237
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	70.171463	53.050060	112.416374
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.029294	2.251834	4.771775
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	5.088764	3.782746	8.015874
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	6.397103	4.755303	10.076783
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	2.812444	2.090637	4.430191
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.236778	0.176010	0.372975
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	27.060810	20.115725	42.626469
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	103.423141	76.879860	162.913208
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	4.574389	3.400384	7.205625
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	12.847040	9.568163	20.275532
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	30.626459	27.089249	57.403797
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	28.541010	21.216034	44.958096
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	18.461901	15.975931	33.853989
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	2.393314	1.928801	4.087249
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	153.326324	113.975525	241.521210
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.792694	0.589251	1.248660
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.409280	1.047592	2.219913
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	66.186714	49.200069	104.258003
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	31.985308	23.931860	50.713100
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	32.337753	24.060011	50.984657
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	12.434870	9.243493	19.587536
