Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC117221797	LOC117221797	NW_022886913.1	+	72046	73212	0.000000	0.000000	0.000000
gene-LOC117222501	LOC117222501	NW_022886913.1	+	73770	74502	1.005386	15.844604	42.385509
gene-LOC117224661	LOC117224661	NW_022886927.1	-	99960	101353	0.000000	0.000000	0.000000
gene-LOC117229484	LOC117229484	NW_022886975.1	+	7439	9994	4.855432	76.520264	204.697449
gene-LOC117229422	LOC117229422	NW_022886975.1	-	7876	11329	0.000000	0.000000	0.000000
gene-LOC117229831	LOC117229831	NW_022886975.1	+	11892	13179	0.000000	0.000000	0.000000
gene-LOC117229331	LOC117229331	NW_022886975.1	-	16329	27800	0.000000	0.000000	0.000000
gene-LOC117229605	LOC117229605	NW_022886975.1	+	37033	73701	0.000000	0.000000	0.000000
gene-LOC117229529	LOC117229529	NW_022886975.1	-	73779	95070	0.000000	0.000000	0.000000
gene-LOC117229782	LOC117229782	NW_022886975.1	+	91158	92434	0.000000	0.000000	0.000000
gene-LOC117230074	LOC117230074	NW_022887012.1	+	246480	257427	0.000000	0.000000	0.000000
gene-LOC117217425	LOC117217425	NW_022887057.1	+	366423	768851	0.000000	0.000000	0.000000
gene-LOC117217631	LOC117217631	NW_022887057.1	+	857230	875584	3.425998	53.992779	144.434738
gene-LOC117217700	LOC117217700	NW_022887057.1	-	870314	876267	5.541267	87.328827	233.611191
gene-LOC117217835	LOC117217835	NW_022887057.1	-	890125	921893	0.160850	3.952365	10.572873
gene-LOC117217951	LOC117217951	NW_022887057.1	-	906670	911363	0.000000	0.000000	0.000000
gene-LOC117218657	LOC117218657	NW_022887092.1	+	69324	376949	0.000000	0.000000	0.000000
gene-LOC117218754	LOC117218754	NW_022887092.1	+	389872	391332	0.000000	0.000000	0.000000
gene-LOC117218791	LOC117218791	NW_022887092.1	-	393268	397841	0.311391	4.907436	13.127760
gene-LOC117218604	LOC117218604	NW_022887092.1	-	643996	646390	0.000000	0.000000	0.000000
gene-LOC117218407	LOC117218407	NW_022887092.1	+	645575	662429	0.000000	0.000000	0.000000
gene-LOC117218114	LOC117218114	NW_022887092.1	-	736566	740731	0.000000	0.000000	0.000000
gene-LOC117218248	LOC117218248	NW_022887092.1	+	741065	743345	0.000000	0.000000	0.000000
gene-LOC117221139	LOC117221139	NW_022887118.1	+	21050	81751	0.000000	0.000000	0.000000
gene-LOC117220439	LOC117220439	NW_022887118.1	+	90832	96400	0.000000	0.000000	0.000000
gene-LOC117220508	LOC117220508	NW_022887118.1	-	97895	102867	0.416849	7.485868	20.025261
gene-LOC117221398	LOC117221398	NW_022887118.1	+	107861	138822	0.000000	0.000000	0.000000
gene-LOC117221607	LOC117221607	NW_022887118.1	-	115433	118395	0.000000	0.000000	0.000000
gene-LOC117220691	LOC117220691	NW_022887118.1	+	143046	144378	0.000000	0.000000	0.000000
gene-LOC117222103	LOC117222103	NW_022887118.1	+	174500	176366	0.000000	0.000000	0.000000
gene-LOC117222034	LOC117222034	NW_022887118.1	+	182464	184330	0.000000	0.000000	0.000000
gene-LOC117221204	LOC117221204	NW_022887118.1	+	190819	208627	0.310474	4.892984	13.089101
gene-LOC117221673	LOC117221673	NW_022887118.1	-	211180	213323	0.000000	0.000000	0.000000
gene-LOC117220738	LOC117220738	NW_022887118.1	+	216821	226410	0.000000	0.000000	0.000000
gene-LOC117223098	LOC117223098	NW_022887118.1	-	235504	344258	0.052120	7.993930	21.384363
gene-LOC117223731	LOC117223731	NW_022887118.1	-	354517	361310	0.000000	0.000000	0.000000
gene-LOC117223947	LOC117223947	NW_022887118.1	+	362680	364852	0.000000	0.000000	0.000000
gene-LOC117221266	LOC117221266	NW_022887118.1	+	365159	373529	0.000000	0.000000	0.000000
gene-LOC117222296	LOC117222296	NW_022887118.1	+	373635	374759	0.000000	0.000000	0.000000
gene-LOC117222174	LOC117222174	NW_022887118.1	+	377749	385864	0.000000	0.000000	0.000000
gene-LOC117220381	LOC117220381	NW_022887118.1	+	389403	390522	0.000000	0.000000	0.000000
gene-LOC117221000	LOC117221000	NW_022887118.1	+	392744	398079	0.910806	26.768219	71.607002
gene-LOC117222476	LOC117222476	NW_022887118.1	-	410407	973276	0.000000	0.000000	0.000000
gene-LOC117222608	LOC117222608	NW_022887118.1	-	439707	973138	0.000000	0.000000	0.000000
