Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC117220716	LOC117220716	NW_022886913.1	-	51797	54370	1.188472	0.792992	2.132301
gene-LOC117221797	LOC117221797	NW_022886913.1	+	72046	73212	10.429089	6.958669	18.711382
gene-LOC117222501	LOC117222501	NW_022886913.1	+	73770	74502	0.000000	0.000000	0.000000
gene-LOC117224661	LOC117224661	NW_022886927.1	-	99960	101353	0.000000	0.000000	0.000000
gene-LOC117225180	LOC117225180	NW_022886933.1	-	10262	25069	0.000000	0.000000	0.000000
gene-LOC117227604	LOC117227604	NW_022886933.1	-	95081	96516	0.000000	0.000000	0.000000
gene-LOC117229484	LOC117229484	NW_022886975.1	+	7439	9994	0.000000	0.000000	0.000000
gene-LOC117229422	LOC117229422	NW_022886975.1	-	7876	11329	5.644546	3.766247	10.127179
gene-LOC117229831	LOC117229831	NW_022886975.1	+	11892	13179	0.000000	0.000000	0.000000
gene-LOC117229331	LOC117229331	NW_022886975.1	-	16329	27800	15.198538	10.141019	27.268503
gene-LOC117229605	LOC117229605	NW_022886975.1	+	37033	73701	0.651025	0.434388	1.168038
gene-LOC117229529	LOC117229529	NW_022886975.1	-	73779	95070	23.764673	15.856657	42.637463
gene-LOC117229782	LOC117229782	NW_022886975.1	+	91158	92434	0.000000	0.000000	0.000000
gene-LOC117230013	LOC117230013	NW_022887012.1	+	243689	244697	353.783295	236.057114	634.741394
gene-LOC117230074	LOC117230074	NW_022887012.1	+	246480	257427	57.477131	38.350842	103.122772
gene-LOC117217749	LOC117217749	NW_022887057.1	-	197252	320242	0.000000	0.000000	0.000000
gene-LOC117217425	LOC117217425	NW_022887057.1	+	366423	768851	15.333799	10.528005	28.309080
gene-LOC117217631	LOC117217631	NW_022887057.1	+	857230	875584	5.105284	3.406432	9.159661
gene-LOC117217700	LOC117217700	NW_022887057.1	-	870314	876267	5.482452	3.658092	9.836358
gene-LOC117217835	LOC117217835	NW_022887057.1	-	890125	921893	25.188667	24.974014	67.153412
gene-LOC117217951	LOC117217951	NW_022887057.1	-	906670	911363	0.000000	0.000000	0.000000
gene-LOC117218657	LOC117218657	NW_022887092.1	+	69324	376949	19.959410	13.317647	35.810238
gene-LOC117218754	LOC117218754	NW_022887092.1	+	389872	391332	13.263581	8.849945	23.796894
gene-LOC117218791	LOC117218791	NW_022887092.1	-	393268	397841	0.000000	0.000000	0.000000
gene-LOC117218604	LOC117218604	NW_022887092.1	-	643996	646390	0.000000	0.000000	0.000000
gene-LOC117218407	LOC117218407	NW_022887092.1	+	645575	662429	1.732237	3.394974	9.128852
gene-LOC117218114	LOC117218114	NW_022887092.1	-	736566	740731	21.466557	14.911386	40.095692
gene-LOC117218248	LOC117218248	NW_022887092.1	+	741065	743345	16.077208	10.727300	28.844973
gene-LOC117218331	LOC117218331	NW_022887092.1	+	743793	745349	14.199112	9.474165	25.475380
gene-LOC117218836	LOC117218836	NW_022887092.1	+	745586	759016	30.024771	20.033623	53.869034
gene-LOC117221139	LOC117221139	NW_022887118.1	+	21050	81751	64.123672	42.785652	115.047684
gene-LOC117220439	LOC117220439	NW_022887118.1	+	90832	96400	13.422916	8.956260	24.082766
gene-LOC117220508	LOC117220508	NW_022887118.1	-	97895	102867	239.026764	182.211838	489.955139
gene-LOC117221398	LOC117221398	NW_022887118.1	+	107861	138822	4.974230	5.005173	13.458567
gene-LOC117221607	LOC117221607	NW_022887118.1	-	115433	118395	0.375113	0.252508	0.678977
gene-LOC117220691	LOC117220691	NW_022887118.1	+	143046	144378	0.000000	0.000000	0.000000
gene-LOC117222103	LOC117222103	NW_022887118.1	+	174500	176366	0.000000	0.000000	0.000000
gene-LOC117222034	LOC117222034	NW_022887118.1	+	182464	184330	0.000000	0.000000	0.000000
gene-LOC117221204	LOC117221204	NW_022887118.1	+	190819	208627	0.000000	0.000000	0.000000
gene-LOC117221673	LOC117221673	NW_022887118.1	-	211180	213323	13.885548	11.115593	29.889067
gene-LOC117220738	LOC117220738	NW_022887118.1	+	216821	226410	18.877943	12.602124	33.886246
gene-LOC117223098	LOC117223098	NW_022887118.1	-	235504	344258	4.645849	27.805843	74.767998
gene-LOC117223731	LOC117223731	NW_022887118.1	-	354517	361310	13.102211	10.088526	27.127350
gene-LOC117223947	LOC117223947	NW_022887118.1	+	362680	364852	17.160664	11.450221	30.788858
gene-LOC117221266	LOC117221266	NW_022887118.1	+	365159	373529	1.308333	0.872968	2.347350
gene-LOC117222296	LOC117222296	NW_022887118.1	+	373635	374759	0.000000	0.000000	0.000000
gene-LOC117222174	LOC117222174	NW_022887118.1	+	377749	385864	2.088715	2.818103	7.577686
gene-LOC117220381	LOC117220381	NW_022887118.1	+	389403	390522	5.363043	3.578418	9.622120
gene-LOC117221000	LOC117221000	NW_022887118.1	+	392744	398079	7.622285	10.230548	27.509241
gene-LOC117222476	LOC117222476	NW_022887118.1	-	410407	973276	37.507683	44.791252	120.440605
gene-LOC117222608	LOC117222608	NW_022887118.1	-	439707	973138	18.926651	17.498693	47.052780
gene-LOC117222347	LOC117222347	NW_022887118.1	-	674119	680812	1.851796	1.250563	3.362677
gene-LOC117222943	LOC117222943	NW_022887118.1	+	675084	676836	0.000000	0.000000	0.000000
gene-LOC117222997	LOC117222997	NW_022887118.1	+	681237	681579	0.646899	0.431635	1.160636
gene-LOC117223049	LOC117223049	NW_022887118.1	+	935466	936094	0.000000	0.000000	0.000000
gene-LOC117220307	LOC117220307	NW_022887118.1	+	974111	976371	2.805410	1.871872	5.033335
gene-LOC117221889	LOC117221889	NW_022887118.1	-	980524	1101314	2.202439	1.532972	4.122056
gene-Trnav-uac	Trnav-uac	NW_022887118.1	-	1049953	1050025	0.000000	0.000000	0.000000
gene-LOC117221329	LOC117221329	NW_022887118.1	-	1091851	1093017	0.604113	0.403086	1.083871
gene-LOC117219502	LOC117219502	NW_022887118.1	+	1154760	1491519	1.871461	11.894530	31.983574
gene-LOC117219419	LOC117219419	NW_022887118.1	-	1519349	1521099	30.676489	20.468472	55.038315
gene-LOC117224388	LOC117224388	NW_022887118.1	+	1522687	1703735	1.083384	8.248341	22.179220
gene-LOC117220251	LOC117220251	NW_022887118.1	-	1712263	1715747	5.035354	3.359772	9.034196
gene-LOC117224285	LOC117224285	NW_022887118.1	+	1716535	1719633	14.610725	9.748810	26.213877
gene-LOC117224066	LOC117224066	NW_022887118.1	+	1723289	1987042	2.765753	81.861702	220.120483
gene-LOC117220645	LOC117220645	NW_022887118.1	-	1996343	2003174	0.000000	0.000000	0.000000
gene-LOC117221836	LOC117221836	NW_022887118.1	+	2003226	2004553	0.000000	0.000000	0.000000
gene-LOC117218897	LOC117218897	NW_022887118.1	+	2009593	2234443	0.843713	13.372427	35.957539
gene-LOC117219372	LOC117219372	NW_022887118.1	+	2044099	2046333	0.048482	0.032349	0.086984
gene-LOC117220941	LOC117220941	NW_022887118.1	-	2243122	2255387	15.986362	10.666684	28.681980
gene-LOC117225372	LOC117225372	NW_022887118.1	+	2259538	2261240	0.000000	0.000000	0.000000
gene-LOC117225226	LOC117225226	NW_022887118.1	-	2260465	2265365	16.913382	11.285225	30.345196
gene-LOC117225334	LOC117225334	NW_022887118.1	-	2266192	2267219	10.227221	6.823975	18.349199
gene-LOC117224923	LOC117224923	NW_022887118.1	+	2268001	2273086	25.377066	25.747219	69.232498
gene-LOC117224854	LOC117224854	NW_022887118.1	-	2272424	2277514	7.250528	4.837817	13.008557
gene-LOC117225289	LOC117225289	NW_022887118.1	+	2275077	2276820	1.186229	0.791495	2.128276
gene-LOC117225095	LOC117225095	NW_022887118.1	+	2278404	2281889	0.388768	0.332423	0.893863
gene-LOC117225421	LOC117225421	NW_022887118.1	+	2282246	2283391	0.000000	0.000000	0.000000
