Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	27.170851	21.792503	45.367493
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	7.778762	25.876486	53.869499
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	178.702240	167.719467	349.157318
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	25.004112	32.709965	68.095390
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	10.051234	36.069733	75.089729
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	16.215137	12.912189	26.880508
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	65.947876	55.173801	114.860458
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	153.557785	122.307510	254.618973
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	106.453926	84.769753	176.473114
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	12.546944	9.991189	20.799593
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	50.329468	40.077587	83.433258
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	499.490692	397.746735	828.026550
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	15.842004	12.615061	26.261951
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	38.471622	31.007368	64.550941
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	151.207565	134.241379	279.462830
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	398.900696	322.419434	671.210632
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	116.750412	92.968887	193.542023
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	566.176636	450.849060	938.574646
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	15.080182	12.008418	24.999046
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	22.504894	17.920752	37.307301
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	469.579926	383.504486	798.377136
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	25.445267	20.262184	42.181679
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	7.664212	6.107739	12.715052
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	7.395986	16.822109	35.020157
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	25.729006	20.488127	42.652046
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	232.106766	184.827698	384.773071
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	54.293407	43.887878	91.365494
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.249010	2.587202	5.386019
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	5.328101	4.242792	8.832616
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	2.540484	2.022999	4.211466
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.410944	1.123541	2.338981
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.247249	0.196886	0.409875
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	84.126129	66.990028	139.459396
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	206.085922	164.107162	341.637238
