Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	8.475116	10.137996	22.792942
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	7.885417	42.810600	96.249756
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	131.393890	181.671860	408.447266
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	23.033348	45.264324	101.766388
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	6.724877	36.308933	81.632256
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	11.758124	14.065153	31.622252
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	30.928774	38.820015	87.277847
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	82.051643	98.175751	220.725525
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	56.343468	67.398460	151.529892
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	5.918334	7.079554	15.916743
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	26.356728	31.528109	70.883675
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	385.451874	461.080353	1036.632690
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	14.608863	17.475227	39.289017
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	32.046616	38.781586	87.191444
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	86.360474	117.078514	263.223999
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	196.349136	238.520432	536.258179
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	61.923077	74.072838	166.535675
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	420.697021	503.240814	1131.420898
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	9.131356	10.922995	24.557833
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	11.763637	14.071747	31.637077
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	192.911880	237.005157	532.851379
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	17.669624	21.136532	47.520615
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	2.033547	2.434214	5.472768
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	6.283653	23.255564	52.284767
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	19.727184	23.597801	53.054211
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	125.444611	150.057755	337.370209
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	37.092125	44.841541	100.815857
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	1.147954	1.373191	3.087303
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	2.809154	3.360330	7.554927
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	4.823881	5.770362	12.973326
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.847462	2.209947	4.968557
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	6.063063	7.252680	16.305977
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	29.850138	35.706951	80.278839
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	0.877936	1.050193	2.361118
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	9.912641	11.871910	26.691250
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	11.814122	16.844595	37.871185
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	19.064646	22.805267	51.272381
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	10.618999	15.221416	34.221844
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.597941	0.775456	1.743433
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	116.923866	139.865173	314.454559
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.344587	0.412197	0.926731
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.119917	1.339653	3.011900
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	29.398762	35.167011	79.064911
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	16.139679	19.669922	44.223278
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	15.451467	18.483156	41.555115
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	8.272264	9.895342	22.247393
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	13.340637	15.958167	35.878254
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	8.895267	10.640583	23.922895
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	13.485500	16.131453	36.267849
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	13.389189	16.016245	36.008831
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	21.819559	26.533937	59.655434
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	117.709351	140.804779	316.567047
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	18.300549	21.891249	49.217419
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	6.226924	7.448692	16.746664
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	24.875151	29.755836	66.899132
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	176.397125	211.007523	474.401703
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	193.299698	231.226501	519.859436
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	6.513240	7.791185	17.516682
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	8.985725	10.748790	24.166172
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	51.483055	61.650406	138.606720
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	14.164646	16.943851	38.094341
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	26.935938	32.220963	72.441406
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	20.996582	25.116262	56.468124
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	36.321991	43.448631	97.684219
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	22.734266	27.194895	61.141445
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	8.799324	10.525815	23.664867
gene-LOC107064702	LOC107064702	NW_015148970.1	+	1205088	1206111	151.170074	180.830734	406.556213
gene-LOC107064635	LOC107064635	NW_015148970.1	-	1206798	1207933	7.607424	9.100056	20.459375
gene-LOC107064296	LOC107064296	NW_015148970.1	-	1211124	1213671	21.860640	26.149855	58.791916
gene-LOC107064325	LOC107064325	NW_015148970.1	-	1214864	1221512	13.126908	15.779523	35.476616
gene-LOC107065728	LOC107065728	NW_015148970.1	+	1221994	1223023	0.643952	0.770300	1.731842
gene-LOC107065050	LOC107065050	NW_015148970.1	+	1224323	1311943	3.358369	4.026429	9.052496
gene-LOC107064068	LOC107064068	NW_015148970.1	-	1317651	1323352	21.469772	25.682297	57.740719
gene-LOC107064075	LOC107064075	NW_015148970.1	+	1324545	1334071	95.565735	126.038284	283.367981
gene-LOC107064201	LOC107064201	NW_015148970.1	-	1336978	1338804	6.795633	8.128985	18.276148
gene-LOC107065449	LOC107065449	NW_015148970.1	+	1341747	1345171	0.980237	1.231407	2.768534
gene-LOC107069159	LOC107069159	NW_015148970.1	-	1356958	1544934	0.758479	8.475854	19.056004
gene-LOC107069605	LOC107069605	NW_015148970.1	+	1498446	1500477	1.227174	1.467955	3.300357
gene-LOC107069818	LOC107069818	NW_015148970.1	-	1547697	1584297	28.975883	35.210686	79.163094
gene-LOC107069649	LOC107069649	NW_015148970.1	+	1565081	1572070	36.522572	52.351929	117.701233
gene-LOC107065170	LOC107065170	NW_015148970.1	+	1584700	1587678	115.197166	141.402374	317.910614
gene-Trnaq-cug	Trnaq-cug	NW_015148970.1	+	1588324	1588395	1.000000	1.196207	2.689396
gene-LOC107073109	LOC107073109	NW_015148970.1	+	1588816	1590785	21.025663	25.151051	56.546337
gene-LOC107072948	LOC107072948	NW_015148970.1	-	1590886	1597834	14.744129	17.990213	40.446842
gene-LOC107073176	LOC107073176	NW_015148970.1	-	1603907	1604848	0.000000	0.000000	0.000000
gene-LOC107073803	LOC107073803	NW_015148970.1	-	1605163	1632743	0.285479	0.459586	1.033274
gene-LOC107073655	LOC107073655	NW_015148970.1	+	1608459	1625420	49.612137	59.346397	133.426682
gene-LOC107073220	LOC107073220	NW_015148970.1	+	1629626	1744374	1.412048	19.054878	42.840500
gene-LOC107073721	LOC107073721	NW_015148970.1	-	1719648	1723451	7.716721	10.102380	22.712870
gene-LOC107064825	LOC107064825	NW_015148970.1	+	1747536	1749850	9.769231	11.686025	26.273331
gene-LOC107064841	LOC107064841	NW_015148970.1	+	1749974	1805148	21.961567	26.270584	59.063347
gene-LOC107065410	LOC107065410	NW_015148970.1	+	1830908	1937104	0.057219	1.849362	4.157863
gene-LOC107065463	LOC107065463	NW_015148970.1	+	1989882	2040260	0.562516	0.672886	1.512828
gene-LOC107064907	LOC107064907	NW_015148970.1	-	2041476	2044832	1.064000	1.272765	2.861517
gene-LOC107065373	LOC107065373	NW_015148970.1	+	2100512	2178609	2.257575	2.880600	6.476364
gene-LOC107065381	LOC107065381	NW_015148970.1	-	2180511	2182296	0.563998	0.674658	1.516814
gene-LOC107065385	LOC107065385	NW_015148970.1	+	2183001	2185272	23.108440	27.642483	62.147747
gene-LOC107074525	LOC107074525	NW_015148970.1	-	2187239	2218629	8.251559	19.639385	44.154625
gene-LOC107074556	LOC107074556	NW_015148970.1	-	2220282	2221950	62.451408	74.704826	167.956558
gene-LOC107065005	LOC107065005	NW_015148970.1	+	2222574	2224770	17.331856	25.955139	58.354141
gene-LOC107065023	LOC107065023	NW_015148970.1	+	2225366	2228750	7.246923	8.668821	19.489845
gene-LOC107074269	LOC107074269	NW_015148970.1	-	2230895	2274521	11.140121	13.325894	29.960196
gene-LOC107074276	LOC107074276	NW_015148970.1	-	2274656	2276618	93.153755	111.431198	250.527328
gene-LOC107074283	LOC107074283	NW_015148970.1	-	2280683	2335994	142.476562	170.431488	383.175873
gene-LOC107063760	LOC107063760	NW_015148970.1	+	2338338	2343131	19.462934	23.281704	52.343536
gene-LOC107063787	LOC107063787	NW_015148970.1	-	2343203	2344665	12.771147	15.276938	34.346672
gene-LOC107063777	LOC107063777	NW_015148970.1	+	2344130	2346115	39.026600	46.683899	104.957977
gene-LOC107063771	LOC107063771	NW_015148970.1	-	2346194	2349617	11.312566	13.532174	30.423969
gene-LOC107063797	LOC107063797	NW_015148970.1	+	2351572	2353634	0.000000	0.000000	0.000000
gene-LOC107063802	LOC107063802	NW_015148970.1	+	2355751	2357327	0.000000	0.000000	0.000000
gene-LOC107064270	LOC107064270	NW_015148970.1	+	2372250	2390680	0.000000	0.000000	0.000000
gene-LOC107065554	LOC107065554	NW_015148970.1	-	2391336	2394159	0.000000	0.000000	0.000000
gene-LOC107064275	LOC107064275	NW_015148970.1	+	2403787	2472353	7.395922	8.847056	19.890562
gene-LOC107065146	LOC107065146	NW_015148970.1	-	2473076	2508533	1.786673	2.137231	4.805071
gene-LOC107063811	LOC107063811	NW_015148970.1	+	2509986	2512509	36.164471	43.260201	97.260582
gene-LOC107063818	LOC107063818	NW_015148970.1	-	2516212	2518347	11.021779	13.990965	31.455456
gene-LOC107063836	LOC107063836	NW_015148970.1	-	2547603	2793112	4.100856	4.905473	11.028825
gene-LOC107064665	LOC107064665	NW_015148970.1	+	2855895	2857435	9.456168	11.311537	25.431379
gene-LOC107064659	LOC107064659	NW_015148970.1	+	2861199	2862457	130.146988	155.682770	350.016785
gene-LOC107064654	LOC107064654	NW_015148970.1	-	2863640	2864623	44.433056	53.151142	119.498085
gene-LOC107073823	LOC107073823	NW_015148970.1	+	2867828	2869272	19.653978	23.510231	52.857330
gene-LOC107073831	LOC107073831	NW_015148970.1	+	2870349	2934520	3.014822	24.945198	56.083523
gene-LOC107073856	LOC107073856	NW_015148970.1	-	2874631	2889346	0.703018	0.840955	1.890694
gene-LOC107073851	LOC107073851	NW_015148970.1	-	2892000	2895856	1.684785	2.015352	4.531054
gene-LOC107066223	LOC107066223	NW_015148970.1	+	2914279	2914970	33.077084	39.567047	88.957375
gene-LOC107066885	LOC107066885	NW_015148970.1	-	2949915	2957253	2.107387	2.520872	5.667598
gene-LOC107063629	LOC107063629	NW_015148970.1	-	2988688	3034293	6.423377	7.683690	17.275003
gene-LOC107063640	LOC107063640	NW_015148970.1	+	3155125	3296355	11.565323	20.114714	45.223289
gene-LOC107064670	LOC107064670	NW_015148970.1	+	3298286	3305327	3.414753	4.084753	9.183623
gene-LOC107064676	LOC107064676	NW_015148970.1	+	3305348	3314382	3.809557	4.557020	10.245407
gene-LOC107065538	LOC107065538	NW_015148970.1	+	3369254	3375852	1.221754	1.461471	3.285780
gene-LOC107063699	LOC107063699	NW_015148970.1	+	3431892	3441421	2.765712	3.308365	7.438095
gene-LOC107063708	LOC107063708	NW_015148970.1	+	3443575	3446014	0.677543	0.810482	1.822181
gene-LOC107063714	LOC107063714	NW_015148970.1	+	3447040	3454492	4.481222	5.360470	12.051781
gene-LOC107065307	LOC107065307	NW_015148970.1	-	3493766	3495378	25.207687	30.153618	67.793457
gene-LOC107065035	LOC107065035	NW_015148970.1	+	3496563	3501876	10.641702	15.633433	35.148167
gene-LOC107064488	LOC107064488	NW_015148970.1	+	3503872	3507384	14.206196	17.005812	38.233643
gene-LOC107064494	LOC107064494	NW_015148970.1	-	3508214	3510214	31.106274	37.209549	83.657089
gene-LOC107064503	LOC107064503	NW_015148970.1	+	3510541	3511568	20.396891	25.587915	57.528526
gene-LOC107064498	LOC107064498	NW_015148970.1	-	3511524	3512875	11.927105	14.267289	32.076710
gene-LOC107064691	LOC107064691	NW_015148970.1	+	3513223	3514462	36.087914	43.168625	97.054688
gene-LOC107064911	LOC107064911	NW_015148970.1	-	3515040	3528251	55.638279	66.554909	149.633362
gene-LOC107064622	LOC107064622	NW_015148970.1	+	3530041	3534317	2.700507	7.303559	16.420368
gene-LOC107064642	LOC107064642	NW_015148970.1	-	3536765	3540038	14.511905	17.359245	39.028259
gene-LOC107064649	LOC107064649	NW_015148970.1	+	3540110	3541802	27.889515	36.630024	82.354156
gene-LOC107074287	LOC107074287	NW_015148970.1	-	3542918	3552429	44.798637	68.832512	154.754013
gene-LOC107074301	LOC107074301	NW_015148970.1	+	3550391	3554137	25.510252	30.515549	68.607170
gene-LOC107074316	LOC107074316	NW_015148970.1	-	3555688	3557735	14.155394	16.932785	38.069458
gene-LOC107074305	LOC107074305	NW_015148970.1	+	3557422	3564694	2.771218	3.698225	8.314607
gene-LOC107074323	LOC107074323	NW_015148970.1	-	3564754	3569627	15.931242	19.256628	43.294083
gene-LOC107074337	LOC107074337	NW_015148970.1	+	3569756	3572497	10.029912	17.014843	38.253944
gene-LOC107064541	LOC107064541	NW_015148970.1	-	3735983	3754113	2.237840	2.949290	6.630797
gene-LOC107074513	LOC107074513	NW_015148970.1	-	3759226	3766491	0.890535	1.332667	2.996194
gene-LOC107074505	LOC107074505	NW_015148970.1	+	3772256	3785087	24.516815	29.327192	65.935425
gene-LOC107074444	LOC107074444	NW_015148970.1	-	3785117	3804400	8.220446	12.997827	29.222614
gene-LOC107074465	LOC107074465	NW_015148970.1	+	3789965	3837405	0.913306	20.879566	46.942890
gene-LOC107065357	LOC107065357	NW_015148970.1	-	3844107	3846200	111.205452	133.024765	299.075470
gene-LOC107067559	LOC107067559	NW_015148970.1	+	3847534	3849838	31.242918	37.373005	84.024574
gene-LOC107063891	LOC107063891	NW_015148970.1	-	3852001	3999898	12.040657	14.518816	32.642208
gene-LOC107063919	LOC107063919	NW_015148970.1	+	3883137	3885227	20.308517	24.293196	54.617645
gene-LOC107064025	LOC107064025	NW_015148970.1	-	4089275	4094219	0.000000	0.000000	0.000000
gene-LOC107064032	LOC107064032	NW_015148970.1	-	4097169	4098743	0.000000	0.000000	0.000000
gene-LOC107064012	LOC107064012	NW_015148970.1	+	4099093	4100308	230.661545	302.686798	680.521423
gene-LOC107063990	LOC107063990	NW_015148970.1	-	4099104	4109280	12.235466	21.704185	48.796852
gene-LOC107064005	LOC107064005	NW_015148970.1	+	4100613	4103827	31.765968	37.998684	85.431267
gene-LOC107063664	LOC107063664	NW_015148970.1	+	4111240	4123343	28.068577	39.722141	89.306068
gene-LOC107068229	LOC107068229	NW_015148970.1	-	4112941	4157719	1.399452	1.674035	3.763680
gene-LOC107065367	LOC107065367	NW_015148970.1	-	4161504	4166431	0.989612	1.183781	2.661458
gene-LOC107065150	LOC107065150	NW_015148970.1	-	4167179	4172170	2.052489	2.455202	5.519956
gene-LOC107064766	LOC107064766	NW_015148970.1	-	4178854	4181757	0.000000	0.000000	0.000000
gene-LOC107068875	LOC107068875	NW_015148970.1	+	4183097	4186989	0.000000	0.000000	0.000000
gene-LOC107065276	LOC107065276	NW_015148970.1	+	4189316	4191801	0.425061	0.508461	1.143157
gene-LOC107065267	LOC107065267	NW_015148970.1	-	4191952	4196513	0.000000	0.000000	0.000000
gene-LOC107069540	LOC107069540	NW_015148970.1	+	4199347	4201241	0.000000	0.000000	0.000000
gene-LOC107065115	LOC107065115	NW_015148970.1	-	4202179	4208818	29.370480	35.133179	78.988853
gene-LOC107065366	LOC107065366	NW_015148970.1	-	4215844	4218759	0.000000	0.000000	0.000000
gene-LOC107064519	LOC107064519	NW_015148970.1	-	4221558	4224159	0.246954	0.295408	0.664157
gene-LOC107063925	LOC107063925	NW_015148970.1	+	4227117	4230175	19.076382	22.819305	51.303944
gene-LOC107063977	LOC107063977	NW_015148970.1	-	4230783	4233240	25.325550	30.294605	68.110435
gene-LOC107063969	LOC107063969	NW_015148970.1	+	4236945	4238467	19.822266	23.711538	53.309921
gene-LOC107063988	LOC107063988	NW_015148970.1	-	4238564	4239983	3.070067	3.672436	8.256626
gene-LOC107063933	LOC107063933	NW_015148970.1	+	4239560	4251271	3.315988	9.399693	21.133041
gene-LOC107064113	LOC107064113	NW_015148970.1	+	4257003	4259054	31.772972	42.319695	95.146065
gene-LOC107064102	LOC107064102	NW_015148970.1	-	4259307	4268185	54.559490	70.000984	157.381058
gene-LOC107064089	LOC107064089	NW_015148970.1	+	4292278	4394920	12.907106	19.059242	42.850307
gene-LOC107064975	LOC107064975	NW_015148970.1	-	4401302	4403950	6.476431	7.747154	17.417686
gene-LOC107064969	LOC107064969	NW_015148970.1	-	4404184	4406323	8.864671	10.603984	23.840611
gene-LOC107065030	LOC107065030	NW_015148970.1	+	4525678	4557918	2.244028	2.684323	6.035080
gene-LOC107064278	LOC107064278	NW_015148970.1	+	4619921	4621181	16.317942	19.519640	43.885406
gene-LOC107065436	LOC107065436	NW_015148970.1	-	4621606	4623227	2.864790	3.426883	7.704555
gene-LOC107065445	LOC107065445	NW_015148970.1	-	4623710	4624927	1.388947	1.661469	3.735429
gene-LOC107065185	LOC107065185	NW_015148970.1	+	4626943	4631708	26.322956	34.618694	77.832146
gene-LOC107064123	LOC107064123	NW_015148970.1	+	4642567	4659109	22.178478	26.530056	59.646709
gene-LOC107064130	LOC107064130	NW_015148970.1	-	4663439	4665085	0.491257	0.587645	1.321185
gene-LOC107065489	LOC107065489	NW_015148970.1	-	4676072	4747627	0.000000	0.000000	0.000000
gene-LOC107064580	LOC107064580	NW_015148970.1	-	4828612	4830279	5.844295	6.990988	15.717624
gene-LOC107065137	LOC107065137	NW_015148970.1	-	4831395	4832348	0.815789	0.975853	2.193980
gene-LOC107065142	LOC107065142	NW_015148970.1	+	4834350	4848578	4.947300	5.917996	13.305248
gene-LOC107064882	LOC107064882	NW_015148970.1	-	4872146	4996445	28.662336	36.440819	81.928772
gene-LOC107065228	LOC107065228	NW_015148970.1	+	5015400	5047691	0.949782	5.021962	11.290722
gene-LOC107065235	LOC107065235	NW_015148970.1	+	5044824	5045567	53.508743	64.007545	143.906204
gene-LOC107065069	LOC107065069	NW_015148970.1	-	5052377	5065803	0.000000	0.000000	0.000000
gene-Trnap-cgg	Trnap-cgg	NW_015148970.1	+	5071386	5071457	0.000000	0.000000	0.000000
gene-LOC107065472	LOC107065472	NW_015148970.1	-	5131705	5133100	3.157527	3.839702	8.632684
gene-LOC107065485	LOC107065485	NW_015148970.1	-	5133148	5136966	2.144524	2.565295	5.767474
gene-LOC107065314	LOC107065314	NW_015148970.1	-	5324861	5360298	1.517322	1.815032	4.080680
gene-LOC107065331	LOC107065331	NW_015148970.1	-	5601785	5608759	0.924167	1.448567	3.256770
gene-LOC107074183	LOC107074183	NW_015148970.1	+	5612018	5618243	11.721701	14.021583	31.524296
gene-LOC107074188	LOC107074188	NW_015148970.1	-	5619112	5622097	8.907528	10.655250	23.955870
gene-LOC107074207	LOC107074207	NW_015148970.1	-	5623011	5624222	14.094737	16.860228	37.906330
gene-LOC107074250	LOC107074250	NW_015148970.1	+	5624521	5625219	74.389610	88.985390	200.063110
gene-LOC107074239	LOC107074239	NW_015148970.1	-	5625332	5625880	19.864035	23.761503	53.422253
gene-LOC107074215	LOC107074215	NW_015148970.1	+	5626005	5628803	0.730273	0.873558	1.963993
gene-LOC107074192	LOC107074192	NW_015148970.1	+	5629089	5630755	15.101783	18.064863	40.614674
gene-LOC107074195	LOC107074195	NW_015148970.1	+	5631142	5648605	13.875337	58.051216	130.514755
gene-LOC107074225	LOC107074225	NW_015148970.1	-	5650672	5651560	12.817238	17.544418	39.444576
gene-LOC107074259	LOC107074259	NW_015148970.1	+	5650731	5652245	10.105206	17.360060	39.030087
gene-LOC107064235	LOC107064235	NW_015148970.1	-	5653003	5655201	27.607964	33.024845	74.248749
gene-LOC107064246	LOC107064246	NW_015148970.1	-	5655812	5656607	15.742166	18.830893	42.336918
gene-LOC107064262	LOC107064262	NW_015148970.1	+	5657117	5660357	7.798751	9.328922	20.973930
gene-LOC107064250	LOC107064250	NW_015148970.1	-	5660354	5665729	9.485090	11.346133	25.509163
gene-LOC107064983	LOC107064983	NW_015148970.1	-	5666464	5671626	17.981638	21.509768	48.359745
gene-LOC107065001	LOC107065001	NW_015148970.1	+	5672209	5672986	49.146488	58.789383	132.174362
gene-Trnai-uau	Trnai-uau	NW_015148970.1	-	5673376	5673469	0.000000	0.000000	0.000000
gene-LOC107064954	LOC107064954	NW_015148970.1	-	5673699	5675824	6.589808	7.882776	17.722603
gene-LOC107064956	LOC107064956	NW_015148970.1	+	5675457	5677297	43.392082	51.905922	116.698494
gene-LOC107064943	LOC107064943	NW_015148970.1	-	5676434	5678583	15.738300	18.826269	42.326519
gene-LOC107064961	LOC107064961	NW_015148970.1	-	5678555	5679156	6.732598	8.053582	18.106623
gene-LOC107073860	LOC107073860	NW_015148970.1	-	5682606	5691855	23.456385	29.439514	66.187958
gene-LOC107073887	LOC107073887	NW_015148970.1	-	5692436	5694452	13.215315	19.770781	44.450039
gene-LOC107071567	LOC107071567	NW_015148970.1	+	5694728	5699481	0.000000	0.000000	0.000000
gene-LOC107072202	LOC107072202	NW_015148970.1	-	5699517	5702056	0.000000	0.000000	0.000000
gene-LOC107073893	LOC107073893	NW_015148970.1	+	5701656	5703523	35.426594	42.377548	95.276131
gene-LOC107073899	LOC107073899	NW_015148970.1	-	5704919	5705794	21.573423	25.806286	58.019478
gene-LOC107073877	LOC107073877	NW_015148970.1	-	5705749	5708669	14.196197	17.984051	40.432983
gene-LOC107073902	LOC107073902	NW_015148970.1	-	5713303	5721371	4.407727	6.104557	13.724687
gene-LOC107073923	LOC107073923	NW_015148970.1	+	5721909	5724376	28.604044	34.216366	76.927597
