Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC108630137	LOC108630137	NW_017130860.1	+	286	3617	26.691730	9.570537	18.488466
gene-LOC108630204	LOC108630204	NW_017130860.1	-	3549	6660	48.471771	24.840210	47.986584
gene-LOC108630428	LOC108630428	NW_017130860.1	-	7427	11883	30.126911	12.768406	24.666145
gene-LOC108625126	LOC108625126	NW_017130860.1	+	12234	14837	16.076628	5.764405	11.135741
gene-LOC108625517	LOC108625517	NW_017130860.1	-	15084	17835	0.000000	0.000000	0.000000
gene-LOC108625314	LOC108625314	NW_017130860.1	-	20656	24430	36.223286	13.614667	26.300961
gene-LOC108625655	LOC108625655	NW_017130860.1	+	24468	25921	183.703201	65.868279	127.245041
gene-LOC108625598	LOC108625598	NW_017130860.1	-	25865	26815	49.753731	17.839603	34.462742
gene-LOC108625203	LOC108625203	NW_017130860.1	+	26825	29170	5.960596	2.195769	4.241810
gene-LOC108625396	LOC108625396	NW_017130860.1	-	28945	30817	27.519968	12.060843	23.299269
gene-LOC108625064	LOC108625064	NW_017130860.1	+	30825	39932	14.754029	5.290177	10.219621
gene-LOC108630323	LOC108630323	NW_017130860.1	+	39083	44531	103.380936	76.083603	146.979126
gene-LOC113463976	LOC113463976	NW_017130860.1	-	44590	45256	0.000000	0.000000	0.000000
gene-LOC108629901	LOC108629901	NW_017130860.1	+	45188	50950	33.822292	12.263961	23.691652
gene-LOC108623485	LOC108623485	NW_017130860.1	+	51768	55934	30.687714	11.094644	21.432753
gene-LOC108623319	LOC108623319	NW_017130860.1	-	56230	62443	3.946806	1.685625	3.256310
gene-LOC108623244	LOC108623244	NW_017130860.1	+	62528	65505	8766.038086	3143.134033	6071.940430
gene-LOC108623171	LOC108623171	NW_017130860.1	-	66097	69619	379.555817	136.092819	262.905579
gene-LOC108629049	LOC108629049	NW_017130860.1	+	70301	83339	6.571881	3.041352	5.875316
gene-LOC108623909	LOC108623909	NW_017130860.1	+	83888	85703	71.670937	25.698196	49.644054
gene-LOC108623975	LOC108623975	NW_017130860.1	+	85813	90294	29.377626	12.181430	23.532217
gene-LOC113464111	LOC113464111	NW_017130860.1	-	87215	91814	6.519489	2.379695	4.597120
gene-LOC108623775	LOC108623775	NW_017130860.1	-	92002	169494	30.436279	10.928274	21.111361
gene-LOC108628026	LOC108628026	NW_017130860.1	+	170226	185184	16.163843	11.466147	22.150429
gene-LOC108621989	LOC108621989	NW_017130860.1	-	187129	189742	2.560165	0.917968	1.773340
gene-LOC108621903	LOC108621903	NW_017130860.1	+	188947	191843	6.923055	2.482317	4.795368
gene-LOC108632655	LOC108632655	NW_017130860.1	+	192216	196208	48.536892	24.864254	48.033031
gene-LOC108621901	LOC108621901	NW_017130860.1	-	196064	199135	1.783931	0.639643	1.235669
gene-LOC108628565	LOC108628565	NW_017130860.1	+	201818	248592	9.010622	4.097136	7.914893
gene-LOC108629258	LOC108629258	NW_017130860.1	+	249974	252704	82.889717	29.720781	57.414928
gene-LOC108629202	LOC108629202	NW_017130860.1	-	252555	256559	16.636133	5.965021	11.523292
gene-LOC108627083	LOC108627083	NW_017130860.1	+	256681	306297	12.332368	4.495451	8.684361
gene-LOC108627004	LOC108627004	NW_017130860.1	-	269663	306284	2.654278	1.127685	2.178474
gene-LOC108628353	LOC108628353	NW_017130860.1	+	307693	314731	3.257365	1.167955	2.256268
gene-LOC108628416	LOC108628416	NW_017130860.1	-	315541	336625	146.946930	52.689014	101.785210
gene-LOC108632576	LOC108632576	NW_017130860.1	+	337280	338782	23.617458	8.468231	16.359020
gene-LOC108631138	LOC108631138	NW_017130860.1	-	339002	343470	17.092228	6.128557	11.839213
gene-LOC108632424	LOC108632424	NW_017130860.1	+	343604	345501	28.764965	10.313911	19.924526
gene-LOC108632128	LOC108632128	NW_017130860.1	-	345633	347521	0.000000	0.000000	0.000000
gene-LOC108632360	LOC108632360	NW_017130860.1	-	347613	350580	24.828625	8.902505	17.197954
gene-LOC108629173	LOC108629173	NW_017130860.1	-	352629	354918	0.000000	0.000000	0.000000
gene-LOC108627746	LOC108627746	NW_017130860.1	-	358855	373382	3.728718	1.336962	2.582758
gene-LOC108632186	LOC108632186	NW_017130860.1	+	373288	378287	72.568253	34.502544	66.652390
gene-LOC108632491	LOC108632491	NW_017130860.1	-	374086	375382	58.051418	20.814808	40.210270
gene-LOC108632051	LOC108632051	NW_017130860.1	-	378394	382396	158.087341	56.683502	109.501801
gene-LOC108631880	LOC108631880	NW_017130860.1	+	382509	385106	133.431366	47.842899	92.423431
gene-LOC108625488	LOC108625488	NW_017130860.1	-	385172	404588	6.442939	2.342083	4.524461
gene-LOC108629411	LOC108629411	NW_017130860.1	-	409582	418418	7.823916	2.923025	5.646731
gene-LOC108633029	LOC108633029	NW_017130860.1	-	418629	421560	24.814445	8.897420	17.188135
gene-LOC108627766	LOC108627766	NW_017130860.1	+	422327	424287	18.168287	6.675620	12.896035
gene-LOC108627942	LOC108627942	NW_017130860.1	-	424171	426249	8.649112	3.101209	5.990950
gene-LOC108627871	LOC108627871	NW_017130860.1	+	426196	430099	32.728382	11.735026	22.669853
gene-LOC108630888	LOC108630888	NW_017130860.1	-	434320	437969	18.882702	6.770545	13.079414
gene-LOC108622114	LOC108622114	NW_017130860.1	-	438089	439329	107.967522	38.712631	74.785477
gene-LOC108624081	LOC108624081	NW_017130860.1	+	439472	444589	1.343523	0.481731	0.930613
gene-LOC108632874	LOC108632874	NW_017130860.1	-	444686	449142	2.697213	0.967108	1.868269
gene-LOC108630695	LOC108630695	NW_017130860.1	+	449262	453135	307.039795	110.091606	212.676178
gene-LOC108622330	LOC108622330	NW_017130860.1	+	453552	466073	4.325524	1.550952	2.996145
gene-LOC108622926	LOC108622926	NW_017130860.1	-	466121	468673	25.661549	10.826995	20.915705
gene-LOC108622402	LOC108622402	NW_017130860.1	+	468726	475508	9.218852	3.305494	6.385590
gene-LOC108623040	LOC108623040	NW_017130860.1	-	476044	478509	41.844719	16.341944	31.569546
gene-LOC108622642	LOC108622642	NW_017130860.1	+	478592	480988	33.616024	24.879601	48.062683
gene-LOC108622480	LOC108622480	NW_017130860.1	-	481047	489465	10.555894	3.996303	7.720101
gene-LOC108632423	LOC108632423	NW_017130860.1	-	490084	492409	0.119474	0.042838	0.082756
gene-LOC108624795	LOC108624795	NW_017130860.1	+	492654	495598	9.973098	3.575935	6.908031
gene-LOC108630566	LOC108630566	NW_017130860.1	-	497202	512791	29.738070	10.753605	20.773930
gene-LOC108628628	LOC108628628	NW_017130860.1	+	514342	518287	61.893181	22.192303	42.871330
gene-LOC108628721	LOC108628721	NW_017130860.1	+	518378	520827	2.346577	0.841384	1.625395
gene-LOC108633090	LOC108633090	NW_017130860.1	+	521162	523422	2140.793945	767.599060	1482.856201
gene-LOC108627702	LOC108627702	NW_017130860.1	+	523724	530500	446.011078	333.260284	643.795837
gene-LOC108627519	LOC108627519	NW_017130860.1	+	530497	538333	15.820944	6.321980	12.212869
gene-LOC108629612	LOC108629612	NW_017130860.1	+	619523	695838	12.705911	4.716833	9.112030
gene-LOC108621902	LOC108621902	NW_017130860.1	+	732987	779236	4.399905	1.706562	3.296754
gene-LOC108624944	LOC108624944	NW_017130860.1	-	775785	779216	51.752907	22.550243	43.562805
gene-LOC108624749	LOC108624749	NW_017130860.1	+	779153	781901	24.546629	9.732871	18.802065
gene-LOC108624517	LOC108624517	NW_017130860.1	-	781604	791220	1.391725	0.499014	0.964001
gene-LOC113464297	LOC113464297	NW_017130860.1	+	785088	828098	3.088554	1.107426	2.139338
gene-LOC108624675	LOC108624675	NW_017130860.1	-	796824	802328	12.043087	4.318147	8.341843
gene-LOC108624604	LOC108624604	NW_017130860.1	-	808987	822667	2.016088	0.722885	1.396477
gene-LOC108624870	LOC108624870	NW_017130860.1	-	828265	846897	47.757645	17.173868	33.176666
gene-LOC113464209	LOC113464209	NW_017130860.1	+	832642	836817	1.070702	0.383909	0.741639
gene-LOC108629412	LOC108629412	NW_017130860.1	+	847376	852509	31.026869	12.824791	24.775070
gene-LOC108629335	LOC108629335	NW_017130860.1	+	852605	855350	16.724014	5.996531	11.584164
gene-LOC108629527	LOC108629527	NW_017130860.1	-	854619	856622	18.710527	6.708812	12.960155
gene-LOC108624050	LOC108624050	NW_017130860.1	-	859430	861679	15.911857	5.747468	11.103020
gene-LOC108624145	LOC108624145	NW_017130860.1	+	862146	864124	76.139458	27.322590	52.782078
gene-LOC108624450	LOC108624450	NW_017130860.1	-	865509	867015	12.496596	4.480756	8.655972
gene-LOC113464749	LOC113464749	NW_017130860.1	-	867220	868206	0.000000	0.000000	0.000000
gene-LOC108624386	LOC108624386	NW_017130860.1	+	868348	869643	81.728127	29.304283	56.610332
gene-LOC108624216	LOC108624216	NW_017130860.1	-	869646	889754	79.640892	57.934566	111.918633
gene-LOC108626876	LOC108626876	NW_017130860.1	+	890048	922420	7.056739	3.456547	6.677394
gene-LOC108626552	LOC108626552	NW_017130860.1	-	890209	918729	100.137024	54.541351	105.363579
gene-LOC108622262	LOC108622262	NW_017130860.1	+	922528	927418	2.784832	0.998524	1.928960
gene-LOC108622641	LOC108622641	NW_017130860.1	-	927430	929241	684.810242	245.544266	474.345093
gene-LOC113464890	LOC113464890	NW_017130860.1	-	929954	931006	35.257282	12.641785	24.421537
gene-LOC108625728	LOC108625728	NW_017130860.1	+	931058	938529	7.440497	2.667850	5.153783
gene-LOC108625800	LOC108625800	NW_017130860.1	+	943891	947356	42.106411	15.113237	29.195915
gene-LOC108625921	LOC108625921	NW_017130860.1	+	952516	958311	24.614668	8.879478	17.153473
gene-LOC108626057	LOC108626057	NW_017130860.1	-	961532	979583	24.539703	11.270662	21.772789
gene-LOC108626424	LOC108626424	NW_017130860.1	+	980488	982415	57.235962	23.797747	45.972744
gene-LOC108626123	LOC108626123	NW_017130860.1	-	983750	991704	24.788523	12.055086	23.288145
gene-LOC108626192	LOC108626192	NW_017130860.1	+	991765	998539	61.804672	24.769918	47.850800
gene-LOC108628488	LOC108628488	NW_017130860.1	+	1005147	1047464	8.958848	3.212268	6.205493
gene-LOC108630764	LOC108630764	NW_017130860.1	+	1100258	1152041	1.976710	1.895359	3.661475
gene-LOC108629783	LOC108629783	NW_017130860.1	+	1214963	1271539	12.927534	4.671134	9.023746
gene-LOC108632945	LOC108632945	NW_017130860.1	+	1296678	1329313	11.196993	4.014772	7.755782
gene-LOC113464757	LOC113464757	NW_017130860.1	-	1335360	1340830	0.000000	0.000000	0.000000
gene-LOC108622192	LOC108622192	NW_017130860.1	+	1377864	1394704	1.568862	0.562528	1.086698
gene-LOC108623396	LOC108623396	NW_017130860.1	-	1394799	1397693	10.554161	3.784280	7.310513
gene-LOC108628863	LOC108628863	NW_017130860.1	-	1397777	1403296	20.302658	7.689413	14.854491
gene-LOC108628946	LOC108628946	NW_017130860.1	+	1400454	1404893	75.562546	46.829227	90.465218
gene-LOC108628781	LOC108628781	NW_017130860.1	-	1404920	1408084	186.923248	67.022850	129.475464
gene-LOC108630968	LOC108630968	NW_017130861.1	-	9550	118527	2.498708	0.895932	1.730771
gene-LOC108631034	LOC108631034	NW_017130862.1	+	21063	27339	22.355719	8.015824	15.485056
gene-LOC108631693	LOC108631693	NW_017130863.1	+	3260	33151	24.918400	37.900791	73.217155
gene-LOC113465164	LOC113465164	NW_017130863.1	+	14816	15584	0.128739	0.046160	0.089173
gene-LOC108631113	LOC108631113	NW_017130863.1	+	32972	34839	117.624046	42.175056	81.474236
