Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	42.610039	19.913836	45.428707
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	14.125686	28.346834	64.666595
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	330.079681	180.272781	411.249725
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	44.696457	35.819706	81.714188
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	13.063342	25.999332	59.311329
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	33.828400	15.723763	35.870045
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	91.006760	44.436874	101.372215
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	244.627472	113.734932	259.459351
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	169.265854	78.676384	179.481567
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	23.771469	11.049206	25.206150
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	75.568443	35.124931	80.129227
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	693.649048	322.414703	735.512817
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	37.013489	17.204222	39.247364
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	78.122849	36.811695	83.977173
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	275.244995	141.575974	322.972107
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	578.550232	272.358765	621.322083
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	191.230362	88.885696	202.771698
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	890.088074	413.721405	943.807556
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	25.740221	11.964300	27.293722
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	14.793706	6.876255	15.686551
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	662.372803	317.598999	724.527039
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	59.341225	27.582367	62.922646
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	8.209652	3.819710	8.713765
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	13.690235	18.075163	41.234211
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	47.605892	22.127672	50.479050
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	344.826904	160.278824	365.638245
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	108.307938	51.122829	116.624641
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.709379	1.724155	3.933251
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	6.924343	3.218501	7.342248
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	9.522703	4.426243	10.097426
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	4.131850	1.920523	4.381219
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
